run;final_energy;time;best_position
1;-1.0952518919999998;20.245361200068146;[2.0875097242805705, -0.14053704151811905, 2.3063823205130007, 1.653667411081012, -2.383697731313512, 3.744633234370027, 1.462322183791149, 2.426377029256855, -1.4424552857249258, -0.44405793328866455, -0.08201452117200823, 2.6556042156968456, 0.6428210052382984, 2.0165955604250287, -0.37561291382281486, -1.3707650015534703]
2;-1.077842976;22.43803330010269;[1.1816389424616651, -0.46208593212521404, 2.8407773900631845, -1.5334215240197742, -0.6451342520845937, 2.113145785914045, -1.5186075220051263, 2.593369599595098, 1.949721431988974, 0.7617459439529901, 0.01114334632373134, 3.030852642133529, 0.4770898068272799, -3.2244307699351116, -0.2962034150095456, 1.954511374705902]
3;-1.100581292;21.448452100041322;[1.4231352560982864, -2.3089010003377783, -0.06562464774029983, 1.8982124607062256, 0.44831788841687886, 0.7209959836065623, -0.6986489322150896, -3.4099050002331257, -1.0283758586040308, 2.1074377855791004, 1.419786397074221, -2.647731934408032, 1.5902852723516758, 2.9852130249178126, 2.604794097974588, -1.8211609950247791]
4;-1.110335488;22.200925400014967;[-0.8810868873953704, 2.0348055098845856, -1.4496081995501149, -1.1697952973449115, -2.261873966923797, 1.9401382751922795, -2.531170460714495, -1.4528827378825562, 1.1465070728005349, -0.39605426224890083, 1.8320234527654162, 1.4479228366835004, -0.1869817882619405, 2.66337522899156, -1.3675903308989614, -2.524635429479204]
5;-1.0865872760000002;19.558750999975018;[3.1950557877965213, -2.435973074064006, -0.8646792030766436, 1.4888638922408557, 2.6865474012083057, -1.9941613956177726, -0.48512390315397863, 2.1518710068798343, -1.4313088371367466, 0.9722416542717949, -1.1919424684084217, 2.0871895421157496, -2.3828986163756367, 1.1053192677728365, 1.4573626212099016, -1.8886355603213691]
6;-1.0987677839999999;21.45190919993911;[-2.074415469391127, 2.9670078497930192, 2.02493998413346, 1.319444060790503, -2.1275569704395565, 0.7770796945267977, -0.5971912917877278, 0.9931384637836711, 2.2697598481131767, 0.09444937060868208, 1.026275690320747, -0.7426338361422338, -2.3815279492692154, -1.0430747055718046, 1.7753243350574164, -0.2044832436290854]
7;-1.076852964;22.719932800042443;[-0.9379988084825159, 2.967024385715996, -2.0877493921770647, -0.9349526326777426, -2.3425061555434077, 2.1290661368455583, 2.15648428338914, 0.9018544444503342, 1.099399778355295, -0.35691016726390357, -0.4037357487951101, -0.4956961997995758, 1.821249723004463, -1.4834720454397972, 3.272308221857361, 0.39647302073853696]
8;-1.0438250159999998;21.171286400058307;[2.290351503612338, -2.9421365684702128, 2.7398924678429455, 3.459874088727801, 2.0931879682394343, 1.3483977020276958, 1.6994284733719802, 1.4293378795203096, -0.36916313305300646, -0.5090703197238263, 2.7343014785369406, -2.1894266102317874, -1.2413162619431517, 1.5034524078412104, -1.681010788777867, 0.525841713739521]
9;-1.1399037319999998;21.37612619996071;[-0.95828543400009, 2.6213898736595986, -2.139852229758214, -1.5341356184135884, -0.9104962153047385, 2.179462765466183, 0.18410205702337692, -2.292155792872585, -1.0129383994581642, 1.668207786671938, -1.0742793184397812, -2.1367339108479864, 0.6810139895262058, -2.68188124671061, -2.11067734765381, 0.30649108065222]
10;-1.063946616;19.852731499937363;[1.9596686253448272, -0.697551121092268, 3.250489902551409, 1.8227743244963792, -1.848877219651967, 1.4469712827233598, -0.5772582992945525, 1.443736715600282, -0.7404845848665015, -0.13237164973306334, -1.4688584994107399, 1.392326173009762, 3.1817096512526355, -1.1207207016853746, 1.5074327428776675, 2.4117312485729645]
11;-1.100706532;23.7855864999583;[-0.98452323858117, -1.6533989437115997, 2.217651666235815, -1.7806634608724907, -2.0836551727998542, 2.3112446370924675, -0.6240941904618781, -2.591951208052361, -2.0840131213015867, -0.5629475762938753, 0.08476687816939239, -2.9311927816805237, -2.7894641766879333, 0.736027207584891, 2.566599641143143, 1.7844916272578397]
12;-1.1142905959999998;23.770728399977088;[-0.1313837706153426, -1.839280290739494, 0.820835159725101, -1.4926387187563204, -0.7803978665616784, -2.6363845586101875, -1.5138544166756633, -0.034405157901704696, -2.7157014795721253, 1.1762711739682574, 0.4258073930139852, -1.971300687070711, 3.5640641769215207, 3.598678545233545, -3.406677235689063, -2.700359745752861]
13;-1.063358272;22.66750250000041;[-1.1477716622873393, 1.5378072483935334, -0.9126179005296062, 2.021121758275641, -1.4697811555186944, -1.65590068724284, 2.5637947445383276, 1.742287134428454, 3.867057238043373, -1.8591011649621816, -1.3057645722898064, 1.804117512268389, -1.0593336099368322, -1.2873930835038292, 1.8975110116676694, -0.0025992474383881078]
14;-1.0477850760000003;23.150993200019002;[2.9005746482360997, 0.26588385095994954, 2.9319613769642086, 4.229808407838039, 2.1434430600368843, 0.34379613534572245, -3.1140843674004257, 1.9603644550815977, 0.05011313009674974, 0.8617462932638652, 1.4872685885545471, -1.5560910932072392, -2.9613226186576576, 2.2025541237330697, -1.5198320664893563, 0.5181823554074528]
15;-1.101217944;21.849358599982224;[-2.9849436114828083, -3.0230967149353463, -2.9984533895510057, 3.054387428872547, -2.909669152912994, -3.093200965072897, 2.4540591685425253, 1.997013613309087, -0.03640037901928918, 0.23833330407144468, 1.592153178667468, 3.610995830113835, 1.8011200595855945, 0.06943645624217501, 0.9536061181254273, 1.803699955791942]
16;-1.0161758600000002;23.015288900001906;[-2.1718243082759954, -1.9497280391037537, -1.6634783019873978, 4.82099324114246, -0.057553121420840195, 3.489325375830199, -2.9050770475380268, -3.0032708779661745, -1.0754853571176304, -0.7098207719207026, 0.16701719782419577, 0.02562282171821671, 0.6737580151280778, 2.4327380928062814, -1.3564524668004552, 2.6986755332558405]
