run;final_energy;time;best_position
1;-1.0721018426666675;127.03678860003129;[2.0490877729847314, -0.12036633704802223, 2.5178426882517533, 1.7968007441510507, -2.762843428582207, 3.720925463384532, 1.8192315835189805, 2.337916970863825, -1.5634828898500637, -0.355674285524478, 0.4171333394881987, 2.2517068217661342, 0.9820425296453886, 2.1007540377471448, -0.446236034026435, -1.6726505874708766]
2;-1.0273141720000003;130.35707839997485;[1.4656615981872565, -0.17677608356260416, 3.1674218201709383, -1.554560225346502, -0.7239850979381222, 1.7380127315064242, -1.2047292776999876, 2.4927839676364645, 1.878195637660376, 1.4934092694073746, 0.31178892600835983, 2.854302247109868, 0.6112065369789174, -3.1787270565657524, -0.3639636444244237, 1.9484074960792481]
3;-1.0850753320000004;120.48901139991358;[1.4993472774621401, -1.8993894436892294, -0.4200400750739771, 1.8691571262375837, 0.7339100509687473, 0.561211082377303, -0.4727955277103757, -3.15678891181509, -1.5430732360135841, 2.1416536946853237, 1.3573822243300198, -2.7488702859129535, 0.8444818864802938, 3.3782828101852354, 2.202316851170037, -1.7923797267052617]
4;-1.102928476;127.22904999996535;[-0.18002445433914754, 1.617486585228191, -1.42644937809147, -1.483568755170852, -2.3754403528442323, 1.348408567125896, -1.7787211230091176, -1.3584177255594136, 1.3041044059187965, -0.11477983886202735, 1.656883267148292, 1.5844863637376683, 0.19259916447982417, 2.565272319068472, -1.781715350471784, -1.8764509056554062]
5;-1.090335648;122.00280090002343;[3.8894626204830507, -2.9375214682904236, -0.5385862018162921, 1.593337021679671, 2.967374632601566, -2.0154316512158728, -0.4675880156433688, 2.219987720393675, -1.0708548104263498, 1.0182050137975251, -1.1981203600399288, 2.3347056210690917, -1.4920418563130755, 1.0299282996321288, 0.9806477663247588, -2.520173690449356]
6;-1.0873362626666672;123.3741831999505;[-2.114014671299482, 3.169353297554394, 1.6871505381889214, 1.1365782723601208, -2.8924669623097516, 0.6257931336856934, -0.2312311383314921, 0.9959267821359126, 1.2890420033167564, 0.30090639507324146, 1.0741091638777427, -0.7429841783479717, -1.17395793929227, -0.7575538877590151, 1.9141928632942893, -0.134359059788134]
7;-1.0603375786666671;123.4174935000483;[-0.426371125123159, 1.9060789286236408, -2.3733374845345545, -1.4731711761799995, -2.677775935404851, 1.2764280401096235, 1.9998082010885236, 0.6006889888464294, 0.41797190292013864, -1.204227366007943, 0.6055199904735183, -0.5344873921363734, 2.6069063117597424, -1.0905348873321412, 3.6533261885709023, 0.39290723868984145]
8;-1.0333591053333335;127.98358140001073;[2.397922432832749, -2.8490392930147515, 2.687730376492631, 2.9973345684858512, 1.6412157942103802, 1.6362243542681902, 1.7417218295519812, 1.2487011179689387, 0.4868424285859274, -0.24492323778480307, 2.8580988622807784, -2.29255676900713, -1.3556130800105965, 1.5557739512436897, -1.7520902630455693, 0.36877882424186725]
9;-1.1283422906666667;127.01433759997599;[-0.27546199496860085, 2.486800629567862, -2.0291832356329147, -1.4959985894127497, -1.157949223721146, 0.8267795379641032, 0.23715157833569217, -1.752996436319684, -1.2415272733704885, 1.5820221489565238, -0.7906569923530778, -2.2954360683278354, 1.1975498477400992, -3.0203589004257068, -1.6743336722978053, 0.09722592234357463]
10;-1.038473154666667;126.63723969995044;[1.999603596319189, -0.237397788963765, 3.1971973951136747, 2.0720390113913654, -2.2840998041404723, 1.5243572216927506, -0.6042983720128697, 1.2046899284555186, -0.3590377936527498, 0.24146161321770807, -1.1842513462643203, 1.848438968666118, 3.094326669590429, -1.4635933075706498, 1.787501013816335, 2.7175707275170216]
