run;final_energy;time;best_position
1;-1.1898225819233017;127.4894859000342;[1.08136222516826, 0.751221379915236, 1.5531079515279766, 1.5654858910209641, -2.5164127002903856, 3.5409815839650562, 3.438206620848921, 3.1488652354881914, -1.5575128126761244, 0.5613325253454527, 0.16231486176504403, 3.130600505620194, 1.040849317403004, 1.8211853128803364, 1.7835607630851642, -1.5640908271321494]
2;-1.178580178379305;127.19619879999664;[0.28002885405833244, 0.296718293311792, 3.18006243041958, -2.077609337824332, -0.7735856732693851, 1.470162758455754, -1.5829299732472566, 2.575170031785854, 1.9294147175627714, 0.06896165860270759, 0.36580141359359863, 3.355897091403008, 1.1782548850742773, -4.724245132597425, -1.615449285159361, 1.558719453302815]
3;-1.187208062013964;127.22569069999736;[0.5550597326927472, -0.809758796780722, 0.1459189099670281, 1.4745493607332458, 0.7249673346876521, 1.565294474559571, -1.460303262396578, -4.806062249014869, -0.481644144329432, 1.7242317620208363, 1.608303272585627, -1.4723177482638268, 1.9574564191407033, 2.759469324811951, 1.7018533864223155, -0.940890475655585]
4;-1.1833379218056952;127.2274000000325;[0.1645832359053297, 2.772693961128639, -1.8289966809798666, -1.5699357240596215, -1.4636354861838434, 1.113776770179073, -2.8634582597742, -1.8756540681972842, 1.735434425840928, 1.7033943018256354, 1.5751274358337886, 1.5966328870029551, -0.30485207793542285, 3.1765161065973286, -1.8726828968329483, -3.2086932939484787]
5;-1.180789664628001;127.4166133000399;[3.1991476945210877, -3.452339362166022, -0.994613774053296, 1.567233087614116, 2.304161254024806, -1.1781101263705338, -0.4970062090051028, 1.4300221415094139, -0.8253341461290808, 1.6238123387343442, -1.576125791675279, 1.5867483330083276, -2.4001230452784337, -0.09194703833393579, 1.7239257772759022, -3.2880187854005234]
6;-1.1834429975418561;127.27738770004362;[-1.2229762310173047, 3.295002844884483, 1.4499790959431536, 1.5719616891291224, -1.6304551376054863, 1.465078406306605, -0.8757288081677653, 1.4415144823021984, 1.683312309912668, 0.5507888821660123, 1.5890304961920048, -1.4880809957180863, -1.1095532228635123, 0.2785502200020862, 1.6846335835841681, -0.8222779005954435]
7;-1.189732865541975;127.32351850002306;[-0.8766896555210212, 1.635032546602293, -1.7019483998523939, -1.569353588243628, -2.3127156539044007, 2.8853580768078895, 3.0038029640091115, -0.00043134373660000733, 0.0201608390178457, 0.22241595401007994, 0.17032138896895452, -0.006428707568386984, 1.933939163428608, -1.6616595066835422, 4.586159590573369, 1.564369649257032]
8;-1.189017862953756;127.45414909999818;[1.6562579377415485, -2.2265458892687136, 0.33713467132327635, 4.736327484091724, 1.6298006658627182, 1.5688579627552819, 1.517990127995222, 1.5807532564755788, 0.7055620755138055, 0.5041814964041627, 1.5472755125490922, -1.5862309366120075, -1.0621014717524466, 1.3353645259763243, -1.590019614448628, 1.49827069934018]
9;-1.1884673194492879;127.51188860001275;[0.06197758176262621, 2.3332234308265978, -1.539631691602594, -1.5709646507660664, -1.469287337033932, 1.0978454286341863, -0.02825450407981987, -1.9211033382268061, -1.4136353635776582, 1.4732319457420562, -1.5770223828748917, -1.5551533356544065, 0.5025148908960188, -3.1317625233712914, -1.9191804114413828, -0.020010757765615384]
10;-1.1805615805269585;127.39276550000068;[2.9283878672864705, -0.11701586103521426, 5.059476523783872, 1.57224643124113, -1.626610354902568, 1.715341345373254, 0.37629735521940805, 1.4305746569933095, -1.6070473469696447, -1.3782842431466205, -1.5689427808750265, 1.5861434006480026, 2.571893134411748, -0.04494181743902288, 1.7213448403547247, 3.0512553692686404]
11;-1.1903401764261776;127.58186819998082;[-0.003226026983186344, -2.3388582985874327, 1.8989551720872944, -1.5740092821525202, -0.005524596341325248, 3.271606678568958, -0.16281687829826075, -3.1565032687071883, -3.165018214631052, -0.5707596717775547, -0.2463159089450546, -3.131175559434162, -2.6641783498402374, 1.390763618101939, 1.658163553141614, 1.5636439597855742]
12;-1.1860365140930595;127.4927787000197;[0.0021980818283629886, -0.07886380840878868, -0.18140926174429844, -1.1327980032977762, -3.565733790012235e-05, -0.3441064350448955, -1.0816925317073625, 0.3750808782470546, -3.141748687186549, 2.843443409874662, -0.9211845375535127, -1.7559654928188049, 3.1315855415339238, 3.4994520343600963, -3.8194755605928576, -3.399866865434757]
13;-1.186907747490411;127.61653150001075;[-0.0996554938796602, 1.0606101445118379, -1.5963375606603951, 1.5705414374705078, -1.3234832766251738, -0.4107907652474232, 3.1044381872782676, 1.789589348280919, 4.876737041972004, -1.639634383402617, -1.565846904072463, 1.5603924305556685, -1.2164528387914177, 0.01166370062534499, 1.7882512980610292, 0.01653599333169194]
14;-1.1874943270616378;127.38690869999118;[2.9441208281092677, -0.5141401947302129, 4.584571242151897, 4.7131611774495, 1.615680842720892, -0.5017447889757769, -3.007854523626425, 1.7879947300320962, 1.4017193213594195, 1.4850105310244814, 1.5679008556976288, -1.5759095230974665, -3.031561026829267, 3.1594276072804046, -1.7981357666447402, 0.03954739866314512]
