run;final_energy;time;best_position
1;-1.1838552874180883;437.3688103000168;[1.584862909948161, 0.041321484123829584, 1.5660204815450265, 1.5192348212244866, -2.699060187815305, 3.584593234505908, 3.4231351187013854, 2.762336550302616, -1.524236265687688, -0.012115011767086683, 0.028451943668217863, 3.0870370359278874, 0.6945166972821901, 3.1255896275790898, 1.8235799666491943, -1.169023696604691]
2;-1.1865645984775646;420.57808320003096;[0.3915013418122894, 0.2900219494419658, 4.315350913500768, -1.5730322996217807, -0.9586049628096248, 1.5251121144172555, -0.4596710964319959, 3.1428761030360457, 2.046616885081775, 0.3041960882794104, 0.22793483160619635, 3.1483510939471753, 1.3470823722884462, -4.650853711243898, -1.6038755333026309, 1.5653190361569276]
3;-1.18513932271852;442.1235716000665;[1.2093408366702805, -1.3870814988342095, 0.39572124122506835, 1.5588726433250981, 1.195951598899677, 1.4950307275723997, -1.4774254201517338, -4.691957252842427, -0.12539295825722183, 1.9520797966485801, 1.5662141316013687, -1.588000475593335, 1.4656221805661054, 2.408867195994315, 1.5977900539454999, -1.5134694155192676]
4;-1.1832828575684649;426.18983639997896;[0.0953252038918133, 2.6489807000225674, -1.7044418878474508, -1.5703023646389618, -1.462900796857101, 1.126529470363255, -2.9952879125344185, -1.870335966309684, 1.7243637211482399, 1.6628716691489578, 1.575493725141945, 1.5879165317983492, -0.782922469886926, 3.162067246421331, -1.8679058961049129, -3.1747927348599503]
5;-1.1797170684805534;428.6493592999177;[3.2169558900846065, -2.9952457854979144, -1.1778067487699804, 1.569803928184544, 2.6861371904149585, -1.89952673299536, -0.46747009563517955, 1.4407740773645346, -0.4729057929564832, 1.3727051422135874, -1.5653667448960757, 1.5735574135483084, -2.4363031423671506, -0.04459168125714068, 1.7129717836727454, -3.1274052564368398]
6;-1.184917049496196;431.56535619997885;[-2.558832914943418, 2.9120825942164914, 2.044839305138787, 1.571785898470193, -1.6799201686692893, 1.3422472946507553, -0.609008602025656, 1.4191097775760664, 1.5694070816657455, -1.100944087545903, 1.5804055916161142, -1.5289295652272754, -0.8192629451360389, 0.030781444837796667, 1.7278735218953327, -0.33244769817712166]
7;-1.1895556033100376;435.37687130004633;[-1.1624710803321117, 1.7732776536121335, -1.6553833257753332, -1.5681985045683093, -2.238063095678424, 2.7919756371866256, 2.97522123870417, 0.0004915181334319002, 0.28923225604628, 0.3548796988390378, 0.15091697388587813, -0.007381452265619799, 1.8718053633857876, -1.7288906612788515, 4.566182380153848, 1.5649321164602221]
8;-1.177843504082187;437.90186630003154;[3.1377289089883855, -3.076200192195646, 3.006249774985416, 3.2594088073765186, 3.104024326342186, 0.46090978947180916, 2.100235107125976, 1.5958842489208904, 0.11151679446567059, 2.088586436740071, 2.660786115470749, -2.9545633205581767, -0.33982545586534707, 1.2890901803777828, -1.7981940587747098, 1.5287778054236347]
9;-1.1883647813747467;416.68224489991553;[-0.13195265945109988, 2.237501995494115, -1.5725869238789258, -1.5708811880494666, -1.3051405300000116, 1.2785893254559881, 0.014129820300769598, -1.9077151632645033, -1.36833660792946, 1.5288163899188676, -1.5784276028602817, -1.5556833530491225, 1.4454646193920064, -3.1361130548672183, -1.9058380235421422, -0.013224654178631109]
10;-1.1797224264571489;417.78657290001865;[2.3650362294283624, -0.6866244628874384, 5.17329911608137, 1.5743847883593634, -1.3657450347934055, 1.9162400566025712, 0.6096719083189727, 1.4582586676185958, -1.0061458844991693, -0.9590430738398396, -1.5833378813593557, 1.6156700693594692, 3.410304790454414, -0.03951103419002263, 1.6911470807770805, 2.636696362372259]
