run;final_energy;time;best_position
1;-0.98197536;25.939027599990368;[1.5919470098290376, 0.006042220808112404, 2.4018119036035426, 1.5787758668915832, -2.6062650392612614, 3.9738310720741197, 1.43427188398445, 2.4786203478505873, -1.5165649589917378, -0.5611165160133507, -0.2153141710399076, 3.0041217687170456, 0.9890457685585435, 2.8197710661794466, 0.16934135728648894, -0.9334364484882369]
2;-0.9124180120000001;23.74221990001388;[1.694252302141873, -0.2609627268053891, 2.536239533066309, -1.2266708871012133, -0.7657090741848772, 2.1510257047355936, -1.4664713887103653, 2.3801877300125285, 2.2638506151961573, 0.7710978352689795, 0.5437893940758164, 2.5907753001643723, 0.39786159511983393, -3.135750712629568, -0.12211461310492938, 2.3033552743258245]
3;-1.0013731000000001;25.92879619996529;[0.8702167455849773, -1.5535141027690915, -1.1490192231526215, 1.921124911211711, 0.7614476824225576, 1.3215334927067324, -0.891389145637549, -3.4911384309867746, -0.27962006167739, 2.5613583084928493, 0.5729189333974691, -2.5639129724177754, 1.2962814614775051, 2.7621296278867744, 2.1008727984334143, -1.5543835232679777]
4;-0.9581296240000001;24.519587100017816;[-0.49628710291353595, 1.8788191360708069, -2.1656833486832805, -1.6233127035094113, -2.2991768955168737, 1.3135768142658069, -1.9951625823269508, -0.9195090183719261, 1.3152085934898714, -0.3239875628414139, 1.7919574189675727, 2.2435136446161947, -0.6893642788384573, 2.1937069605749717, -1.5889875271213738, -2.2507042133615762]
5;-0.966277264;23.824139300035313;[2.9647142768845844, -2.8196165982181847, -0.5089566614314174, 1.196641276690925, 2.611347557496762, -2.1530653487575835, -0.6407809353082636, 2.225584379833212, -1.3711320685790933, 0.6341204405866967, -1.1087683417376006, 1.9728140731405168, -2.418440837671938, 0.8869298667022972, 1.3806727420711333, -1.9991950941669103]
6;-1.005368212;26.147962299990468;[-1.6511686489723536, 3.153711006201366, 1.886696910905684, 0.7379618542021038, -2.9383445402460358, 0.2302803887802671, 0.18266430394898361, 0.9504561055326098, 1.5060460249918528, 0.07283978359037029, 1.7450824710715902, -1.1422355978272802, -1.988117106014257, -0.8428842235311009, 2.2076701140148622, 0.33369428347083896]
7;-0.953693384;25.552720599924214;[-0.48881985622011265, 2.1657912205547896, -2.5503735023457232, -1.8380854486543228, -2.184937203167779, 1.7033761495813935, 2.0840559198983497, 0.5153114277067228, 0.5009507070058705, -1.160937087885678, 0.6634004927784758, -0.22599243161483962, 2.5107496193863796, -0.7705936448455268, 3.485372132441596, 0.8401188490378053]
8;-0.93874034;22.15186830004677;[2.3632176541576224, -3.079842117403252, 2.8425218495726177, 3.24460285527106, 1.9534570555303863, 1.5088230602113617, 1.7313090930456245, 1.2446956641388307, -0.6373737754491764, -0.8082068372905694, 2.8528333459082393, -2.10940792051399, -1.1493745347994426, 1.5774569025845064, -1.5695082096852222, 0.6559403189238909]
9;-1.020124752;23.968746299971826;[-0.6794517351209038, 2.6230675666836314, -1.6512125204705317, -1.6369998494295717, -0.7111433151984529, 2.0383442256601563, 0.18994264218313922, -1.7216443364419964, -0.674313141045002, 1.3479784660349785, -1.4563461644315998, -1.7647856161418685, 0.681598197767531, -2.6334253820887508, -1.6692265903235664, 0.2169343358100474]
10;-0.9689728479999999;26.1749170999974;[3.1538204311734668, -0.7885032119614246, 2.9765390428610106, 1.9142594855939503, -1.8660378022618864, 1.4665829828470334, -1.1167439690519636, 1.293244633374925, -0.19082791851174793, -0.05884983611928628, -1.7390424252115846, 1.3127357010219278, 3.898258018287988, -0.9464173774956234, 1.6921749402855952, 2.4599892230582676]
11;-0.948729964;24.078013699967414;[-0.6247462183143786, -1.378081678214351, 2.2537182335190358, -1.4555295737213698, -1.8115478101570852, 2.557061476632909, 0.1821954301989868, -2.0535550674001612, -2.7482030802480133, -1.212237452738858, 0.6978871598121902, -2.2480818323106813, -2.6695537614440465, 0.5769572445213861, 2.2908282361576964, 1.9539906744428819]
12;-0.9840152040000001;23.791424899944104;[-0.20949992442488702, -1.8093755543546233, 0.020284247990207463, -1.6960027079242164, -0.7801647753451744, -2.0150549325274563, -0.9718305358311026, -0.2606225758932847, -3.024134021917852, 1.3039090856417332, 0.1380809556627392, -1.9716450522985214, 2.6024599583511017, 2.9663453976418994, -3.0832279429531595, -2.720798937856421]
13;-0.99335312;26.663070100010373;[-0.7821898339058994, 1.5204612945412281, -0.7330433951104597, 1.4597228249826344, -1.5179308312208013, -1.04038059284212, 2.8960546780096483, 1.5064728168989314, 3.7529324615717807, -2.2256984541759324, -1.8460240512247819, 1.791039229267889, -2.03168509052716, -1.2623786681604054, 1.6832033634121373, 0.6793845917953129]
14;-0.923538636;25.292886999901384;[2.511635456352022, 0.7952180863752818, 3.4260353660695744, 4.827720789341194, 1.0727173540384218, -0.4725170681039473, -2.116902727050359, 1.401466401639529, -0.3757677200452271, 1.1981069027211135, 1.8114986612690256, -1.5199261514677895, -2.4125549179705157, 2.6987271633048358, -1.5171361476153233, -0.9482928177029282]
15;-0.9053775199999999;26.195145800011232;[-0.9884225254137937, -2.000350634889683, -1.7997419071844658, 1.9078423759900833, -3.0718400920382796, -2.8837781686417254, 2.9109164433300605, 2.4015152795472376, 0.32973123902583307, -0.06261356308387164, 2.6121455780624316, 3.484070588434056, 2.161830013558463, 0.7551409128803228, 1.898638939800016, 0.9180337294478577]
16;-0.919623588;25.411058100056835;[-2.1066120888018465, -1.5521377228312743, -1.6460412036484642, 4.617984717088999, -0.2927315569646117, 2.6353320493354975, -2.709415965955041, -3.007316021961131, -1.240544734594606, -0.8607788793067976, 0.49348065458659235, 0.05142053767622613, 0.7296735878708019, 2.607822501859906, -0.9457382695119145, 2.2920890905930635]
17;-0.996263396;26.51207020005677;[0.5290615800827912, -0.294186206403536, 1.416909505507504, 1.9369718751158949, 0.9810290979386739, 1.2946757310515122, 0.012353743906255587, 2.7919815192214092, 1.7358785320373527, -3.0487846321297063, 0.1746768922352471, -0.3911397619172902, -1.1896273886211033, 1.083609406230344, 1.723840940164139, 1.4322370429386109]
