run;final_energy;time;best_position
1;-1.0939569033067595;184.7797740000533;[0.22671281814019698, -0.16699595267537984, 1.2863566901015349, 1.569337188889684, -2.2273393585817174, 4.683718754260237, 3.518976051002741, 3.147434917400946, -2.2254926080065847, 0.28801148500398677, 0.10731099373457054, 3.136250394063544, 0.6391908649471578, 1.7539530510143564, 1.6466824301784257, -1.5659487834430519]
2;-1.094051939364062;184.46094579994678;[-0.10290546377982471, -0.027985092159288766, 5.10249758704088, -1.570193880945942, -1.3246523384246638, 1.5603009399108314, 0.28208445941754273, 3.135371321444855, 1.3217784656807658, -0.07591528984258544, 0.04017757274956197, 3.147233214437497, 0.1445953284080494, -4.763869966065022, -1.6972808837941382, 1.565630501160735]
3;-1.0830034173430092;184.6280715999892;[0.333967408004326, -0.8513128371734657, 0.6843799037352494, 1.55203834498935, 0.37307311451156133, 0.715297559670759, -0.9319575342252446, -4.7549556418714385, -1.4308868521580989, 2.2802920750894153, 1.584955798405317, -1.5173589487738404, 1.9294917948865613, 1.5428425685752152, 1.5944354783194996, -1.4015985544056053]
4;-1.0820100728613706;184.5220511999214;[-0.05190914653497718, 2.5857894261807624, -1.602578043422082, -1.570706745313645, -1.469348651136714, 1.7892419768443648, -3.096372226795359, -1.7040805986041532, 1.677768308494384, 1.6039254831745804, 1.5724699247677432, 1.5744971493213404, -0.7373377396246452, 3.1498449312907124, -1.7036364862739142, -3.1495419088291365]
5;-1.0798009924598633;184.62963940005284;[3.2357154684606395, -2.9953726278435457, -1.5751749303549054, 1.5709322498468707, 2.5821114867492825, -1.6080168077807742, -0.0026750267040708247, 1.4898819079463692, -0.5633118436513589, 1.617346133847247, -1.5694283838610232, 1.5735787638273109, -2.0736024291024773, -0.0029020577508737707, 1.6620860043479182, -3.1500305376177304]
6;-1.0843855495285626;184.73949670000002;[-0.06340565434866058, 3.6140781137963702, 1.501228371618918, 1.5712387009409237, -1.560231184566798, 1.1390774254719505, -0.06599495594677358, 1.4699256656451456, 1.6146383455889468, 1.5110810206273977, 1.570170821073908, -1.5675972974011023, -2.3619824902346256, -0.0046732723382572365, 1.6813811735328124, -0.014456619173955614]
7;-1.092909557998957;184.91917850007303;[-0.9839398004523138, 1.578155205961494, -1.6544349752418206, -1.5700539905976048, -2.1673361957733683, 2.8971487793258364, 3.0566141890213765, -0.002080251722974802, 0.00022059948502781672, 0.22271672770973042, 0.10950715096651926, -0.004534449613228659, 2.238185119406351, -1.7114934710761176, 4.627199699605761, 1.565678825675067]
8;-1.0842578076835698;184.99769509991165;[3.14142030439282, -3.1094454222733408, 3.130760619157774, 3.182321718934484, 3.136853860146964, 1.2521819031160877, 1.6919565005944603, 1.6101504011325785, 0.005907919447449075, 2.8291792852049813, 3.090482291157617, -3.104893861764533, -0.3408745425738132, 1.3679756780172034, -1.6915904110678657, 1.562520109883143]
9;-1.0854173476201239;184.86685380002018;[-0.09410553363960494, 2.269275724809595, -1.585410685075069, -1.5708141291114466, -1.4446687398353095, 1.6697050629222783, 0.02144875498711436, -1.711134960050838, -1.4701940283992734, 1.5456686431364348, -1.5726926558093992, -1.5666234632580471, 0.95663477016371, -3.13477838328797, -1.7107291667106512, -0.00800679830056636]
10;-1.0798253041515027;184.88759830000345;[2.9723067846772304, -1.3031215886332244, 4.687421434393966, 1.570741486873096, -1.861182016390314, 2.8118207794966854, -0.01644283814965989, 1.4934004574904753, -1.7005977758558752, -1.5319594254642093, -1.5695233276715552, 1.5734913198918614, 3.228672436422251, 0.005267490263994307, 1.6582971373481517, 3.131189241763288]
