run;final_energy;time;best_position
1;-1.070919468;29.492298000026494;[1.7031850083607476, -0.5579277169889376, 2.7531123053958404, 1.8577086325971497, -2.7274222452125376, 3.855346181181326, 1.6391318610771795, 2.683074808308973, -1.663652810626924, -0.6940070296083668, -0.2693268115399847, 2.8607680156116553, 1.2816698470665269, 2.5805475982076174, 0.011485784851386242, -1.4992737940907737]
2;-0.962939868;24.256957900011912;[1.6947067737221597, -0.2492133651624379, 2.5147409853148943, -1.312619304460436, -0.820447802268519, 2.084416331687458, -1.4798060356376563, 2.3765726922271253, 2.3049898789260235, 0.8235153505747715, 0.37853899912290234, 2.6398124333260125, 0.35294803926012625, -3.1183164145379934, -0.04233988236496528, 2.3354849298535263]
3;-1.0273847639999998;26.68524909997359;[1.6618113407777382, -2.5601481687504304, -0.04310483573778204, 2.0509589772666783, 0.5651371635159026, 1.2094337812184393, -0.13839026614320507, -3.46647875660676, -1.5956974503038421, 2.5652253301975843, 1.3986222549958918, -2.83374295148958, 2.081027272169415, 2.5063939666086927, 2.6836812494944047, -2.078779603719271]
4;-1.0991513;27.460864699911326;[-0.9429409150636767, 2.512470948788209, -1.483846130466631, -1.5650846121024973, -1.5988941777171835, 1.375103326115552, -1.726070106012193, -1.6001675492711447, 1.1544980791872115, 0.6113160653551967, 1.6564056675583716, 1.7324676704146866, 0.03803832555626589, 1.9599232981233103, -1.495941510265286, -2.1733602614581593]
5;-1.084772284;26.362002999987453;[3.248426005994466, -2.291834804842663, -1.0241507735593405, 1.5746102854846598, 2.1189331062498398, -1.8925089914918671, -1.2640465780212085, 2.4119154533906713, -1.2909705042748651, 0.9919198522406256, -1.0418290923748388, 2.393089130883087, -1.3724295574354812, 1.8228737315477181, 0.8722789680802362, -2.1470385030901276]
6;-1.0633260400000002;26.386022499995306;[-1.666392308365963, 2.7121976727412673, 2.2018809481950883, 1.338070061325029, -2.411697194729808, 0.5695020065955225, 0.03891378577650116, 0.8136880988523886, 1.3550214521673491, 0.21145657672533946, 0.7550644398984505, -0.4988956933695112, -1.9226566801167937, -0.6846431976176297, 2.2141471384914797, -0.14980675238539032]
7;-0.958884552;24.21572980005294;[-0.3968775371817286, 1.8032287806416125, -2.3374952424951303, -1.3782681729648, -2.3854603643563075, 1.2949547549618976, 1.840813169501982, 0.5279572731637514, 0.5639968967510844, -1.3384385343417113, 0.6486526144499332, -0.7208699221172437, 2.6178211785431533, -1.2444342127639323, 3.82721062873639, 0.4062071672722078]
8;-1.027116368;25.521876799990423;[2.468662431124825, -2.6376489561468937, 2.524163294447441, 2.7745229894095242, 2.4390636222087636, 1.0364986848168218, 1.9407029816234196, 0.8956634289781792, 0.4654119702013353, -0.9127186662104111, 3.139447316682713, -2.322607940181601, 0.07687496608813932, 2.102484727808094, -1.420021944192806, 1.0195685773713319]
9;-1.094274532;25.88119770004414;[-0.4616194331893845, 2.4135512845539933, -2.5004538489478616, -1.589268974255067, -0.9532348035954494, 1.9890542096057897, 0.2949648291701663, -1.8769751142816162, -1.4606261581937445, 1.2737770361791378, -1.061641760480086, -2.062134444061295, 0.5236960066116739, -2.7878919459984792, -2.065389034676647, -0.1398222754093095]
10;-1.093337072;26.797107599908486;[2.387341323665261, -0.2086701315671836, 3.949474494521761, 1.6977866635922048, -1.663493254936246, 0.8564851664247876, -0.37256685306303533, 1.3376504036412626, -1.2357015644360458, -0.38640456902459985, -1.4322571980114165, 1.6905648751613334, 3.5888947891031915, -0.4583022376257199, 1.7475197930941246, 3.0516044081951277]
11;-1.01708082;27.76365119998809;[-0.046804056002184305, -1.2395744074625064, 2.4242786799703926, -1.5701327038297743, -1.7664302670659346, 2.2957352429031284, -0.37982509038462964, -2.1499708722585993, -2.16881419667827, -0.6787286489686262, 0.46235703471701045, -2.6180925192191085, -3.131078533763922, 0.0449533529842926, 2.4881948586005476, 1.8651339737375998]
12;-1.00056024;24.71249229996465;[0.10776143492977763, -2.01365833092295, 0.2046888118737941, -1.593923260354449, -0.5563940083126434, -2.2570860807642203, -0.6525692169744008, -0.3242674710307939, -2.7744853976572275, 1.0688206452185878, 0.09826184260132759, -1.9381594057002633, 2.9098822028072058, 3.522762594374223, -2.4099206130714204, -2.1904005332316205]
13;-1.081631404;26.397133100079373;[-0.788912346597064, 1.7179719926214132, -0.9908797820145522, 1.8148614012919537, -1.3011889091718445, -1.1377176040870667, 3.0138993734487602, 1.740095126510159, 3.9741931282920726, -1.757236522248329, -1.6637498013009424, 1.8312866932452476, -1.0790825026552633, -1.3891671420636806, 1.6890103620047985, 0.05106545403843683]
14;-1.090667168;30.129870400065556;[2.236398902102784, 1.2330429859046708, 3.7193446969412887, 4.44591275437866, 1.1311267523557296, 0.5864705849557789, -2.6674071213890396, 1.8372769841984813, 0.0013889119390993665, 1.2546986769438746, 1.6793157891193435, -1.352059705888338, -2.269490109864708, 2.4211468424463525, -1.678922371767333, -0.7925948879734328]
15;-1.082473888;24.552530199987814;[-2.9592057177901485, -3.162420184552217, -3.278505458025632, 3.4413899115371334, -2.7232159063833974, -2.8796667305436063, 2.5396792377382966, 1.7895801596216003, 0.44777104915040067, 0.6552404017039681, 1.7887823636720466, 3.350155681324103, 1.7121004599983796, 0.7705472893879489, 0.6262421466966835, 1.8547889855426667]
16;-1.0275019;28.92901829991024;[-1.498225582906586, -1.6746832072117246, -1.3987642408594312, 4.743453273408067, -0.1276642591953575, 2.153091051393704, -3.1493117905993833, -1.4694615206901647, -0.6826255192192829, -0.6769597284243677, 0.41680609746282754, 0.4478835275514315, -0.05942407393289065, 2.0621811750835803, -1.5655960598077998, 0.7938868503303511]
17;-1.0959991520000003;27.097884500049986;[-0.08559588489595439, -0.11016452222835202, 1.3352274919998048, 1.8133842219142333, 0.42436445650346194, 1.03371864505445, -0.13443206884728554, 3.256885556532375, 2.1538849497620354, -2.993034177241032, -0.048512153653763206, -0.2485753747909906, -0.2220773225299564, 1.4271508511190312, 1.877929650115727, 1.543466971720674]
18;-1.065212704;26.683608099934645;[-0.9604688410845683, -1.853093980638953, -1.4936864764957583, -0.3085450922786658, -0.944442072602611, 1.4423276047856426, 2.1311674010487165, 1.9306475754488732, -0.23244855335533615, -0.30821145605929595, 0.946300476261354, 0.9514283633172987, 0.5548775023632662, 1.571236230154479, 1.9004436853957463, -0.508902588235551]
19;-1.092185872;25.800552899949253;[0.9437861775989081, -0.31981604193571844, 0.9093447515753962, -1.3727141950753872, 1.7888343728904608, 2.0552007563779773, 2.2623926430702483, 1.8333885542823851, 1.8637682185278364, -1.0046960037496504, 2.2390397382566265, -0.8641383647911136, 2.2277972291167947, -0.7039578133413629, -2.2837365816662576, 0.4853422451330877]
20;-1.0745073559999998;25.74386990000494;[-0.06956648293581527, -0.23451430172932333, 2.1385497983040453, 1.6574278166596452, -0.6303404080408073, -2.449545062332365, -2.9388436571554695, 1.5975609679684823, 0.28744904725740467, -3.013102884774207, -1.7094877393542056, 1.5960580412875023, 1.2088154961147684, -1.7425533077477082, 1.8145442814629815, -0.7709345769895178]
21;-1.1060092120000002;25.8758053999627;[-2.663952561401505, 3.2730230770697077, -0.6612780264522673, -1.4275267229429343, 1.1381021776868603, -0.21724779878635528, 1.976636462807954, -0.8309045382696263, -0.9680845727889317, -1.9814444601562118, -1.3354119313056678, 0.8437925392179233, 1.8811970133116367, -1.4101848120949652, 2.0422914116624002, 0.7962650902677452]
22;-1.097322068;26.185266999993473;[-0.44217655296256164, -2.9878895024971492, 1.7730463136532923, -3.03492821558228, -3.2368732286864907, -0.30126912528662836, -1.410739801313367, -1.468639210338432, -2.6494829405490874, -2.95338312111718, 2.3959956233886093, -1.8823999838572525, 0.7749792427694915, -0.1830479145784615, -0.8712302614638294, 1.324923523558243]
23;-1.082048684;25.446509800036438;[-0.7997412946823329, 2.2869721221839607, -0.15895804575201408, 2.4197260446942845, -1.8587681507770915, -1.2888929304383285, -1.144192990046769, 0.9370676348661182, 1.9900829160441995, 0.8071374266514577, -0.7984126561554046, 3.9567767895197856, -1.6272150668610537, 0.8759404165183647, -1.2385685375587654, 1.676678907731386]
24;-1.083637308;27.005700200097635;[-0.41225947757961884, 0.38420713097789927, 0.06141731474734749, -1.2130339175200575, -1.3805463370533086, -2.0176545814655387, -1.003383348343945, 2.483140271837175, -1.3811101256114333, 1.3694253550518765, 1.616358556364225, 0.6407346909547057, 0.33901931224152765, -0.8309562204061184, 0.2694289494890867, -1.2106515626859886]
25;-1.063489832;26.7012790000299;[0.4976700131238336, 1.7818188560399464, 0.9228548848238232, -1.6284771364224015, 1.8901060447141178, -0.35341427637702894, -2.5532239032022233, -1.7811739151550376, 2.4227457568547512, 0.821484129038892, -1.6577971643750584, 1.666559605924035, 2.0367235858931454, -0.5255021107083636, 1.7010936878351364, 1.339333577058379]
