run;final_energy;time;best_position
1;-1.2066183709536964;210.82858099997975;[2.8210345365124065, 0.5739239784337885, 1.7754594170262996, 1.5696482249140493, -2.962656669487478, 3.7393799878257035, 1.7318754074717861, 1.7029775510261589, -0.2649036681338026, -0.11211538796104231, -0.0003218285919163234, 3.2672124813490298, 1.6893202554373457, 3.1441661781708996, -0.010595277964321248, -0.003342166384950272]
2;-1.2177770370254084;203.03094850003254;[-0.0027037178555632323, -0.0004656811248768184, 3.138331224493834, -1.6157111169397231, 0.00014387318012152336, 1.1545794364829745, -3.144030402761683, 3.085126332580807, 3.1417302436920833, 0.0004271107648814287, -0.00047524465938848044, 1.965251790790094, 0.6321510149336123, -4.96431048423578, 0.0005619255942530658, 0.38729818663435883]
3;-1.21867011272392;204.96415250003338;[0.5614101012966453, -1.5512505818079931, -0.02579467232388355, 1.5706223907132484, 0.5611486546506934, 0.0002133815315159671, 0.016469319268136336, -4.713444245673186, -0.009632390833722939, 2.168267091458126, 1.5641166993613833, -1.5684533735319865, 1.9020777592005143, 2.5173483258516396, 1.5817550591668974, -1.538850570615734]
4;-1.2149887265836696;205.42385540000396;[-1.5845727093595119, 2.932373336104712, 0.07911559023618989, -1.568978932557467, -1.5684124075026682, 1.5677395365328348, -1.5457642491072305, -1.5720769070445484, 1.4922581771645627, -0.08585899010075015, 1.572689903738553, 1.5714743894732253, -0.8746038115633553, 1.5865376841242076, -1.5762885827183162, -1.5462081596377069]
5;-1.2170182450677567;203.04117260000203;[3.1341033886844847, -2.009527849697568, 0.0055734048063238615, 1.5703615301024227, 3.1355122584792596, -3.1389428942732067, 0.021477060394187647, 1.5753898988626451, -0.10435566960205823, 0.15725996050602883, -1.5682459173206433, 1.572992843852581, -2.278743857992555, 1.026880946666596, 1.577248800565389, -1.5431899648878884]
6;-1.2131709535130057;208.0656080999761;[-2.2401479274698763, 3.614175224156977, 1.5209097666587306, 1.5691858266796381, -2.570204479773592, 0.721144130762211, -1.5352698466227837, 1.5700876072456627, 1.579957107322558, -1.4973447318795927, 1.5717166983989368, -1.5675052299892571, -2.286001824808581, -1.548587655131254, 1.5762015717456643, -1.5349508482051744]
7;-1.2217661848195551;215.18211870000232;[-0.3395483309386863, 1.5716378104022186, -3.124191327469318, -1.57056176429741, -2.8018524644166845, 3.1413292751299333, 3.157372158611503, 1.5703792735667816, 0.000877821782825764, -0.8130428039595851, 1.565980021069516, -1.5719663957725638, 1.8208635116231386, -2.375962529108253, 4.70372518813707, 1.5464111374636846]
8;-1.2051033418150676;208.5625822999864;[3.141262066926028, -3.1432838799121194, 3.153760374588667, 3.185322936868923, 0.28360189990307977, 0.12385718137732395, 1.5506409560514722, 1.490441005578336, -0.03567317237380237, -0.1294160880273689, 3.028619775490471, -3.1136277135322237, -1.0552853957017898, 3.1559789408104892, -1.660529035240078, 1.4453505522749808]
9;-1.2135428632523417;201.5737246000208;[0.010561970228144719, 2.2946338657292276, -1.5720358810551576, -1.5712262045807324, -1.5128224313135512, 1.371775364537595, 0.002927152403292588, -2.9260613812786564, -1.4872753275398076, 1.5108457788578522, -1.566537091578069, -1.5655904375190028, 0.9347502597328324, -3.139122118680851, -2.924117244560747, -0.004037230374499663]
10;-1.2088270597397437;201.3391105000046;[3.1292340230432405, -0.3126513284856853, 4.670747722139609, 1.5706951281952288, -1.6261156088319317, 1.9713603999902147, -0.04046995337170038, 1.2999811478993821, -1.6236275493684356, -1.551761718874261, -1.569525367251443, 1.5739269402611271, 2.816936658153305, 0.005965290790586288, 1.8447121491299474, 3.1374431065635244]
11;-1.2180516360176346;201.11096499999985;[0.2081057812196645, -1.5522523468007252, 3.1572985136178864, -1.5709991604491154, -2.9335709749872105, 3.140997532396901, 0.020248612863926922, -1.5737588390533193, -3.135275325377939, -0.6924714321739353, 1.568209323816844, -1.5718958566176195, -2.5640061539227745, 0.903495332936429, 1.5779477854493527, 1.5445391522723997]
12;-1.2177489083083843;201.1702752999845;[-0.0019879650587065452, -3.1417175714887726, 0.0018867183864767444, -1.5992385673375886, -0.1509805115845926, -1.5078844400440143, -0.0014025207581075964, -0.028832126755035273, -2.990823475998721, 0.00020602048379595247, -0.0004604469199643958, -1.5750751447305649, 3.2987418998535922, 4.724007518592914, -3.1411974662940807, -3.13915552080183]
13;-1.2185725936594203;201.03311379998922;[-0.7656949570296302, 1.5635535163884895, -0.030746580599032604, 1.5702172593971517, -2.376900426501049, 0.0008821063239448409, 3.13225682557, 1.5759442685994884, 3.1393574998563096, -1.2033001655717013, -1.5844053805505205, 1.5684730468340684, -1.7523556972462218, 0.3656978046681077, 1.5881952838683664, 1.5367639510936582]
14;-1.211359986859418;201.25124720000895;[3.1932624924394775, 0.5937438479448474, 4.671223932924868, 4.712507898074062, 1.5989285296795035, 0.8177378367473276, -3.0983506215668104, 2.1361656236154527, 1.6295029907702019, 1.607244054441336, 1.5694071047769784, -1.5736681432915283, -2.633916483363422, 3.14336384079972, -2.1388970525823012, 0.008897458520962692]
15;-1.2147215797868838;201.223792600038;[-3.1411912274268645, -3.0998736981123596, -3.141377626207493, 1.6342407996128938, -3.141343945583472, -3.168546713406021, 3.1427171531626623, 1.6042567564463126, -0.01513718045395096, 1.4853495630822513, 1.5706630073501253, 4.680494509126644, 2.267380989472928, 1.5289590309920298, 1.5769901948027578, 1.5428817947005817]
16;-1.2130031714262635;201.0672277000267;[-1.8151208903132365, -1.5722609480377976, -1.5726043724316112, 4.712154806930125, -0.3413339619202455, 3.130027716533664, -4.87873781453406, -0.0035239528998041066, -1.670820156344366, -1.5751821295681168, 1.574455780132261, 1.5312588621163608, -0.6583725097499759, 1.7087081112800648, -3.1399818995139106, 0.03774161986012537]
17;-1.2264891929748665;201.07925780001096;[0.0048794528480160995, -0.000465346727988163, 0.0024980232945968676, 1.5103203562789351, 0.2128908041925174, 1.4367025814971506, -0.0027062164495428418, 3.202256708399713, 2.9297511333274664, -3.1373267466343617, -0.00032424290929795185, 1.5044971413596138, -0.9139150365155758, 1.6399114279710427, 3.141537643832165, 0.06523730549684305]
18;-1.2184975032966192;201.32330150000053;[-0.9909416802844778, -1.567170637899598, 0.03855008940451019, -1.569773621192561, -0.9901584744825739, 1.8724525976091826, 1.8620520921003463, 1.570002472785835, 0.028781063078178157, 0.07552833760230339, 1.5697481171273793, 1.5696341397627978, 0.575366515737144, 1.5321577535665794, 1.5761434031772084, -1.5827668851109886]
19;-1.2115738777540581;201.240275499993;[0.0813016703519031, -0.09148931857266375, 1.0556527330234446, -1.5686774573234845, 1.3843572613496946, 1.7517041154330704, 2.654113437178002, 2.2680986490513275, 1.7650267139920048, -1.5189098584378098, 1.5824475716156743, -1.5956549368407933, 2.6445337775960214, 0.05443840625374297, -2.271580271510443, 0.054938962080969996]
20;-1.2163004727022713;201.16595100000268;[0.0008073731149386216, 0.1558946079467474, 3.14422517627054, 1.6060605347678252, 2.134845346201693e-06, -3.1650325168413147, -3.152300911816619, 1.595526585919115, -0.0019631279043735017, -4.26672541033393, -1.5725320477339668, 1.55859344494313, 1.4487337949018397, -1.8690239651568277, 1.5770283899264512, -1.5434896320362714]
21;-1.2133126838949881;201.12680879997788;[-3.111435177078859, 3.070000977062994, -1.1617873456598418, -1.5701392111141412, 1.5971970915231988, -0.7528839294422942, 2.1657094514609327, 0.0001933158007612395, -1.5310596661417906, -1.5821862328543697, -1.5708055408034158, 1.5679820508443338, 2.103372882972612, -1.691557839704158, 3.144125922956749, 0.000913882173998399]
22;-1.2179510156858437;201.0900056999526;[-3.232721795935393e-05, -3.1411071291681645, 3.143908085541333, -1.4756229766589115, -3.1415662742548056, 1.2973266902096659e-05, -3.1843379889151073, -1.6600106972325226, -3.1417125651238154, -3.1412845628815593, 1.4607037991579255, -1.5585963424790745, -0.04406751516514582, -0.00042216554572591146, 1.6829266837625205, 1.5290102642423298]
23;-1.214971283024;201.17171570000937;[-1.590262395326128, 2.550964997916841, -0.07269621699164397, 1.5689809836533792, -1.561262149970704, -1.5744802642457052, -1.5902845471066709, 1.57230873986726, 2.002207152483991, 0.08156172449891329, -1.572705360857375, 4.711940235049433, -1.941523014453465, 1.5535034129043954, -1.576296463136608, 1.5509585331990983]
24;-1.211525021091657;201.16615539998747;[-0.11556302492444612, 0.030896107809746533, -0.36681514986941527, -1.5593448519877393, -1.1361259960352088, -1.4774388591622158, -0.6277649001285537, 3.120900147963439, -1.1369233113627866, 1.8859931240922547, 1.1860812579583573, 1.5711407341399228, 0.058560528335934774, 1.1915697474627505, 0.007393536850530228, -0.004615323127555056]
25;-1.2177253773190686;201.33058180002263;[0.03792473971278994, 1.769331529359964, -0.0002355932891062535, -1.572113281631381, -0.0416466132865245, 0.004087102824734843, -0.0009311219289839047, -1.569458251804585, 2.0028358649244757, 0.3204133563396943, -1.5701777810232476, 1.567761235677861, 1.5887517438750378, 1.534846637494774, 1.5757336976061667, 1.559916940102982]
26;-1.2172674491977067;201.1702077999944;[-0.0002487041261673966, -3.019487376280976, 0.004372844628044124, -4.678526903551322, -6.078800876188926e-06, -3.1186666246073838, 3.127397835691879, 1.593236036424623, -0.00019333790114889077, 4.1754543601793195, 1.5738751947791894, 1.5841146008269753, 2.792478538094809, -0.920699399188142, -1.5776664662198463, 1.5420241765102043]
27;-1.2072143149665184;201.43148200004362;[-1.5054314501193136, 1.56913705868711, -0.5544049460261348, -1.5693439953333637, -1.6308955942761811, -0.024261467242236042, 4.730388686348164, -0.0005244914063492564, -3.1370290217116428, 2.9132029379141087, -2.355088623872993, 4.706865355840682, 0.4510249503842457, 1.5834330202506923, 3.141615833221961, -3.1373654066344594]
28;-1.2090799290256296;201.20898629998555;[0.10636136309452623, -1.5618213583623068, 4.71580926117145, -1.5708587284148365, 1.6217706959852562, -0.04860521938230951, 1.3953947094671664, 0.0008167904215363735, 1.6272664822820482, 1.5813871377340694, -1.5617504327454608, 1.5686949989759127, -1.6854433579381847, 1.7275996985773057, -0.0030845164015333563, -3.1416641108583767]
29;-1.2095494638763749;201.22769670002162;[-0.053953284804495724, 0.3196346843142024, 1.7220171882281414, 1.5697927240859384, 1.4634139156187318, 4.211997219118978, -0.1441072860086021, -1.2921877050951607, 1.4421920200624074, -1.5986531032742546, 1.5738291339171013, 1.5681391819373947, -0.5844544081213813, 0.0103459058885577, 1.8492323447138683, -3.123832306732302]
30;-1.2091944388598659;201.17063150001923;[-0.7818246700005496, -1.610446301769229, 1.5662195564658268, -1.570632613893875, 0.7495740908706505, -2.905441981445879, 3.1332260422276175, -1.9443144572608968, 1.614140040483773, -1.548943675554736, 1.5689527937189471, 1.5747080764262524, 2.9417145657666643, -0.00033074763957198413, -1.9435966748017213, 3.136553262048255]
31;-1.210304603287446;201.30940139997983;[1.3963356630394526, 1.5265121487565785, 1.5628987792156959, 1.5687504426178676, 1.746556478214618, 1.5841252883668788, -1.5638406163854113, -1.2749738239451034, -3.0973056246099135, 3.1500126763023935, 3.139292992587374, -0.30188032837041423, 1.9462318769873648, 0.000181148326014438, 3.142942842600796, 0.008688632925917542]
32;-1.2113652684926097;201.14241089997813;[0.23658993164549041, -1.9131302873220088, -1.5736251020948555, 1.57092373268656, -1.3246601023698032, -1.6301641179734616, -0.006548506972816551, -2.0658235228952826, 1.4826845614980628, -1.5776221278872622, 1.572221279974731, 1.5718946469624575, 3.2187560775894717, -0.0008050745729715105, 2.0691789780634946, -0.0053586510932958735]
33;-1.2112045513030167;201.21832579997135;[-2.710861013963792, 1.6067702560893444, 1.575863030368584, -1.5707520453356454, -2.0356540582414993, 3.595485166518301, 4.88426683389797, 0.0015192940059952284, -1.6087642215279754, 1.5724273408891543, -1.5712831369176135, -1.5673150942917025, -0.5242393129698828, 1.7093556386314452, 3.1378819974886913, 3.1361525784760995]
34;-1.223655755807444;201.3406136999838;[0.0002919119131374732, -0.11774521282409371, 0.0003758262213042384, 1.5177982785986688, 3.1414996073169505, 3.1367911390589196, 0.032396316122820144, -1.526226411065773, 0.0008133589225295165, 3.008311264765187, -1.3808974261816578, -1.5537176993568302, -2.5565161515658072, -3.121837234766109, 1.7628491130656534, 1.5373043040326972]
35;-1.2204894535586452;201.28144179994706;[-0.003067586663742187, -1.8893526169815072e-05, -0.002311189440617433, 1.540057831699016, 1.2545224562948551, 1.5707109463363105, 3.1435491320840527, 0.03065153571089403, 1.8876127363315327, 0.011018538757385107, 3.1322705041557817, 1.5700897831590792, -3.016845448529121, -1.5394567576715366, 0.0003325799669069488, -0.002506500508383765]
36;-1.2157097933872894;201.50198679999448;[-7.104974638976876e-05, 0.012183036429597342, 0.35088950837113664, -1.5258085495169376, 3.137782370661619, -0.029039514096330748, 0.35053346015297615, 1.552645177209564, -0.18360487424509417, -1.5761406556235031, -1.5568617213985536, -1.5455037948700152, 0.6110568919579452, 1.578926480735085, 1.5763273012183985, -1.5455593777157568]
