run;final_energy;time;best_position
1;-1.6191714640000001;5.9596557000004395;[2.2490329491524927, 0.3563835041542121, 2.469638058809847, 1.4791598238550558, -2.1629780522117747, 4.033055877201175, 1.8248604430853694, 0.6074667575175848, -2.284315373035312, 0.6871310993249767, -1.0342519439180868, 3.4334135506362395, 1.3668685783196113, 1.553985971495688, -1.1666847735896375, -1.7572646533713152]
2;-1.611724336;5.757501899999625;[0.9042751521573366, -1.0867483602101318, 3.634463595763755, -1.8476134932077155, -2.1700080016403867, 3.0714604054736996, 0.6300409321068884, 2.919857831270583, 3.0117797150867944, 1.0191612731795103, 0.29926280159382596, 1.6905980815255104, -0.1336076523968966, -2.7745727903223583, 0.12599065211816737, 3.30419161821966]
3;-1.5917395;5.738421300000482;[1.7545166871660738, -1.54843584749334, 1.4759262114319494, 1.9090105575348877, -0.4805496702356358, 1.1532625533768257, -0.5364070213143929, -3.522004773757556, -2.704651509176453, 2.531612241594967, 1.4916953478960426, -0.8716610334713728, 0.7164121765433963, 2.691202037601286, 2.514058540198511, -0.43411099991384483]
4;-1.630973996;6.009919000000082;[1.1611121926556423, 0.5614474221133643, -2.5909524776306307, -2.0144081815374184, -1.3532926103998206, 1.7890377427844204, -1.4767712814528504, -1.487621679898901, 0.9979087959065353, 0.13828175342966129, 2.07335380738001, 1.118725451087808, 0.05998509345809529, 2.0264291450809684, -1.55430332158596, -1.5971559823982122]
5;-1.5754317480000002;6.4556169000024965;[1.7139581358448217, -2.5090458588010383, 1.0362990967648202, 1.924580038311618, 1.9190310588982513, -1.03035121363381, 0.02727580151661945, 2.092191087964267, -0.7647769680870148, -0.4574099276384911, -1.2711221210493493, 1.6259019186683532, -0.91729426778566, 0.5863027084891848, 2.0455074711542256, -2.875090902968487]
6;-1.5999068040000002;5.662107499996637;[-3.1451874474272943, 2.9340120025719365, 2.9175539689498042, 0.7043193621654774, -2.2446459654215167, 0.5692507844896385, -0.03416936151430716, 0.8816736912223957, 2.1304516481459954, 1.4942461827764413, 1.447831082191222, -1.0842199487598587, -2.4079347195655685, -1.6182447887933646, 1.7355757975043855, -0.7590952804328824]
7;-1.45869204;5.61245069999859;[-0.6284750823133, 2.1031571863588905, -2.6561507243946147, -1.8594609180377364, -3.3575857309955777, 1.441964076901624, 0.9423100381218644, -0.23461171209962775, 1.2051564714270617, -2.1078344768510813, -0.5684155520016496, -2.1209925644337613, 1.6787255600556095, -1.3367422309715211, 3.7077887207767963, 0.5032968868573465]
8;-1.601182556;5.972187800001848;[2.523668679239735, -2.358833818350147, 1.5077459354718767, 1.7739959197998556, 1.7900892297313697, 0.9383136284837965, 2.879634791995856, 2.0066136608174245, 0.034586801100825335, -0.5682581966668572, 2.80404356045421, -3.242229656903863, -0.9334463709742845, 2.655376007393652, -1.6237171831107495, 0.5205774287664435]
9;-1.596332764;6.2669856999964395;[-0.38119205734352374, 2.497018676046649, -1.7808865556767983, -1.5173812707034138, -0.3465327398771396, 0.47445332731017803, -0.28766344060060195, -2.7618765089747677, -0.6429948943924629, 1.837047446916872, -0.6655557021133183, -2.658907612816535, -0.11586207080135613, -2.8740043657489602, -1.8866526644281443, -2.104850094441189]
10;-1.545954928;5.908784999999625;[2.5746119344977054, 0.2423280901665765, 2.542849294109801, 3.1136260701821166, -1.9648459266036638, 0.8998564748723921, -0.5266465144667408, 0.5224282977746516, -1.6225466550158512, 2.0081196479790586, -0.9662437383143686, 1.579352877762552, 3.7853176163247912, -1.4546780827145156, 1.7920206223520943, 2.3404911699633755]
11;-1.62185784;5.908370000001014;[-0.1688928369063552, -0.06170380914054012, 3.3214932056256865, -1.143398779793789, -0.7094716229945032, 1.5820159101732434, -0.05770606451778688, -2.5040080845905606, -2.5239945666722274, -0.25875509830002824, 0.12888469635936012, -1.2545255992968285, -3.0608061035389116, 1.3189991181547684, 3.146167185091944, 3.197552512577289]
12;-1.578038032;5.386021500002244;[-0.4381397369941619, -2.447327239562729, 0.49644605569028005, -1.0969967037977775, -0.4686983762639101, -1.1044877295334343, -1.9173636269169576, -0.9623762336206592, -2.802889930184012, 0.588467469769464, -0.8987758797554954, -2.786080173934422, 3.1715484073838867, 3.1970466838362452, -1.8373603179097655, -3.43306125942986]
13;-1.614860216;6.082810299998528;[0.40194587882747845, 0.23959124331684345, -0.0385445566810852, 2.1933180818739464, -1.112553415178158, -0.22359711796867343, 2.349690498936227, 2.557155992500259, 4.591581046259827, -1.0829268506982621, -2.4093577795673355, 3.306190140873769, -1.424232220630383, -0.9536202937730321, 2.1973823122371265, 1.4401237248609768]
14;-1.636844432;6.169835500000772;[1.6378694059874945, 1.5487657493295253, 4.677190202648448, 4.263014377899193, 1.5529168742926256, -1.1967785231602381, -1.8020696159117937, 2.6064847512748464, -0.05897618426058374, 0.28006741230217197, 1.9842074794211988, -2.8613445876483947, -3.1246030945150665, 0.12472467093298624, -2.0578946527684256, -0.8972033962227326]
15;-1.1580015080000001;5.415480699997715;[-2.921608552490509, -2.0250804028517915, -2.532757211390907, 2.5454093172758925, -2.2785943885481657, -2.3228895424092313, 2.110263523941941, 2.0402694033431565, 0.14286947282285373, 0.9608628892849884, 2.920399561610129, 2.490739933280128, 2.6252285919485376, 0.8857497639839292, 1.8791754032594985, 1.1303701174371859]
16;-1.6691358640000002;5.911533300000883;[-0.8262831985730688, -1.7028640675364897, -1.197854556293526, 4.641880256127148, -0.916536833593441, 2.071244257823183, -3.2256664452618553, -3.269111059137075, -0.0964422528427086, -1.9642436138656247, -0.27942167163106524, 0.22031457718704409, 0.059557177322233534, 3.7230228722517182, -1.6908910876791834, 1.5415314166294127]
17;-1.551261368;7.063630900000135;[0.3727497073017046, 0.000643696262064311, 1.33349738851015, 2.470259822228195, 0.07163335895601615, -0.19235250673656804, -1.6253300340056174, 1.9870262296851382, -0.30866185162750076, -3.2686310096424225, 1.6084633748203645, -1.0279478345633424, -0.27198425609594457, 0.09168080515195809, 2.816005979064564, 0.800434141541484]
18;-1.624854364;5.954955600001995;[-1.6008451184571382, -1.4321091992375534, -1.605628824986896, 0.11247878772672927, -1.4909799913001147, 1.6813949831538835, 2.4382182234051637, 0.930106561190506, -0.5249564205552624, -1.3726123979512992, -0.0826594617151513, 1.2553774133319298, 0.6671626088280138, 1.5991836808097935, 1.4977605370063567, 1.2929021689491882]
19;-1.592498468;6.120675099999062;[0.2612254009313237, -0.15398416683630123, 0.7558846314534198, -1.0784608836555407, 1.7189362481490134, 2.0072854658685344, 2.529138560609698, 2.383482298676248, 1.5527313800297988, -1.716655269788415, 1.9434390269793562, 0.547864916834164, 3.5359329015320373, 0.2828191611064665, -3.0301180055901105, 1.2914743939163313]
20;-1.6525825640000003;6.04744539999956;[0.30967511906868445, -1.0632565596417496, 1.7239609800189406, 1.6078819540994154, -0.01628488086733399, -3.4570347082638433, -3.342450649549144, 3.3329172914976506, -0.4460369576154396, -2.843236169703302, -3.3541612237695473, 0.37332135241396347, 0.526267699844677, -1.4913511631685406, 1.514879619324149, -1.4961030294683861]
21;-1.43636086;5.763228800002253;[-2.4735865476410837, 1.9348716661138103, -1.3702382014352124, -1.0693313793166639, 1.7553776270160395, -1.465869277255642, 1.2638710570204734, -0.9372423312901037, -1.238570537530979, -1.4799592424683201, -0.9008881937659516, -0.464234091623519, 1.0785174723604043, -1.1329267594736419, 3.038555887919132, -0.4155643111699175]
22;-1.6099648080000002;6.178492999999435;[-0.3969927648773739, -2.76679164442155, 1.3040070080891268, -2.643805531356465, -3.2224877769507954, -0.6392204476474894, -1.0680639831514391, -0.517834112421067, -2.7139654488707174, -3.085311350018936, 2.545443807931893, -2.3817147463651467, 0.013665954884226441, -0.09453996254586054, -1.0323474195678441, 2.978750442421129]
23;-1.444818128;6.360300000000279;[-1.353106429812845, 0.9258644597153173, 1.3455173943832917, 3.665316649723432, -3.0481028093229843, -0.5169728556197748, -0.757822896144276, 0.5324983979653594, 1.6035023445091519, 1.670855539273535, -1.4631057512345818, 1.7662702805921795, -2.708877567924663, -0.14873991605935552, 0.003209584570825706, 0.9721643571542954]
24;-1.619435092;5.9850206000010076;[0.012592176408797515, 2.214348243300401, -0.40683301149168744, -0.2825268791209346, -0.044741466650248224, -1.2823824277641773, -0.8923391524002102, 0.9883168491007088, -0.17579325597900264, -0.43879768635325844, 0.21427765435645674, 0.7689848089894702, 0.046906075308036504, -1.4235024176780833, 1.000230201151132, -1.375296592491084]
