run;final_energy;time;best_position
1;-1.6979770165567514;9.591371999998955;[3.138520250820332, 0.7312522280102625, 1.5708843836747248, 1.571108878051219, -3.138567980837094, 3.850637296355959, 0.00033347722324841383, 0.21027445040147774, -1.5741536459929166, 1.5937449053464225, -0.00019461380836750662, 3.1415827859882004, 1.5717683186858278, 1.5697763330872432, -1.5707128119130074, -1.5707637074587553]
2;-1.66608162230477;9.444278800001484;[9.411893954250584e-08, -6.72500988539294e-06, 3.1415805210984136, -1.94183229373522, -3.1415924887941937, 3.5177576283696377, -3.169734289589978e-05, 2.2250737165612176, 3.141592436968855, 1.66518182056982e-05, 3.490352367877982e-05, 2.0252881214075487, 7.554735666739406e-08, -2.8271701872254615, 1.4664227114545388e-05, 4.088291372324041]
3;-1.6978167896411152;9.414895800000522;[0.0056253196415751204, -0.9555519378283339, 1.570480459093641, 1.571586323001975, 0.004640894908426354, 0.934145519619887, 2.945169480330552e-05, -3.352223119249236, -1.573505625677548, 1.5926289416928288, -0.00018196410311427944, -0.0001239973736291275, 1.5703661132794342, 4.71249722560939, 1.5708639221531986, -1.5709225350633345]
4;-1.6974677647083674;9.48130250000031;[0.46364061037790344, 1.5951278146371686, -1.5706079091084022, -1.5704318059924718, -0.4623307768404611, 1.5979150384468583, 0.00019977418072680099, -0.21080367750743348, 1.561499893197922, 1.5654887562946225, 3.1417721922558317, -0.00013582642929136526, -1.5721181950174685, 1.5716545111488929, -1.5707730088659224, -1.5703919855831872]
5;-1.6982575574466046;9.415245699998195;[3.1412176510050434, -2.929884976026247, -1.5708168777120832, 1.5705109403780144, 3.141917285986727, -0.20225490277741157, 2.0566462181563314e-05, 2.9317481410470867, -1.5704363430506503, -1.5610075614044523, -3.1417720189451463, 0.0003324441031866837, -1.570403194575419, 1.570432363652941, 1.5708153599651797, -1.5706009564207872]
6;-1.698287313748763;9.43645370000013;[-3.141656367697253, 3.159715967299145, 1.570855527709007, 1.5708078039776696, -3.141583488797289, 0.017244144356768853, -4.115989630607712e-05, 2.931863415328462, 1.5708762499854216, 1.5717220036896113, 3.057331349950684e-05, -3.0300197178801073e-05, -1.5708070477496117, -1.5708101124046765, 1.5707985453224074, -1.5707863181824413]
7;-1.6565536768573794;9.403298299999733;[-1.583347778001447, 1.5713016766257102, -1.5708082410440622, -1.5708007336401837, -3.1290914588743033, 1.697473868822056, 1.5708353230333234, 3.1922916743870476e-05, 1.5713102236362726, -1.5708018287135017, -1.5707879527852158, -1.5707833109849911, 1.6974501099059143, -1.5708197355515436, 3.141593738526789, -2.695088835715969e-05]
8;-1.697520850074914;9.426945600000181;[2.831918882458952, -1.7045320384238998, 1.570752105340152, 1.5709946152760526, 2.8345314954408236, 1.4286235798770326, 3.141469817463528, 2.930935781045166, -1.535672176283931, -1.5854484702906535, 3.1415681777901217, -3.1413085568128856, -1.575308147870343, 1.5714436535065437, -1.5707975828961924, 1.57019956310393]
9;-1.698268703344022;9.422925899998518;[-0.00022363134020663116, 3.3089817625302356, -1.5705884496026707, -1.570784858603068, -8.348262009196386e-05, 0.15995121691968006, 0.000438442588243307, -3.3513504131055005, -1.5706101631555403, 1.5782840242050133, 0.000472576060652093, -3.141603765718509, -1.5704930271566389, -1.5707685358737355, -1.5707404432582435, -1.5707863942393878]
10;-1.697075662407551;9.446023200001946;[1.631675138793358, 1.5707956341954028, 1.5707709136710613, 1.570763020926565, -1.6318495483882662, 1.5707266544953882, -2.5516960970548322e-05, -0.21082506690576605, -1.5707636345731257, 1.5708614830534138, 2.834525329430678e-05, -1.904653869130366e-05, 4.712373237684109, -1.5709657743876615, 1.570800587265297, 1.5707180778852188]
11;-1.6657201072112602;9.392721099997289;[0.0009084832557081579, 0.006138151293117116, 1.571899265081238, -1.5708059270898937, -1.2520670303201762, 1.5650491893169176, -1.5694365518132967, -2.8063477875017786, -1.889141193715009, -0.9784372984296101, 1.0079176416804334, -1.5719717015798622, -3.141973604774849, 1.5711649415558884, 2.86771306815938, 3.1423565989202435]
12;-1.670604859394899;9.47384150000289;[0.00020224663191713082, -3.02616894072265, 1.4032780920892531, -1.5092526434827236, 0.00011925558447251786, -0.11961505243100373, -1.175799373160356, -1.4206162588454658, -3.1431547870605336, 1.583221907102264, -1.6644508877567352, -1.7159651261505573, 3.139898638670954, 1.5750939851383123, -1.5693721473527693, -4.7025421117411375]
13;-1.6982867480877804;9.436222699998325;[-0.00010550498140785029, -0.034140021637459994, -1.5707485299935278, 1.5708035503932176, -7.827800375696324e-06, -0.032513447953296276, 3.141633252436274, 3.351324679700346, 4.71233989215529, -1.5724201918585308, -3.141530077903729, 3.1416121420999668, -1.5707874265867572, -1.5708152461818972, 1.5708050849044968, 1.5707955854985567]
14;-1.696995828445048;9.433068999998795;[1.467699114784663, 1.6598250057663155, 4.712054309658676, 4.714869515302812, 1.6717681143649956, -1.5515983051883913, -3.1437631090602265, 2.9308605720264627, -1.462679924489349, 1.562211715399593, 3.14407816294087, -3.141622046826205, -1.5920624649355377, 1.5745207409657818, -1.5709162141524993, -1.5719220524395785]
15;-1.6971012375604182;9.492100100000243;[-1.3332152352314919, -1.5707741244137434, -1.5708900967121813, 1.5707621604911641, -1.3325153813903756, -1.5708916229086065, 3.141600430130925, 2.9307644088545657, -1.5706996033368719, 1.570842415720488, 3.141693988306947, 3.141533182856568, 1.570707741330357, 1.570066279851534, 1.570836177234585, 1.5705620125273125]
16;-1.6974202597743995;9.491374699999142;[-2.5656021626177212, -1.5840676427454832, -1.5708766745980414, 4.712647525883662, -2.5665881741790426, 1.5883259583249318, -3.14131047205195, -3.352291425978245, 1.5639344944949705, -1.5647277449343298, -0.0001450110927321647, -0.0001845811714837316, -1.571107100983603, 4.713242571947472, -1.570719561270322, 1.5714219736343815]
17;-1.6982854061555561;9.403322400001343;[5.9872571013930955e-05, -0.05618759884779135, 1.5708029764147258, 1.5708328918294363, -1.9656624314492935e-05, 0.05347275947310566, 3.676091858870208e-06, 0.20974628353469518, 1.5708738694217907, -4.709660484103212, -1.6544279644976317e-05, -1.8791233786704016e-05, -1.5709667836161745, 1.5707249464747077, 1.5708027266347881, 1.570799826300531]
18;-1.6970740699829874;9.499742899999546;[-1.5929547498572627, -1.5701459620391793, -1.5707815615893803, -1.5708370481894642, -1.5930418930622194, 1.570957602773739, 3.1415677807110245, 0.21082479263831191, -1.5700348483758606, -1.5706303110827995, 8.9369643486391e-06, 3.1416465860918086, 1.5706714401490138, 1.5708974559941682, 1.570802706315555, 1.5708158225696625]
19;-1.6591345955497903;9.50655960000222;[0.4782820504554406, -3.47605039914372e-06, 1.4645177445208589e-06, -1.2256086047708947, 1.570789576965534, 1.570795982988598, 3.141578871275346, 2.806730778059538, 1.5708040785403763, -1.3095116171427794, 1.7571764318679979, -8.6137306525511e-06, 3.1415924256276835, 1.5707813013034817, -3.141595856709486, 1.5708071758180968]
20;-1.6982469033988377;9.475569800000812;[0.0005470423222556812, -0.24707179764376377, 1.5705790415510652, 1.5706640413189763, 5.85295426470735e-05, -2.905320989202887, -3.1414293733032714, 3.351514805262911, -1.5701205332970285, -1.5818210750907191, -3.141508429479712, 4.001836955087174e-05, 1.5707539285279195, -1.5708168592951837, 1.5707792073452067, -1.570980746871936]
21;-1.6660122691992652;9.44351910000114;[-3.1411588751254302, 3.1309387786234852, 1.5689895275658148, -1.5707923486726916, 1.576264990969746, -1.5814144024872092, 1.5694760076351453, -0.33903535859458683, -1.5653411045272612, -2.1502556456424426, -2.1209077993619214, -1.5710229332422982, -6.98738815072652e-05, 1.5701454243531696, 3.4197614023116705, 0.0003434401823956837]
22;-1.6982798521321674;9.42700060000061;[-4.786231784695882e-05, -3.034840994301764, 1.5709438386197316, -1.5707127106030507, -3.141629769484287, -0.1018236781618408, -0.000133262866876375, -0.20975510046729826, -1.5707431459834988, -1.575913721321847, 3.1415195691081226, -3.1417159698514974, 1.5708242601271123, 1.5708059001414048, -1.5707983135852237, 1.5709031791427972]
23;-1.6708891406705642;9.435877100000653;[-1.5419168377756576, 1.504616863144915, -1.5698687307330565, 4.640161585817545, -1.5987828581941577, -1.572253678992381, -1.3209355854786844, 1.8613657604641671, 0.38975168457408244, -1.5720159353551182, -1.7125866762301893, 1.2731355035123442, -2.8162337119672722, 1.5715315957114466, -1.5710839595376385, 1.5701375981522352]
24;-1.685159191139943;9.494993800002703;[-7.352351657878718e-06, 3.1416032863470877, -2.078914261145214e-06, 0.11114116763222806, -1.8047914154900234e-05, -3.0527124238357386, -1.5707577370820032, 1.4698861546178768, -1.5703072601512849, 1.481912152431318, -1.2950729313837097e-05, 3.1554162328550764e-05, 1.5703291444641385, -1.5708145789710228, 1.5708016939870633, -1.5708329767128775]
25;-1.6970752111193528;9.502918099999079;[-1.6303450345684138, 1.5662326741899393, 1.570788852612075, -1.5707454791694457, 1.6305090477802688, -1.5659156520232016, 0.00011891751775338049, -2.9307628034149427, 1.5761378792811227, -1.565621958243447, -3.14176642096336, -0.00011978717568776125, 1.5715567548650682, -1.5710512034396595, 1.570785833133331, 1.5707707111302658]
26;-1.6865262182402503;9.623521400000755;[3.141830017006639, -3.1415491702712353, -0.025725999732489797, -1.716076837830445, -0.00046380400938795505, -3.090064153037764, 4.68671634305294, 0.3571844636582332, 1.5711921062437784, 1.5193347186363808, 3.1412908515765077, 3.139090400433428, 1.5707258222788334, -1.5703641975109806, -1.5709873599624264, 1.5708711619988804]
27;-1.6970850821558336;9.539068500002031;[-1.419339345390505, 1.5711013936633358, -1.5707416089323698, -1.570814054203041, -1.7227197008980002, 1.5717420132363678, 3.1414262292205914, -0.21081493742901306, -4.711795120861967, 1.5698381521191165, -3.141508728008064, 3.1416809128927143, -1.5705892337128438, 1.5703276909812205, 4.712313081726346, -4.712419075986539]
28;-1.6977017887879948;9.546156199998222;[0.0495014386255054, -2.016439755321514, 1.571161555023362, -1.5705188912305226, 3.188419023014959, 2.032646477293733, 3.141850213387402, 0.21082534658413934, 1.5891883860648315, 1.5878989399000518, -0.000592006129223806, -0.00014137048018298271, -1.5729346032269567, 1.568392025431852, 1.5705640839517199, -1.5703965245540896]
29;-1.6660421434114812;9.560996899999736;[-0.0016816409219219434, -0.2936806196136228, 1.5699161535600503, 1.570824465112788, 1.5147385174328154, 1.8633413782539794, -1.5692241629210633, -2.8034610190168348, 1.626209595985243, -2.15125835983882, 2.1221071891042333, 1.5700667465496767, -3.14382498986193, -1.569405478440617, 0.27707962682601783, -0.0010360053729604986]
