run;final_energy;time;best_position
1;-1.6199329173333339;17.054258299998764;[2.073538266469354, 0.1704686760617593, 2.771260675684385, 1.1268284847835428, -1.8993471645548021, 3.9262913973544187, 1.856178084746471, 1.183537699466129, -2.5541987924723837, 0.4138705776576249, -1.017712880809727, 3.344359069016083, 1.3239741814136674, 1.8371306423217193, -0.7499650080165405, -1.9382756591776074]
2;-1.7103167533333339;17.98178320000443;[0.7786332690753646, -0.684811478477046, 3.005802002543092, -1.0379148237405547, -2.313374237312776, 4.261737544371004, -0.9559275398382936, 2.6777819579299207, 3.6399886153889147, 1.2997136752385956, 0.31769094618496835, 2.2032708997104704, -0.09126621000676233, -2.8437961922130586, 0.541144175373526, 4.24043317371039]
3;-1.7178585853333335;16.790880200001993;[1.1255448145545133, -1.6436163300829036, 1.4996112865720184, 1.8906696290037837, -0.4910900578638569, 1.3406901841071182, -0.6345924429570413, -3.8328648499481797, -1.984663826096403, 2.125913494344998, 1.024697874708278, -0.6767439212339128, 0.9387456302056709, 2.5093493627606653, 2.322782496447311, -0.619370116891684]
4;-1.0978059360000005;16.48822420000215;[-0.6235190646053551, 1.043759414792989, -2.054294455505096, -2.4676320708865775, -1.795696250011137, 1.9277019691650215, -2.8721443673197324, 0.11240871268270297, 1.0080817056857072, -0.46639255708822247, 1.6685342799531722, 1.3331692475570913, 0.20516409882911826, 3.401032652826569, -2.590918915441069, -1.4770253944935974]
5;-1.1592775546666665;15.450585099999444;[2.4626950215553984, -2.32647868294161, 0.5568107249361834, 1.5232127952962977, 1.709225337309892, -1.2399159772438992, 0.23823502857808015, 2.310044868313609, -0.7442728477613224, -0.2937882351988089, -0.853807369407976, 2.6420169944886616, -2.5684706159146553, 0.9205447629344097, 1.3040865607025132, -2.741245269392207]
6;-1.734856989333334;17.874866300000576;[-2.8842528239555345, 2.9618398861771165, 2.478711392118826, 0.19366684665005832, -3.3180217717976768, -0.1924816298803223, 0.318754424186989, 0.8564228237030572, 2.043485733740408, 1.8551546633394234, 1.947591113380457, -0.9529527239460439, -2.488360832917843, -1.7567239251194304, 1.389131470761214, -1.409391875476233]
7;-1.5490820440000004;17.493664200002968;[-0.9267137642103703, 2.3221075658312524, -2.2270100057801874, -1.4704792935379027, -2.88874750972527, 2.1975492898379363, 1.3002252537575067, -0.0807304697736685, 1.136347705793016, -1.4576366577505642, -0.5593937365580588, -1.8409395986814017, 2.0246816455643426, -1.5925474310044603, 3.4087590739108298, 0.08444146133792836]
8;-1.731635053333334;16.724063299996487;[3.0003798821783523, -2.0328308727525455, 1.4774301579882463, 2.0147576643746676, 2.0093170547513033, 1.3135216903319653, 3.02038328056563, 1.968005260447803, -0.25525031744627574, -0.36704908678478654, 3.0015534559708072, -3.0467217239615154, -0.9678485514980547, 2.69690800058329, -1.581827477637502, 0.6192156593344336]
9;-1.6827746946666677;16.513805100003083;[-0.5070033735039386, 2.2907135966765337, -2.2348521524931355, -1.640433614156691, -0.2381814919573725, 0.9094300308333406, 0.18487718552736152, -2.5808938728945865, -0.32544925079516174, 1.5565319891800857, -0.7545227421488503, -2.987137375846629, 0.1220301884158722, -2.711367819291851, -1.974869797423563, -1.6920018652219748]
10;-1.6796711960000006;17.79993839999952;[2.20837356533977, 0.27449549387756683, 2.4660406364095593, 3.0736890338342078, -1.7161979145393542, 1.110162969677657, -0.4321010616954135, -0.028686907260463395, -1.614271800213934, 1.7308400049095483, -1.1064701349205297, 1.2528375065032602, 3.7052845297485333, -1.799720227356633, 1.4038419428875177, 2.4298473105443694]
11;-1.7334986813333335;18.221497700003965;[0.3551052496048638, 0.10742645183888563, 4.046776417812612, -1.1207567842609918, -1.364529618755629, 2.0879951994464574, -0.5652102078682479, -1.3807918121414875, -1.7636487241329974, -1.0484166618623705, 0.5118525967373452, -0.5146238164833649, -3.498891332839412, 0.4836059771219225, 1.5281436746181727, 2.986380085164664]
