run;final_energy;time;best_position
1;-1.820395847147892;9.243648499999836;[2.904057382768392, 0.37443688770014943, 2.2742909977311734, 1.5676333947273817, -2.563319248765972, 4.561960724951317, 0.7901181852204796, 0.22930874427924036, -2.1082283254908076, 0.45230525923228976, -0.3157215612990422, 3.213851538699987, 1.582626692919883, 1.496397498547095, -1.548204685562773, -1.5542813237879876]
2;-1.800831544939448;9.193429999999353;[1.236329912337071, -1.5707169641823844, 3.151086450376257, -1.57115716325926, -1.9057184370738252, 2.9638943389899337, -0.20573367608446066, 3.741202307228119, 3.1411095719209876, 1.5667930903265357, 0.018755910565098746, 1.2472195313192769, 5.1284086677938365e-05, -3.4632957768151096, -0.011416827810393463, 2.268425244789521]
3;-1.8031426765521776;9.206266900000628;[1.4255584791174873, -1.267050901160066, 1.5816875695080872, 1.57851359513751, -0.1496122462476387, 0.08217879941338395, -1.1622061459942667, -3.768345669438942, -1.6258360045481162, 1.816449616323557, 1.8684895883231258, -2.0655692308965214, 0.1431695210189248, 1.8783520132082845, 2.4399961097304095, 0.5703011127945854]
4;-1.8064517210331013;9.140932399997837;[-0.79460614329989, 1.9245698138611578, -1.5717617979990346, -1.5747879818168837, -0.4276667527760522, 3.2981026250996766, -1.5114012985748884, -0.23139227887185695, 1.1987712181821821, -0.22146487155109051, 0.23439219127619007, 1.5613078796732487, -0.0013425302768561823, 4.431532700922874, -3.0899609494871463, -3.0678017162375073]
5;-1.8230395373533796;9.142087299995183;[3.100592059576535, -2.461142041150655, -1.135609241711091, 1.5678255991190475, 3.0801885203617934, -0.24463317589796946, 0.19947217245265444, 2.875965612290665, -1.5209996489251434, -1.0964357407153587, -2.521232301992601, 0.15184603624882426, -1.5067593690016001, 1.613865496440381, 1.6021060936287266, -1.581185398298166]
6;-1.8117223606864066;9.137956400001713;[-3.133827990413271, 3.254433554759302, 2.182559598519151, 1.615611419019206, -3.1344822315765946, 0.08825206414055749, 0.7368803557924953, 1.7083729583659646, 2.632029877919021, 1.6322798398259415, 1.506699870734747, -1.452678933378349, -2.6412839622203834, -1.5693629975551027, 1.572707989784799, -1.5610589879601477]
7;-1.7927651101535125;9.111036199996306;[-1.0887435835940664, 1.8704789485628166, -1.571373619062621, -1.5700138394789802, -3.6449583427895047, 1.7242076968257085, 1.5697286950104798, -0.004278538493512224, 1.8357004523386822, -1.570732896471761, -1.570586099615851, -1.5718897006937387, 1.5812529065952698, -1.5699148427767207, 3.1460189606919697, 0.0002547217969790107]
8;-1.8232214719099304;9.187496799997461;[2.620751926757098, -2.5266726499932908, 1.5685181621842992, 1.5726807221075538, 2.2132508452103803, 1.5705444815677927, 3.1458218845294494, 2.926650837381015, -0.79353779577868, -0.7689764024035135, 3.1432701726221097, -3.1431688021430517, -1.5072181820904713, 1.6741202925935565, -1.5705377298012486, 1.552277507517757]
9;-1.8192804960873448;9.221558299999742;[-0.22990172499612452, 3.4020786590061367, -1.5720023856326757, -1.57342609875635, -0.08385198757975044, 0.33230478669144287, -0.00834597866398311, -3.3620412674112754, -0.2714358790203019, 1.6552880114709134, -0.009237078264308729, -3.1475222260526303, -0.049538629836378974, -1.7202953240422867, -1.5720963258411904, -1.5420034676966266]
10;-1.809069689365132;9.14705249999679;[1.5984049620739609, -0.13642336702172952, 1.8247341876981136, 1.878805947714917, -1.5658128688869846, 1.572384094838992, -1.6547417790852836, 1.1242810906249618, -1.4301428208477547, 1.8572696687608756, -1.3295411536527413, 1.1398011128420877, 3.145962732823082, -1.5398018526929285, 1.5701350529848126, 1.570089242392239]
11;-1.8016381947340558;9.163360899998224;[-0.02333048750825417, -0.036724945855202404, 2.73743304868807, -1.5656011569660118, -0.5300132670132, 1.5649552212401185, -0.41766434562435084, -2.893900003791459, -2.6108955267808134, -0.5037082427420136, 0.47461291936877625, -1.5556397861274194, -3.140712331004057, 1.5412744214315008, 3.033025108511705, 3.1308637650638405]
12;-1.7949894345795516;9.14051720000134;[-0.011276591693960822, -2.444709708497656, 0.5907219162041911, -1.0712561696225824, -0.016862217679039608, -0.9680132348577948, -1.5993648239654856, -0.717943508184079, -3.1374160297280755, 0.4459588639732709, -1.5902799891503931, -2.1769853134764694, 3.145960292559362, 3.3634765492316974, -1.4429216774385565, -3.898239455163861]
13;-1.8230429131105033;9.141782700004114;[-0.0010166599972534847, 0.02421982125864415, -0.7257594680797695, 1.571826727708044, -0.13013380870685307, -0.4715413684301277, 2.3302054977036435, 3.3578653136862737, 4.603566006796985, -1.072508830858471, -3.104524602709168, 3.151412038798264, -1.6180603345472813, -1.4547555420584013, 1.5767336493874802, 1.5457576407709714]
14;-1.8084937976823325;9.120316699998511;[1.781385953164229, 1.5689714350950257, 4.67550668597033, 4.323541604791433, 1.3598462277563241, -1.5586089604563058, -1.6433578238272293, 2.766750211092726, -0.002373713474884167, 0.5924521281371727, 1.481191927231773, -2.7640725059188567, -3.142495855528341, 0.5117596850261732, -1.5621116114058813, -1.2396217061609298]
15;-1.820516983071063;9.098834500000521;[-0.20206174424230078, -3.1862691672141508, -3.1419978331822853, 3.0020784765281388, -1.7954359684316128, -1.5679724620245734, 1.5705264090853186, 1.4929483868352944, 0.24388129635531802, -0.0008728239416219577, 3.111460324060806, 3.3534920256009624, 1.5551734716176087, 1.5687347381705377, 1.5707868221448755, 1.571482729783637]
16;-1.8239749889323265;9.131446699997468;[-1.8700548453539345, -2.166760519487892, -1.569743515804157, 4.714955673042575, -1.8576686782811294, 1.7444932431985423, -3.1651015474182524, -3.356496588068311, 0.6613515983167114, -1.6123315807800263, -0.0220951864687581, 0.005021061848153652, -1.222380740743309, 4.650645666559384, -1.5683898211241933, 1.5824966835117207]
17;-1.8195542022796718;9.174589100002777;[-0.14319238420097738, -0.7233664095212496, 1.5305036887491543, 1.5742540164967374, -0.2227369700384142, 0.764566907527935, -0.08707047906113745, 0.22704866965484485, 0.5304642592533502, -4.469096033088502, 0.1283197295858441, -0.03097157631974986, -0.43734478762619194, 1.2668127048156752, 1.611168134160607, 1.6353605442384922]
18;-1.8079229947861872;9.168814500000735;[-1.6017233379704998, -1.4657591737071023, -1.5700639776194059, 0.6302602758105782, -1.6017577397270033, 1.5668994119025261, 1.8817598940773417, 1.4519018706118152, -1.1479071147148274, -1.572145674813552, -0.6081398524594891, 1.4893125315659101, 1.2518847238211006, 1.5702667176774425, 1.5701646074921132, 1.5710388361878784]
19;-1.8038594080103176;9.165978899996844;[0.475708908110123, -0.09296789117967506, 0.0021346706149016413, -1.1617728346763814, 1.4068718542733547, 1.570301165527337, 2.9493685034096795, 2.717367347891508, 1.7583291072585563, -1.3593568288475935, 1.797179137392823, 0.25140784369699043, 3.138656127756998, 1.3800481592480944, -3.181697086205586, 1.351953560524635]
20;-1.827143154136547;9.149918399998569;[-0.017540174033693935, -0.7477374376996724, 1.5690423179734931, 1.571934904833734, -0.029517251261607664, -2.5772387375523964, -3.1428629105175925, 3.3563533050724312, -1.5349117937280534, -1.7557022529326909, -3.139635488061293, -0.0019675848534756305, 1.52422076815058, -1.5917049347512249, 1.5709266759833602, -1.567485677237019]
21;-1.806712104357836;9.123210799996741;[-3.2359227664249977, 3.1520130340992463, -1.2179541107626013, -1.5651098060497517, 1.6759136516168167, -1.571336140156316, 1.8673374166414387, -0.3745278269946876, -1.4634524109056162, -2.130384308692799, -1.0183867523927985, -1.4421720316874298, 0.0008787025732490852, -1.4700042469542731, 3.454117519477819, -0.15469237013876302]
22;-1.8202844579292219;9.108965100000205;[-0.010661640798610792, -2.831530376313665, 1.5401164511392689, -1.5542465257558695, -3.1977955683658315, -0.3379794540795988, -0.05410133256946308, -0.22115584794234766, -2.7704358108701594, -1.6913849526619464, 3.0528453737012224, -3.175125693870845, 0.36610699800653745, 1.4189425956772261, -1.5819574754131487, 1.6041613532613375]
23;-1.8094127109144937;9.114553700004763;[-1.4268771733315635, 0.9744577005459591, -1.6757874865135916, 4.720446700318393, -1.6706511499858037, -1.5265717086501243, -1.1367215793942322, 0.5895244118255131, 0.6061677538927885, -0.8660880328992487, -1.1587568312065617, 2.6017803293964947, -3.127660245188075, 0.9980872192524649, -1.5085299321164807, 1.6619805142561814]
24;-1.8091809144730484;9.101357999999891;[0.25821498461716463, 1.4121477669581466, -0.08521969607363261, -0.45510079913262447, -0.2607370855693485, -1.5837796171594205, -1.5672420809069347, 1.404236432924938, -0.04900772437680563, -0.05856035800413319, 0.4628036644194606, 1.6316314372424632, 0.007619483452291515, -1.5407274281279866, 1.569524181996164, -1.5771003485371962]
25;-1.7964596318635073;9.196388600001228;[-1.388943792945257, 2.3069310979215767, 1.4625728990109228, -1.6716484081566148, 1.5023630654261377, -1.476548430337872, -1.3472179387382224, -1.9284369423057428, 2.401899448964197, -0.16647674173367139, -2.6815307924225324, 1.0037704513964438, 3.1418256272077674, -0.09314847008572755, 0.6337326274688353, 1.328791746926123]
26;-1.821417583289773;9.199925200002326;[3.1416201506058505, -3.1415622430497216, 0.0002672559459197733, -2.719809606429585, 0.014168378006939018, -3.0693018661257363, 4.713484319853868, 1.3645006204518801, 1.5443226992180707, 1.4985561816712651, 3.1424968797066026, 3.1412802776613784, 1.5985721897049447, -1.585313259541555, -1.5708145903781483, 1.5737015813116213]
27;-1.8118686622730231;9.166642600001069;[-1.4470987073432717, 1.4707754545532423, -1.5964212505126296, -1.5708640923265338, -1.692826619335294, 1.695192216955936, 2.532589523438964, -0.3112688911464721, -3.2563084153215858, 0.8029793614512395, -2.5593999067725197, 3.3138420156130475, -0.019454035076005592, 0.914660298741947, 4.641268995696081, -4.576330223261927]
28;-1.8269316732499679;9.152692200004822;[0.30654995384729056, -1.5498072203226076, 1.572342305427752, -1.5697300964863758, 3.441122990599725, 1.801063755176005, 3.1436475287012438, 0.21432327963949296, 1.5762227438499055, 1.8215696101081498, -0.002604909670957647, -0.0015907377025530154, -1.5615115499162748, 1.5794354135947988, 1.5706358089617727, -1.5711596986701735]
29;-1.7948029699309405;9.131756000002497;[-0.04730097090176468, -0.019283287110826306, 2.0842554016286985, 1.5646143703960387, 1.5934850755215488, 2.0731093229756725, -0.18361464307977643, -2.403257714045183, 1.7060883895019807, -1.9463838563776066, 1.0096102373352893, 0.8447331633035047, -2.6301151234566005, 0.39954971347424584, 0.8799051987463737, -0.5394965408725789]
30;-1.8265122587125038;9.109249000001;[-0.2960866757049042, -0.6638888174634161, 1.571961672531471, -1.571781655462342, -0.09523647072976235, -2.76609520936266, 3.1410830848239857, -2.92712503889501, 1.2901690880892096, -1.2653480084323383, 3.140449601561925, 0.0012932861967002887, 4.745431319979368, -1.5539754254327882, -1.5733675570277845, 1.5664943873319923]
31;-1.798143730996244;9.10252649999893;[2.693127960852112, 1.0750646689378587, 1.5905389500717264, 1.5805760802347815, 1.7353415095225078, 0.06931694122072388, 0.28044047407107536, -0.6406109748084411, -4.218291753139321, 1.9174334558155317, 3.955469272406373, -2.5524484787629524, 0.5987590996351684, 0.39335513837947234, 0.93370866480204, -0.7666887129480899]
32;-1.822454715999956;9.105098400003044;[0.013865832408391166, -3.079137792789464, -1.3629011798432318, 1.4815792348775616, 0.004349179588177528, -3.066677957786525, 0.8823118584619248, -2.954936251261073, -1.6282622987300477, -4.694943364169212, 0.6877060623562453, 3.076824417737421, 1.6109001551445135, 1.5720078541693774, 1.5700204201801677, 1.572828309110438]
33;-1.8267049097569232;9.030521699998644;[-2.019404541735711, 1.688327034073306, -1.5460680247020249, -1.5699976163291987, -1.1035018165753343, 4.452883133652274, 3.0269257315338263, 0.21931274443252258, -1.6726834012582796, 1.778921628519771, -0.11857647962091049, -3.1150446803667884, -1.5755987015952915, 1.5761569571963792, 1.5717815725781115, 1.5679489230170316]
34;-1.788709697552348;9.057791899998847;[-2.8303580391017267, -0.11404816469742099, 1.3724620171910202, 1.5859768123606552, 3.93001271425845, 2.4622775860831756, -0.04871696173404419, -1.7512141915291477, -2.351453737290594, 4.00626573233701, -1.7582691764096017, -1.7814519141253156, -2.648577621595775, -2.9849173581055832, 1.4061361882243346, 3.0242273519784257]
35;-1.8209508582787188;9.044908299998497;[4.266005632816346e-05, -0.0057798529409252885, -0.12042107695759613, -1.1140889520159223, 3.1160521551692977, 2.976799716408722, 1.457072664138186, -0.6700739996416002, 1.467520525122021, 1.4088057123144566, -0.004654175056089051, -0.04689239275842948, -4.604836405302594, -1.597073457249986, 1.5698521250520137, -1.5646600303526013]
36;-1.7974943194193194;9.00081570000475;[3.143849648559011, -0.3536254679166412, 3.587557563631114, -1.3706933057921762, 3.1405738708594346, 0.6182579984090205, 2.1030295920800812, 1.390620084481352, 0.0026160652212435798, -0.46712053440061796, -1.6028836000235804, -1.5182828218042366, -0.0016455742203008044, -0.09093807789493863, 1.512873336555617, -1.000826100508973]
37;-1.825391147616385;9.07233570000244;[0.003929589386728878, 0.009330367889912846, 2.0107587273208023, -1.605873685384335, 3.1407565487203697, 0.0007262709210827934, 0.044636587923776914, 0.2355050134842872, 1.619472298276839, -1.5865750613447664, -2.731361986086219, 3.0158275313286658, 1.5279737217992129, -1.5749555718237553, -1.5712013659488884, 1.5671142637832611]
38;-1.8009890231414682;9.012513800000306;[-2.6695463206189616, -0.7154528066972805, -1.639057569310114, 1.5800339289263337, 0.5587233562012845, -1.7644425243592308, 1.6307036128967622, 0.43442201353070886, -0.41832060742038, 0.13573087448046645, 3.3202671158203545, -1.8704499662614906, 3.141594677879949, -2.620751270732149, -3.054997262834214, -2.4800991897427354]
39;-1.8213033622415755;8.988149899996642;[0.04348077835788504, 3.352586515874844, -1.5741325441974938, -1.5665140242288678, -0.003825271760163635, 0.2028821149785856, 3.1374060887200224, 0.21770173901935624, 2.6799614350713528, -1.6067113412976057, -3.132804494848946, 3.136693128671923, 3.645068590647228, -1.5379679658284038, -1.5704752792326868, 1.5655831308368486]
