run;final_energy;time;best_position
1;-1.8596589323450305;9.434850399993593;[2.0191487912978943, -0.006528402694257623, 2.384462608987041, 1.5717707308231739, -1.5672823131320301, 4.7870902949085385, 1.0207242865129038, 0.3607496965111666, -1.970213445951879, 0.5371803371375414, -0.9367772288473941, 3.4321052764833344, 0.39811589141644715, 1.7193224257769477, -1.7051515541569429, -1.642125888098357]
2;-1.8567716354556458;9.234169300005306;[0.44093619380331756, -1.5717960591125713, 3.3776532467948375, -1.5731120275319492, -2.7012142644315866, 2.5404163092058116, -0.2774385426441747, 3.447091114537254, 3.141851801288187, 1.3899113287235147, 0.336672677822414, 1.7500502525646113, -0.00017113707624745103, -3.976002032232595, -0.09911281050076566, 3.129513360647394]
3;-1.8563498413997253;9.273972900002263;[1.478483852029271, -1.6639656286890165, 1.5706963939782805, 1.5739889054452374, -0.0604946017690307, 0.8200627501357866, 0.0923749429580884, -4.231512448394279, -1.791155581676978, 1.9910271580344687, 0.6971125372254457, -0.6413925468698699, 0.8482723179999169, 3.285649024784441, 1.8830624744990365, -0.3891314429353955]
4;-1.8544220702377465;9.218394299998181;[-1.0853664144676405, 2.9220268964763787, -1.5516785973887648, -1.5702651502536407, -2.0770093176607154, 0.7626069832971435, -3.1355439386479, 1.5356956385972338, 1.0884216915173401, 0.6939310866737939, 4.495098774052231, 1.7883140658741852, 2.078954169741601, 3.1659308022237203, -1.6049252151006606, -3.154011978308556]
5;-1.8584707933246376;9.18953170000168;[2.8055963879300783, -2.815861129513077, -0.6207012338102424, 1.5707643926779915, 2.3102636902539113, -0.24350597784514155, 0.34230169209237526, 1.6521469190257103, -1.5461226830237482, -1.1786806658272089, -1.5890375512863981, 1.5094819279475422, -1.3826733041584538, 1.7911267669730089, 1.627796960936736, -2.35642596468452]
6;-1.8607121004196123;9.197719199990388;[-3.12653465839696, 3.2941098385853027, 2.611974070610873, 1.568957300710658, -3.0475899998436504, 0.1634531043280841, 0.2933780169734725, 1.9528128650133847, 2.471273830224783, 1.707220814545846, 1.4809623272297296, -1.1808884412851202, -2.4808432119160555, -1.6076878220888406, 1.6260121782274386, -1.428464779089849]
7;-1.8582719678584356;9.232892300002277;[-0.5513524523273925, 1.915251657376249, -1.5729266042418253, -1.5690788273837213, -3.2385370773072726, 1.093192573959131, 0.9825485740428582, -0.8913222739638792, 2.4132635916642604, -1.5684718691128934, -1.3634286302770668, -2.024666158865047, 0.6429597428402375, -1.0574051374652556, 4.155125702041736, 0.6274469736575233]
8;-1.8599855725946988;9.368329699995229;[2.8748909204459663, -2.273462048456379, 1.5749336018636426, 1.5696202098311216, 1.704399856454547, 1.1776988345596728, 3.1344590808620807, 2.562869137914366, -0.203370518063924, -0.3777700137525493, 3.1104083708480865, -3.160175642677737, -1.3143302822981944, 2.7950220366027723, -1.5493439338407904, 1.0319324616724772]
9;-1.8606115794028426;9.40383149999252;[-0.591831449136371, 2.984066369129736, -1.5706154706393083, -1.5701566623075385, -0.8331352032845735, 1.118977435188232, -0.1048657871734824, -3.4696461409516353, -0.9514830879338786, 1.455813776787037, -0.16296484949362047, -3.1944614603717976, 0.14502379321116476, -2.425711879353735, -1.6967957567823873, -1.3249636824194762]
10;-1.8595714852077379;9.391289799998049;[1.5697061916493882, 0.08955746290863022, 2.423148232365904, 2.340331869808162, -1.5708758459083263, 1.5704560113984167, -1.4007840714731319, 1.0290672831819458, -1.6596677518025857, 2.1262067930517197, -0.8162585975116924, 1.1834889380484717, 3.143237061535793, -1.8658343627314822, 1.520479971340816, 1.7583368499430856]
