run;final_energy;time;best_position
1;-1.8671050114539702;6.560282399997959;[2.33050167092963, 0.3354945951473803, 2.6922071798731504, 1.5707992558067705, -1.8738984024032292, 4.480986811302847, 1.658003991078714, 0.44774177094596046, -1.6377582000408553, 0.6154251699047257, -1.0748665360475713, 3.553292692787786, 0.5619490497067444, 1.3521884536611453, -1.2581958751641786, -1.388972116853966]
2;-1.8671038944219236;6.915312099998118;[0.25344374698378164, -1.5507034718027755, 3.514685710862371, -1.5710862521056428, -2.888958540440365, 2.128082563612915, -0.08320209254785287, 3.458428939647525, 3.1379878274851993, 1.0736848487745188, 0.6006451769909675, 1.9759599720532135, -0.001447795239724799, -4.110558246025687, -0.1925236146254617, 3.405101997695181]
3;-1.867081955543859;6.880546000000322;[1.6445172842143798, -1.5978877862790728, 1.5701867920299823, 1.5709353215261028, -0.004087722824766978, 0.8418434535596674, 0.026936786799002018, -4.563144851774016, -1.9406598434086832, 2.019933420762224, 0.6955513042615976, -0.6903674697333153, 0.8666278182232396, 3.183453519887171, 1.6698269079675816, -0.11678543170214668]
4;-1.8671050114541192;5.329632799999672;[-0.4141106946936199, 3.3385874504550146, -1.5707963297027205, -1.5707987877895617, 0.0866229721233804, 2.940579450584752, -4.950594334918887, 0.6577914950741448, 0.4388789148067933, 0.06439153619526997, 2.9232719543499512, 2.090076521782859, 5.438825014739089e-08, 3.44188477181415, -3.294710775936513, -3.0530919358311257]
5;-1.867105011454247;1.26869330000045;[2.32253218313384, -2.816277216990559, -0.6405307225551287, 1.5707963700642185, 1.8611362922959096, -0.24005086503020892, 0.17441613174433454, 1.6641748639016816, -1.6261821304987116, -0.7881474982719244, -1.594315870476172, 1.5234378980550505, -1.3772748606485714, 2.0476673456476138, 1.654662647927555, -2.73874559848933]
6;-1.8671048665560934;6.988533600000665;[-3.0954299063880137, 3.30322407430286, 2.7698677913122554, 1.5641938712612413, -2.862092447441377, 0.41950947767221075, 0.1149744107501656, 1.8546952928037859, 2.5120607941023017, 1.7326646920592124, 1.506137938633011, -1.3035405617813975, -2.5737887818050003, -1.6920922399410898, 1.7031231113134824, -1.0951256948009211]
7;-1.867105011444406;7.203356699999858;[-0.09854136988868856, 2.688194954480984, -1.5707914920983046, -1.570796417061077, -3.918670514606419, 1.0332372339259976, 0.5916779256973916, -0.8157161885475256, 2.317584420186059, -1.9755694921908087, -1.1905336085728424, -1.9446809838285473, 2.7037145538225076e-05, -0.6012819646508445, 3.9546318669089837, 0.2113576057785859]
8;-1.8671046626868972;7.072662800001126;[3.0252184194361207, -2.0748984661586727, 1.5712941262690667, 1.5704790262057258, 1.8441726837181143, 1.1343332888625164, 3.1401276223821206, 2.1042023082138663, -0.48586560325906325, -0.56723456041866, 3.130193065856449, -3.1516248540106515, -1.2807609897816947, 3.009452796279933, -1.5654325380439158, 0.5479570983873462]
9;-1.8670942325385504;7.07194630000231;[-0.03459119748564785, 2.7373280113247462, -1.5732003642424146, -1.5709422497346481, -0.881790921905293, 1.4247159183276057, 0.11472067996104186, -2.5763025687310503, -0.9756006123566873, 1.861650820896413, -0.3054734867609305, -2.97386834466383, 0.24160937643169106, -3.5189997942511875, -1.835328235289837, -2.1169774316005823]
10;-1.867105011453937;6.437125399999786;[1.5746634964804491, 0.01659628742371236, 1.5707993922175216, 2.548634546776417, -1.7997420233074963, 1.3418824331996646, -1.184931150099287, 0.8579548851382439, -1.2522834238476872, 1.570802382691541, -0.5591394889641437, 1.1870003465538421, 3.477146414084569, -1.570793039002071, 1.570795954222741, 1.5707965850964276]
11;-1.8670946613358863;7.056138199997804;[-1.2293841819203324, -0.3192019911834022, 2.858364596595101, -1.4792821605821904, -1.4596059640031822, 1.5706683558198709, -0.5231629489874182, -2.8478956331659404, -1.9080560664271655, -1.0309761339370291, -0.14116023783994744, -1.3853648793909428, -3.1416732195843107, 1.0542391418774792, 3.2667683960472536, 3.0778591787573846]
12;-1.8670963244955603;7.0900724000021;[-0.0223296294334949, -2.8479458802601623, 0.07807140037629176, -1.2254084523862074, -0.07694374144538553, -1.3205695486864226, -1.4977128536729187, -1.2684519866380999, -3.073791572277496, 1.100821054483619, -0.6111515422512924, -2.6079975282386108, 3.1592045092030463, 3.1344122542277555, -1.8596016889691354, -3.275205528342665]
