run;final_energy;time;best_position
1;-1.852425496;5.432904400000552;[2.012169653225173, 0.3592238810695154, 2.240545072350028, 1.704825367629167, -1.8021538893054236, 4.427885433278819, 1.6051078638403742, 0.8794496355853235, -1.8248882349021691, 0.7372025052410928, -1.5660848786678636, 3.994069441223694, 0.6181429683736015, 1.869095371991878, -1.3872024751419565, -1.3979621561822098]
2;-1.846279752;6.125090100002126;[0.21263765728842554, -0.37541217034791213, 2.6857708940645395, -1.734760161300994, -2.931179184459, 2.933284931499915, -0.44825502264871075, 3.336473963802248, 3.2332834663582886, 0.35422263328623765, -0.06419114638372773, 1.8087303366647842, -0.050811288009372846, -3.5617203787065335, -0.016935376343263628, 3.101089772512878]
3;-1.811497152;5.691249799998332;[1.7393001769043577, -1.4465045199687623, 1.479841994443105, 1.7538479911975977, -0.3515346196444368, 1.2356551464971333, -0.36200414909324086, -3.5310747580820214, -2.528263932597266, 2.332541245644524, 1.1195101334191895, -0.6522181439984392, 0.99821626905846, 2.702128115869421, 2.4411718035254113, -0.6167297674118997]
4;-1.8447172920000001;5.405589300000429;[0.8875567783170074, 0.8535214612503061, -2.4224737375169614, -1.697806993331949, -0.8821587023110732, 1.6080497770682407, -0.7895617254916056, -1.2090092356729305, 0.4306595246123821, -0.4082807687036218, 1.6542244292087862, 1.4463693139849825, -0.09742848118573967, 2.7090899279464646, -1.8590624987516575, -2.528163683669432]
5;-1.816383904;5.957326200001262;[1.5198397128259185, -3.204272407335207, 0.7671971628680547, 1.5131190191466037, 1.716663718405215, -0.4008349502094076, -0.6332882017983261, 0.9149997854182658, -0.9165233042896983, -0.3414226975258048, -1.5570885072504295, 2.0090416428440294, -1.3378982054470572, 0.9939635878311541, 0.8805199435730473, -3.1719664892487556]
6;-1.842090276;6.110196400000859;[-3.0133453980059928, 2.911242431290031, 2.9994742229394054, 0.9784457779381753, -3.213478291715393, -0.017539680373938736, -0.028906439862159444, 1.5152450204342367, 2.423707390046191, 1.269212495764667, 1.6340053846940337, -1.0726425494364362, -2.274834601585489, -1.6019567432465776, 1.5235232232173253, -1.6707111461130641]
7;-1.661079836;5.643248200001835;[-0.7848225294606024, 2.491032186148537, -2.278052665669556, -1.7316917745272045, -3.111852065951841, 1.3540525493488298, 0.8534281725590259, -0.2521926393662326, 1.660153226485048, -2.611787150501258, -0.820387620331532, -1.7993450819025347, 1.3770809827567008, -1.1175441222431188, 3.6248122371985936, 0.41226433318241373]
8;-1.787690832;5.233711799999583;[2.726597654184504, -2.168752276498556, 1.4292162934716037, 1.6070826676526115, 2.2439865063864217, 1.1195756335856586, 2.76564672080042, 1.873557832612692, -0.2387538316967011, -0.4447095161973224, 2.907192982886638, -3.2864505143629397, -0.845172659733442, 2.8205969035979392, -1.8752564368192237, 0.6797650680787688]
9;-1.8432327320000002;6.005446200000733;[-0.0520189663509415, 3.011162414144376, -1.7748795178902486, -1.6046023315786393, -0.40951483349090007, 1.0463490883258004, -0.3072718121598802, -3.2928170779217423, -0.49698714601681754, 1.6261421798191091, -0.8326454690914697, -3.1136766488086947, -0.11563425107708335, -2.5433240331505913, -2.2742020858242786, -1.5726298672692447]
10;-1.790197752;5.775250599999708;[2.46578601351592, -0.007782172513015046, 2.636178948199175, 2.8376473626598266, -1.9308491892298005, 0.8440326869654825, -1.0210898927937124, 1.0160315594093559, -1.59930166100106, 1.7525628061705345, -0.9477197248137912, 1.5150877586622606, 3.660743847729376, -2.2875207646600564, 2.0943022412842933, 2.664478752977301]
11;-1.807901348;5.135619399999996;[-0.6874155180827971, -1.25073090733858, 3.7455599209401598, -1.6310066699213948, -0.6610938966965787, 2.0799030486855665, 1.021403020482119, -1.2635001998523585, -3.1411969200486793, -1.5262885253102119, 0.9335221742625819, -1.8199036785844505, -2.961976425414816, 2.3779405346255627, 2.181511630478437, 1.405760549743233]
12;-1.851238332;5.67186330000186;[-0.01616759445836391, -2.676292641701557, 0.09960140101859252, -1.1699791302035145, -0.1027418419401796, -1.0619570321797838, -1.1805141219064519, -1.0915175349039026, -3.106086007608655, 0.8057992381951417, -0.7141308475544713, -2.6870009627039124, 3.316124733629299, 3.071874385995861, -2.08050934602157, -3.441829249147595]
13;-1.7840297720000002;5.9494898000011744;[-2.083869960181488, 1.1950981180815734, -1.1884763019784983, 2.443022910059587, -1.0510272663098457, -2.069407306941675, 4.115055632394213, 2.6598185453084526, 3.375884091059556, -0.467462945601416, -1.719067902436811, 2.8271527418959037, -0.08796712267520992, -2.734839661262616, 1.414909488890866, 0.2905049980572915]
14;-1.8412920879999999;5.627633899999637;[2.2734333717492654, 1.025449235236509, 3.636442602880504, 3.9744930769530646, 0.934277857117963, -1.1073269547684548, -1.675940790064103, 2.757256143595163, -0.31130983825409525, 1.1671036695713763, 2.257284962355665, -2.954263684894875, -3.1049496417824427, 0.21595354593524396, -2.116425261867473, -0.7148568502960428]
15;-1.813170956;6.719786999998178;[-2.103000614821865, -2.0196204387448673, -4.419391212562428, 3.0460718001670886, -2.3282496547876, -1.9331647476610823, 2.216341975904754, 2.4834891426038954, 0.43585757698151506, 0.4002679564471577, 1.8187473325398418, 3.244549776189291, 0.26898169726605536, 0.3283781696551581, 1.5550939445668575, -0.10662416649436499]
16;-1.8457598800000001;6.1302351000013005;[-1.116148676471338, -1.6439867004572022, -0.6165954730855998, 4.670966427867378, -1.143634085312488, 2.6569442136652697, -3.232897477754873, -3.3858921539276303, 0.013535843902756748, -1.5651494640067765, -0.6898435883841462, 0.18655750653945685, -0.09543555710240008, 3.3513584769584917, -1.847784607400213, 1.6199076270889654]
