run;final_energy;time;best_position
1;-1.1571054840000001;271.4859030999942;[1.1105621312220244, 1.1685812795094535, 1.50323818316196, -1.0701212120154129, 2.0429757534350843, -1.5788712469652124, -0.23974241548732997, 2.2986253434916746, -0.49479292115462226, 0.049874720631119494, -0.3016156712250982, 0.5197759103387309, -1.0057742059022858, -2.9056189804923522, -1.4992528616981906, -0.9616576559244849]
2;-1.16579272;270.668254399905;[0.9286734860633777, -2.0555754335035523, 1.2008288589009792, -1.577660530256804, 1.551742563822082, 0.6548205541921968, 0.4258061590652998, -1.3176240397115397, 0.622049394398311, -1.2854037030199756, -1.8101284099111663, 1.2799067188915219, -0.7503540734836756, 2.8973337389269367, 1.6162232050438863, 0.5268468055206457]
3;-1.1450127760000002;270.99929900001734;[0.21432337223294887, -0.6732542567005845, -0.5507279764974089, 1.422411319170051, 2.2444588462647994, 1.8079921038735711, -0.5848363422715681, 0.2855406204043192, 0.9111426867554812, -1.8266340047240377, -1.335256789328612, 1.998001374423715, 0.5816523402899839, 2.7789463160056247, 0.2521814672899295, 0.39426498399004434]
4;-1.160596408;270.9335730000166;[-0.1562847249393582, 0.06491991372706295, 1.881596039544416, 1.5292031349217914, 0.33259613601371735, -1.0953923544583268, -0.38252690057222316, 0.15791363552392543, 0.37505650249186523, 2.349146132463284, -2.9849339844539893, -0.06210471005598991, 0.4810634000114762, -1.4558340444575273, -1.4352827396775552, -1.4951102037571813]
5;-1.167021268;274.4731247999007;[1.4243320630821255, -1.4557577734736098, 2.8304865198105635, 1.537614977753384, -1.69457456023858, -0.9010463021708114, -0.6766016069380622, -1.7080164799319946, 0.3460426199025501, -2.267890900358757, -1.6213683515928696, -1.4376664681259972, 1.326797445001448, -2.63046863907956, 1.4723330272742787, 1.1279285729034536]
6;-1.155194772;289.85379209998064;[-1.0138157337790163, 0.5309034599983908, -2.7908838205054116, 1.286157001344668, 1.3768285551597654, -1.646193970063837, -1.9312347416048452, 0.8426008414048539, 1.0047158469115653, -1.2120651959244344, -1.1747231389547572, 1.9341100716452106, -0.18328680828884875, 0.2542031606985908, 1.179125384376858, 0.8127461789610797]
7;-1.130499384;286.20852990006097;[0.10447396975501318, -0.5715946856534084, -3.0641047172839895, -0.4488887399890362, -2.654140601691967, -1.4792207811822482, -1.1447554492666254, -2.549765775682894, 0.5084109793619265, -1.1636901192769884, 1.8292932277524132, 2.720333448119232, -2.9898421877035224, 2.5807260053546823, 0.6936513875982124, 0.6368098081783845]
8;-1.1491106240000002;289.9143161000684;[0.7814569288605835, 1.7258059826165395, -1.4743084230832322, -1.5591353106583294, -2.225353164131923, 0.8345961997059674, 0.9070184878960669, 1.0446109718345298, -1.5930149149628205, -1.2333566783664378, 1.2488730269160613, -1.9902011192789768, -0.3901209235185269, 1.2450992930020761, -1.0270731094144065, -0.37347544782758263]
9;-1.1562542080000002;285.35620239994023;[2.795919634766394, 0.005432668474083907, 0.5767652779373214, 1.3962421174178918, 0.3691639075816942, 0.330328132321176, 2.1542827440787584, -1.923934538009685, 0.3939236096960116, -0.3600719678246954, 1.4928914041264731, 1.5350504405243361, 0.9188515990819681, -0.011320603221898987, 1.7622710844986345, 0.12659400243925595]
10;-1.1479769119999998;281.2282403999707;[-1.0337486256741357, -2.9140458527787967, -0.029490997423849964, 0.6752738038232002, 1.6928930202859271, -1.6250831248203963, 1.60681990526472, 0.3631066744375408, -1.9014469193952601, 1.4149843044184875, -1.489656094269729, 0.6899118328038533, 1.7416692959097224, -2.9124804150811405, 1.5569669572167535, -0.6457523574022278]
11;-1.1602641280000001;279.4141330999555;[-0.07173227379974859, 0.40818004942111885, -1.4835794160224083, 1.2855240879445804, -0.25395180463431677, -2.773512232059885, -0.3368431027081018, -2.2268839685254216, -0.3033244342922094, 0.4933127864744004, -2.7305777639187223, -0.5943864294574549, 1.2861019378293028, 0.36151538912738485, 1.5403943088388792, 0.7890981743482616]
12;-1.15639464;277.8094710999867;[-0.8221776191563425, -1.9353169636155774, -1.0144328721811018, -1.692032018821094, -2.223373011927855, 0.07717263371413337, -0.6492232085661903, 0.26758823152410666, 1.3254209147545386, -1.2429791042080716, 1.139651661743945, 1.5949275649723431, -0.6502513586692883, -2.2379295578527265, 2.86898611875169, -0.04440571893297271]
13;-1.155686308;279.4041361999698;[-2.307475713902368, 0.9975448428461892, -1.4345239922673931, 1.7075333659808367, -1.892747095602612, 2.1810260680458335, 2.3587370147152, -1.4446717458221663, -1.9107174835963887, 1.7362482254647962, 1.7320766393716802, -1.5152539604210822, -0.6269326854775644, 0.34928687253618185, -1.6470136060988232, -0.17909261242014207]
