run;final_energy;time;best_position
1;-1.1420182506666672;625.3880757999141;[-1.4872261289145217, 0.7760931596203279, 1.7766844723268649, 1.45643933715988, 1.5747639120944865, 1.5754325116056742, -1.0731272271814296, 0.7614950974290976, 1.478732591256842, -1.88689844588452, -1.123843103882822, -2.408800549977116, -1.1020357600183928, 0.553622167308552, -1.66724717808721, 1.782253223746224]
2;-1.1227508;616.5345584000461;[2.1701632570573635, -2.1482912951078763, 1.8173616161044344, -1.773982322708497, 2.4189980973321825, -2.2929924280193585, 2.0707315778506454, -1.3576531493703927, 1.4504789613770053, -0.20085488160979667, -1.6849417790952854, 1.782037711550923, 1.9993213928417846, 2.7925902028374088, 1.6300410349648928, -2.237056386196902]
3;-1.1403179733333335;618.3942198998993;[0.13329613829234951, -2.074338926922983, -0.4755267041036242, -1.7017893299313633, -1.843128967894919, -2.6776983514848625, -0.15440397519353086, 0.7485613997608347, 1.2911710283585076, 1.7359810616690736, -1.381910490174236, -1.1994613650129913, -1.4294772100230642, 2.1386453622388926, 2.264846881662232, 2.6860594675414227]
4;-1.0709306680000001;621.718311100034;[-0.8553922755437304, 0.539327505251154, -0.3220516134879213, 1.8940342995354662, -2.056040397776053, 2.1454348264339105, -1.4539359523868558, -1.2611531201940287, 2.4832936265528014, -1.5626638517151228, 2.1863474301966717, 1.1014496462213579, 0.9067358556716951, 0.9704269373023592, 1.1702708784883509, -0.5918452334816575]
5;-1.167092824000001;621.4996763999807;[-0.005262453102200877, 0.12939591784770402, -0.03523710060876023, -0.5683546076098768, -1.40369880020325, 0.3969640080685714, -1.5894350113278504, 1.066651040385211, 0.9854930084040632, -1.963845027188252, -2.344158659726324, -0.7106785444431667, -1.6553284568814404, -0.3103214556412668, 1.8341023172289657, -0.441813268671579]
6;-1.1485963133333332;625.0173715999117;[1.5046304228880116, -0.1545143883309084, -1.5701341531635007, -1.3348849903382174, -0.3745022621360051, 0.4980176391429993, -1.8904194965853702, -0.5556219714504611, -1.4956636501769667, 0.17943264844474188, 1.9513278722758773, -2.464355111390975, 0.41679941830418027, -0.2726745027364573, 2.3501722802813667, -1.607813102916679]
7;-1.1631327813333339;620.8509597000666;[-0.8910388542353187, 0.1479301628562842, 1.4459615217999524, -2.41793912780461, 0.321398742040194, -0.4139402191893004, 0.5530661444125808, 2.4604461064976584, 1.3057841145367024, -2.6940800428964526, -0.7196732052424679, -1.8835953817189752, 2.6907943573391657, 0.014094361105738324, 1.8883246203692183, 1.3427022751599509]
8;-1.0924306600000004;627.1858725000639;[-1.049702649654174, 1.6298965991661116, -2.0857258409988066, -1.6282605977738827, -2.2036039731528767, 2.9661841405824827, -1.1769024361138807, -2.8450493896257867, -3.109059149854347, -1.9380566996755706, 0.5209780883987006, -1.3740659735833674, -2.866452863714642, -0.8090566398914683, 0.5158312495248114, -2.9730889982377104]
9;-1.1529621520000009;624.8760532999877;[1.4652896335212215, 0.3476968420419317, 1.497385319640367, 2.0652052149119076, 1.9033766927401634, 2.027089975379204, 1.4253895444662523, 1.383929368179011, -0.7092113274107743, -1.864217672548727, 1.073815059920587, 1.4016066036485648, 0.3034971739662637, 1.649952055430731, -1.587381979754023, -1.5432093850055277]
10;-1.1599848360000011;620.3138946999097;[0.052508134396297895, -0.6796991117343427, -0.07651675465008255, -1.7388298604377332, 0.4995428158373469, -1.455996574624514, -1.80617094536763, -1.700808488065719, -2.8639774684725294, -1.1835330839094818, 1.7670742756407782, 1.80747710301742, 0.5868869351035718, 0.37689045060202, -1.3135901768141898, 0.6287098988429674]
11;-1.0885229186666672;624.8394981999882;[0.20881664272234277, -0.5997401229118536, -1.3877732679302803, 2.51574357759679, -3.1132302764782116, 2.536711896559031, -2.186072437685129, -2.705007922756773, 0.0317746823217186, 0.4272049924133056, 0.15973422417145325, 1.4850649425162052, 1.4312877639317612, -2.2998888552065595, 2.061351576257744, 1.1660967837668745]
12;-1.151724757333334;629.4955226000166;[-1.396319539654215, -1.2741160319486176, 1.3791830748316618, 1.6194575546971866, 0.1066830270326936, -0.8868505953662317, 0.2453457059173048, -1.2839409200099348, 1.2676908070044695, 1.5045605992194082, 1.6612225287580016, -1.5333920730969177, -0.3636151712445383, -2.3745387601180346, -1.3828562272130334, -2.963563815699325]
13;-1.159972246666667;622.3637232999317;[-2.6630990489828807, 1.6544841524494658, -1.5642293765393571, 1.7215714466371101, -2.537790079865863, 2.745585190946059, 0.24225488916818871, -1.6998240744549182, -0.9465395507907864, 1.3670965138647464, 1.3111527101644493, -1.3262260434119115, -2.201301414706218, 2.805738362845136, -1.6237787333892117, 0.17288511653142744]
14;-1.16110452;625.6714764999924;[-1.2512280441045198, 0.3717071608905695, 1.2170799893868534, -1.1503699124728124, 1.0630421255020606, 1.6998225212700009, -0.9965066707819776, 2.2269406571782406, 1.4102572235945883, 0.2515990044568636, 2.3549152327529694, -2.225372481881359, -1.6959432563795112, -2.0823978579082767, -1.5477491228946647, 1.4413729747164032]
15;-1.1605921360000007;625.9758177000331;[-0.39468302711707737, 1.360008008370187, 1.4190323257110817, -0.955956638972615, 0.25060224465771597, -1.2099733239246335, 0.1459577653753956, 0.89752990405352, -0.22635840959775638, -0.22007599451845997, 0.342655158487777, -0.7959985201225389, 0.058253837767117074, -2.949361857813154, -1.5407858283856586, 0.812826346156521]
16;-1.1620883613333342;629.7361066000303;[0.0701460652611488, 0.0439421130301905, -0.6856254801989504, 1.655898436554198, -1.5500596062269525, 0.34486328552690243, 0.14025722987875008, 2.963033945796042, -1.5718502874934923, -1.6162101450043214, -1.5810785025594138, -2.0378085699439414, -1.1617410544136928, 1.34173084966695, -3.0011424602464536, -2.684398061232991]
17;-1.1210729480000008;616.149509800016;[1.0261156802690343, 1.5647648503079625, -1.6127745119023862, 1.7690419819236585, -0.5780117757929364, -2.7704462350945556, -0.2555838105372016, -3.018839643560991, -0.16066134118148145, 0.6595194793143954, -0.02483608353901197, 0.022423553205363662, -0.4842270252598527, -0.9855411019571916, -1.3131940093329069, 1.6835982549900435]
18;-1.1542843520000003;634.2062876999844;[1.8513859253944263, -1.661843239969013, -2.2320608439276453, 1.1385640085196413, 1.7430013847674344, 1.5416448384028372, -1.743200951758852, 1.1203934207422388, -0.45239101325389786, -0.48078858570730515, 2.1129584255884644, -1.3205900254769145, 2.454524555782776, 1.2646381177146158, 1.7348441062285733, -1.4325004679875266]
19;-1.1407800333333336;620.4727754999185;[-1.565044229252157, -1.3932207543478734, 1.35429528078275, -3.021182823522227, -1.5645966418921504, 1.6276047682575596, -0.5239304208172533, -0.6758351200657623, -2.8303329197976925, 0.12754957508869266, 0.23443661022947346, 1.8628866873628938, -1.3067212401229844, 0.28146002393765, -1.6811011902695197, 0.3327204489423995]
20;-1.1319201906666667;622.0509064999642;[1.9786486399502796, -2.527497915013778, 0.8402193972801199, 1.543635029721281, -0.47327347806769676, 1.3714668999407376, 0.11725782334151798, -0.026959846193022927, 0.4606917589316708, 0.4364974809253316, 1.7436178710219095, -2.1024907830873474, 1.9498015507279107, 1.9668075741181603, -0.0521563546893224, 2.523252386478108]
21;-1.151709349333334;624.1865029999753;[-1.4549660041210948, 2.692389023222051, 1.1177777411075187, -1.8350684974980622, 1.683524772143692, -1.556914541386687, 2.436876353196352, 1.6386026861566658, -1.078247446659807, -3.0208880798399287, -0.8475592882828568, -1.3103547491322503, 2.189109776414389, -0.27810623358935976, 1.2829131846624522, 2.594372537007769]
22;-1.1550748560000006;626.4700490999967;[0.0012616388331725054, -0.1649646060279774, -2.2125861452821662, -1.5041938655224212, -2.974453449368165, 0.7986393076829479, 2.843782004020033, 2.8334108878017514, -0.08855596475892029, -2.4769639725157346, 0.3418187268475873, 2.9922234950416673, 0.012915593564344064, -1.014552854628392, 1.8377332729147067, 1.539453436533913]
23;-1.1308454199999998;629.7675673000049;[0.6662066673885453, -1.5229929288227755, -2.6578338408949067, -0.8794772145175386, 0.6769543329653789, 1.9185891440374636, -1.7817658698477405, -1.0351541588366628, -0.2898145177032103, -0.3218249146947366, 2.226535807432626, -1.5035734423224412, -1.7876587326581435, -1.5918803957103445, 1.67834093739134, 1.5090526069107413]
24;-1.1622480226666676;631.8404307999881;[-1.5434152546457611, 0.5781248702601826, -1.4722583991548042, 1.6257368368155318, -2.2118779767658485, -0.06369074566945697, 0.1313034695653948, -0.5582995805113473, -0.4378803966098864, 1.317052828823095, 0.3556221194512925, -0.12597411471472963, -1.3519769351864397, 2.5338316940888457, -1.7669241303567014, -1.1266421079241995]
25;-1.168864222666667;609.2405934999697;[-0.1846263140394188, 0.41155910200790796, -1.6550454488478297, -1.5437556137117494, -0.9966479218222248, 0.8689864582946776, -0.10191621991576603, -1.8701343574657703, -2.1550092202099025, -1.0922613555049219, -1.3170700059767384, 1.2398287672992954, 0.2592406982092914, -0.021561397461182363, 1.3085060927961463, -0.15808453816655973]
26;-1.159032873333334;638.7324656998971;[1.4380032951506527, -1.0051467222649313, -1.239547351889589, 1.580918755567013, -0.40221645656974325, -1.987210350152547, -2.927820430167413, -1.2813809158615075, -1.8433379135164678, -0.8546846741792655, 1.5808479715429786, 1.545826884415264, -0.7012956967312052, 0.24087772518070047, 1.8492665233700278, -3.0286574544299816]
