run;final_energy;time;best_position
1;-1.1898775154447765;129.73534479993396;[-0.011929013817138196, 3.141000247034995, 1.6679223407128667, -1.5662299306114114, -0.03344045165955183, 1.9689161761864982, 2.8845623342804867, 3.1364474349080327, -3.1379154477784876, -0.3059393038372129, -3.084380243737532, 0.004641563930915984, 0.8749625102301434, 1.4104880547484633, -1.722054554869668, -1.5664597640851254]
2;-1.1901058971722283;129.61590129998513;[0.02159460680070989, 0.00018207950539972755, -0.02200510775383572, -0.7462156210455806, -0.006717270477324188, -0.010508254524706032, 0.3930508029871101, -2.1643541831136606, 0.10403779066350424, -3.1136849134445046, 1.8270423314211863, -1.9049908796709423, 0.03294412980010967, -0.01704374338488311, 1.731781543481714, -1.1684341330639125]
3;-1.1917247484495843;129.85598350001965;[-0.003850055019183644, 0.3473980841235946, -0.9273751498133502, -1.5667434757693424, 0.0027201327455339823, -0.7660261748468059, 0.5674743674702698, -0.007373863975175279, -0.02799775682776292, 2.676749042372998, -0.21540152513736516, -0.007315198900173636, 0.5947813848178874, -1.4502420772283624, 1.6340838176706691, 1.5649190285309205]
4;-1.192983802180619;129.7009653999703;[-0.0011190072009685187, 0.1440091893399606, -0.9118398674985514, -1.5632372092099547, 0.0009829226491022654, -0.7543512813323409, 0.27732122704292006, 0.0011034204283254122, 0.004036485685505819, -0.5462841425438074, -0.2833297103977559, -0.011569899386401575, 0.3116447233736466, 1.757464549368937, 1.8195449313232273, 1.5642355729326185]
5;-1.192983170994754;129.75169289996848;[0.0015325340962230617, -0.14431983435106077, -0.9153212950669777, -1.5577077929586844, 0.0034602478100184317, 0.7425369337083869, 0.2679921889032231, -0.00528881618327022, -0.005497245662280295, 0.5601672219548628, -0.29003557383374345, 3.12447746793637, 0.24375541342471604, -1.7555907618973483, -1.8207086728734263, -1.5629191742135002]
6;-1.1929840736317476;129.8182170999935;[0.00010525850446013483, -0.144685846791533, -0.916858322665745, -1.5634160748310257, 0.00027324364606963307, 0.7567275497905627, 0.271699368481203, 0.0012854403176048913, -0.0003023057924439484, 0.542845131926974, -0.2824801335743152, -0.011203155381367721, -1.2663280399175567, -1.756158929690897, 1.821092641004119, 1.5639657108160423]
7;-1.1856404012980264;130.91138139995746;[-0.7333474891406333, 1.468606153930696, 2.3359676903975077, 1.574617139628214, -2.351540733756051, 1.0409759394536124, -0.8341442752227138, 1.5213023341501106, -0.12252406501364087, -0.9586689866425736, 1.6409199489103599, -1.5640118281417796, -2.110442298764009, 0.10428536945897571, 1.668818939703712, -1.0193835710185672]
8;-1.1831492537353854;129.73311359994113;[0.1198758730714199, 1.288153527105433, 1.2748852064056946, -1.5724553120359182, -0.4354089610547487, 0.15516864135224614, 0.05961372763528236, 1.3957658907338126, 0.3371476929911193, -1.6692111461015742, 1.6014762937730762, -1.5745562240906281, 2.1035771590910746, 0.004995670221445388, -1.7310204690834543, 2.86953420389288]
9;-1.187501122093417;129.7612748000538;[-3.1367250436443066, -3.136349377042824, -0.004893413984460132, 0.8947890577546351, 2.034780898160352, 0.6140806898382947, -1.5199224583909112, -1.189409831816182, -2.289505080340578, -2.1380181910394653, -1.5588927192955297, 1.5655109167537102, -0.5051695942608465, 3.137861312778661, -1.8688860685340416, -0.02874963006101853]
10;-1.1807292588933893;129.98134699999355;[-2.715504536916847, -1.3949657203671058, -1.5899872546182792, -1.5678422960742, -1.2933108341974644, -0.17249998383995874, -3.078018762756685, -1.7117717111962223, 1.720082188460515, 1.491761382511309, -1.5601530966313646, 1.5840101491537053, -2.9413793223541207, 0.019171716753565625, 1.7131187385786115, 3.122020347792196]
