run;final_energy;time;best_position
1;-1.1857063498016056;427.23798610000085;[-0.5194781526267376, -2.539693950505122, 1.6945430566254338, -1.5575735920255094, 2.4047188678757436, 1.294863847971901, 2.915503987286104, 3.0411248322611506, -0.2930798591793392, 0.7083109750145932, 3.0054522475099286, -0.05069471361089324, 1.2097945685321663, 1.6446213996553671, -1.6490385346681498, -1.5751542227429502]
2;-1.1792652920565783;435.8387296000001;[0.21187081010906156, 2.5236720658754077, -2.151358807856279, -1.5700743965127044, -0.04255398466870133, -0.015232502505674065, 0.2785075564568664, -1.5357763168699874, 0.20017421765490945, -0.5694306698630988, 1.566670979790253, -1.5432379874432847, 0.6887272864315711, 0.12822804011471936, 1.5254756749247425, 0.36050515686655005]
3;-1.189245424624315;442.5800276000009;[0.6843953799802432, 1.2329464249119144, -1.313277510606826, -1.5342885233452184, -0.7715932155670608, 0.5321013429815933, -0.0892392427124361, -0.07190619120010562, 0.9890719417968541, 2.3546838801418475, -0.29729362477331717, -0.006695552497256247, 0.6004542381007608, -1.324380493086528, 1.66834966799731, 1.5495199521478173]
4;-1.1891581862931169;440.9097199000007;[0.4025462957651929, 0.4614699701215888, -1.3223432345679738, -1.597092271301511, -0.7410206656267211, -2.0112405713194614, 0.2992480963196974, -0.03667665511571415, -0.024808627363260456, 0.5899896066908743, -0.19550666266360336, -0.0057745938442959124, 1.8852915976610358, 1.1624423801033414, 1.6626631807596877, 1.5495759004850416]
5;-1.1905409282855968;445.54524429999947;[0.016967384571725072, -0.017855893271480704, -0.8927891700044635, -1.5439558119497452, 0.46224278958090814, 1.2183548268990678, 0.6297245555747223, -0.028552302234667384, -0.7806774965761295, 0.25475364748964385, -0.036026842989074624, 3.0949296613469968, -1.1990597535211922, -1.7016676004836977, -1.6045688638861728, -1.5702084352988206]
6;-1.1921664586403442;445.31070459999864;[-0.028145102735092013, -0.15995126430089, -1.1287053231356643, -1.5859572014139425, 0.0821291828047878, 0.8931123045465473, 0.2327278135856065, 0.009655003118617143, -0.05045748894981397, 0.3716797500994487, -0.15497544249912146, -0.006148429582453525, 1.1086996260293736, -1.827115876182117, 1.7260782243733512, 1.5494869931137756]
7;-1.177545469080027;445.33426970000073;[-0.9294073951492258, 1.6131284231791323, 0.5986018335730499, 1.5495482511470056, -2.1981790312931944, -0.9856490543914938, -0.765421950872916, 1.517269999978194, -0.04013072208870001, -2.3108791886222906, 1.5049226178567556, -1.601874057926344, 1.0826863480111701, 0.3407220330130648, 1.6511490873535204, 1.1263838065605238]
8;-1.1378317259162096;448.020245300002;[-0.918664332889955, 1.5365246750393617, 1.1138805729378942, -1.4021247901443978, -0.6562644674555702, 1.6778709180242413, 0.35696333316039147, 2.476857365932104, 1.596750418804354, -1.7712290495574488, 1.0972350976544356, -1.2117079892970242, -2.4654900193652143, 1.3486646824188195, -0.6187870147378315, -2.893690778400209]
9;-1.173094773099235;441.47446409999975;[2.9361602550459303, -3.0544751217843538, 0.0577176494288506, 2.1094702659121523, 2.087385947500822, 0.7241135386123626, -0.09670299529116637, 2.7537411594564536, -1.8804632809630015, -1.302641678450823, -1.6379760204340401, 2.768860212475023, 0.3129382443993173, 1.7640151287088834, -2.7470786220370074, -1.208085699051035]
10;-1.1683134053670128;448.5182494999972;[-2.355257456010155, -0.6741244658506083, -1.4811888903365313, -1.6072378892949626, -1.4564973221661879, -0.838485113124468, -2.222148654265926, -0.9521385315772163, 2.045647906870377, 1.211913055564556, -1.5565861988586673, 1.2551189298580931, 1.7324453032171212, -0.9237090378425966, 1.0380845126157117, 2.6117766148644868]
11;-1.1730852288773943;444.56293000000005;[0.8210915727715703, -2.2555717564329587, -2.974162855239058, 1.2726082822488791, 0.9411321555376473, 1.5629320907240865, -1.4419103697241376, -0.51039446269063, 0.38514176054441795, -2.092685625821745, -1.4756706670649324, 0.6143290437778286, -1.1335481510698475, 2.405633961999685, -1.3758998778264944, -1.1288913521700559]
12;-1.1844325548149262;451.1315967999981;[-1.2868415600532623, 0.4044849602631465, 1.4176218712460655, -1.5450791562126296, 1.7038846552206455, -1.500887184970818, -0.0759339292287605, -0.06187794104219406, 1.1826585898704998, -2.3502325147788423, 3.0293969940194088, 0.007495899996296036, 0.6229763766177177, 0.8622602592729939, 1.7153504906765709, 1.5639227823012274]
13;-1.1892528198864056;445.8360729999986;[-0.6573029641819836, -0.3121720186221328, -0.9054020746649879, 1.5897140244125134, -1.057977617901913, 1.4198539935780554, -0.521492757405588, -0.016598278510913025, 1.2930786395462426, 0.28733279873477774, -0.4019981720566164, 0.04143360151243745, 0.4781608746164364, 1.4826630748202119, -1.7975539777828764, -1.586523142231039]
14;-1.1885945277907073;450.56244250000236;[-0.5056552402586619, -3.1374397417644557, -0.8304773500025857, -1.5674724664100075, 1.5400957825330523, 1.5819410654641122, -0.9612039006959646, 1.7491411443044949, 1.541377377268832, -1.8712343347489955, 1.6220478931164966, -1.5944408272128168, -2.0262004052942384, -0.008079927273928835, -1.7569504966004301, 0.41341549095093144]
15;-1.1840056548918048;454.85616110000046;[-0.657413715483542, 0.597395232442978, 1.4847513957764964, 1.6178351729050937, -1.7926496774086964, -1.3132988690545466, 0.18526880336593837, 3.0618646915609213, 3.013313949243235, 0.7140370811236265, 3.055529342854669, 0.04751334178826688, 1.7751772680080193, -0.9835134463734365, -1.5984105290629396, 1.5617904895771373]
16;-1.1824808142664875;446.52182840000023;[-1.1144506249549584, 0.45981017420820114, 1.5631029673014756, 1.5191811099341297, 0.12240926828698535, 0.236971778054992, -0.18200444799011065, 3.0844052134582145, -2.816917494683495, -1.7298944591924919, -0.19864950930341285, -3.1393892838214374, 1.5232855758989843, 0.8143891066061311, -1.7136628691817817, -1.5976985424605898]
17;-1.1809867312418887;448.63511449999714;[1.7390089808505638, -1.063052554988078, -0.65677141065602, 1.5440644075198586, -1.537462060646512, -1.347607247856477, -1.9467419319084915, 1.4035412630586865, 0.8311011300432692, -2.352457685587537, 1.7406223088161945, -1.4477162472144731, -1.067618171674934, -0.2996561573538666, 1.7973743417283508, -1.2824251612990503]
18;-1.1733431849868592;453.537696899999;[-0.01830497445972598, 0.62302178676508, 0.7468031758824609, 1.9871365171100328, 0.1800841762644115, 2.552282993386503, -3.128517068849632, 0.24027305181365416, -0.3153485141684158, -1.5089411604110103, 2.4489539633372077, -0.6354138213723121, 1.3101667699231372, 1.4488538093138223, 1.2338116064607567, -1.8407986438841684]
19;-1.1905574521737692;457.080762900001;[0.19270092057932964, -0.01367311259412997, 1.1683657945441783, 1.5662407525812683, -1.0580519590728243, -1.3518521696279704, -2.5283172131895317, 3.1014109065316986, -1.0923365970430943, 0.27818371545173487, 0.12117525464223115, 0.008654882377269187, -1.098719439590326, 1.5044217572961196, -1.8002508778935924, 1.5864300219515557]
20;-1.1356977115517535;441.61446649999925;[1.496406451120598, 0.12437509786341475, 1.2330254665632256, 0.6764473036922423, 2.1367031511356576, 2.1364542727383533, -2.850603243368309, 2.464686801112022, -1.887535095062561, 0.6139872944950211, -0.5381418689880417, -1.5235826523576286, 2.4432483672003724, 1.8002420632503888, -1.923523397919358, 2.681062652561168]
21;-1.1746816293170623;463.9471286000007;[0.005438479687747937, 2.348101604797745, 1.7907220679042881, -1.1976394149292684, -0.12682660590926914, 0.5472132158059854, -3.0686462475389704, -2.9150354256915945, -0.7447995592212505, 1.9503165081798899, -2.770032448816461, 2.6862700254593035, -2.4749427070493955, 2.246699725110615, 1.7558085800736123, 1.661643216982542]
22;-1.1738531564945205;448.08801830000084;[-0.46275389048889787, 1.7466338297341693, 1.849976640539162, -1.5359319784690901, -1.8646362456384773, -0.42591958182694334, -0.19145623731184067, 2.967425498864569, -0.6365232845076119, -1.176358752541453, 0.24733673884610802, -3.1293630225293305, 1.4398116337375912, 2.0517850253769816, 2.06495623268806, 1.6971685315748832]
23;-1.1445669882245622;450.6442919000001;[-0.04263784448644744, 0.1420549048081012, -2.8879340803554445, 1.1596579851210478, 2.1530743374943664, 1.2459041276979022, -2.7926496063921156, -0.681524561840835, -2.114216795472047, 0.728357051745063, 0.8388997972080972, -2.200722933712016, -0.3890532136166151, -0.42353001920482813, -2.8266945607770895, 0.3668471431953308]
24;-1.1846995024670226;453.29585919999954;[-0.0047691290597601235, -0.09270343420531328, 0.7800111749493609, -1.0869782169026239, 0.04191848154552995, 0.006107214617930913, 0.31198122742928214, -2.9252040981725913, -2.3691283195420065, -1.1634988796391703, -1.0630078237110845, 2.5261397188913643, -1.280225563872614, 1.3788301331300978, 1.5982471243093226, 1.5401534456777475]
25;-1.162736983999032;455.5940229000007;[-2.688233652113763, -0.8672481164697035, -1.8160714685527637, 1.4946326293138883, 0.28432357923650964, 0.6163704044778787, -2.813998150966852, -0.5549847704690846, 0.46459906682717467, -0.2551236487769662, 2.226109138848718, 2.6996647414979575, 0.1234313189101296, 0.7020951355919913, 1.8791128247234725, 1.925698574120225]
26;-1.1701690727554672;459.21203500000047;[1.9999636280682545, -1.7584437558908368, 2.5284480283889437, 1.5728802824432242, -1.7538953249256684, 2.595599652069309, 0.7537799024046401, 3.061950785222449, 0.44944797747525705, 1.005169438738149, 1.9676043498247926, 1.3817765936829058, 2.6336756240428394, -1.7848795817558922, -3.0716704966055106, 0.1795046664926937]
27;-1.1815113846669916;437.3896519000009;[2.532421915152588, -1.6891267666671697, -1.5403380427272688, 1.5514458180514799, 0.9673770302879459, -0.25873676969814746, -0.07636898862741426, 1.715817998522617, 1.586177840415899, 1.6495152792688117, -1.5886084625121335, -1.5968116170260187, -1.2341222941969483, -3.0532192417453845, -1.7116482745643242, 3.135363345037616]
28;-1.1813120195200275;464.06778230000054;[-1.5301601558161413, 3.0243692650278073, -1.7545323660884922, 1.3981449220965498, -2.261988229796892, 2.2721266413199874, -1.7972242290044758, -1.5173155092416328, 1.7438856271162093, 0.037678657774783283, -1.730853539455773, 1.4948089467570422, 0.9474106845463917, -2.8941172622636575, -1.5458375385244767, -1.7424021604389641]
29;-1.1905615149249784;453.25083359999917;[0.21586826157289038, -0.07382668376497291, 1.199445730187627, 1.5674820779319258, 1.1359824627323447, -1.6709790179044715, 0.37215619462874255, -3.1382913997869375, 0.8683957403846533, -2.98124728471453, -0.0857128410698169, 0.0012301735806022822, -1.1788291868585385, -1.8256543315904934, 1.5771790322559882, 1.5496470226117016]
30;-1.158122101176525;509.15683889999855;[0.16466525470753776, -0.13556408607239168, 0.4128653943482923, 1.486658521287834, 0.5422656555380803, -1.0093314816361214, -1.9237344192847718, 0.15653624481759892, 0.33675444434892826, -1.0090443829281148, -2.35527049412732, 0.07323849550785441, -1.4310644532581624, -0.206621010386905, 0.8866374238670481, -1.4880622750798378]
