run;final_energy;time;best_position
1;-1.036584612;327.3574053000193;[0.2726292991335681, 0.33761698624467806, 0.6371038265162641, 0.47925845134792766, -0.182340101334498, -0.6249226422707088, 1.5525475687500074, 1.289943325910596, 1.837985589054255, 1.827947040124051, -0.3637045316697916, 0.7761415476528737, -0.985445470852466, 1.0992039145430617, 1.4553185846971282, -1.4591184604433023]
2;-1.0424805719999999;327.1207565999357;[-1.889483731514631, 1.0757000478689125, -1.1842894255454288, -1.5937489791964903, -0.026137170475965643, -0.928039783234656, -0.27918127998645764, 1.555176751179041, -2.1487392319610565, 0.6779558904725169, 1.7059265675365096, 1.7039775849912302, 0.3756531424972537, -2.901694431703713, 1.479947996481241, -0.10511343584955707]
3;-1.0335114920000001;326.78878740000073;[-0.12415366368970436, 3.0263673557403057, 0.1252277693129734, 1.711574677948605, 1.4877639791995905, 1.555310040594316, -0.2231928475200146, -2.8203189709450096, 1.5362058621179446, -0.6573428859827203, -2.3823391885860734, 0.46557831040619296, 2.3367765020985023, -1.6963705213471685, -2.754828319306887, 1.0815050304651206]
4;-1.038824536;326.8462779999245;[-2.202412291499885, 2.8253363907407323, -1.890512176508675, 1.6958966286710508, 0.6190650330861711, -0.20452744062766565, -0.2892392456096554, -1.886657860987694, 1.4105106554008393, 0.7166586370559178, -1.7028627463674293, 1.9812527934786035, 0.7970773869173647, 2.372148601239437, -1.8475715848343752, -0.34966089519381416]
5;-1.032456456;327.0958943000296;[-0.6714361445425203, 0.390512499894404, 2.8388914607143136, 1.7812054104856363, 0.8957274081302985, 2.5767431524731683, -0.7352572074830603, -1.3491802303974285, -0.6967305042018658, -2.556051724404283, 1.5574497659197484, -1.5270383405094914, 1.498496046333398, 1.9417200628015163, -1.6515686668952418, 2.9143914575434913]
6;-1.0278320040000002;327.34949799999595;[-1.3726388866067458, 1.0266474980857199, -1.7889138232501673, -1.7376162579923196, 1.0741623451559645, 1.6349822846604751, -0.1975947338748821, 0.8181891944813278, -0.5024951279464075, 2.6409655820542777, 0.27378919203960067, 0.3726596470314519, -0.6412673003669457, 0.14111912023826761, 1.3662303802451599, 2.4707940218531315]
7;-1.0320202040000002;327.38207209995016;[-0.6004520124893926, -0.6905855149948619, -0.6494549107284188, -0.7761521026156002, -0.6364586908699973, -1.2656777423508925, -1.8846527555146342, 2.404396150737148, 1.7837699852142122, -2.383302078637431, -0.48775600275213626, -2.2663832074372783, 1.5123788221414158, 0.857486970377583, 1.3846682449619405, 1.6457202334203447]
8;-1.034933904;327.37794599996414;[-0.581590650739623, 0.03588129430428319, 1.6761295307863275, -1.5657692357499968, 0.16676727110097625, 0.9959813527307482, 0.11104174156197175, 0.1741208368290458, -2.5617411110736876, -2.3612919964596832, -0.28023383016816183, 0.06220606817921258, 0.20234841304999981, 0.6663079958368014, -2.025878385156043, 1.5479218692114542]
9;-1.038287932;326.97887570003513;[0.2961747190902202, -1.9710155683551571, -0.9052645241131475, 1.595194307776562, 0.4014594155586773, 0.9234514784101817, -0.8120755321200408, 2.4560892674432897, -0.8861408260292541, -1.6904877789871218, 1.2738203091977023, 0.731749640292894, 1.2875990761179823, 1.0084120199024431, -1.4952667559883928, 1.5100116730915327]
10;-1.0420438440000002;327.47402709990274;[-0.2351246938409729, -2.556053223401864, 2.732715149294669, -1.294377095987934, 2.69091642811318, 2.190446941368482, -2.3768404794784335, 1.8520883886634054, 2.4786430436147415, 1.8818141907978336, 1.7968447588990486, 1.1792414972513794, 0.3992730989879499, -1.60260177271087, 1.3595380204591867, -0.912584247957266]
11;-1.031242588;328.0851818000665;[-1.0825655703304922, -1.8712814985297446, 1.5724529485367955, 1.80399296606226, -1.0385804111469343, -1.6602944576711112, 0.5120506817785512, -1.2372841247399238, 0.7075119197989176, -2.752503255970927, -2.616453026266959, -2.3017951209052994, -0.321216759635799, 2.8960013167283796, 1.3656330244437838, 0.6239463949425612]
12;-1.045922716;327.2818683999358;[-2.250949800427967, -0.3239092294977256, -1.500424792074682, -1.5123583123397355, -2.161437066703827, -2.702323357523842, -0.008446386546839827, -3.0881601552967908, 1.3604382894752534, 1.6938390138052568, -0.09654316723355928, -0.1397831832401423, 0.4417862796685959, 1.9337844047380297, 1.6581032630713988, -1.6789637348801822]
13;-1.016656236;327.5132887000218;[0.5344380913554454, 1.933980769538519, -0.4063004394139524, 1.6293725047334344, 1.3224150218775617, -1.6641086389989246, 1.3550742932117403, -2.9594905689794073, -1.5281076648833418, 1.642905258451898, 1.7341821687161312, -0.6762195185742034, 1.4821122546115408, 0.7148726034413626, -0.21207324900425753, 1.1105778321717323]
14;-1.039225904;327.1153186999727;[-0.34216977221005385, -0.7671267552676281, -0.8254062844238957, -1.598794082406714, -0.3638103354019208, 0.5375487455438706, -0.7179642690300502, 1.753102699367199, 0.2373963834294601, 1.1026004394594102, 1.5625865954574103, -1.624999617847804, -0.4698821405918123, 0.665249935914734, -1.8853028341195894, 0.4555780479727676]
15;-1.022985072;323.5959186999826;[1.4476891051733751, 1.7656996911982872, -0.7616375985496787, -1.677266091867092, 1.4707341013622695, -2.467934133182159, 0.7694427320330582, 0.14712302867450927, -2.854265421224789, 1.6755282301974732, -2.5407934255632014, 0.24799164212806935, 0.9563546161489096, 1.625671744386279, -2.650443722521467, 1.3054747579552148]
16;-1.045192928;328.0468699999619;[-0.20573171591132225, 0.28514970024825614, -1.0631794210561243, 0.939020343248482, 0.19169892178357711, 0.5115066790786642, 2.3509077361720507, -2.518822743355963, -0.8370964439574347, -1.9846633263483966, -0.22090833041432092, 2.632997722992477, 1.7309963338804215, 1.646250764069506, -1.6097150854823972, -1.4326137437638813]
