run;final_energy;time;best_position
1;-1.09395104275887;189.75995310000144;[-0.036437995601553454, -0.046767888429612325, 1.2134413007714857, -1.5695979455672644, -0.5854244026353055, 1.5181421672541757, 2.901621938849934, 3.135900805227312, 0.5891865378109536, 0.14859871971568414, 3.1415185669854853, 0.0036334425266117344, 0.6984802335225239, -1.6724111091379685, -1.7058871133752171, -1.5664721545043636]
2;-1.080980753840149;189.45271199999843;[-0.0974196947016861, -0.14667740831883117, -1.3632248146967747, -1.572730854127999, -0.3624583614969934, -1.732380315529494, -2.9409357862457974, -1.4641775876851268, 2.79067235725529, -1.552775181895076, 1.5480705661251786, -1.5978260245807707, -1.267673615335361, -0.006744160452313433, 1.6866284315061222, -3.099562601697383]
3;-1.0812150737037745;189.67368850007188;[0.39863365608121615, -1.4449252221719064, 1.5862033716696655, -1.571927607113727, -1.1283552759562687, -0.8169630365050653, -0.032062243254753965, 1.4691916104507239, 1.6397493810968216, -1.5684242788156135, 1.5814124105918363, -1.5808180685148738, -1.2649016530101291, -0.012988639729472026, -1.6707627538552146, -3.141375063311431]
4;-1.0877979907301665;189.54842779994942;[-0.04105967185034172, -0.2423644795895694, -3.1345181632619825, 1.6120593355722583, -0.02428802092145253, 0.027131503344383245, 3.1357899865521133, -1.558432118381647, 0.22161715764678355, 1.4321940814783178, -1.5683655278134732, 1.5790696025202304, 2.490968475729706, -1.420005533720143, -1.584415545939811, -1.5148659347417097]
5;-1.0946207355886477;189.825714699924;[-0.0020362926472629428, 0.21075333022220355, 1.1580559366839203, 1.5659818562445083, 0.0013679387431702616, 0.9092794834647755, 0.18603116044994747, -0.0014731496404415904, -0.0029741125995670745, 0.433514529742467, 0.17650787064199505, 0.008463514060599113, 1.6849508873736363, 1.8204243125232833, 1.7433081095802803, -1.5643383877718962]
6;-1.0938194749167105;189.89950200007297;[-0.2243590482027963, 0.011143497346510618, -1.264125793348509, -1.571005313125594, -1.583108750341867, 1.581405860386891, 0.38274007649992753, -0.002629264635398062, -1.56710030635122, -0.20129467914464655, -0.08803934070534275, -0.0044548534923552815, 0.3160142253286211, -1.7001291093874191, 1.636930310811422, 1.5654664647114491]
7;-1.0935595149834634;189.94058990001213;[0.0030876065894681367, -0.029749844154683763, 0.0060841037079668505, -0.022559825002018113, 0.07717578185855235, -1.7666059881232135, -1.6776394458023547, 1.5922120847155872, 0.09484868138933009, 2.9693931213290243, -0.0305639796612902, -3.1082968450124193, 0.5367731336851165, 1.6673481147909748, 1.6828790639756677, 1.562733956623088]
8;-1.0930962270716726;189.93828540004324;[0.011551376007664019, 3.1404419898984566, -1.7947883749632185, -1.57544616039111, -3.1330178611710884, 1.813313981821075, -3.023073656385328, -3.1408935395832356, -3.096909741966215, 2.918532163397473, -0.03515631782222786, 0.007586342044914555, 1.6244754451365948, 1.7083963422956947, -1.6916611877490628, -1.5687805347905235]
9;-1.0930126201873123;190.04820859991014;[-0.02948922506455603, -1.8870485572246276, 1.698435572819942, -1.5701370277541429, -0.05596308430514431, 3.1377014298349963, -0.07312765048318456, 3.1381577693058267, 3.1268064494877637, -0.2978488903142485, -0.11723248823723213, 0.007074502864241325, -3.121912192205336, 1.3835340973369656, -1.634683325696285, -1.5654334666164715]
10;-1.083171352901618;190.31111680006143;[-3.129283630183546, -3.095321310246448, 0.07810901086256208, 1.145342779309913, 1.7774203579013237, 2.029335444240024, -1.6269489926790501, -2.6328223691935166, 2.1784836696711216, 2.791947710148675, 3.1114903312068263, 3.039361907470748, 2.7121974659589405, -1.0071715646454313, -1.6100507886960997, -1.5693887267018518]
11;-1.0946001952973978;190.2892238999484;[-0.0028958848929563027, -0.12781146847652577, 1.144159124013999, 1.5726567753210567, 0.0012849246961669487, -1.0144591869586443, 0.22253753173271784, -3.1341166502933975, 0.0035663659109936145, -0.42229245026383216, -0.14007571337064353, -0.0016803852163691083, -0.04201203305123261, 1.817640694695693, 1.7453579691941203, 1.5647575959678368]
12;-1.0928401673778876;190.36148560000584;[-0.5122382192951612, -2.395168645565682, 1.6005261987029291, -1.5710514399182047, 1.6477170986139051, -2.2586877611774887, 3.0038530721489427, -0.004615719009228957, -1.9927869697746317, -2.752282799684772, 3.076306205783133, -0.004338052261087686, 1.7162174179797853, -1.342462034656153, -1.671481318550857, 1.566981789592409]
13;-1.0857925362615872;190.41021239990368;[-0.03152264366801451, 0.406192827600583, -1.6995694781370125, 1.57009257511913, 1.1582924333466569, 1.9184848104305505, 0.10896476152073933, -1.4240646088952178, -1.1434582302997036, 1.5191848184415189, 1.5690098985456764, -1.5720819392791936, 0.6554090520451269, 3.1401845501039216, -1.7168259516331534, 0.034535216869389485]
14;-1.0896972462996748;190.29740430007223;[-0.008695312373148136, -0.028855030878565127, -0.39119415721952405, -1.16208954188774, 0.02458799335362195, -0.11044567727563721, -0.4100209263698373, 1.6670039839924176, 0.07988012366153598, -1.6248633320030943, 1.731485027055351, -2.055634570336419, -1.2958884323938191, -1.5707155451026333, -1.6348071445155619, 1.465754064230713]
15;-1.0765114673425968;190.33789830002934;[-0.03678887819927249, -1.0446971628263753, -0.30537234531369944, 1.5922325515896207, 3.1026540481815195, 2.8302292966704345, -2.5199114471137207, 1.5704018328514922, -0.18812403171062272, -0.4911765463082106, -1.5291707598146453, -1.5640672030226028, 2.2179705539098182, -1.524170145077768, -1.5927268934608907, 1.3638222054123095]
16;-1.0941835684152248;190.41132149996702;[0.04556472540776685, 0.12237132222245227, 1.144446720630726, 1.5691399172691407, -0.23570938291664867, 1.403823977295793, 0.26453253658237796, -3.137491849992817, -2.8892183920773507, -3.1007569458888797, -0.06358563756159244, -3.141069837992922, -2.607961247480451, 1.5945948341794371, -1.7420623348783373, -1.5655668918365582]
17;-1.092330814927682;190.79084090003744;[-3.1415607588304795, 3.1402729741844135, -0.001654266068281773, 3.1412905195729706, -2.9951385484599107, -1.3670529069987891, -1.4722927493248015, 1.5719386148644976, 0.1408842949731188, 0.20190359050639795, 0.03037308709867303, -3.1413347019596403, 2.277963957386343, 1.6745269866132053, 1.673028591721857, -1.566956665355161]
18;-1.0936704300953348;190.54088179999962;[-0.0007778512895092194, 0.036537376754228086, -0.010610929968744881, -0.047635708953399795, -0.014540255920643126, 1.3074762008684386, -1.4591371611230224, 1.614829366872244, -3.115754149096625, -0.25698436719588114, 3.1011330871537095, 0.03927366340416535, -1.5137608102210027, -1.436567962835956, 1.6836506423547677, -1.5695395792425464]
