run;final_energy;time;best_position
1;-1.1240024960000001;348.0887197999982;[2.0484008622059853, -0.38333851118542034, 1.6015489226129418, -1.4510505598355579, -1.5719514361182763, 0.04116807490824885, -0.06946266678630524, 0.5198450861931112, -1.2208089043654, -2.628947379734177, 0.14175397392874717, -0.1258726746261292, -0.09857513947194455, -0.38812397441421653, -1.6140631804115673, 2.1025500620185165]
2;-1.1309706400000001;350.67308129998855;[0.057629621764126754, 0.6786388672630553, 0.22173223875860482, -1.6024648654312001, 0.48054149585177314, 1.457796307541642, 1.4544325236893259, 0.5429194791283618, 2.475096224782488, -1.5293971551786865, -1.6210794141161227, 0.8734565340584177, 0.08231937372310089, 0.16832750527132062, -2.355085296344729, 0.9303952398464049]
3;-1.12120668;353.22394070005976;[-0.2144671635156305, -0.39214666122389713, -1.200859542382591, -1.198974598518306, -0.4482975387648161, -0.6939896246274835, 0.2016120224380024, -0.08419941991063398, 2.526577935875766, 1.0690591329260084, -0.43628048399350927, -0.2873019981138737, -0.3553212826188351, -0.877609368339896, 1.9783069515737068, 1.6410641287087433]
4;-1.130952456;348.54555039992556;[-2.9754785986427903, 2.743144932819578, -2.0503791347183884, 1.6732523755285942, -0.20827493147549123, 1.1636177263662346, -0.6835353804067356, -1.9488973670157623, 0.1650342958029805, -0.6485736458749848, -1.2312103562968777, 1.6566287150486632, 0.13572126999220077, -2.20564067090526, -2.0479974769684093, -0.5944616299235727]
5;-1.129842568;347.8632703999756;[-3.0398991169276965, 0.004438493986162067, -0.29857593601483395, 1.814736590663579, -3.046272941408863, -0.04671030167202937, 0.7291892236958163, 0.17778550566960036, -0.030254652235666712, -0.024815324235542145, -0.2258226479912438, 0.15303992459879287, 0.9831639156062799, 0.344678111798116, -1.117651536888064, -1.57651478710774]
6;-1.130475904;348.16618179995567;[-1.4982370146934694, -2.055966057798514, -1.6079266903315461, -1.4970200301477867, 1.489893365369954, 1.3508635927319053, 0.2710938607476644, -0.3472116792908547, -0.662830377549402, -0.08465584866302911, 0.08314809082176969, 0.016255716494703223, 2.8053163322198267, 0.008375188859505679, 1.719844958238761, 1.2379331279488726]
7;-1.126131204;348.1689763000468;[-1.0675938819629018, -0.2966995814230154, 1.1805965040570712, -1.6954194587381264, -0.732883919744506, -2.2581446210612777, 1.3070679956785403, 2.0298830922943907, 1.9636853546394235, -3.0922460082519057, -1.263636593944261, -1.1817391179492027, 0.2688810530791983, 0.1053556883784953, 2.0621140600906425, -1.431553661166973]
8;-1.12704118;348.4350561000174;[1.7497624061158152, -1.9931641499521544, -1.5427940956282382, -1.576291845664685, -1.7894772545477375, -1.8091323478282804, -3.1107086011003533, -2.985407650342908, -0.5081348189291196, -3.0978015887844275, -0.006528821159987688, 0.11268080219410218, -1.2400675694099772, 0.6088462260832874, -1.6049233305398953, -1.3367049902169517]
9;-1.1204876480000001;348.01023540005554;[2.2884532822379327, -0.8906319514213283, -1.6553075258988126, 1.1344636917870936, 2.2004928940128115, -1.7177132662688148, -0.02865267085281508, 0.013543415926455783, 0.47275058814210175, -2.3927639294657266, -0.17233706790949177, 0.370160276184005, 0.3836523775215324, 0.23968618380949613, -1.8658878787523145, -1.6602772217722381]
10;-1.12215672;348.13775869994424;[1.8720714158194665, -0.6644635417353784, -1.4108088875711216, -1.5313134408782683, -0.5199257244530264, -0.3812622677260763, -3.1269856647110528, 0.7891129965189325, -0.8960311430179253, 1.096910812504094, 0.3340284463349222, -0.3032375839403193, 1.2429116862707918, 0.1260761750764786, -1.7609885922701936, 2.43754623033988]
