run;final_energy;time;best_position
1;-1.2177906996783399;215.0960928000277;[-3.1171126980329324, -1.7538531001438913, 3.141031680920361, 1.5705674740937898, -3.1197721156576796, 0.012203831092129814, 0.004914751610200553, 1.5711152563008839, 0.004656021883509768, -0.7786625622388761, -1.5702308552371071, -1.5715882366324352, 2.3253870904503793, -0.9673720690230575, -1.5763779552406623, 1.5632991443820696]
2;-1.2220024165233223;214.68797000008635;[-0.007780117540809083, -0.008625984989022707, -0.035012177982546265, -1.4480140101788457, -0.003607089405788819, -0.0027675233679406697, -0.026403755325955965, -1.604221167243437, -3.0802595269854, -0.007409187182140728, 1.575098708540068, -1.6655927870158793, 2.5174900490834378, 0.007142489405474251, 1.5828016376213399, -1.564077410888973]
3;-1.2105701523803336;215.3742370000109;[-0.045791317588655955, 1.460028577606651, 1.589642320603209, 1.572379645746731, 1.5273093182179278, 0.07565581616471183, 1.742909243658002, -0.0355298944030364, 1.6602558309852649, -1.583049614188454, -1.5613690247269463, 1.5467636971876844, 2.0025768305967833, -1.705378834414335, -0.03867914684345597, -0.024393195019746138]
4;-1.2195229166566335;215.07932170003187;[-0.0007936857993545965, -3.132791890307312, -3.134147957708819, 1.4955806664151947, 3.1141314670053863, 0.00576899810039459, 0.006812654508203053, -1.5420399014048718, 1.779576814881248, -1.5589628498245447, -1.570152966468065, 1.618611774083722, -0.006621429224443998, 1.575405353987849, -1.5775913976434606, -1.542139128399678]
5;-1.2165958930404566;213.69335449999198;[3.127825884568895, -3.1377096112882326, 0.07214788060763488, 1.5453939521561297, 3.140391358678947, 0.008679772001466137, 3.092678512011848, 1.5291826253021548, -0.03136188566225449, -3.128225098255914, -1.7559256155134222, 1.489302440091695, 0.5777267089697271, -0.08768096651906228, 1.3973899175132487, -1.5863629679462596]
6;-1.21880384420214;214.67938079999294;[-0.0004505012294112462, -0.005605328154472348, -3.140338735051471, -1.6317415662194072, 0.020713662541459305, 0.006162526185576707, 0.0017288603580784467, -1.6056892806388317, -1.2979420533613955, 1.5662942245182543, 1.5708900252959515, -1.5429397743178663, 1.4376247513549165, -1.5743669853405016, 1.5756561296888114, 1.548332982439689]
7;-1.2239233681290442;214.867435400025;[0.007334741968810035, 0.061712090500403924, -0.0036672292585347, -1.4985023373981547, 0.0037374869899329866, 0.005340649349233933, 0.04128079721810351, 1.5372680845805875, -0.012416968168680768, 0.047728436160674285, -1.5071423986618353, -1.609958069476001, 0.36437542345560314, 3.1399684562302648, 1.638421563573593, 1.5202382778301036]
8;-1.2097693736653534;214.35342940001283;[-3.1136868927807386, 3.137785009259872, -2.7855025746121136, -1.6025912689199788, 1.584941705233619, 1.7389413178418545, -1.0798902336106702, -0.7035350458573284, 1.5458100769039764, -1.5521678819949298, 1.5764993616506315, -1.6143021550014651, -0.8640404762628928, 3.0177084808860153, 2.471179759506726, -3.090180163448228]
9;-1.2219937130763172;214.82604219997302;[0.06335625740292004, -0.4929537956332098, -0.01106130109934169, -1.564612801867824, -3.0963279761804436, 3.1374460202597594, -0.06135219033719823, 1.4998362977730584, 0.6514241658494228, -1.0644947625907701, 1.5604559566099028, 1.623121536937518, 2.576961809642722, -1.5147881251047672, 1.5934949824327465, -1.5507270913425402]
10;-1.227387884138415;213.21705079998355;[0.012254744709656715, 0.00393743976887415, -0.02422712217416142, -0.06395001038421026, -0.012891006000428985, 0.01068120507021101, -0.004984257613816982, 0.8838365876458865, -0.0012509641326393605, -0.006566854628547583, 0.03382531533045369, -2.346703356505903, -2.6535577065399796, -3.1377311906900083, -3.1136976344387515, 1.5176956255729819]
11;-1.2281609730508811;215.1457073999336;[-0.019251399449813668, 0.0019169850430645818, -3.1376928061492064, 2.750245596080857, -0.0005747135377424619, -0.0006929467559871637, -3.1404642979969215, -0.6735016581143477, 0.00477851173500062, 0.0010004013182715777, -0.01328558017854612, 0.24024695862744622, -0.8883996899650947, -3.13469339480838, 3.1380734058033295, 0.04897074874035838]
