run;final_energy;time;best_position
1;-1.6582732400000002;75.65242299999954;[0.3431452413435094, 1.3137125755919685, -1.4935300614761242, 1.6269048737786458, -1.7102701857153566, 1.0638030226463755, -2.352995908536501, -0.4846643910131946, -1.53095472971968, -1.4800890238295445, -1.457857628567672, -1.5742952652371218, -1.2679382085781616, -0.820932197384774, 0.4426796099346069, 0.05602967875896459]
2;-1.665460188;75.71742350000568;[-1.677261485017418, 1.5159248660250504, -1.7109619827276235, -1.4797773573255306, 0.5201976618498096, 0.8655085141512356, -0.20955751869438843, 2.9494777787683737, -1.282246641457051, -1.550035007505664, 0.7913539990523824, -3.094603366446483, -0.7711189513598354, -0.24014549341964517, -2.3386439820335707, -1.749643796080603]
3;-1.65073048;75.5972632999983;[-1.5540029888774407, -2.104185579941795, 1.706465938408641, 1.5840530576022134, 0.17635708672287115, 2.157262254380399, 0.42268902596248376, -2.981965190464762, 0.9498757915443663, 1.4424637752671328, 1.2501709672328312, -2.7163486827148176, -2.013919886083789, -2.673292916188826, -2.771753756656615, 1.1600919124070934]
4;-1.669474992;75.42378379999718;[-1.9537133349421387, 0.1811209018300237, 2.756817838647495, -0.11871692936088565, 1.6360243132925645, -1.6298259843937495, -1.659571085164974, -1.6954098090754655, 1.2654492110910183, -0.1984781898542508, -0.14651802005375741, -1.1753162037868552, -0.1756589028209582, -1.8965562728416228, -1.566901129369685, -1.5552403481311783]
5;-1.661432476;75.55977569999959;[-0.6318967637668828, -0.29816743509603777, 2.620108547140086, 1.6127175048707403, 2.155188627654439, 1.5468252045460396, -1.5617484926630198, 2.7442168555150523, -2.515208679601832, -0.9142475176351856, 1.0301883323374563, -0.4036023961648306, 0.4301408325342315, -2.039269440986901, 1.9940481217719808, -1.2163680024985626]
6;-1.6616684520000002;75.23242729999765;[1.8045597399430373, 2.0501793814982223, 1.1653301178793931, 1.5532600472729117, -1.8525821861554401, -1.71083720624738, 1.0196017934528387, -0.379700401481691, 0.4592728323189529, -2.435281218053125, -0.7568412332100893, -0.19108371432091587, -0.04000340948602193, -0.06967403050860138, 1.8264953167985485, 1.2079221875384993]
7;-1.656005652;76.029592400002;[-1.7579679288468826, -2.2416469073204675, 1.477922944360793, 1.7470482227736586, 2.5084979738420135, 2.5296251704447617, -1.0693761129977342, -0.6887532656437629, 1.7531917556542995, 1.196583332202154, -1.7966898376198557, -1.0116661224699255, -0.22606528172480062, -0.9657465567939869, 0.800435387826997, 0.7716915399264004]
8;-1.654509444;75.94198759999563;[-1.9516596163552316, 0.3781909278190838, -1.614161145057448, 1.6894527891737163, 0.20831188494524683, 0.5091447961995577, -0.3153262687142357, 0.2683281395860791, -1.7286609744013184, -0.5169221744947103, -0.3054422678336505, -0.20699235884085107, -0.23098736997227812, -3.035608180504243, -0.9784642474470511, 1.226166145708944]
9;-1.6488190120000001;76.00440070000332;[-0.3047810564502083, -0.45542337034958374, 1.1662014511056507, -1.5734222328409857, -1.6338870703606208, 0.07185261200469542, 0.9851405891401047, -0.22706604147072534, 1.773220563007473, -1.6881986871463879, -1.6158301722066952, -2.532843585128514, 1.8814240846592791, 1.2741422591284108, -0.10529691173985278, 2.18993738006628]
10;-1.6544527759999998;75.07044749999477;[-0.1768233365957079, 2.946867728002295, 1.0201109122438046, -1.5844282952205653, -0.5773369933223164, 1.9427903682968237, -1.6573415287414497, -0.2219303037268031, -0.733364559480671, 2.2974545063723006, 0.5758435162870702, 3.0294060766036885, 0.14997551192742206, -1.7743183441289923, -2.475194099086909, 1.8136342563546013]
11;-1.68437582;75.39072660000238;[1.6349790063241998, 0.0034336197470636646, 1.529050490178419, -1.7963656937436485, 2.486667222976773, -0.7747553888980301, 0.8605929095126891, 3.121819057917456, -2.536175518087625, 1.7060416394701599, 0.7429313879664629, -0.15457759865708195, 2.3827282891088863, 1.4692532984320024, -1.5111983465192367, 1.6230560818327202]
12;-1.665358576;75.39140080000652;[-0.558076789552882, 0.14340403604240703, -1.7697332102787475, -1.6427568205013825, 1.847878026202183, 0.057655860083995876, 3.0093434317142482, 0.2757166218752642, -2.9310342303673185, -0.7418337896333304, -0.8059262925081592, -2.7445342345906565, -1.5078690770187813, 0.13737422354617657, 0.8480817372867078, 2.016488207367389]
13;-1.6878310360000002;76.15000809999765;[1.0412326983165237, 1.1274637819459645, -1.3413076528103627, 1.751254855769961, -1.3500533028538748, -1.7237912299200566, -2.893517473917358, -0.14639671908376964, 2.337185378716098, 2.3366242523451657, 0.429855914748924, -0.04572417038909012, 2.5465047889188486, -0.8206184126939081, 1.8243266472659134, 1.494378694865863]
14;-1.6599346640000001;75.41829509999661;[-1.3752579799673506, -0.5653224946687941, 2.6994583951483637, 1.535260690740364, 1.619154994171208, 1.748403498421482, -0.7498765737470534, 0.5909304869509026, -2.1202338042067743, -2.3265281460585996, -2.033224837860324, 0.7307015849106961, 0.11207888362138695, -2.5902932584465312, 2.4044270607252374, 1.1007457263349356]
15;-1.6351740479999999;75.36152730000322;[0.007976079175270637, -2.927964857199723, 0.5703597476603854, -1.9543879161966882, 1.3879462709662826, -0.05368072986200389, -2.305675809255265, -0.8049380261057647, -1.0218049234925743, -2.0215414893171753, 1.9386419922876967, -2.3203505917880283, 1.5068424802421585, -2.964848678097691, 2.507335737507534, 0.6873602399716687]
16;-1.675843264;75.2247980999964;[0.4419715522252398, -1.47392163219729, 1.6239065079850967, -1.5095844193260906, -2.538782425744129, -1.8607446826392857, -0.796208523110101, -0.27906202841652694, 3.074895981821958, -2.508976327330376, 2.3098248947045397, 3.0462796568686437, -0.14999923813964644, 0.2779352973060472, -1.635258628931588, 1.783651338302477]
17;-1.6882784000000002;75.18865709999955;[0.9960371230231085, -1.4277728570528527, -0.8095005621203614, 1.844683485029722, 1.0436874167859576, -1.3260124870715901, -1.6770468228306652, -0.40487867233928604, -1.3239078426661355, -2.333714547294548, 1.51169664219085, -0.37706017477139686, -1.5362907132103047, 1.5638605207585305, -1.4949634361339765, 1.5140744847066068]
18;-1.68866248;75.40957350000099;[-1.1901489734780537, -0.7191405339349025, 1.6398554394573877, 1.4607327157272827, -0.2302312295633548, 0.8064149216349137, 0.6187126451542642, -0.16183549789002152, 2.207342168914651, -1.4331057481414078, -0.6669751617594257, 0.013887812893000695, 1.2943564269395478, -1.1056792012037153, 1.1785735073480494, 1.545068086676283]
19;-1.6796997519999999;75.63888959999895;[-2.7961716280566415, -1.9175381318019453, -1.7800950017804893, -2.0733948827894357, -2.877298213475349, 1.746731472208481, 1.7132704628933548, -1.5802831944487477, -2.839324446159705, 1.1912565924546956, 1.1498904757587558, -1.6326086762471914, -2.659806083098064, -1.7080255618840385, 1.5402497863960796, 1.4862114950254428]
20;-1.66569762;75.97778290000133;[-1.203630380720917, -1.3504436470066759, 1.457051312443487, -1.7489095640892554, -1.1995440132471145, -2.1082413996092177, 1.4270348011006326, 2.910723520174101, 0.4048975244480443, 1.5699240446936549, -1.6236434294240512, -0.10123512655221723, 0.5758452972980463, -1.870059039341474, 1.0781296067704318, 1.6842646062670328]
21;-1.653921596;75.73555210000632;[-1.0257480580250913, 1.2739773270059256, 1.4270751895657212, 1.3450354895763477, -0.040944089299998904, -0.19634405669122934, 0.8839979450633123, -0.045332142125854964, 1.1111071870742177, -0.9714117669195659, 1.0758681637884966, -2.1305286008961786, 0.13110345472496718, 2.287013682495329, -0.09657678864383346, -0.5685118247961898]
22;-1.6485865400000002;75.31398169999738;[-1.9502611743025695, 2.101071461201759, 1.3944207117528797, 1.6805602769585595, -2.638906243823908, -1.6183892394433042, 2.5578484525578493, -2.9099775995658854, -1.734777432034835, -1.8069347384436534, 1.3902831594746075, 2.3869290023809584, -1.8802707106573953, 0.6455826630056082, 2.829208508105374, 2.3588722789073353]
23;-1.637218156;75.24129979999998;[1.4748492619564906, -1.8596138616405349, 1.3553055388647663, 0.04403410433274945, 1.639901718182011, -1.4858557553373575, 2.114640920251713, -0.8269242276275163, -0.15023299164821277, -0.10601035132708012, -1.415690492109222, 0.4089126851214608, 0.053875941459390515, -0.04278511102350406, -2.8164107029603085, 2.7500981569153224]
24;-1.684438972;75.19624660000409;[0.01116524560959499, 3.073721969827597, -0.6702637065015679, -1.557089775605041, -2.8079460084357537, -0.26863844758203426, 0.02406697571453115, 2.671781481470128, 2.002921858462576, -1.6918009919840875, 2.064819080567511, -0.2614668546071632, -0.9999868037991906, 1.7582790548910117, -1.28085886783665, 1.3807625204475944]
25;-1.693134496;75.3694656000007;[0.12958792758092705, 0.10450973012595383, -2.4165517522052444, -1.8664334818778605, 2.7056277598082943, 0.032053553178041407, 2.568565205131629, 0.1201912043543997, -1.3701661784595032, -1.704095372262078, 2.6791145327998303, -3.0120139912536192, -1.6824536989994732, -1.1616828880860515, -1.7589289667475074, 1.4833509994402043]
26;-1.6572866520000002;75.25235759999487;[-2.390963481818928, 0.9915974121905422, 0.9870361537469357, -1.1372398899763045, 2.3999988607274645, 0.995018569552027, -0.5430891661386749, -0.4124824363060595, -0.3759909347827688, 2.8986527877662107, -1.2308783310769555, -2.524906803078956, 0.03642884650883488, -2.8313579719267206, -2.71288023028945, 1.4797791352648269]
27;-1.6827637920000003;75.20705230000021;[-2.1723820724214704, 2.399898075597608, -1.6014399763635818, -1.392779306794834, -0.9159098018792462, 1.107445224995033, 1.4386623143030117, -0.10950880692175695, -1.6510983683643774, 1.5720425830596936, -1.4957124331523601, 0.10545959124253039, 0.8624648457861687, 1.3783916519412318, 1.7030873619432418, -1.6130028991451537]
28;-1.6858101479999998;75.20934640000632;[0.48745599229650105, -1.7665984903482561, 1.8877608345141739, 1.710247605298872, 0.5530659943422959, 1.787014873692418, -1.2550698004478655, 2.6814280351638895, 1.200076527378454, 1.398975574993907, -1.3038754650964086, -2.6409941035561504, -1.0890776898740682, -1.6140910393528678, -1.5688765242585154, 1.540793258843633]
29;-1.663918108;75.75658069999918;[-0.6575048372833564, 1.7884315061198244, 2.4687367416129415, -1.6101920181650675, -2.5780146962300825, 1.9589521838766182, 1.6681413222831032, -1.8205610496747688, -0.044566912927408886, -1.7314713633364067, 1.6843288746152136, 1.7769317943209182, 2.9264644755154587, -2.491533564228183, -1.3508461296927348, -1.9470578080528445]
30;-1.6696709840000001;75.30439340000157;[1.784711795839636, 1.810417729064647, 1.5697812657247006, -1.5299961852553527, 0.4199667057609988, -1.9338255970010885, -2.1777549443242963, -0.6052453811357681, 2.202544495961683, -1.535180189339788, -1.2376720054292394, -2.1169506333392367, 1.009193824486054, -1.1800590011778156, -2.361747746105258, 0.6839747219235353]
31;-1.6322290400000001;76.16933750000317;[1.3052016808880413, -1.4532791887254215, 2.110686020902798, 1.7109749741288127, 1.2496650881194553, -2.7314243111255956, 0.24069760577977203, 0.7513119263784334, 0.04670342614897643, -1.8561341972383807, 2.7170089913987363, 0.7827410588532127, -0.0398835705240727, 3.1148262907295643, -0.7732613831919519, 2.8905192406180227]
