run;final_energy;time;best_position
1;-1.666489879489549;10.0960158000089;[0.025366680034691624, -1.561328616494253, -1.571563739615762, 1.571401733924963, -1.5421242261895314, -3.1318489218015153, -1.5697454403060853, 0.3343089905650102, -1.5634218285968486, -2.1556626539476094, -2.128053257969978, -1.5685394241160664, 0.0016097695249121199, -1.5709852523215808, -0.27286732704126676, -0.00044141855612853125]
2;-1.6708133830674345;9.887577999994392;[-1.883449595114142, -1.91951355840096, -1.5810517626487068, 1.5598534196409741, 1.2582907381278052, -1.4891376355972623, 1.3547381667338407, 1.5168989624409048, -2.5533276287671685, 1.569647090260267, -1.5706003884597524, -1.6273554579320972, 0.2547811220823131, -1.550435501785638, -1.5721682041699918, -1.6083600757641645]
3;-1.6982334121436213;9.935926499994821;[-0.00628574379572217, 0.2612159039030769, 1.570403331646963, 1.5612061874767555, 0.0019228660527874043, 2.9150094017093444, -0.0061730831220827165, -0.20994201664991796, 1.5580302573501332, 1.537402477604905, -0.003677132933401029, -0.009276497164163231, 1.5661989595046661, -1.5718276301947098, 1.5693257832273142, 1.569483703884665]
4;-1.6660458464017671;9.96639800000412;[-3.1414533875568913, -0.406646479178021, -1.5815115607979562, -1.5691889910023116, -1.6682470325241527, -1.1670722033590746, 1.5768511761718003, -2.8054043813325418, 1.668996779157266, 0.9924326248150569, 2.1201963481797867, -1.5774185234333338, -3.1381298748083633, -1.5740048082249845, 0.275143745248973, -0.005247287593807127]
5;-1.6976010357772944;10.028065000005881;[0.012919733317197124, 1.7934062547256577, 1.5692167605629104, -1.5751475283895826, -0.014146960113673578, 1.3298008695462502, -0.0038079618002231598, -0.21200383336511106, -1.571523522040208, 1.5501729155328952, -3.1352164696102856, -0.0018291655275456534, -1.5685916983175787, 1.569913873883166, 1.5705553794226308, -1.5708322345230474]
6;-1.6711030992810798;10.18910329999926;[1.7086344722326376, 1.798027296875217, -1.5723141160560214, 1.5609718978572549, -1.67312405722708, -1.5601577416838726, 1.3542375352737124, 1.564566528554712, -2.365449569390802, 1.5781505609916908, -1.5548421194200717, -1.5721652514862459, -2.59953511751893, -1.5799550513049705, -1.5696110667610745, -1.5220735828762597]
7;-1.6964092617818272;9.940370299998904;[1.0266951758326646, -1.736369064146388, 1.5574893866094703, -1.5751614945701535, -2.161778368300249, 1.9778570761819758, -3.130437462888882, 0.21210173972166319, 1.6598730572369083, 1.8775418862316113, 3.131145865953728, 0.00015720221024242086, -1.619537329839706, -1.5668590036397916, -1.5680079380873704, -1.5688380490984741]
8;-1.69825055871827;10.017241199995624;[0.01741529479353097, -0.14643226203773685, -1.567427932263471, -1.5722593864503995, 0.018792691441593554, 3.0204498525170105, 0.004641895149247294, -2.930402827651215, -1.6019054986157615, -1.5997891912546947, 3.1412565229735256, -3.141572721095497, 1.587729685747886, -1.5859118853912677, 1.571954878308306, -1.5659350192314403]
9;-1.6885902916842248;9.914936200002558;[-1.5054739173104932, -3.1362982061021003, 1.5691509268838568, -1.5565869530132541, -1.6790691538818063, 1.444934863674664, 0.0032579618832805505, -2.931490509793904, -0.00836237249376644, -1.6350926535445443, -3.141433211505796, -0.013796827027225267, 1.566897635543372, -1.5886688378616105, 1.570683812115744, 1.574919102750658]
10;-1.6627579890680388;9.76467840000987;[0.9136779613305027, 1.7995224394130123, 1.5575067368373268, -1.5661823954321594, 0.6359327649107951, 2.9898533372812315, -1.5581594243587549, -0.2091173905816898, 1.562190715205328, 3.0293213119266795, 0.09712367575009485, 1.6159218032358111, -0.01220523773545081, -1.4012498537226112, -3.127489018140647, 3.069617483223409]
