run;final_energy;time;best_position
1;-1.7943797146666671;78.16840850000153;[-0.07386011567236676, 1.2522302250524668, -1.446272189088318, 1.5810393397015186, -1.259953102534719, 1.2258353559779591, -2.2750721228544415, -0.4076940326327441, -1.9780960940916417, -1.2737043450355978, -1.3593297288732187, -1.1824559855064585, -1.5403268293996453, -0.8725024759250892, 0.4940476944000614, 0.49007194758159883]
2;-1.814485657333334;78.31661399999575;[-2.862786524941444, -1.433504807536934, -2.39457094980259, 1.2302890127483768, 0.38624832570805895, -1.7731284813679558, 1.2200913402620623, 1.2687734054776307, -3.0668573325951725, 1.4886780257620835, -1.4576075261324701, -1.6960298604936466, 0.1957330922325115, -0.8278208854763441, -1.3931683533620598, -1.5411264926293446]
3;-1.804679032000001;78.49250970000867;[-1.7225307113735548, -0.45364523852083466, -2.1118858190869942, 1.5790041725780837, -1.510101489300686, 1.6113508044944118, 1.38960522571977, -0.5977862140447923, 1.2073288272378098, -0.8127182269103901, 1.8714128712994713, -0.5913664669817391, 0.027596246745726385, -0.33058748484983963, -1.2587994907795814, 1.6438054139325966]
4;-1.803730380000001;79.05087859999912;[-0.24385797729993003, 0.48649979977296565, 0.3713690515550856, -1.2844913580433863, 0.2530178555496501, -0.7888480054848811, -0.020649443356151247, 0.2927839264351376, 0.21104921958190265, 1.1299614293353153, 0.5334943758222113, -0.8988617283543856, 0.012221639466678187, 1.9967085122641273, -2.3018210026712613, -0.9128243203424576]
5;-1.7721001626666673;78.50686940000742;[-0.8295066984585968, -2.599842375310151, 2.11199362442696, 1.1765667244914213, 1.5244534393909879, 1.861130821064212, -2.669253751466342, -0.7110171596045016, -1.2653761037951192, -1.9551024556242487, -0.48320332365284624, 0.902336078621835, -2.556092387828414, -0.4080629815133239, -2.1820236740507784, 0.35679754244608297]
6;-1.796771605333335;78.00816040000063;[1.5952007378829265, 2.1389161950921785, -0.4986240558030888, 1.9190748158310513, -1.6557858053459868, -1.7108336263846111, 2.2489659480702935, 2.984802420819267, 0.5302647447319132, 1.4232285854743771, 0.6963661140657603, -0.6037268310346444, 0.11941071614953724, 2.1692179497913404, 0.8484211673959244, -2.208170337584573]
7;-1.8097544440000009;78.20230869999796;[-0.656638529839219, -0.5839600234925508, 1.2495322399007198, 1.6658113423410015, 1.8951846485845658, 1.6047590901894195, 1.3687542403828075, -3.031357267840017, 1.2091725212074746, 1.789041963632129, -1.150134891736442, -0.1428245282318619, -2.7712167452157566, 1.9691240210788372, 0.9943832384767308, -1.7494585605696162]
8;-1.819524662666668;77.23526980000315;[1.8745343181518601, 0.4624834384749884, 0.7047527401367882, -1.420125867909603, 1.1549103348963254, -1.7051686830623025, -2.5856376820050917, 0.29049194905795744, -1.3046007876987153, 2.1191436053460015, 2.7209933166171503, -0.3204874629586723, 2.822118250623367, -1.7195508409614821, -1.027634601910994, -1.6052898961951718]
9;-1.778975686666667;77.47191060001205;[0.36073033173429, -3.114408134255649, 3.1415590131984445, -0.5488149032480047, 0.8268262098206612, 1.159142499261872, -1.744365248729223, 1.7950542336208057, -1.8833962150584669, -1.1977498370432988, -0.3177768376995937, -0.37067400004663387, 2.5569586244000386, -0.8881212382604451, -1.8586320797288678, 1.532890027449236]
10;-1.7901572960000003;78.42406540000229;[0.5726711042735623, 1.9724217400574098, 1.4677268361148512, -1.58610524821405, -1.9056763439427986, 2.927061699422128, -2.3163757011739197, -0.3897753838692152, -1.255607246740988, 1.8755184253646813, 1.4265476956747842, 2.5323686212710923, 0.2097178045687733, -2.2574846431566566, -2.900075811227889, 2.2247499737394185]
11;-1.6662608466666677;78.77627220000431;[1.3202729486509504, -0.5887702527543422, 1.5615352483345728, -1.5270523497830646, 2.075259119012564, 2.440766432449726, 1.8320828544566332, 1.729182026279498, -1.866661681511334, -1.7761512336945662, -1.243951428727704, 1.5252017393350732, -0.14398950696636423, 1.1032595512616754, -1.4804600975864048, 1.2061953856371985]
12;-1.724223130666667;77.79307189999963;[2.111175415382137, -0.5587982386271385, -1.9726881875917477, -1.6919234229074922, 1.814627002757333, -0.0768912041011639, -2.958637514863202, 0.33332148934872946, -0.03954606501897796, -1.1127674560370775, -0.8561305009962339, 2.1119901125022476, -1.054398724018929, 0.14597379691598542, -0.14562195286624713, 0.3994070772728901]
13;-1.7807438480000004;78.44014750000497;[3.015050077648984, -1.7453635983028668, -1.4670128582524566, 1.2960197898723371, -1.5254365715262976, 1.8309250438669349, -1.2089693814687645, -0.33810220219745074, 1.7424822262355633, 1.626280459255642, 1.4226173624417557, -1.0994806773687722, 1.6301240755234203, -1.1570281388840018, -0.36794507204639576, 0.5518469586639969]
