run;final_energy;time;best_position
1;-1.8222804039257117;9.445353700000851;[-0.4247750295413845, 0.9864313237333128, -1.719023822276332, 1.536820391346676, -2.826574874827387, 0.6815292364799383, -0.1502568140583187, -0.23356596310795, -2.142799715567714, -1.258562096219444, -0.20940167851732513, 0.011877968299395443, -1.287760041411926, -1.5991832231387217, -1.5390169349716578, 1.5697550945586372]
2;-1.6665382811134968;9.37383409999893;[-1.6301818837795456, 2.1351381433602423, 0.5264460066523746, -1.9622243574427038, -1.538839061687102, 1.7765973457074926, 1.3151066753834502, -0.0155122145335822, -2.2517090723425737, 0.18579746039503103, 1.2424545444014736, -0.4345507932700814, 0.32651641176973806, 1.859608792635901, -1.707229243353042, -1.4390648669100157]
3;-1.8092956595905128;9.427984499998274;[-1.4943939343239, -2.09840244124929, 1.1559783228879985, 1.377007791405037, 1.55203560592184, 1.6163355487906501, 1.5650419843219983, -0.5024356508552761, 0.6600300125343769, 1.9747960672730098, 1.715148303006492, 0.5016968504612024, -1.9890104593108566, -1.5726043390101538, 1.5042561209363832, 1.6268714742125914]
4;-1.7925602562969394;9.389199000004737;[2.987212352620192, -0.19638985613674226, 0.3889012078622501, -1.248975010211811, -0.7245137035690284, -1.676806297934867, 2.7898445905021085, -2.656083138957421, 0.7813369065303521, 1.3748916575820476, 1.148370758221386, -1.4152515897131255, -3.0513104197088032, 1.5525053737146721, 0.09295023345110703, 0.1515861125507837]
5;-1.8023800652025366;9.373634900002799;[1.2656002563189042, 1.782635370522232, -1.610132720258119, -1.5747886917882197, 0.29480008998062307, 0.24923244930973157, 0.18656464051558766, 0.29228448144575037, 1.7317527577547531, -0.5751476799350312, 0.21063164480883015, 0.038193764501203674, 0.24196637817189742, 0.746004399171318, 1.306487604731608, -1.3688872114359367]
6;-1.6432126800070694;9.384042300000146;[0.16339014808972702, -3.045309984457337, 1.0780371771585997, -0.6816770074272869, -2.980966081902264, -0.3614873718873441, -2.850164253284429, -2.6382442371070405, -1.7397328904224554, 1.2415981025304506, 0.6212480739835982, -2.381063215985639, -1.8022421537262687, 1.1663480569757658, -1.5807156732897418, -2.034868486757938]
7;-1.8131297671859823;9.326327700000547;[1.2412829044626752, -1.4091186110201113, 1.4769762244037066, -1.890424033061621, -1.9695452509376628, 1.5436152449963978, -1.066229353359913, 0.1484545433139969, 1.874456180795683, 1.4502731339077584, 0.9830161997317743, -0.30966564218264225, -1.1318459808271615, -1.5765816699355581, -1.6487498817294666, -1.5505980693212782]
8;-1.7870041730399173;9.301588300004369;[2.185778916867975, 2.7545741422923045, -1.4228579751799528, 1.5999667173944854, 1.8084188167035735, 0.1923488060680891, -0.08372625558427259, -2.171927311760386, 2.137611376051319, -0.116738719258878, 2.3651549325746175, -2.4891738557034113, 1.7211353467899113, -0.16937052576604547, -1.94317008609769, 0.517041103786469]
9;-1.6947090197203298;9.281538800001726;[-2.9539962591769817, 0.8311234920395562, 2.1544630152359816, 0.6569620772411247, -0.21472402772623475, 0.7132348345466515, -1.4979569900792853, -0.3618611044894367, 2.713438677177845, 0.04947758869474759, -2.7952493590513505, 0.9594958328563511, 0.10392303643877292, -2.761192349808847, -0.977597141084933, 2.2299837874802875]
10;-1.7992202090017357;9.351761500001885;[-0.07829338940550469, 2.0964899950517135, 1.5974366368165143, -1.5712765239978836, -1.4719581992462112, 2.603144772930656, -2.9466744019984703, -0.1715970102220862, -1.5125529126728743, 2.970477361818784, 0.0031957450802444984, 3.1341675220074974, -0.05428194654918114, -1.672435526317868, -1.799535384293459, 1.5468736677290211]
