run;final_energy;time;best_position
1;-1.8547336089157105;9.834290899991174;[-0.6972576924246602, -0.1823607631386129, -1.8927216936946938, 1.5788893016102084, -1.226330079413678, -0.08974266129401041, -2.500685110674002, -1.0093931957095066, -2.8206642753325264, -1.0056710843817567, -1.2726471509169923, -1.2112901767969435, -1.8614580043699647, -0.46036510455310903, 1.05580730855869, 0.2448637479283616]
2;-1.8569512395253267;9.622689099996933;[-3.133617967922523, -1.9030343411750628, -1.79439675116405, 1.563072702117685, -0.21081509502289628, -0.6283705105503059, 1.5359697074524468, 1.6609337543150677, -2.731070487288473, 1.552055831777525, -1.5329783047684689, -1.5120251479553752, 0.34069643793235665, -1.5230142198531877, -1.6427981984445976, -0.9323340107360202]
3;-1.6579153265502844;9.628973400001996;[-2.64149536344317, 2.7867886903759103, 1.2066294842955703, 0.1883664085076467, -0.6807488900715961, 2.2497371724496555, -2.298603091992144, -1.9685120410345534, 0.2157110190877728, 1.6703375113985204, 3.0661875765645896, 1.9991776124639606, -2.9900558032838735, -0.7485039323314097, -1.7809612950475682, 1.8360703326614287]
4;-1.8560629254701397;9.608625200009556;[0.9460525339482897, -1.168972041186167, 0.75422424138523, -1.2847067136103343, -2.1550382611899015, -1.7581468960962967, 0.4287122278996254, -2.7435043147597304, 0.43317842267157414, -1.365634828303203, 2.571979466213735, -0.6454343943511089, -3.074695549472316, -1.796104273391047, 0.9485350009989456, 1.2060933891045549]
5;-1.8223240060309969;9.590414200007217;[-0.977847983985526, -2.4684385404208413, 1.345918968161855, 0.1674366837888702, 2.3124185350274127, 2.438240992186494, -0.8810047575195589, 1.480739930256567, 2.352729972820968, -0.2081721709293532, -0.7799900520004804, -0.7647186097364072, -0.0072368937585527175, 0.00838439716978542, 2.053444328385361, -2.502241679607859]
6;-1.77074485869779;9.705338200001279;[0.2888159020461892, -0.4440196724920097, -1.9679530926868247, -1.0521884207218974, -3.049985892390831, -0.9025365323708208, 1.6665179331450508, 1.2784759216010975, -2.8929536486502827, -0.22017359639803982, 0.6691188592715037, -1.2981388139795542, 0.23277332176954976, 0.6944991302437341, -0.9919965989459996, -1.7043630182825011]
7;-1.857807393833608;9.754676900003687;[1.8532517796639068, -1.275255529950904, -0.3018003628658545, 1.9934797613812572, 1.8663220030255963, -1.6989601063564579, -1.5105716531151903, 1.978237916806071, 2.8080507557492793, 0.27450652852545565, 1.9586301359866192, -1.2135605362626098, -2.5036620372060807, -1.5309904849321418, 1.5151704770807206, -1.603749065620216]
8;-1.8572540516616958;9.684755399997812;[0.09594974630944635, 1.744204481307428, 2.1890257187742717, -1.598127037385844, -0.05491338414597788, 0.9060609551548087, -1.7078855451149009, 2.6221164399006827, -0.02648401339595544, -2.428974304695533, 2.8787711013243507, 0.5215746895546646, -0.014094759819244011, 2.716925341343244, 0.2244191390127509, 1.6197979674291574]
9;-1.8510261768120333;9.693672099994728;[-2.4156201565083406, 0.027198098436933393, 1.1205178541411183, -1.6339906058209421, 1.3875445744939598, 2.3263816863669975, 0.10607205727634543, -2.4306062239431214, -1.8691620456648284, -2.644576576055576, -1.8714298270717435, -2.009156657710989, -0.652035263410039, -2.7687080774194923, -0.7991121238444371, -0.2867567103594619]
10;-1.8556164419252195;9.644998499992653;[0.43968238107347907, 2.1076579126485644, 1.569132230185308, -1.5601738622219938, -1.1347783047764815, 2.439718635613474, -2.1366026332701833, -0.22936541263051202, -0.7699181688419369, 2.936855033085946, 0.20732931370588403, 2.951378368437872, -0.0009066702487734399, -2.0025008181585084, -2.653981886824625, 1.8240636801931003]
11;-1.7625911168497086;9.630526300010388;[1.7227826675901023, -1.617544607284128, 2.239917074410534, 1.915796716506331, 1.6383034542102626, 0.04303720584383832, -2.9036790251750326, 1.2010252066127354, 0.21061743643662542, 1.6085646270593552, -2.441105653687718, -1.8388387998477491, -0.005120105498679458, 0.12753674603095713, -2.231558420248492, 2.61378251723311]
12;-1.8456927025218204;9.582813100001658;[-0.08805576452678784, 3.065720379723623, -0.33945568557801725, -1.447383451597553, 1.394292494318131, 1.9562970266366861, 2.195014307704687, 0.45091648599335243, -1.8929065761394244, -0.9515397375830277, -0.537883816464345, -3.0050151561173295, -2.6797108309218545, 0.5475636084993656, 1.0830888163947945, 1.6985647773669654]
13;-1.837301607837301;9.56575100000191;[2.9875724027899326, -0.996529669059257, -1.725592836623743, 1.8037320187986652, -2.845504896803711, 1.0157621223531408, 1.477473662691997, -2.6504582895600146, 1.2579371074278687, 1.554521163158765, -1.6308864855056238, -2.504368688590218, 1.4369937926757925, -1.7796553776811546, 1.2582859326238525, 2.0197983579678835]
14;-1.8560915095144932;9.64558469998883;[-2.2815284001477414, -2.4460539310279374, -1.5504076273963472, 1.5620088980567424, -0.9238719486208732, 0.6670370908951853, 0.5142688777393992, 2.271478241991547, -1.5699437419760056, -0.744075079343162, -1.9905298821156845, 1.288924656196101, 0.013341913439536723, 0.37699399473549444, 0.8056745780652094, 0.03445097280702163]
15;-1.7964966606244417;9.695781900009024;[0.9500195868335645, -0.003320155871747074, 1.4636823439134263, 1.8491654949045433, -0.4090667868373825, 0.7060186018438528, 0.9282132869746361, -2.545547904378858, -0.06908087955575895, -1.3775511453753193, -1.8940180220487117, 1.2521615831126582, 0.7190906748436537, -2.2422290403888296, -0.7250672450311895, -0.2650845494376562]
