run;final_energy;time;best_position
1;-1.8671049076858068;7.4535814999981085;[0.6608714761974077, 1.5050632550181238, -1.571283919821506, 1.5705262194684892, -2.6590452461805056, 0.9718818507566134, -3.1409695877072608, -1.5717600897747184, -2.547325529159465, -0.5999670837097747, -1.5138319326087673, -1.513658008433594, -0.9060991402377454, -0.0006896877131949805, 1.5717057653847, -0.0001090826912518183]
2;-1.867104494503209;7.3361993999933475;[-2.222821352275803, -1.6573051665674146, -1.8701613427814185, 0.8553206544404555, 0.9174188863278292, -1.5202465076176157, 1.0705394148769776, 2.016826842033721, -3.072479918977487, 1.0641483770323843, -0.6897721689404394, -1.2181250724085146, 0.0009235106336683595, -0.7864452549313046, -1.6386758293326644, -1.6002294407199704]
3;-1.8671009920831836;7.523983899998711;[-3.139829766702323, 2.5193752064590202, 1.2313464461557535, -0.6747713331605442, 0.0011375067865393527, 2.49044111591797, -2.0272293071350322, -1.6348529855065141, -0.03448141013212193, 1.7761651696538487, 2.4008031922142457, 1.7454382082044972, -3.10506978892068, -1.59200746775541, -1.5872573956524096, 1.6636989094870789]
4;-1.867104982946828;7.422780600005353;[1.5200424535109232, -1.413744649251063, 0.38427833000127504, -1.5140667328749304, -1.6209338580069026, -1.5712481152850255, 1.2121463622472086, -2.4240369670572925, 0.15667562092360635, -1.627638988335531, 2.3134860177541814, -0.715990415715797, -3.1414651744249205, -2.711342539890019, 0.9201157440955564, 1.5289751022219853]
5;-1.8671037534359232;7.316769600001862;[-0.31727123886593217, -2.399828601163171, 1.5696090338217126, -0.33717004852121196, 2.92262695116901, 2.375404194074019, -0.3981758377257662, 1.279327286000904, 2.9105854693114632, -0.22234409712212364, -1.0210848760445168, -0.868486117129557, -0.0009990436215530905, -0.03369960162106329, 1.5759561004539722, -2.982175858855177]
6;-1.867072577467353;7.181013699999312;[0.18203070467344626, -0.857192194688898, -2.444449796186203, -1.5792092219554748, -2.906633917567605, -1.463328843644912, 0.6352117514324845, 0.7184951595345016, -2.9793791645075682, -0.38623034939697853, 1.2949638122700278, -1.0918927898871975, -0.019112122210694735, 1.0968170206288428, -0.7973291131667453, -2.3895199667484133]
7;-1.8671050092190924;7.109666700001981;[1.0608869571261779, -2.763795751787716, -1.189250076668797, 1.5708781384461177, 1.3675945067914543, -2.1893333837747195, 0.21545088887784183, 1.035258689982541, 2.2539858054579964, -0.10046686543602, 1.9405167224448532, -1.124950743369393, -2.5614662216409325, -0.3752100936351454, 1.0946441549652426, 0.30119716247846307]
8;-1.8671049997229392;7.108556999999564;[0.0062262671625548235, 0.006991519582661536, -2.8056765598448727, -1.5707774115836093, 2.4113852318278766, -2.100493580567144, -1.1839932606976882, -1.6646205253777466, -0.7382243542448991, 1.3908993176859197, -1.1930923897018422, -1.9505136713108697, -2.788811071735329, 0.05687743771708605, -1.4858438340072584, -0.04674552689529461]
9;-1.8671050043265724;7.098366600002919;[2.733041039459084, -0.2430848811348587, 1.4952210617244777, -1.5706956356110013, -1.0630299085037922, 0.12439038446174845, 0.194417639927621, -2.346664517577769, -0.7239146410321459, -1.306136422815747, -0.5512413298891521, -0.4104644864148825, 2.056080877117163, 0.2597708059980816, -1.9272581158508855, 2.4077499247174785]
10;-1.8671050102069624;7.096409399993718;[0.6680701175140108, 1.9363643278799436, 1.570928127955855, -1.5707999990290813, -1.0904332885839785, 2.4249915721251742, -2.171528302074143, -0.29041968409183616, -0.5036956203845624, 2.819011963706955, 0.34479459458321376, 2.9094666951336983, 1.1781496721098118e-05, -2.225531204930655, -2.7073950551118067, 1.9476755574293234]
11;-1.8671050100336257;7.105817299998307;[1.5019995237316373, -1.5707931422652266, 2.3210218308065715, 1.5708367201786666, 1.5019668056746316, 0.4908057370502559, -2.613486494539279, 1.5936197974010229, -2.3380995397728744e-05, 2.070621649888634, -2.5621033485342575, -2.347609180635168, -1.7577984599446412e-05, 0.006060854295718545, -2.266344076333134, 2.5359263348325127]
12;-1.867105010017618;7.4624431999982335;[-0.4660648580216194, 2.669433518663494, -1.5708315947487748, -1.5707321540385695, 2.323218725590839, 0.822480790756188, -2.3938029769297704, 0.6021823994984894, -1.0913127751621483, -0.8001611893840487, -0.9948436558573446, -1.946485607785211, -3.1415301768517723, 0.6385515752410245, 0.5359900376028525, 2.996830656427288]
