run;final_energy;time;best_position
1;-1.87247942;71.10106239999732;[0.287043151116092, 1.6860519002353243, -1.5987726627486156, 1.546300025885721, -2.0479536631481228, 0.7838202216620301, -2.852545618844004, -0.5305401519455826, -2.209431925312775, -0.8970243768420463, -0.6797282168191706, -0.45133676560327546, -0.7357582292739159, -0.4166578333516838, 0.8718522721776456, 0.9624237583845137]
2;-1.872796048;71.03479450000304;[-2.6320812972764034, -2.238078822922542, -1.8163400243848744, 1.5734691295895913, 0.1635108604236078, -0.1991029788994027, 1.7575494610667406, 1.2688561353438543, -2.755573977391067, 1.384671891697198, -1.5937069941953599, -1.7758000368929845, -0.0389649810022941, -1.2253375266835733, -1.4185635699882462, -0.9575570026966592]
3;-1.870684296;69.96768989999691;[-0.006367744414844594, -1.7670742216569633, -0.4638385837613208, 1.4063902799170365, 0.00919141149710363, -2.373468551736627, 2.8311955642562414, -2.205420874565493, -0.07799712249614149, -0.5822096343998494, 2.1018939727579, 2.214942114457471, -0.09453830538178327, -1.4432299126737205, 1.846169552021245, 1.8606962934864402]
4;-1.8668774360000002;70.2918783999994;[1.467737392585121, 1.2451257708255865, 1.312827477363161, -1.622672454184796, -1.0860655920181432, 2.937668351818002, 0.23973529088830317, -2.26458973553731, 0.47993223921873934, 1.6255608527489536, -2.657243242057997, -2.719058094305474, -0.19859068587572143, -0.27887342457613734, -1.5945312475202709, -2.4014323996821973]
5;-1.87385154;71.35610550000274;[-0.5742599694615655, 2.585258427762958, -0.9957755855558014, 1.5397450327111992, -2.2048274305949804, -1.2823335236155282, -2.3416280677959107, -0.4900004677201683, -0.9137849591325546, -1.388533184881459, -0.5468791525343726, -0.2475720172094881, 2.8277688719478875, -0.48096042596967, 1.6231457225032873, 1.1881318137309478]
6;-1.870502056;70.32667439999932;[-0.7530686923951044, 1.2912045794806182, -0.436976804328742, 1.448955615425582, -2.2996987248705443, -2.8212425583714817, 1.2815852750223613, 0.7521017971871561, -0.10578475170689584, 2.1536537833776515, -1.90134185174267, -1.1102765225387732, -2.8555414025972237, -1.2166421126422104, -2.2501038488928717, 2.3118455489092558]
7;-1.869640264;70.38096509999741;[-0.6500608055126925, -0.09938970708937833, 1.5274590814308056, -0.5335051937366552, -0.22414446189630044, -2.886404332370617, -0.056277532380547446, -0.6236803739921715, 2.4213093663550485, 0.3650322914318844, 0.2049722934471195, 1.1481194450759513, 2.964505715040043, -2.889106277882123, -1.4127808342271202, -1.07629579557715]
8;-1.8716869120000001;70.10900440000114;[-1.1709517774892473, -0.7785280418382033, 0.5354366271268248, 1.484799863128731, 1.7203463691023695, -1.4531671993274737, -1.5015305132694132, -2.5575487010140607, -0.7065615592571212, -0.9307835215618465, 0.02616071250908024, -0.307227246054936, 3.0551474652754336, 0.2416518372212438, -0.23305064180220367, -1.2882609076299432]
9;-1.874225756;70.40138250000018;[-1.3382154264097985, 0.6165408009758886, -1.4825135208934603, -0.887178098314001, 1.1004616683805621, 1.1180194158867776, -0.06240534616810477, -2.541862430438098, -0.9016478922912167, 0.36625975217792867, -2.9334421653595175, -0.7900570144587349, -0.02321359348868366, -3.0111961482744376, -1.6611579916693862, 2.125865225530329]
10;-1.8715698600000001;70.42138910000358;[0.4366224990789953, 2.001920499521069, 1.5750359585530547, -1.496989575336382, -1.150650432355485, 2.609518713196872, -1.8408543253333118, -0.24628290079216467, -0.7928455839972226, 2.8188670375019287, 0.3401951482887716, 2.247901601879756, -0.09056578375010238, -1.7926026526336656, -2.9270129600530788, 2.4957599518535316]
