run;final_energy;time;best_position
1;-1.5591984572309556;6.905492399993818;[0.7858816869326031, -0.3595782964549912, -2.3576857279187102, -2.4939188692432808, 0.6342520350311189, 2.9126704001871726, 1.3948083080534497, -2.295460703240625, -0.6713670730174028, -0.6987198897427893, -1.1693072270859588, -0.3233521965365984, 0.10630362140572736, 0.09708290517799512, -1.0374006984056976, 2.065437099854961]
2;-1.6049029081103379;7.149708900018595;[-0.5504877905207879, 0.14866081262954367, -1.5494096637409855, 1.0955916007820399, -1.7276439417004532, 2.2292125045664957, -0.4253353745409534, 2.5731252114089784, -2.6443666742683467, 0.3630394263052752, -0.23930779060928487, 1.9598062831919858, 2.05107866832814, -2.6367997367710707, 1.8623182690719808, 2.564093836208434]
3;-1.6204069055165249;6.886269499984337;[2.6058553885896885, -0.03983488920064726, -2.7710408105776008, -0.4840863629679557, -2.4746322613235083, 3.0041668503211696, 2.763850658888633, 1.6922183632554226, -2.9326281498326354, 0.15861185268380806, 0.04541306246007615, -2.4343635050463694, -2.9485186946674293, 0.26353710557506815, -3.013821080568198, -3.0658773542616196]
4;-1.6567354765828446;6.8464745999954175;[-2.381267173050116, -0.058553580749716616, 2.538929859642842, 1.0182552136530951, 0.6977752196100617, -0.7569587441530601, 0.5157543649042857, 0.9030112196881133, 2.533835796194934, 2.610993151261944, -1.7852491275613982, 0.8416773791330803, 0.7468814520976759, -0.5082004694937439, 0.2438747151620042, 2.568582528991337]
5;-1.5836061551036997;6.853081300010672;[0.65461482406953, -0.7283687245482398, -2.2016097880837187, -2.113206455205061, 2.904091806474246, -0.24123246117637365, 1.1389325804367925, 1.8832677948189627, 1.3917866890734265, -2.3289142869097685, -0.9137133391085897, 1.5537158465707952, 2.4002068784082393, -1.545812355534256, -1.5540204966913613, 2.6009652118995454]
6;-1.598714771778827;6.858199099980993;[1.5284856432006872, -2.223883448017002, -1.2434901636502325, -2.4044059076928597, 1.991209273715664, 0.882762757760652, 1.9501825420864591, -0.5109869350410401, -0.465960104354572, -1.646892825987928, 1.239593876614256, -1.615561002845686, 1.132837199238903, 1.0618534205354866, 2.680710085692052, -0.2307179018973926]
7;-1.657145276826574;6.865892499976326;[0.3840549924807046, -2.9812970334391142, -0.2528912856408265, -0.6029935492847285, -3.1344695622641705, 0.05652359872095403, -1.5940972531084592, -1.6239023089218936, 2.998034173551149, -2.7141812845498485, -2.2987612214207083, 2.855762203872433, -0.4322667031745908, 0.5579441250403976, 0.9093825079882034, -1.5916889109963963]
8;-1.56277782075141;6.871222299989313;[2.729472321654317, 0.04106497413935983, -1.228946602568367, 2.5722901154209374, 0.1992467070081032, 0.5737315336560593, -1.9537008885752911, -1.450745235418962, 1.4486632625568312, -1.1142274227517168, -1.8879232052993908, 1.3333342793751228, -1.4978277983615982, -2.098580149333081, -1.1382796812148994, -1.5156291320076667]
9;-1.6020421327527337;6.864699500001734;[-0.0777096702159632, 2.127590729194102, 1.7067415007865119, -2.2139657946900164, -2.251166932621101, -1.345120049170422, -2.6609228045024107, -0.4440618715319218, -3.1338565347202376, 2.5927947464005285, 0.11103501141279803, -2.70388073273978, 0.3976415952597634, 2.169212345185384, -1.901500282827378, 1.8590685391923758]
10;-1.5130317643176547;6.882566699991003;[-2.6678046597899137, -0.41448137829231246, -2.209862333555632, 1.7730087519427578, -3.012343548645802, -2.931040691354088, 0.8692404239163869, 2.457086812971909, 0.05218920789277881, 0.958072001342936, 2.258407554423915, 0.3901092257821439, -0.5858985991555983, 2.7707615605992473, -0.5349224624777182, -2.047444833144482]
