run;final_energy;time;best_position
1;-1.159227596;88.84527539997362;[0.07694786404898224, 2.33625357271643, -0.5278565494438845, 1.6486899232320775, 0.8723913632810856, -2.539181388104819, -1.1954943524877766, -2.797438252207893, -0.8839326112346857, -1.3669275418947289, 1.345577699465439, 0.942306039462105, 2.8668676584588404, 1.7748630443835438, 2.853497243829368, 0.6659143336859059]
2;-1.158512644;88.14646980000543;[1.528624973563824, -2.331386600490238, 1.242388243336075, -2.2679570410242027, -1.744028758321933, 1.6297172009815935, -2.465527940741796, 2.4570153002896165, 0.6586778035772616, 0.9023893715574225, -2.598656042155719, -2.2502251210327318, -2.7628215925653374, 2.3088799580554245, 1.745076103776582, 1.2855827312069499]
3;-1.149049112;88.64678260000073;[-2.3433768208100076, 1.8265336914705488, 1.7643960563109413, -1.7420895082459251, -0.5707867202031087, 0.778396442271279, -0.1456166904885019, 1.5069201527681457, -2.9935935019479887, -1.998055783102625, -1.4822560637731963, -1.5393772621454922, -2.0041044613931924, 0.6816289867333056, 1.6190572073089502, -0.004056193777670192]
4;-1.151361676;88.9160603999917;[1.141969519632001, 2.8110020904159168, -1.0272812921620202, -1.644445200063648, -1.6383413447592756, 1.4325529798628818, -0.723621034950626, -2.724291675371001, 1.7636891826948267, 0.47771948755326754, 1.3429310471526668, 2.489351273357202, -1.9064102582586966, -0.39911703786439157, -2.0616452738649045, 2.08834902547442]
5;-1.159997076;88.4961786000058;[0.913931919259868, 2.214390884267239, 1.5375915057241105, 2.110776831374622, -0.9039645288715281, 1.0591205036293356, 0.21653135270498236, -0.014383859141454902, 0.35583844736019676, -0.5894324052908653, -2.9580979790774213, 0.5744258922816954, 2.4760368189649684, -1.226127052213623, -1.6290458952742402, -1.6141886119176734]
6;-1.145419492;87.51651529999799;[1.1994482342860202, 0.8884302279312184, -0.7879780227017261, 0.5038779641742988, 1.9660829072405317, 1.4055960931531306, -0.6811538010953444, 0.5439125144511134, -2.569836390289457, 1.9197158021082714, 0.013170392576636214, -1.0154369293484744, 1.3774518501942659, 2.6637221522295906, -1.910342295852066, -1.1190888500851148]
7;-1.1502452520000002;87.65271439999924;[-1.2971535894577184, 0.42371448123732947, 1.3700138054087763, -0.9243597347072661, -2.063520666131803, -1.1199909559614394, 0.24452911924221343, 0.6264536259424278, -2.051269278979444, -2.69089799867497, 2.7118061698065565, -2.309389096688787, 2.0871727877155344, -2.59890303122538, -1.3266297667863294, -1.1271415279772938]
8;-1.13847474;87.6433344000252;[-2.355919135160227, 0.7685834529244224, 2.671190867950786, -1.6626717217796658, 0.08423759685695353, 1.3956973379879258, 0.12337081444133524, 2.189808314275517, -2.8786657998463263, -1.262159671561828, -1.3803495297911723, -1.6695289641691993, -1.3500327746756862, 1.6267279963468884, 1.008998025657502, 2.8700282737635394]
9;-1.1427126280000002;88.15489900001558;[-2.4789027885908386, -1.4623941453933114, -1.0236028281757257, -0.5696441036489936, 0.7335065452648806, -1.567211935279027, -1.9866905921042672, 2.042782202726743, -0.049063440970559924, -0.9506847932672513, -2.565493378977371, 1.757173659120146, -3.1114504333144577, 1.9900941311559546, -1.5515096587415176, 1.328604775665685]
10;-1.152227932;88.08245450002141;[-1.348217768680817, 0.7209366642711288, 1.7535446172085427, 1.699084999434068, 0.9881003040993779, -1.3853143401863335, 1.489832034760651, -1.2883710091447074, -0.3753905477477075, -1.7858894885541678, -1.390701795520376, -1.3530355568965493, -0.45113726028378487, -1.6635315631506122, 1.4864381477364983, -1.8863076673379575]
11;-1.1593613799999998;89.00844529998722;[-1.2205933698452713, -1.5202817945542186, -1.8886465493526308, -1.0848147689012304, -1.1852188340008758, -1.7505260380845047, -3.0860991585627713, -0.11955400233754654, 0.01661614177646653, 2.003474206251001, 0.13489552467725385, 0.38435632444623646, 2.7626863320871955, 0.6925188619262288, -1.8923539246901817, 1.4290084626418604]
12;-1.158383092;88.62931550000212;[-0.7109551400506149, -0.9485108120251926, 2.30718796626533, -1.3122458670060768, -0.6490218684294922, -1.8623609992296353, -1.1861995275068962, -1.0464548339013877, -0.4046899610218846, 0.6628294450942995, 1.3799424184060332, -2.075974870985454, -2.38353669881852, -1.3755238891244805, 1.7331628745437273, -1.7588418797149574]
13;-1.143631148;88.86100330000045;[-2.7434761090788666, 0.7020852685694763, 2.373734747490566, -3.00513021186532, -0.45986620566655656, 0.9956523639505468, 1.7440437387405705, -2.075169750312252, 2.450938811031582, -2.337566586882879, -3.0109514888498254, -1.0032057163443047, 0.5923793521733218, 0.338754537730086, -1.613323455489792, -1.3704128257056114]
14;-1.165397176;88.19730450000498;[-2.1152134172552794, 2.457652497692563, -1.6738008241542481, -1.2170366502744678, -0.7687495168371679, -2.144903754802695, -1.677292276355683, 1.6038097585925595, 2.350029365411247, 1.8882923483288412, -1.1516505040032174, -1.613213870882956, -1.3994421562592483, -1.3012555209289223, 1.5913615469679225, 1.56780489597151]
15;-1.15476814;88.23394600002212;[-3.093194595310372, -1.8425883055509082, -1.446752697870658, -1.5697348542828047, -0.1941445026681614, 2.3579132506337395, -0.3857612207889898, 0.5774830264093764, 1.3916290156977702, -0.6961064707425764, -0.5342417310452561, -0.36128192852671237, -1.1416316899249828, 1.2375771042904091, 1.5867210392521498, 1.66620222615379]
16;-1.1542951440000002;88.05780110001797;[0.3310976306385003, 0.11297456214318835, -2.3049388675983096, 1.6163900525433776, -0.3581231202345383, -1.3087260686435558, 0.3162048515701512, 0.6674355949151272, -0.2664407206962265, -1.5488002972158899, -1.6400782999127492, 1.4006618831791666, 1.035425744932036, 3.081565513041671, 0.5981338904756823, -0.2408376747772598]
17;-1.15110198;89.29513509999379;[0.10989006543013424, 1.061878316757488, -0.5139921226142508, 1.0919668633356316, 0.14321795416386607, -1.9180043527096278, -2.7598074589138233, -0.14519717748174754, 0.12289760421360629, 1.0554121672753656, -2.9515727138625913, 0.9514571375445042, -2.1235591408362997, 1.1837204481255066, -2.4984882931405927, -2.1946647154039955]
18;-1.1193548119999999;88.39348919998156;[-2.7380104484864263, -1.044458261695163, -0.06998971618932437, -1.8040013726913535, -0.5488293980416814, 1.0415437901825797, 1.2565138083378997, 0.0028670407696607114, -0.6406909520234958, 1.8460451414154129, 0.9712702991602864, -2.220697381373191, -0.9326887409095495, 2.635090549300765, -0.28203213269991867, -0.6703893769743416]
19;-1.1486601079999998;87.74818419999792;[1.6983755231663213, 1.6081168912823927, 1.6520165330661136, -1.4489245336288865, 1.41996818465973, -1.5034183581254512, 1.6064003571828476, -0.909770217843564, 0.22248639379853996, 0.7962208515095135, -1.6420648614969762, 2.2189390008577963, 1.811644689963412, -2.5461186562996643, 1.6028266702120089, -1.6157513737898614]
20;-1.141844548;88.35898789999192;[1.2536502110040777, 1.0503554804482134, -1.1780681257794372, -1.5382783727932943, -1.5660612119628494, -1.6938708256324047, -1.2828693646760463, -0.4752757182593168, -1.3173108655414179, -1.823854996930842, -1.8516903564980784, 2.557848854557374, 2.020524521233436, 2.1783620035653826, 1.9494081093786697, -1.44122622584294]
21;-1.155813656;88.3840755999845;[-2.021666700563197, -1.2155719612027625, -1.390015354092283, -1.4270793000128623, -1.5115963495903848, 2.1076378217950165, 0.26063105844066303, 2.7620778987658188, 0.902492207165893, -1.756130126233734, 0.20826901951739352, 0.06710104373468706, 1.684239125812871, 1.1117566142951887, 1.8962713793275956, -1.8115747321671258]
22;-1.1641766279999999;89.19503760000225;[0.47533903484238405, -1.9239581289001815, 1.5901866339973338, -1.3558417960331626, 0.39145782360978565, 2.109416903939003, -3.0332775402592382, -0.08488293289798543, 2.5139703219779985, 1.0497111284635459, 0.14862177735879456, 0.1422792403202937, -2.1702771877706404, -1.4383266383644577, 1.617840199103167, 1.5188731733251002]
23;-1.151838716;87.60873730000458;[3.0838608359602313, 0.09538953142522155, -2.4204329606846073, 1.5857324947735556, 2.8896259557140773, 2.882819735951853, -1.1524113849736393, 2.692351521914084, 2.376700260925788, -0.9439556687462916, 2.8150394052728007, -0.11508506028802312, 0.33496639588484367, 0.6677614141656951, 1.672312004613361, 1.8538475947511914]
24;-1.14164498;88.40066640000441;[-0.21368893408747258, 2.447326924748614, 2.938951008239872, 1.4443390903834281, -2.7920345455830944, 0.8248801656834228, 0.38689222964957537, 2.7873461280655345, -2.8547151966191207, -2.457163609968008, 1.7537650440511001, 0.9077208879001768, 2.630472847069881, -1.1023608862742234, -0.6475646910011772, 2.4021429672379515]
25;-1.160267784;88.71954310001456;[-1.5761844102277107, 1.0639358143271798, 1.7917383868631003, -1.574492492048248, 0.29639885572009605, 0.7580809588546931, -0.012140319033942415, 2.249710620483615, -1.8071188302391372, 1.471489570648588, -2.122355970800915, -0.898197972451416, 2.086227738969419, 0.14500448577784875, 2.1330752694741584, -0.5675509398356704]
26;-1.153501656;89.01522790000308;[1.292202627428778, -0.9935098866362981, 1.7816783664468732, -1.5213827203768147, -1.6992413217744666, -0.4037135127825109, 1.8611439454979806, -0.8579079908864, 0.24088987589938204, 1.1468878687418833, -1.6728714851850515, 1.3656668450821536, 0.7416184689012728, -1.3261993475097793, 2.3045842902310785, 0.2471805428868712]
27;-1.1372069799999998;87.42885860000388;[2.2601512049959327, -0.7404878531182226, -0.45736538013671835, -2.89036114450238, -1.0397146601538312, 1.4400570819354321, 1.0125309866167242, -0.16671127431979338, 2.6914479412078007, -1.2053307359880396, -2.722066928746741, -1.6599963008544258, 2.837908165477142, -2.849161437837149, 1.844624252220628, -3.0093251126831997]
28;-1.159614992;88.47849340000539;[-0.6685257914234537, 2.8405823603007194, 1.573346383420711, -1.4991632198850449, -1.9097228527328955, -1.6568072363946937, 3.1238767660737903, -0.4099978069728878, 1.805253780121335, -0.14206322650349978, -0.018385041919166234, -0.03373541203787145, -2.5079859748923368, -1.40206907502515, 1.518819352022895, 1.4271269627694831]
