run;final_energy;time;best_position
1;-1.1390475799999997;202.54896429998917;[2.347284826199985, 1.7683366833287142, -1.3450883035589838, -2.0871226708146717, 0.8587316545429662, -1.6154728367262747, 1.0500087598443013, 1.169632669705055, -0.2684055698908976, 0.6598656496923887, -2.2867901020616306, -2.040508734935857, 2.0148229994961504, -1.3798242367816635, 1.5143866305582847, -2.1781026851701744]
2;-1.1361128813333339;211.9787970999896;[0.7753752096940589, 0.9286181046498516, -1.8587931123757744, -0.6886434430170403, -0.7128991104294573, 0.9651031471207245, -0.2706459218322963, 1.183712418106147, -2.822817892862066, -2.00961123576122, -0.241452673003705, -1.0990328411773174, -1.4312326334927685, 2.569614615078489, 1.3024680237939004, 0.7170937913387334]
3;-1.0836273880000002;214.34135919998516;[2.6696912212079624, -1.5355405155464694, 1.0854210499706065, -1.5585382115656734, -0.3256964139390379, 1.403965243546713, 2.5871920535093036, -0.6016151550103972, -3.0950141452207975, 0.10421565473748373, 1.8981769523829648, -1.7879088077228056, 2.81121671593014, 2.8425751004058135, 0.37964813231688854, -1.0509500866251655]
4;-1.1403073720000005;213.38452669998514;[1.7796609892099884, 2.9354178110982234, -1.4857032074569865, -1.7380819087666441, -2.410180454513311, 2.899887127571608, -2.243476923051371, -0.7503462526972946, 0.23005510017987296, 1.693255226564549, 1.7326440147132338, 1.9362931583243466, -0.13521841653894962, 1.6466350470036968, -0.9828713138061822, -2.460077404154219]
5;-1.1346603840000002;216.34883920001448;[0.9117725165444526, 0.04117978289587709, 0.9369961438415153, 1.6477146882385458, 2.7849231700734736, -1.4030133570454688, -0.30487244902517174, -2.432970760723935, 2.682344510208802, 2.1990361801423903, -1.428999334527674, -1.704185252469708, -1.3489405791084543, 2.7494119115107303, 0.6985352625241195, -0.4219368529572862]
6;-1.1532399213333335;214.45594909999636;[-0.2277476113528758, -0.2619616117914245, 0.7213894872990432, 1.495215458140632, 2.5493275509150486, -2.4098507020941318, -2.0578154795635304, 0.09373963114978645, -0.4119684618417736, -0.6331283040310098, -1.8521659998593163, -1.2664869212826377, -1.5702409500297232, 0.7687317335258674, -3.1193586204496593, -0.5456008860312722]
7;-1.157182541333334;218.61583289998816;[-0.2763974734524024, 1.1914390290553607, -0.14197219980765663, -1.4340383477657592, -0.430764468157387, 1.6184988216573712, -2.0635140875406273, 1.7769662510665247, 0.7340145356888472, -1.793298835485023, 1.6098448399773728, 1.3895643841599892, 1.664154285925994, 1.3413278298864366, 1.3543793052050965, -0.7750405216945326]
8;-1.1419823573333336;221.17477700000745;[2.964145160216317, 0.8569319301420566, 2.336705056425341, -1.771357883600843, 0.22921860580028275, 1.410400088655213, -0.020889169416233422, 2.795705909671792, -3.109102173733588, -0.8016327460034942, -1.090285708359957, -2.2339888826602063, -1.0588454685218842, 2.4679041470673244, 0.6018875538928938, 2.4579889646505926]
9;-1.1457064173333342;216.9152829000086;[-0.6152906274074401, -1.2669078850938487, 0.3992369661815136, -1.5310718889833812, 2.4949296799406673, -2.477033187812521, -2.855596823908148, -1.204966182403341, -0.22527042916099038, -1.4427866236493474, -2.0626992007415845, 2.1488577598102925, -2.1257953177622393, -0.30781400745175347, 1.1384113225455437, -1.3289005622024388]
10;-1.132583153333334;222.77401040002587;[-1.3445424396827808, -0.8013960395242297, 0.05726876827938243, 1.321622635113184, 0.7070361987699791, -1.3626141757019965, 1.8049440513398185, -2.811252042746922, 0.41259549544829177, -1.6006252772700875, -2.054315762382086, -2.599919048048426, -0.9005738569457167, 0.11422640634858183, 2.527755010708537, -1.9503760789482583]
11;-1.139334477333334;213.12787440000102;[-2.518977098124021, -1.1650898353118162, -1.731990017165134, -1.669163777183738, -2.5664299042338596, -2.133065456509589, 3.0462061895684798, 0.48229886556147417, -0.8365446631602462, -2.7692242882909466, -0.46422983438092214, 0.30103026342496797, -0.7701352610564731, -0.1627475660602471, -1.1111783526510077, 2.027290146649028]
12;-1.1252050000000002;222.02869519998785;[2.4470066598327778, -2.4273571415241575, 0.9127042029534449, 0.9785843942969512, -0.6220158054366292, 0.777724207721894, 1.9972246138063774, -2.079406805190755, -0.09537304524694656, 1.794281543839439, -1.0350305743026347, 2.0790137961898747, 0.13740521183863352, -0.43482220579662334, -1.6283704468394264, -2.0265410007837645]
13;-1.1223764026666672;218.4687227999966;[1.264503591066088, 2.08343841325728, -0.571147097214971, -2.0815555006631907, 1.8945838583982688, -1.4496993761534915, 1.3327714029474036, -1.2712213871276943, -1.2638108146975031, 2.723855238832602, 2.3178214808591227, -1.1432182654322838, -1.311726661001254, -2.1679300236638883, 1.6911702966624453, 1.255641725157024]
14;-1.1460421440000002;218.8629845000105;[-0.7711734342365513, 1.9683696245740308, 1.8250652019969582, 1.494029765467177, -1.8978757411861291, -0.34204022809201584, -1.8932044730557187, 2.863432912932974, -0.47909296806326696, -1.5469494197873106, -1.934969886437245, 1.2245610310506345, 0.44179273080799186, 1.8352770702766845, 2.918220458849456, 0.20462726048326996]
15;-1.1594566400000004;221.14419609998004;[0.23969208607288994, 2.840480429616157, 2.149556083499096, -1.5274894218443287, 2.492874453111071, 0.027646206447546895, 0.06913645324514128, 0.5292199873209067, 1.2277212282539347, -1.1145133717733846, 0.8214556837434657, -0.6646523214099478, 2.132646735729267, -1.7596385631931415, -1.2371567281022948, 1.2137889331212364]
16;-1.1438332093333339;225.85789909999585;[-0.4422907330460055, -3.0444626693255645, 0.0359667827911494, -2.219149905727313, -1.7229213474316734, -0.9912201345593021, 2.202293880421669, 1.3420770010213827, 1.8027020451501716, 1.0925750369644982, 1.1483608274312385, -1.4332667758466129, 0.6605999951565709, -2.551914195415573, -1.8760228417188485, -0.019526547259771654]
17;-1.1403311640000002;217.26486189998104;[2.1272512940642674, 2.455615242787217, 1.9332843951480587, 0.39674384439862553, -2.419810293832037, 2.1584762209115294, -1.0888401955057327, -1.0300104252044768, 2.3014620509512405, -1.687933888346524, 2.7691592867034753, -1.2499230698957593, -2.2517086341461794, -1.8432411054721538, -1.718269321136068, -1.7054337850786425]
18;-1.1751416120000004;227.65432180001517;[3.0721362280405557, 2.9159923923026776, -0.5781332308218503, -1.8349673101129702, -0.1952713050174686, -2.4839657914202644, -1.8546643047316282, 0.14473202932839957, 1.030919973406399, 1.8618505208519034, 0.36316900782416894, 3.0230403599825335, 0.5773391280435716, 1.849849207993774, 1.6082180761571045, -1.5486751129627687]
19;-1.1453934720000003;216.6937965999823;[2.4776504181816774, 2.0109234382174, -0.80076682439157, 0.7830039200270251, 0.8660341532417855, -1.7296118475664897, -1.4038765285180024, 1.362257043374532, 2.3935004780516014, -2.321757086721358, -2.2614492195353177, 1.3207096320323854, 0.6557553298571586, -1.1317375108779775, 1.4463867475812444, -1.7431542653591805]
20;-1.1399627853333338;229.86760600001435;[0.047926175274349614, -1.4421446772415745, -0.14277292617910575, -1.433449314336051, -1.0239466440108758, -2.59950403547745, -0.927976222798824, -0.03577590314040524, -0.47084593005507935, 2.4744742864560436, -2.6986209599604805, 2.2204556303018492, 1.7699108251613946, 2.144446533071525, 2.9016364006638105, -0.8238958503052909]
21;-1.112424317333334;220.14436469998327;[3.1075066613820397, -2.5070928754477593, -2.9883842179134286, -0.4038657831885444, -2.968729949514004, 2.4463023189009068, 1.1208818425573286, -1.7951724843443506, 1.0746563776824187, 2.195536051184069, -0.3491749761305223, -0.5057373403667098, -1.7088822983536356, 0.03932050851816982, -1.7129045735895538, -1.5523621370043559]
22;-1.1414078400000005;222.94168379998882;[-1.9328334086884231, -1.8839071447641094, -0.0685248391857134, -1.6032872019823714, -1.3206979164365864, -2.396198378974652, -2.3222829762997863, 0.8118323195112023, 2.199940572796889, -1.3894474084509498, -1.8953542759591184, 2.157763305635921, -1.2686256903095408, 1.4753341093737768, -2.06522495565993, -1.4434741365103045]
23;-1.1315538746666673;219.40898780000862;[-2.659440668351414, -0.1007708292161511, 3.095328817298025, -1.1735948954438424, -2.5196765869948776, 2.4751728529323263, 1.0020645365716776, 1.9007241194354076, -2.820769853404595, -2.140489087630176, -1.440280328940122, -1.6667842071666723, -0.8474481688605859, 0.647512828264035, 2.1961110354393867, 1.0859078638559314]
24;-1.1477852346666673;228.24698670001817;[1.0896001422414905, -1.7345697624012435, -2.866274937561962, 1.5061512683498606, -1.9665593230751863, 0.424940979205795, 0.2594325366353112, 0.41257369572504254, 0.21551231656870895, -1.4026695382919336, 2.1327901279097397, -0.5755433088299187, -2.3546191866852504, -2.1213975655493753, 1.2024157985062134, -1.6565174062129266]
25;-1.1394019279999996;216.60904710000614;[1.0680800772888297, -1.5319019061978472, 2.2983350455228084, 1.347420895872002, 2.498706721471235, 0.946282113156756, -0.05740148349297103, -2.2299439859913788, -1.723027645363368, 1.7572805680936403, 1.9478951570026224, -1.1115161175952952, 0.0184808004233461, -0.20963369740075422, -0.9765637310189748, 0.2977976058886789]
26;-1.1491033640000006;225.00843180000084;[-0.7299727873967141, -0.45919814184581753, 1.6748679911696716, 0.8841301094794689, -0.4495402271420206, 0.5922598955448053, -0.03695336276859695, -1.8239519404423539, 0.47849465941408154, -2.608187546943539, -0.750639964340976, 0.048911323780115534, -2.918668310629403, -0.3974428020247416, 1.6651709971032673, 3.072349886929725]
27;-1.1582125920000008;226.37734130001627;[-1.3557379277176476, -0.6235202932734998, -1.3878575503138453, 1.596840736978324, -1.2392181737839403, 1.5213179613025867, -0.5102970922340111, -2.346215193265209, 0.3170266575555014, 1.926802920584942, 0.6450167450305098, 2.674603647503675, 0.0847549354575956, -2.415525683484455, 1.56495067688334, -2.0883976160686664]
