run;final_energy;time;best_position
1;-1.1797782289364085;54.92681420000736;[2.8702503302679343, 2.713524707533984, 0.09735977265177143, 1.1160467863026735, -2.495850343371841, -1.4557918986319447, -2.5087724154473965, 0.8487425345859303, 0.5680721984456429, -0.6014903505323401, 2.195585687060399, -0.845825922899655, 1.4904409476155314, 1.8784810225150297, 2.438114393950462, -0.8243715874223909]
2;-1.1831412908383752;55.13534190005157;[1.0696235206299773, -1.2066337113906602, 1.5298203259641054, -1.759138688289272, -2.1190755521927556, 1.3484145724936223, -2.53702914766032, 2.065785046320679, -0.3236415562111845, -0.01884986263050914, -2.139780002191167, -2.1568309234835974, 2.085038355003027, 3.1145421613530413, 1.6603711037348194, 0.854656566717864]
3;-1.1804130069735703;55.11429070006125;[0.04318409691413283, -1.2866936453185442, -1.7251802221522978, 1.7377680462407739, 0.04531609140465376, 1.6171790655880756, -2.5725523749490513, 0.3870824408509761, 3.0223867769649333, -0.716128582851054, 0.5494090766485473, -0.33281370267719623, -0.1356429551509306, 2.1117110620515387, 1.6120925254589533, -1.718232032005113]
4;-1.1740580231775264;55.3180801999988;[0.7729551133859056, -2.4026952531612285, -1.6948708282273417, 1.576734338948536, -1.0358005375825297, 2.2742717103702574, 2.5560977136749505, -2.3107028645824657, -1.4951685858048946, 1.2557210011153161, -1.36502983703343, 2.0520284242123985, -2.3140648022246486, -2.7999818540920587, -0.9669360995048963, -2.619369629586341]
5;-1.183949727385529;55.56301959999837;[-1.52526563370445, 1.5703134070304872, -0.39082199429297315, 1.5777338491867958, 1.528934525426851, -2.2187480657551877, -2.3423615665104203, 1.5350653380849275, 3.136066175207417, 0.8867179678939374, -1.5481714035243652, 1.5998711483169963, -0.1630195312417997, -2.651072326574795, 1.619654294721144, 1.8417054616118973]
6;-1.1809843872255783;55.37094589998014;[0.04325755612743576, 0.17889375610559766, 1.4153067088980258, 1.307851605797139, -0.010735838483561189, 2.917475168558849, 0.5702444505031341, -2.398094776891252, 0.02524429306333209, 0.02559322011324161, -0.5696309840919453, -0.5863827177521079, 2.5984810688067874, -0.06897800729505743, 1.6651453801297125, 2.10470379131265]
7;-1.1750532117751311;56.12336189998314;[-0.585000888558525, 3.026186872104315, 1.604295743275232, -1.5642758190484585, -1.3815871530064927, -2.193350861837607, -0.03389788877987687, 0.8820453759044389, -1.7014594890249808, -1.0661917747715082, 2.5425362385199213, -2.6381805495530037, 2.0878584601405255, 3.1284156890816464, -1.2156423895969788, -0.5799595482384761]
8;-1.1886978908148673;55.681651899940334;[-2.1504178220020678, 1.4049033513153582, 3.1171431476830627, -1.5575022049573535, -0.9789258509366809, -1.8416488489940985, -1.7318792124483087, 1.5894146366392254, -3.1022738783253527, -0.7482328093108777, -1.569590304378814, -1.5907986696994005, -2.8511504581838025, 0.7460686197593507, 1.5995111447350778, 1.4268006835169782]
9;-1.1761194479511836;55.52761939994525;[-3.0781354124219225, -2.9580332868417463, -0.20402368081696798, 1.580049326102949, 0.27342227952228937, -3.0442565487646505, -2.940292848273454, 1.6268127007741908, 1.1313125159296424, -1.3940010933103328, 1.5762828057000178, 1.620265367825703, 0.8766409908424935, 1.654036560463978, -1.6181002734605614, -1.2591708317100634]
10;-1.173898833342154;55.138171400059946;[-0.019448097875631287, 0.9408486699468153, 0.6116581435753505, 1.4646745427517462, 0.019867892106939067, -1.1323817649633794, 1.6691319568629055, -1.5946438335298145, 0.006688266910617635, -2.2235175009460444, -1.566054759831089, -1.603474506159712, -2.665603127424317, -0.040861795952256585, 1.6979369139313407, -2.016506871718496]
11;-1.1760032137368917;55.53164679999463;[1.6541172779499878, -1.5946052087425677, -3.0113486349506027, -1.5718341347162827, -1.5073225993271502, -2.236088034870734, -0.7900513502941928, -1.3572396860637472, -0.10530090831010819, 2.4745820973916413, -1.5424227157816726, -1.3814295209060374, -3.1195001731332335, 0.8496837533027661, -1.6453349583458519, 1.7075013324019022]
12;-1.1851554271361424;55.514350500074215;[-2.3380253933451103, -2.6117416701600815, 1.1102689962529153, -1.5853392196319807, -1.9337346771821016, -1.5560572051245551, -0.23368174273522335, -0.10454920719446292, -2.2075362948700175, 1.759877436487134, -0.017711096891848577, 3.0724633832064114, 0.9532613797911544, -1.7757530366319596, 1.9854319191885956, -1.4568150082888565]
13;-1.1805624303338886;55.18878169998061;[2.5038842550460974, 2.4112362610713074, -1.2444418879138495, -1.5432824460240822, 0.43166172068182096, -2.457240457241314, -1.426756172682505, -1.6583666855292836, -3.0557786889519276, -2.233022979003437, -1.6040024615857709, -1.495163340682871, 2.2528209860531607, 1.3436450091445575, -1.6025134108744081, -1.4092737575588827]
14;-1.1797517724242224;55.63503020000644;[-0.56182327535796, -3.0430034213399026, -2.398145579392551, -1.5443155011664471, 1.8486009791538294, 1.3676475930728307, -2.378290860963427, 2.8168444783415802, 2.0460168644654573, 2.4404747459526446, -0.7228188875498924, -2.8873675104906056, 1.61946321742019, 0.8651600907230712, 1.9293450732831552, 1.279266184420754]
