run;final_energy;time;best_position
1;-1.1617636064053678;152.02659149997635;[2.4205715321891166, 2.9142220225940623, -0.8565910808733697, -1.929213156497591, 0.4796371386325209, -2.3001038726091694, 1.2440911431015813, 0.9191176122464633, -0.08821081424926591, 0.7238134559885774, -2.185136675168923, -2.3140917664775364, 1.904924277607135, -0.1770609093494815, 1.888712595489558, -2.0665487063265378]
2;-1.1782134519959695;158.55788269999903;[0.7565621545042589, 1.6534094275076265, -1.783985463979433, -1.1189343249552044, -0.7531394973056433, 1.6059242547669426, -0.324549188264327, 0.8101180930836822, 3.06168448726455, -2.9160649252559536, -0.8272453017937509, -1.0089941995954725, 0.23178266150406968, 2.558381820592203, 1.2400876798879104, 0.8930451266667427]
3;-1.1626817003403553;161.48449810000602;[-1.6194523690702958, -2.2662182951736782, 1.3825504506515545, -1.7397114680285226, -1.5596299567255503, 1.6338854040576587, 2.752132237734454, 0.41200673699197, 2.450692441928336, -0.17510111325867372, 1.045847265658316, -2.1479223774617586, -0.8812132714883392, 0.15559022479327744, -0.3621048906286064, -0.24789316590912236]
4;-1.165080677031058;165.12942770001246;[1.5744597190588037, 2.7000603097717164, -0.5124732245130628, -1.3473463333638562, -2.1447272230228527, 0.7112360672788469, -0.6734393775274063, -2.426371250821998, 1.1917210929888657, 0.28056641215975375, 1.3591612639358477, 2.124421469781722, -1.9014309031973666, -1.435834029604549, -2.2501760658911443, 2.205171495652161]
5;-1.1714465800839897;162.7618545999867;[2.5654642407891117, -1.9017141389805383, 1.620863582415618, -1.549105361841954, 0.964398677178985, 2.386622454785387, 0.49399917767815804, 2.8315882060518867, -1.339106194007686, 1.7256317277711473, -1.1048807777853717, -2.573163910895442, 0.06806978346976145, -1.367037972089626, 2.5760282409528887, 0.982249467191191]
6;-1.169334006603391;164.14805960000376;[-0.4111390286018364, -0.36796638118569147, 0.9239114136574962, 1.6104930415445864, 2.4994838046225123, -2.3375668436538515, -2.2129262399013854, 0.2900998785095412, -0.4676224147880057, -0.5261646474759631, -1.869152351767805, -1.112114424650363, -2.084746848759873, -0.027510233750890123, -2.809457169247695, -0.5242468313134747]
7;-1.1512815156339018;167.79471070002182;[-1.19701347510522, -1.812468055481881, -1.03391741549446, -1.8652875132554787, -1.3001686396667147, -1.1468169250169893, 2.438992913016385, -0.41138179956874277, -2.8838048276074995, 0.7066987331728267, 0.9391951662206726, -0.9458191897330916, 0.8207219503985654, -2.313148579100063, 2.9819534352082266, 2.0697230298507865]
8;-1.1736412520668362;169.0864947999944;[-0.19702396040477277, 0.9189173500857315, 2.8747076985082725, -1.447062351369655, 0.4156697042263158, 1.239226408101323, -1.8489453103187588, 2.306635054227484, 2.834695101660972, -1.440459280406242, -1.320244469915956, -1.9758670337040334, -0.7866714318295327, -0.4508796193232558, 1.0325656714903317, 2.270386452554246]
9;-1.1733680365206804;170.3357146999915;[0.1350937214024679, -0.6729330118895596, 0.6869134096705656, -1.544688462476296, -2.8869887416336923, -2.5672888063897714, -2.3652548298746336, -1.166933510968913, 1.0893811618821827, -2.160735959631358, -1.5712686323165082, 2.0199831280032043, 2.7514906643207153, -2.1504382035019654, 1.4677936659155275, -1.7639176025954495]
10;-1.170880966154655;169.57498629999463;[-0.9482381162352409, 1.0504370974892758, 0.8816131990430058, 1.0766791328000425, 0.9491129690968547, -1.4004229344518218, 1.3067919830298766, -1.808905141203385, 0.31253557000045884, -2.717763729374004, -2.0445658089560212, -1.8590618972986497, -0.8920304156759293, 0.25471343050519524, 1.6996709011305224, -1.8446939038190981]
11;-1.1676806556842498;172.62036600001738;[-1.7216370293410712, -1.7463391601073006, -1.642641576662752, -1.6957397932817813, -2.6514890218683216, -1.107657934867615, 0.22005916849787033, -3.0931963642835503, -1.5710344789491344, -1.2874880642383268, 2.8974429014247605, 0.11083921371226602, 0.929287659060491, -0.8774967803589933, -1.7833248400670412, -1.63726650501956]
12;-1.1714301542766994;171.81989690000773;[1.9046178953063029, -1.7562530658878124, 1.030561656581284, -1.5010865589210112, -1.1203083141349426, -2.096918860638666, 0.15503306232123037, -0.5662785706107933, 2.967813207248235, 0.7418983087597697, -0.7015430762747257, -0.7970621162662912, 1.5101499119875577, 2.609274903068985, -2.5373984846198723, 2.621767336389121]
13;-1.1877475223995306;173.0465899000119;[-0.05186166106306622, 0.1205017787956364, -0.1884782298040144, 0.04602587715221995, -0.2533517685126565, 0.6420133451380092, -0.43519420851305757, 0.836168779321524, 0.5194545688802972, 1.8112185003382661, 2.081851412789634, -2.3448456999308824, -0.46401625625525433, 1.1750369253594766, -1.9985627541843816, 1.2000346236822557]
