run;final_energy;time;best_position
1;-1.028658216;107.11169419999351;[0.19770254321211445, 2.2855676231863686, -0.3966994206711534, 1.8095531086694745, -0.4496105561162036, 1.4833623445446058, -2.7349491304922684, 0.8614651451562594, 2.889405343401979, 0.19690932715435583, 2.0238195463491273, 1.0300904854862862, -0.05969234918621513, 1.0984631966781713, -2.205710451023714, -2.3119453470887774]
2;-1.021763888;106.61890959998709;[1.8237087894553463, 2.652040546631106, -0.8274793607728856, -1.6199498615435253, -0.7224516882753713, -1.5088253692166511, -0.17243482377555797, 2.5080479816046983, 1.4905149435286376, 3.0692259098655654, -2.0650432854986676, -1.7096038029189102, -2.334956430712935, -2.3363042810879033, 2.381742631381023, -0.10041474892556179]
3;-1.0186796999999999;106.86997070000507;[-0.7612670924703315, 2.857958011564201, -0.45831837463452807, -2.1009270451545117, 1.1979277162563848, 1.7808644233949078, -1.2442935392129644, -1.1798035966301605, 1.1037322510212055, 1.5359704778594985, -0.16141764982327977, -2.562651893120066, -1.6453814436158285, -2.201990545330763, -2.062731646344159, -1.1453120949797395]
4;-1.0304924039999999;107.05806459998712;[2.5182938694753876, 2.521467897695306, 0.21962570677937654, -1.3552959858361373, -1.0837107002011992, 1.0048194944264033, -1.356620183097383, -2.4297540573219316, 1.2362915092830882, -1.1665692540808037, 1.5993867445231773, 1.9120845292619695, -1.2059843519916362, 2.9464682308242214, -2.2493222436604263, 2.6809996364477815]
5;-1.037065356;107.07633029998397;[0.12035932679643313, -0.09400312340011396, -2.747012003391413, 1.729035836152243, 1.682516793958074, -1.2727797781713999, 2.495084929941209, 0.4841175968519673, -1.520160375564024, -1.7664417144498694, -1.5655153062392095, 2.0496327757765105, -0.7345458706545531, 1.3453756140132702, 2.8369384897222982, 2.6052136079630657]
6;-1.0280658040000001;107.18280300000333;[1.4281176079189999, 0.2903434973552259, -1.7898723538171293, 1.52411424998113, 0.1222174113691965, 0.00013475681044816668, 0.5056118482889524, -0.4151107627212416, -1.442632343164336, 0.048118231793029764, 0.17346482446097689, -0.10309104414114012, 0.21808115319573096, -1.0393600406495564, -0.9170445670094796, -1.9941987981289107]
7;-1.0296443;106.35275619997992;[-1.0087280982060038, 2.8349727206109625, 1.5839159311674882, -1.5643597890573575, -0.8909706774859663, -1.1258136052387595, 0.34984298711838724, 0.7150881592535212, -2.307893585582222, -1.540016432798195, 2.3746054232889, -2.555952231811307, 0.9524840769394904, -2.171012563038832, -1.3463728055175115, -0.9527125980399447]
8;-1.018705808;106.12997880001785;[-2.216753802004293, 0.952847897129379, -2.7573652514641456, 1.4864665625067648, 2.221753814830164, 0.7005695936825118, 0.9511785802288673, -2.941284613947863, 2.92770686846716, 2.689251121036053, 1.697786039105007, -1.172722646282959, -0.4186947047489502, 1.4389583733410554, -0.16992159398250184, 0.37986736891387807]
9;-1.01612546;106.69158169999719;[-2.979598498674057, -2.8345788018482394, -0.10750789752696877, 1.8600648848571293, 0.3925907389580412, 2.395015163374204, -1.7439780743305793, 1.420880426109866, 0.4093380100553681, -0.41216922627410035, 1.9780865902440112, 1.9775759238049506, -0.43154374904667137, 2.1139504424527438, -1.587809246875268, -1.472121985256145]
10;-1.0319976240000002;106.13002630000119;[-1.1643062826578054, 1.3626574589301148, 0.8660216393864308, 1.6418497459564207, 0.982251049805182, -0.9924296019749761, 1.6761126593110873, -1.084093629585615, -0.17388039379504594, 2.480139267523506, -1.5324644028157846, -1.1389838834529469, 0.13612480774585034, 2.033566481674743, 1.4285894713173057, -1.9465443492571852]
