run;final_energy;time;best_position
1;-1.0291939373333339;229.67365339997923;[1.498355714256081, -1.798028849664502, 1.6778900784707123, -2.8403082722297346, 1.5645829250025063, 1.5354868886251287, 2.577478444031497, -2.8399561896496315, 2.249667667820866, -0.19752003918200778, 0.21355701141040173, 1.7462913181753992, -0.572030559947645, -1.2476391297805338, -1.4870222300311549, 1.238073742671732]
2;-1.0142161146666668;241.5588499000005;[1.0533498179677085, 1.337804515201607, -1.8772258300690157, -1.3201849034446003, -1.0273505971917478, 0.7981081182739325, 0.46440071617649004, 0.8903121312552678, 2.958499034040311, -2.0184058528931867, -0.11654279900460285, -0.42248631220775756, -1.5225468898254615, 2.9521375091640234, 1.0658509510054959, 0.6005538733462852]
3;-1.0354673026666679;243.99916109998594;[-0.121145254360977, 1.3934372062655882, 0.4119386413384478, -1.769330111142619, -0.26280199305424956, 1.6384419592306836, -1.8966305066277667, -0.7161184379123489, 0.4244995119227073, 1.588635868794622, 2.1588332094463993, -2.2886562232595895, -0.820098537153517, -1.44907906044926, 0.909014782292477, -1.337827579689382]
4;-1.0356612666666676;247.4420642000041;[2.84844115403806, 2.488117514036002, -0.4417381960025395, -1.5141095483458082, -2.4573713354387365, -0.28037681128252245, -1.1987836684197932, -2.1856255734201944, 0.4209086324265856, -0.5297309096924359, 1.3168186661407226, 1.693799614663889, -0.41952293974963073, 2.929480637187611, -2.1677395133627484, 2.8108939513870324]
5;-1.0197888773333343;250.2744286999805;[0.6611183720046516, 0.18485419472198084, 0.9026913315408276, 1.8297215386446855, 1.424317543785632, 0.8468863663169897, -0.3019230372024353, -0.425172908358181, 1.4470818335769131, 2.2364646364998, -1.4098346015954526, -1.5102052814205145, -1.0825567438585928, 1.958610949413142, 2.691738606031114, 0.20563911363265497]
6;-1.0302058666666674;250.00409110001056;[-0.41583287758637066, -0.4806637742207567, 1.0822229977879445, 1.667958197152851, 2.9108777709944267, -2.0826360541083067, -2.1028135096986884, 0.33094160146718554, -0.3773982117986474, -0.5900209541383177, -2.3231649118923143, -1.510277684547647, -1.8238953915560443, 0.06884146667472546, -2.920375632736967, 0.10938782025641247]
7;-0.9666864706666672;245.06124370000907;[-1.8857353266175256, -1.4284843033301458, 0.47165373922078446, 2.2927417201019225, -2.456965677636098, 1.49971816935743, -2.6490305807815933, 1.584283153283975, -2.963988909777952, 1.183606013618892, -0.6076155750445005, 0.06178311203460529, -1.9762109348158436, -0.2619692032481682, -0.2917459174433228, -0.42985966378724116]
8;-1.0267235213333334;247.1153513000172;[-2.638272241153371, -2.102319651090645, 2.0902472824766454, -1.285962611012259, 0.5259987249842242, 0.23497392065896516, -1.8037032635814496, 2.130869902877148, 2.7777843688289634, -0.639561333322828, -1.364493666300739, -1.808978057056275, 0.1171391479154571, 0.16395033138698523, 1.1540177983821156, 2.621586156120644]
9;-1.0095749680000001;254.29302419998567;[-0.08428110765583252, -2.530668737695796, 0.6044565096201664, -1.7159068549564565, 1.840323614132866, 3.081421290879158, -1.9497940960669626, 0.7335229477855281, 0.6193180502380979, -2.6200490604995443, 1.0824410048986355, -1.9267025191441274, -0.2677574559072071, 2.4634987591722, -1.0931014922754478, -0.5721598780297201]
10;-1.0100302160000005;247.88959100001375;[2.138513874825999, 1.3577252383798495, 2.252634603267399, 2.0263015626739316, 1.2489117279480775, -2.273414848730706, -0.4374849138639303, 2.499704087805277, 0.22910987991589904, 2.2985300723590214, -1.8257957777653606, 2.7681201349516584, -2.1753425936546074, -0.04809870567183783, 1.8773535655973674, -1.0785969130612987]
