run;final_energy;time;best_position
1;-1.076744847988723;67.91813450001064;[3.0314300084158052, 2.8862000848377676, 0.15754650501868284, 1.2531638494588364, -2.725059002406966, -1.6179077907875576, -2.515502332153443, 0.5888734655608836, 0.4172147208235386, -0.6206821732765628, 2.4061200868009625, -0.43716539726919645, -2.8417051804638076, 1.579818592529321, 2.401809673053899, -1.2287620320516095]
2;-1.0890103721612385;71.61347569999634;[1.2426950594496171, -2.221274185102437, 1.4725588490688493, -1.6299339673211803, -1.6285354188726062, 1.2335148849237898, -2.902348787075017, 3.096831088041097, 1.0024510423213302, 0.9328065243853612, -2.8861714863087964, -3.034058722363971, 1.203209757931191, 1.9482013031145842, 1.561746966853816, 1.567964715351967]
3;-1.0809352881446601;69.99695190001512;[2.248132453426855, 2.6772231732626457, -1.6218178525734486, -1.6354243839315623, 0.7249359131296229, 1.2102901262640007, 0.11493581206121517, -0.4079433169430704, -0.7350794040404791, -0.22936362744327, 0.04095175116794536, 3.0511674547415133, -0.4978219644866968, -2.5184017676867003, -1.737203988793307, -1.1917372415258176]
4;-1.0756910676550813;67.8860921000014;[-1.4520520077457046, -2.681478575178092, -1.5193753610116978, -1.6419823767860795, -1.6034997122331747, -1.4714928967074044, -0.38794773606101574, 2.0340959886197254, -2.017139235421867, -0.1758207088939039, 0.8804501115536318, -2.3096329450391355, -1.1760766118332724, -0.028625670762244315, -1.6581313833253952, 0.6261649802625682]
5;-1.0807426280428463;68.0016636000073;[0.0013949717217109914, -0.6994297074306797, -1.1933746179739533, 1.5636580847216024, -0.0012541100059615395, -2.3247574236172923, 2.885842945321139, 1.6323147091516095, 3.14146518025989, -1.4835825138892842, -1.5559288914923712, 1.54457948808599, 0.9995705699992588, -3.0825539984834727, 1.5349796681128547, 2.8982662880746215]
6;-1.0776079988905363;68.81908519999706;[-0.03640789849327808, 0.34742854757611275, 1.4118987453463072, 1.273245896608013, 0.01995761311494526, 2.726216843177557, 0.4098526399308273, -2.6570898055436496, -0.09174789028314745, -0.14583151633232827, -0.34676166909324735, -0.45883700452773457, -1.4621989309323182, -0.32642790657304177, 1.6810871688420033, 1.8969857598023356]
7;-1.0887850092566287;69.30290549999336;[-2.325333809554696, -2.9657979545639495, 1.5728264250187332, -1.5682279253046458, -0.7516939759817207, -1.07928672723728, 0.13329900913313608, 0.03867196911559878, -0.7814541026228872, -0.8005774101874108, 3.025396199038802, 3.1221867379673984, -0.8606184718742496, -1.5949134560040832, -1.6580715820813179, -1.5928765970293768]
8;-1.0801479472297653;68.88489359998493;[-2.3078760804717335, 1.2844073169245114, -3.0830243727940707, -1.561859709919918, -0.835436782475778, -0.30932570625086253, -0.3330838196561947, 1.7311426663392275, -1.399448060358725, -0.10225402807597694, -1.5676248950471259, -1.7286478707609951, -2.142101110431491, 1.5681490301349275, 1.6260080556980494, 1.3825707839671946]
9;-1.0748104109219534;68.62434919999214;[3.130071502785924, -3.14052038720118, -0.7570861085756793, 1.7790753560486143, 0.15253871546105024, -3.042597587099769, -2.4124823864184974, 1.5705516065899943, 0.9104517904734637, -1.5565395764756667, 1.7020684923585438, 1.7196739183104714, 1.9608032833316926, 1.6081184183522108, -1.6228066423834104, -1.4000641734312171]
10;-1.0749656894156963;70.0653134000022;[-0.2461278381148455, 0.6308000772868572, 1.4971913490895314, 1.74874949712056, 0.07142542280379649, -0.626378932316495, 1.5148041126558258, -1.1074512475948946, 1.6766398378323641, -1.539755955300621, -1.3535341921588508, -1.1065872606560938, 0.05313003584237075, -1.5749489906133105, 1.6296448023736936, -1.5128262302398505]
11;-1.066578971627586;69.19318850000855;[1.69890303178342, -2.5667627702052256, -1.5976933749383722, -1.715525945010411, -1.2939760726131595, -1.313941820598142, -0.727570785802989, -1.3353921781394797, -0.9803550828578165, -3.075123535993946, -1.874410045183851, -1.2971996354245101, 1.3066939955345154, 0.06975799404165173, -1.6290996436528273, 2.343654600945632]
12;-1.0935610710230461;69.25536849998753;[-2.848144205621037, -3.0757162320817972, 1.2866142130605596, -1.5764305783999142, -1.7850693230235717, -1.5778650368773188, -0.40702668282912624, -0.01478733789207709, -1.8244618425232406, -0.31344162364393524, 0.12803118276648506, 3.1366769103364707, -1.4072365232991917, 1.7510275404833697, 1.6852317937487964, -1.5632155531267717]
13;-1.0792953126381744;68.83223860000726;[-3.121048680104087, 0.21198008138102065, 2.749607647279399, 3.0396666811349187, -0.022989470222062547, 0.5145821536710997, 1.6786451302311072, -1.515892575999254, 2.439270161495518, -0.9668984005708752, 3.019448009128978, -0.4295553664950864, -0.957480434171079, 1.807782144530215, -1.6326169063315492, -1.554254624047517]
14;-1.0858942380347456;68.31325940001989;[-0.5539864970146606, 2.106814373527831, -1.616500982128731, -1.4778304905590396, -2.8935686360069197, -1.0425004295970481, -2.477937452390278, 3.012101485529133, 1.7390183770850642, 1.506593720549012, -0.6514321907185554, -2.9991492028654325, 0.34111801867853453, -1.7097515570794108, 1.7266760143298399, 1.524451478987503]
