run;final_energy;time;best_position
1;-1.0781584013501369;169.9080163000035;[2.846588163689715, 3.0004652905617544, -0.44500809821403875, -1.5559555844868522, 0.0885776123273101, 0.4939110628525327, 1.4294578954561459, 1.5136366786363045, -0.06206344009017206, 0.4336387039556735, -1.5867008190034473, -1.5674731614333393, 1.8266867391207064, -3.0769036492383366, 1.5234162833939031, 0.34357192753355736]
2;-1.0717792292530879;173.39977090002503;[0.47035357699636426, 1.2578954473222819, -1.9346321605991041, -1.2220916152476509, -0.47450820661824045, 1.4178206813334597, -0.013664125902039359, 0.48084004384864976, -3.0536221365349907, -2.5337451144991596, -0.32383968143579933, -0.5361832232914834, -1.236037812196391, 2.31810812813473, 1.146405786687012, 1.0521911642872812]
3;-1.0609358382974603;180.24183060001815;[-2.602511119587651, -1.0441679992497712, 1.3707794458687257, -1.5710846928559512, -0.8361333968460087, 1.5773166310869957, 3.0888723742357413, -0.7601077583746956, 2.331857634684482, -1.0442572672964294, 2.043185533342749, -2.212006833524371, 0.5336593007914932, -0.6045172861694996, 0.8677228196384856, -0.5192748369913942]
4;-1.051972824955412;180.66233129997272;[2.2365135090069153, 2.8967210686857703, -1.8336495413744955, -1.7215518812957056, -2.047444512923194, 1.2130604478444518, -0.3249941117257671, -3.020681114436434, 2.0241819586792964, -0.553762157309106, 1.9121147675016337, 1.313154300827934, 0.25025353557712027, 2.5337110116704107, -2.9630763789249595, -2.841083580355525]
5;-1.0698125268299328;181.88813780003693;[2.473116012753456, -0.8760863914183195, 1.8160772544731945, -1.5587175174778183, 0.7903733930612695, -2.1200000104839685, 0.10539674200052485, 2.910322247579855, -1.3020948816056488, 2.2072488449369754, -0.7076593687883626, -2.9366402557329185, -1.5720674593330863, -1.8642599193914162, 2.336563506668325, 1.3033836607039007]
6;-1.0680406615462048;181.95203070004936;[-0.21763623482469363, 0.14206752618474505, 0.6361435903206667, 1.6106737336190147, 2.650182533773444, -2.5421052182388695, -1.922219519414846, 0.4303414990981449, -0.46439533774256514, -0.6575726061503655, -1.917789747846795, -1.8726855236041438, -0.7116300006489245, 0.30249193972145205, -2.689137250628203, 0.1981255900981509]
7;-1.0688252738488275;187.37115570000606;[2.833379574038167, 0.06118592140792556, -0.9796536796199362, -1.6886403401373793, -1.573832573588586, 1.7776629196038174, 2.148690162922236, -3.1092736896061743, -1.4147624655504687, 1.3118134548065798, 0.8430332963613081, 0.09221090497942219, 1.3453710247540638, -1.4324221531128636, -2.270581273836181, -1.710691064211004]
8;-1.0636434648191098;187.0892271999619;[-2.737392539567849, -0.23495919820403266, 2.5209679063027037, -1.6541849255727903, 0.3310015648497173, 0.9459599367279363, -0.8615287564418428, 2.2966266486506335, 3.0288296768959633, -1.0425925645000067, -1.184778596413462, -2.152810175312376, 1.4465708369700634, -3.0266800595689003, 1.1109651308999053, 2.6003940486419577]
9;-1.0759066351811102;182.5559153999784;[-0.5405698999692374, -0.8094475707836253, 0.5175702532770075, -1.5784180615176575, 2.38317615084535, -2.6328527398299673, -2.364635145601043, -1.3832528065985636, 1.2037328511060146, -2.209564412929315, -1.5733997862498112, 1.7290685867341908, -2.4744210783415865, -1.615221038462811, 1.661100306366528, -1.143277614215484]
10;-1.0611794171143907;184.8844451000332;[-0.6197493873049491, -0.11558231784066919, -2.6469098613916207, 1.3743432145719812, 1.2729316674727293, -1.8189196879651583, 1.0893920691408603, 2.8060026991746128, 0.6708693091969513, -2.1977320194523093, -0.7746065772653727, 2.8662107981226033, -1.7538156034566783, -0.6872467969463933, 1.92152179927999, -1.4740466900297]
11;-1.081376867030352;186.5268813999719;[-2.030336012755305, -1.4774135731716778, -1.6837508566502029, -1.4993314023126487, -2.370637973365339, -1.4550433113022831, 0.36325363163154023, -3.089048507601341, -1.306614997878763, -1.8123134079748286, 2.748167210870882, -0.10318286661076925, 0.850675527018931, 1.8765211048716655, -1.7609430314354888, -1.5592039614799198]
12;-1.063430790561938;175.52540290000616;[1.7640313866304762, -1.9106938993310183, 1.1301452027840142, -1.4878066427257275, -1.2069787926396864, -1.942890061804868, 0.059104502344473175, -0.5159485064550671, 2.8209426554726136, 0.6282204089438093, -0.6795488738195634, -0.637952989828408, 1.6975286533686624, 2.4823507335226527, -2.408718887150621, 2.367301200212715]
13;-1.0717347340094545;179.16211079998175;[-1.54355440034748, -0.20567547271970676, 1.635473153782666, 1.5797099745143006, -1.1140767798380358, -1.1889403287516798, -0.5873649103763996, -3.015622233074437, 0.2097112714263174, -1.6421001509443365, -2.3383807689796514, 0.1271449237121094, -0.6867982941611377, 1.8710620703638057, -2.2013147979602157, 1.432362774706065]
14;-1.0687214400177107;184.96797580004204;[-0.7163210907838238, -0.9579909715651409, 1.567894506084122, 1.5650854043228764, -1.5286316048872606, -0.8861129316986336, 2.0342159872519723, 2.930406475729276, -1.0073947098104714, -1.460928363597497, 1.247869968775687, 0.3310430461191398, -2.323287692927206, 1.571270986932106, -0.6591962617193001, 1.8630452135980367]
15;-1.0681554092030823;192.30754890001845;[2.287367608684015, -2.59572091480056, -1.314046892820668, -1.593491581889364, 2.164045378671295, 1.8062416661773852, -2.6007667769792753, -1.9803332549222554, -2.366634260040337, -0.46813992392939063, -2.190431864915692, -2.264657610585783, 3.071295484244704, -3.0365832179052057, -1.5249119302927574, 2.5542728751112866]
