run;final_energy;time;best_position
1;-1.131475708;106.25619569999981;[0.4702584056674213, -0.8610750360645731, -0.052437368353107416, 1.4501827527282378, 2.942750241443317, -0.7493292117728494, -0.6260859632951208, 0.38720776660044587, -0.2115476802077696, -0.16388833926912794, 2.3708175344459104, -1.388311356477839, -2.6341673194152078, 2.43488707645529, 2.8485946674498983, -0.021419024651908813]
2;-1.12706324;105.32891840001685;[1.0339968044518404, 0.37492264725250735, -2.0584391162727456, -1.6197288336495352, -2.358592996654779, 0.12490904813614989, 3.0221916750843754, 1.3140714915563318, 1.211533570813776, 0.39737755876229297, -1.6783694378428626, -1.404031725576919, 2.3840852575670315, -2.6903864187091435, 1.7610883912091655, 3.069307983764615]
3;-1.125326644;105.36705519998213;[-0.41623715568364306, -0.0411366492081342, 2.592961433565498, 1.5828437054987967, -1.1770509105992812, 1.9939105943707984, -0.6438476036735499, -0.39998182078438127, -1.3240273210976106, -0.1574718469585128, 0.4676517696016309, 0.16471289871764494, -0.6322361156345986, 1.2408283441889036, 1.995555857656779, -1.773099254016728]
4;-1.114390068;106.49212619999889;[-1.6340253879188051, 0.39235262738856713, -0.9396264585290393, 0.3657367454503522, -1.557315658618089, -1.5079377100645752, 1.6782260282919461, -1.604121112893463, 0.30287886017620425, 1.8482496317236246, 2.7870465407624856, 1.5704167329528635, -0.05033628777158716, 1.9490616478365208, 1.550704546628987, -1.481335912951754]
5;-1.13574062;105.27517879998777;[0.12627068909551253, -0.04374830307685418, -0.0773323843256053, 1.9504339539421744, 2.9970019249569697, -2.5549638812391895, 2.9684564692647015, -0.34980800606999773, 2.917912905411372, 0.42455923208785107, 0.7587245316809526, 3.052234559159105, -2.2955119243280206, -2.7208780944224484, 0.38838749949139295, 1.4274642203823298]
6;-1.114493436;109.61957370000891;[1.3698427760805068, -0.3955082544159101, -0.7783637200597338, 0.8045008293349678, 1.490457669262054, 1.6072849369002826, -0.16837466249532396, -0.044593622630868524, 2.062922907619452, -1.7497007419135289, -0.12735974385606896, -0.8347791126267325, 0.8521161213430908, -1.6306956223145623, -2.048437433216384, -1.0064549122532709]
7;-1.119297588;110.80637630002457;[-1.2205946461500468, 1.0074543212111946, 1.1631765339857276, -1.458292832343841, -1.7803380856076867, -1.55420989821805, 0.4115253078546348, 0.6517284662635352, -2.572314250530095, -2.2670339018106915, 2.210931310642814, -2.4968174619982095, 0.3952347830721257, -1.9935759769273438, -1.16312708409438, -1.0707327740243704]
8;-1.126962596;112.52908360000583;[-2.9199987920975423, 0.6490783572254828, -1.879476305503772, -1.5922278079972925, -0.1008283774759211, 0.9365633220899969, -0.4804031474872623, 2.5808395301585563, -3.1107482216534117, -1.4827196569805843, -1.45107718002788, -1.8512863587684907, -1.5426574222478355, 0.7522545970641543, 0.4851498286215423, 2.8015140798919607]
9;-1.1288839360000003;112.20287139998982;[0.05394356265567124, -1.2274990883673391, -1.820084774721564, -1.5433712735857115, 0.3066146264542069, -1.6209143891582534, -1.8030718800883343, 2.67478523934881, 0.5500595085231228, 1.078735909887734, 1.9806662301496933, -2.5681689059899777, 2.3064554880303154, 1.610841814422745, -0.9950551757947301, 1.8348357537085125]
10;-1.1395410559999999;110.3345822999836;[-0.8738786189472099, 1.183717799515497, 0.25384725665441676, 1.7232724641526813, 0.8302930510788578, -1.206386228514103, 1.6949485742396915, -1.4302010093243922, -0.2631278574839362, 2.9346013709764005, -1.3567279923976365, -1.353279095761713, 1.2805764752438478, 1.5285849932752633, 1.5164586785485268, -1.6688793170319267]
