run;final_energy;time;best_position
1;-1.1050473413333337;260.06875610002317;[0.32377466963213, 2.863336594282236, -1.9619900736540794, -2.327413224194027, 3.1265242932249038, -0.20982407853431573, -2.5364532228082095, -2.7675728144022482, 0.2784780255184294, 0.09751613140276794, 1.5176198984898237, -3.0774297706457316, 0.27668612594242337, 0.8866107927228573, -0.03080170405689664, 2.5929295187400037]
2;-1.0941353200000001;281.3641496000346;[1.0264758347712162, 0.9999507469113356, -1.3938510456706241, -1.0337719874974498, -1.2031147039871535, 0.8013223906731879, -0.42903711068775774, 0.8413309035082159, 3.0471286103292323, -2.0393689083761, -0.7403262586629271, -0.9798992766448285, 3.110136842575587, 1.6077703553115645, 1.1242333220812153, 1.0450102065913285]
3;-1.091051524000001;286.4602141000214;[2.8811533560970553, -0.48631408399849274, 0.35460546821545247, -1.4191960148513427, -0.5771255951026895, 1.1422877471169794, 3.042331278854798, -0.44269375838726166, 2.425780304881962, -0.17081614936749645, 2.2717860563049523, -2.217174182073483, 2.081706868693175, 2.8921340995737204, 0.48973990348150975, -1.0877073136746613]
4;-1.1270962213333333;294.7957808999927;[0.9019357215394646, -2.867637745113077, 0.10573379102403146, -1.3803471199799142, -1.506023264658646, 1.129979484035042, -0.650589949688205, -2.983736284215029, 1.1770034493310684, 0.28492918922688837, 1.0229776924243428, 2.7812599002182683, -0.5954367917875825, -1.3302609559043774, -2.637847408377751, 1.990755430088897]
5;-1.1023399213333336;294.0116750000161;[-1.6544977011209248, 0.34818836955462107, 2.571544397958677, -2.2536004622700956, -1.511213124337247, 1.446873957737763, -1.2943901936147761, -2.1639142460989484, -1.6553297530142097, -0.7044041052354095, 0.3924468512300576, -1.9717715338789417, -0.37139334965595694, -1.3173402845127262, 2.107922958646725, 1.4788456199287232]
6;-1.123744301333334;312.30778089998057;[0.9022062971729969, -0.11777824832027939, 1.0175842254307428, 1.5747721728819437, 2.109292587093881, -2.4121649009261987, -0.18679258360169815, 0.1939059123730078, -1.2078083593864766, -0.8923236366663598, -1.883307138281155, -1.5372084880427501, -1.0494951828554964, 2.3539887830262636, -2.809997224683248, -0.10754950521756657]
7;-1.0477460733333337;284.38540819997434;[-1.5237475604490636, -1.9215960820746663, -1.0473087556873502, -2.272513555791224, -2.013417318685717, -0.8536436426433038, 1.6201551540176968, -0.8387736678561946, -2.481289299790995, 0.5797628096989254, 0.5789418090558147, -0.21975116962325814, 1.07121191774523, -2.3595148534001433, 2.9235140756998916, 1.500198024757033]
8;-1.1265816;282.62301649997244;[-3.1291608874663055, 1.0609893925385734, 2.6133231042761427, -1.7577470942125073, -0.04998748452964863, 1.1719455552462446, -0.06553734673899037, 2.759566612696319, 2.984875281602225, -0.42445734535668267, -1.1392273898664103, -2.2254700316125806, -1.202498516251809, 2.1670047216527557, 0.7016185039068445, 2.3590052287527232]
9;-1.1306900253333334;298.7683590000379;[-0.5396939169340498, -1.5093337832649998, -0.7650208524682576, -1.4356782090943725, 2.8365241006225608, 3.075249178855259, -0.6942222645446638, -0.45559670251163986, 0.13063635742813595, -1.5870509161756876, -2.1506045642108127, -2.17007132359687, -2.3833637694808676, 2.5337597426568577, -0.4987198108545732, -0.9167385588281265]
10;-1.1214229240000007;298.5022242999985;[-1.1151067207247447, -0.3040539271862701, -2.4523561864486276, 1.4086048706431313, 1.5810633284906768, -1.8341647351794503, 1.1129359167832353, -2.586652142934284, -0.9663005007592562, -2.1045133905075755, -0.3878814374238191, -3.028630770173309, -1.6707216247299552, 0.37405642686908935, 2.2309173863327842, -1.0798330453560627]
11;-1.122454846666667;301.2965262000216;[-1.7446158879696796, -2.206526229366755, -1.7937763016593602, -1.7527263582091859, -1.7082448051499364, -1.4183003482458243, 2.3135870620650625, -0.1944850781702514, 0.41939823346907534, -2.9332935790130548, -0.8852537158152232, -0.2200975820623201, -1.595935041309104, 0.5295437558496912, -1.4701191255993875, 1.6510419069846236]
12;-1.1040894000000003;299.65928240003996;[-2.168872654131065, -0.6368449675089081, 0.5053233651407085, -0.9433193509353894, 0.8488859186508639, 1.921031611914973, 1.2907196550649198, -1.3558843391800828, -2.022327783571454, -1.6503414647442, 0.5750167729375444, 1.4025616353388974, 2.121595122919402, -2.4791604399447817, -1.1206971090863491, -1.9842540029631368]
13;-1.0974521360000007;309.415283099981;[-0.8420407703247466, 0.3637447478087399, 0.19026312401899803, 1.3560571455181556, -0.4124022364582425, 3.015998371332948, -0.6734620850918787, -2.236801287045089, 0.37939781901807423, 2.565755079372275, -1.8206887094026853, 1.0178691346002573, 0.05829428124498914, 2.511414726760073, -2.1834534371003733, 1.1998521923235614]
14;-1.1263998253333332;305.4516588000115;[-1.3809968639824428, 2.7283974197504692, 1.8828113052412583, 1.5467690520978108, -2.8002871453266738, -0.8358022747478699, 1.6199289010640952, -2.595219231247761, -2.9740817325173077, -1.4449048656783507, 1.5092176579505905, 0.960790825887579, -0.037306016085632, 2.113577337872317, 2.613382146221195, 0.5062113185083015]
15;-1.1347466786666676;304.0585152999847;[2.5204214765208537, -2.5073953052868294, -0.1048875323186862, -1.6067258817031105, 2.0296437512885195, 2.2018377022809323, -1.8029186760827192, -2.2075312136235348, -2.769628263140301, -0.30504240241569613, -1.7438337005540365, -1.8680079662227564, 1.8049304010284395, -2.554826946904646, -1.1247769573065183, 2.616642995820179]
