run;final_energy;time;best_position
1;-1.203746052706772;78.64827169998898;[3.036323171755372, 0.3652923517621649, 0.42917490474946707, 1.6042987396545012, 0.9538432456116004, 1.7910998507325928, 2.1216961263642258, -1.1066332783143977, -2.158368237046704, 1.616505381540378, 1.481278392783774, -1.3613029312699885, -1.337460549505819, 0.060820753938599204, -1.200721787377318, -2.8143660156390364]
2;-1.2127696567284196;78.83505530000548;[0.029283951905281658, -0.06188772748727667, -3.1324502787995208, -1.606794315504843, -1.0377636987753407, 0.6681544529273253, 1.5837122653240403, 0.07481784709375283, 0.8113583491391356, 0.9985658602187772, -1.5614111233282548, -1.5619416994073636, 0.6549142189319213, -3.1061567730294173, 3.0323537242045813, 3.130336410921821]
3;-1.2084237039237666;78.69267049999326;[-0.21498096832151603, -0.3242964418695151, 2.753838677175515, 1.5629838701180088, -0.49697200065408786, -0.2009195386447966, -2.6888721045734187, -0.2136605044219131, 2.1955207978766182, 1.1476642445856946, 1.5467825430261408, 0.2206497684312203, -0.31674064656407186, 1.3251997322171807, 2.146216969507461, -1.6955163008904957]
4;-1.1977139959833871;79.10413859999971;[0.25809147657075915, -2.143387644954954, 0.9092729171493925, 1.5511863404511503, -1.6815469163424301, 0.666139144805693, -1.9584243074478926, 3.1002630151963455, -1.9591776936948353, 0.3469479316915143, -2.536373737668626, 2.4468434222940942, 2.6363633464236518, -1.474015012370165, 0.0699138938192716, -2.2552909170741757]
5;-1.2109834220275122;79.52219370001694;[0.024873501129428544, -0.06581880992876155, 0.07792765802288226, 1.8634617960810171, -3.1240700679275744, -3.093046342346834, -3.118192758357041, -0.028601240781418014, -3.120135447467196, 0.04623623920184894, -0.4506553704052605, -2.9117621873931205, 0.4277264363982223, 3.0126174924210813, -0.33914744797839624, 1.5442624384863208]
6;-1.2163484078369637;79.01597460001358;[0.4843225981655155, -0.041939628702833076, 0.03238605095303404, 1.4670401572826872, 1.4112065582074251, 1.5866785956298601, -0.04754429709468644, 0.0605245157688441, -1.3881045580447544, 1.0815710094003759, 0.6077951341645016, -1.303873137862958, 1.2519934256003387, 1.550970146581788, -3.105654454746126, -0.25926741273578324]
7;-1.205139821365503;79.63522219998413;[-0.840506569174444, 1.89247235090955, 1.6118327622056325, -1.5761904294905256, -0.7867501692896623, -1.0717933729336386, 0.9215372710228351, 0.24267009683280172, -1.7266465580482744, -1.6012285981534788, 1.7103288088950448, -2.3614602358185848, 1.2584947429133324, -2.122635543499679, -0.325721891175379, -0.7942530119673377]
8;-1.2169551090997919;78.4909551999881;[-2.0420078417543355, 1.5067245378589886, 2.9923116599384487, -1.5394015512122454, -1.0833017658903779, -1.9194526412882318, -1.6920299061257265, 1.6779133707832177, 3.057762818417446, 0.09386276125978066, -1.539798714081033, -1.6705818805992991, -1.5131789023324256, 1.4698166878924788, 1.5831330443267024, 1.347473288319744]
9;-1.2162194197866536;78.73558849998517;[3.1367559133313447, -3.0069806097340175, -0.2712434054793622, 1.8139361128387188, 0.06059833266890413, 3.1384679189286, -2.8398306271557225, 1.506227643687712, 0.9626171714767677, -1.4104702512157288, 1.6371786439835025, 1.7393289286508278, 2.5333141713534104, 1.5674685186983712, -1.5848355908819223, -1.4941514842155765]
10;-1.214169721554969;78.68980230001034;[-0.9915701065713081, 1.4121023569360673, 0.14874733242043847, 1.5651684499546379, 0.9963797064930304, -1.074231522022279, 2.0166454279660124, -1.5739999830377773, -0.8291734258522143, 3.0020646145815046, -1.5758140196047439, -1.575946395849422, 0.14853091672695218, 1.5598588405755676, 1.5795047003164981, -1.6418566569674302]
