run;final_energy;time;best_position
1;-1.1997033096476308;189.3808691999875;[2.834434998263939, -3.1360927358676656, 0.4101252162487583, -1.6176275124814308, 1.549989395649538, 0.3126548144441492, 1.5522236800873461, 1.3744326347751041, -0.9385840049109042, 1.002991999296551, -1.5609204198021875, -1.5504045625709992, 1.809201706301991, -1.8088252213802762, 1.3199929003730384, 0.14439953493712654]
2;-1.1901563797762467;205.31353709998075;[-0.12965452466562777, 1.322254494642154, -2.1368897238431046, -1.0357627549998383, 0.11975511619826129, 1.349133597733311, 0.6157724368263375, 0.8752692555646409, 3.103546978965051, -2.661879804552827, -0.27910149525621364, -1.0772280395560947, 2.902734374862943, 2.490484658008527, 0.7959926807706426, 0.09502598484436309]
3;-1.1932681385103332;211.82067569997162;[-1.0045135236061435, -2.053161201192909, 0.5221322291654995, -1.7094874378071336, -0.9988236114171078, 1.6596394329058128, 2.764667123911101, 0.06796044578169891, 2.696845528910293, -0.5112413464738217, 0.7250443627173708, -2.146784294773292, -0.0005856875782495052, 0.8941186365374811, 0.04260690451202631, -0.43117464642061165]
4;-1.1819617434760281;209.16987569996854;[2.175619310481527, 2.7084574050071524, -0.9597697114492569, -1.5958187877940015, -1.585750082158765, 1.8095413737374368, -0.37009644282414245, -3.0767431713441282, 1.9408485363678887, -0.41590627404011693, 1.9412860335743582, 1.4900545502853237, 0.5595323551271938, 2.676114986665504, -3.0748622143306834, -3.0077485758957567]
5;-1.1860773446659394;213.84459639998386;[-0.8964418850325644, 0.10763700753836458, 1.031340226450916, -1.911825089624581, -2.082736841166045, 2.130493296255368, -1.3450088440973929, -2.411226035358843, -1.6256853603513426, -0.8527873873579681, 0.8566976934126513, -2.446078174445649, 1.3998385712695942, 1.7125216032281045, 1.8178228603392226, 1.3134042088365891]
6;-1.2062004678559788;215.77443760004826;[-0.5425360855438153, -0.1090976666658805, 0.8568741539668747, 1.5875684704257127, 2.820100640863891, -2.4625542510940956, -1.7041201872829739, 0.7395809839122078, -0.4654288279425942, -0.5517784780835475, -2.0236940115730464, -1.3498727567184665, -0.5112947252500817, 0.25030581563277643, -2.4556527075282824, -0.6500199139260081]
7;-1.197838531675136;220.37893950002035;[-0.7713361014139255, -2.0393230301059937, -1.1206114349134801, -1.5912382649743162, -1.4429380715620002, -0.7841786826320485, 1.7097378384326518, -0.23107315706227194, -2.3627301785213333, 0.8903411991878114, 0.6736191303516166, -0.6519706936094187, 0.47887596747939076, -0.9506406779778915, 2.970192052714432, 2.011571143915818]
8;-1.1946025359149128;216.03243899997324;[2.8972260220256754, 1.0115860698815098, -2.57133373683163, -1.523789490247813, 0.2550399680925115, 0.9938236544172918, -0.21260982925023164, 2.5312598634614307, -3.023534160048977, -0.5971142208890097, -1.763086125585076, -2.1308580994164257, 3.063836905437811, 0.8057683248741565, 0.7129299086847523, 2.500787818541312]
9;-1.1943760542835475;222.29305860004388;[0.003002606358100124, 0.362246896637775, 0.5666871378193976, -1.5439256532061287, -3.1377858664993297, 2.987810064188748, -2.652998950256095, -1.2531392952810323, -0.03953001015282531, -0.14339297637993909, -1.8119484304801976, 1.943043392750127, -2.3447975755994985, -2.6639389151578436, 1.335078980016867, -1.531824081899791]
10;-1.1979925848841453;221.33860329998424;[-0.7464686723593901, -2.477416023914386, -1.3548893238813748, 1.557538774756801, 1.400825619043209, -0.7717151278797942, 1.1798145456157378, 3.0492044087866343, 1.1544392595804371, -2.3388465002327887, -0.810253158924013, 3.0192131893011815, -2.7055824099910026, 1.4574139723641135, 2.3924478356629066, -1.4818069082491665]
11;-1.1900078055705205;227.97269259998575;[-2.246614499427923, -2.1458103186636572, -1.7323944194131429, -1.3680480058991076, -2.374574353236001, -1.2247373743804586, 2.4778156827974005, 0.27737802406759116, -2.657537555829336, -2.3132464042196563, -0.6475289828981827, 0.32251974578444376, 1.3500642973596637, -2.5789678727779313, -1.6777066086311556, 1.4720602873724573]
12;-1.2020562952729736;224.38627590000397;[0.7624751310863611, -1.9718499214825735, 0.5825620707620169, -1.573718966559308, 0.014968000784152835, -2.5314478772932887, 1.7523767120728522, -0.6746417749593885, 0.46163662346134293, 0.9290108912654951, -1.6452076270246974, -1.4178124205867635, -2.8996875526787127, -1.7918207528553047, -2.476180840808476, 2.931432744742737]
13;-1.1800115420411368;228.57849129999522;[0.9998664608768317, 2.35397437019072, -0.57576182021341, -2.7017632476161175, 2.132089144375904, -1.3356832813664123, 1.4221414980043523, -1.0811267669357614, -2.127373352463109, -2.313271387546006, 2.6189612025465454, -1.0289960984838435, -0.8077119027088129, -0.17792000588366008, 1.5918764752286831, 1.0643408305319637]
14;-1.1743100470499999;224.31714240001747;[-1.4264892936765727, 2.2684654119598804, 2.359796668364055, 1.144245425060305, -1.2097323183206803, -0.9886308202557528, 2.979502814422416, 2.8421215747415207, 2.419142637612806, -0.7084154402170322, 1.0831526703586594, 1.200573577918771, -1.8170646596712958, 0.7237062657651512, -2.6843683048053077, 0.4701130688180246]
15;-1.211568979206404;222.78843529999722;[2.212030928004796, -1.7781898207840403, 0.21122339390350264, -1.712301433792421, 2.1991186123191175, 1.509529447824491, -1.7262358302964007, -1.805723127013096, -2.7478898359125257, -0.25448319822901766, -1.7281681210627768, -1.832927151743152, 2.571883034136615, -1.621715876343848, -1.5501610945271613, 1.7067984027131313]
