run;final_energy;time;best_position
1;-1.67758523;33.959019600006286;[-0.009850025608071356, -0.10480156287327125, -1.114323335121373, 1.7163889782397375, 1.615635449143051, 0.3686070453278023, 2.7630388570673396, 0.19256768419419767, -0.11642338695383714, -0.20350576621838012, -2.8495521530074126, 3.1376296280940696, -1.5639405693033488, -2.766259684729613, 1.782757626387916, -1.2605608010840779]
2;-1.66017312;34.02439500000037;[1.2298992214095001, -3.133849497506908, -1.6334149217576885, -1.6849706528744859, 0.3377511178121342, 2.658985610358224, -3.0437415098891645, 0.20292352142684722, 2.145947613663404, 2.735266939799378, 2.8518057696296584, -3.1061364949578216, 2.4210184917126956, -3.026051611884332, -1.3024289795559514, 1.686895641231878]
3;-1.6665165540000002;33.940468200002215;[-1.866717141039743, 2.182287038473973, 1.4945731613431663, 0.8737930084768841, 1.98134219919198, 1.8001975903017158, 2.146785520454884, 0.1833226103484744, 0.5431601898872751, 0.40511676908113037, 1.9831787931381726, 0.17285397665543778, -0.031329046146348905, -0.2742758068234914, 1.45624811293676, 0.9021055069168842]
4;-1.671717322;34.48894379999547;[-1.1999099512094158, 1.2454193974667014, 1.8503225650381676, -1.2780629754042212, 1.1467676178687753, 1.8590752956599488, 2.1357118055315834, -0.04213058334201092, -0.319898707325331, 0.16325850991887236, -2.3832495634632767, -0.23081882948834131, -0.013670189931476617, -0.376755971694664, -1.3321635363330555, -1.735915200162055]
5;-1.671454344;34.53122099999746;[2.230170186802291, 1.2402408693338192, -0.7999507429949579, 1.4398649511278006, 0.9324744263603018, -1.0650862872749958, -0.4414637956189811, -2.747186276555331, -0.17014844693746012, 1.5647274518202536, -0.607518352398535, -2.871956410866943, 3.063048829819838, 2.1122521207190905, 1.1389016928750735, 1.5916175751520818]
6;-1.659810084;34.254254200001014;[-2.7217890115117838, 0.4907558388743385, 0.08423335024494794, 2.385836472835434, -0.8505927127850175, 1.416654352325347, -2.0260781916798463, 1.4392325719703072, 2.2448553435218592, 2.475280620887654, -2.4011391996992177, -0.9427293165394444, 0.2096072918803702, -2.008170868832176, -1.9232576167417992, 2.053998505099342]
7;-1.6430721480000001;34.761542000007466;[1.030818846945646, -1.16482567704911, -2.160565125136642, -1.6130052678387643, -1.7023006608341356, 1.1125443172144847, 2.7436739294649115, -2.6592011369700983, 2.593946546376298, -2.107536942983346, 2.578288872019078, 2.3172245175422326, -0.12001898362105035, -0.3474780063180365, -0.6008533983734896, -2.5809385897036723]
8;-1.6895175740000001;34.65162859999691;[1.6407484073699719, -0.04182989182104713, -1.5238905585687834, 1.7018430249462284, -0.5477633802919497, 0.3082265445572112, -0.40444739282633657, 2.865848312684184, -0.1694424997791839, -1.7185768984870142, 2.7219372480344664, -0.19323810645784079, -1.8186194108512554, 1.8220304435572645, 1.467667489458293, -1.6643766113716436]
9;-1.683333;34.20426060000318;[-3.119310809353732, -3.098228611782914, 2.5926147590513384, -1.5643588467228189, -0.908496215798221, 0.059873782139527876, -2.2044501844623823, 0.35259648992528536, -2.090470952204819, 1.2585155502749306, -3.1044653567696003, 3.1025248037255952, 1.2227698843143244, -0.5964297745002631, 1.6209433075382114, 1.3847337875231567]
10;-1.647133428;34.197772200001054;[-1.6462236582084162, 0.6374138006556671, 1.7376036125772707, 1.629681130350689, 1.7123090815435411, -0.9925572975924446, -0.5593458128819391, -1.0436338094013333, -2.572726239368454, -0.8994125390761103, -1.916823547594618, 0.9969665289268557, 2.4850496243504505, 0.5851297317568118, -1.2276371936276165, 2.5861233532934165]
