run;final_energy;time;best_position
1;-1.8301367658043293;33.239934;[0.2819997704308381, -0.24377579402437632, -0.9350959427563716, 1.7230933996502378, 1.1828245641676265, 0.2152671459588622, 2.572254724441927, -0.007055740352063022, 0.4773350741701008, 0.21607996556750653, 2.892248478196217, -3.126949490971395, -1.3751789696783994, -2.651402921597453, 1.423752094244973, -1.5406560186361355]
2;-1.8802775569210075;33.311792;[-1.7784988054553208, -2.808088241245755, 1.6222424466228968, -1.5025623338262803, 0.09912141843029998, 2.7447220841830857, 0.7082084676845701, 0.23238829248388493, 1.3470015027673794, -2.8628896172911236, 2.6341890039614704, -3.007386751430622, 2.624189919408522, -2.8374620512509576, -0.38990591007758546, 1.8829371913390514]
3;-1.9453123863171287;32.810859;[-0.41565609261565495, -2.7888627776098245, 1.2731976305652832, 1.6471871406688274, -0.25026457521436996, -1.0155109150010744, -0.6171328707306318, -0.25237363305752236, 2.7598775234402604, 1.902297268863932, -0.41205876270882014, -0.029962384049654123, 2.445880696967487, -1.8885275863661655, 1.7497476386229103, 1.7249525448075715]
4;-1.9185155842065806;33.206251;[-1.3398411378082316, 1.5822748686328367, 2.1658288565444224, -1.3420653736565455, 1.3924572861762572, 2.253727976340473, 2.3549155988383514, 0.08615304973386761, -0.24111077265021486, -0.11057709461110354, -2.500499625939752, -0.12262666333712113, -0.37978167641376537, -0.7969514189319722, -1.2775602984683796, -1.5961439932838335]
5;-1.867521097557651;33.035643;[1.7750612766291738, -1.680832415808587, 0.3906508132887203, 1.9670078538922873, 1.4415583015345135, 2.1617736799947984, -0.18702999497862383, 3.096756096866124, -2.8279496878819694, 2.111481955153673, -0.7279381730178853, -1.544002153568363, 3.1217221432737023, -2.062321031632185, 0.3200480510454762, -3.0789795404550375]
6;-1.8866775046638813;32.99091;[-2.9142753821810436, 0.3839401580135604, 0.18614033809823116, 2.3585055232179215, -0.5129084408633515, 1.366499125293652, -1.9165179054807382, 1.48511001387123, 2.566036329304893, 2.1523987738680184, -2.199023155099005, -1.041664453239421, 0.20435811770884182, -2.313886077035084, -2.065203469118505, 2.3114708097572034]
7;-1.7751948967706124;33.017549;[0.8253377684564054, -0.7920371584769001, -2.2454494807246057, -1.2817605976910227, -1.9775014560898314, 1.213624910938555, 2.5405859138548523, -2.2639729175131036, 2.396758161387199, -2.0577423959250667, 2.1249607527969765, 2.35291436309074, -0.05337857731199591, -0.1844308639244603, -0.51644554194977, -2.8858147682192983]
8;-1.9695778664160561;33.112722;[2.5254449485334725, 0.1414267821176014, -1.4449129670577796, 1.5448905423476118, -0.7346425436207635, -0.4278512750002066, -0.5522446027203571, 2.5775461771017936, 0.6537982606304462, -1.5576063409028715, 2.0526938732331246, -0.5245763308809126, -1.9597570407159792, 2.0815680101214245, 0.8610441056991354, -2.088156513505924]
9;-1.945495853164694;32.956702;[-1.4994173539494826, 2.219625212411847, 1.1831161726976118, -1.2226690966005922, 1.496577583220045, 1.215206016123279, -0.720792743140318, -3.1140042311590617, -2.640037929590069, 2.5372142922278105, -2.5591426238465695, 0.8813923824700893, 2.9506848026101977, -0.27073473527552405, 2.7230555234742004, 0.972758963799591]
10;-1.9726262797982457;32.782727;[-2.0200464724904315, -0.9804653535830199, -1.3818889913652297, -2.018762525248048, 0.8945573188206852, 1.0404626032167528, 1.5473560565593187, 0.46389748522801844, -2.6882721173877187, 0.4515659231128053, -2.169094382223524, -2.4923659542302525, 0.16799463209861232, 2.4588393684485244, 1.93056402805869, 1.2638809220889415]
11;-1.8713297778923048;33.081708;[3.125529021988715, -0.1031555549045664, -3.034286078537063, -1.950376270531551, -0.12329763894285106, 1.7261570748075492, -0.2863197616794655, 0.5592233588693754, 2.93089703231251, 0.21086044655983294, 0.3256959687082155, -2.1093351081203355, 0.2317579502708833, 1.352898002385567, 3.136783064204364, 0.6816979312897344]
12;-1.9284487861650832;33.009154;[-0.17061345524793037, -2.0186776277412064, -3.079394555870868, -2.0927251471641686, 2.847751643856972, 1.4549806541507024, 1.2825980064475004, 0.8075202887431452, 3.082117550258846, -1.3134195543559095, -2.6821173894273636, 0.8490120610740335, -0.018233835245116126, -0.48723962059098325, -1.0978710356161057, -1.2695740480150142]
13;-1.9808874324333692;33.264337;[1.9867136168829038, 2.9177093519934747, -1.5448728681825257, 2.069118577809432, -2.7849666989228585, -2.503721438353554, -3.082926744137222, -2.417730405613743, -2.1819294208177817, 2.6837481947892465, 0.2426944325493947, -0.5005748340249516, 2.975563103489379, 0.28086019808560403, 1.3125595967405959, -0.8824660948334171]
14;-1.794664478627045;32.943035;[2.437609428962234, 0.8150603410912423, -0.14275789688701357, 1.8034405755934761, -2.369250928277833, -0.8283128566719089, 1.848210235512501, 2.173603237453084, 2.7174112175911285, 1.8611586979546582, -2.584895480977876, -1.65715898225879, 2.810024662718363, -0.03056286528905172, -0.7171873704920415, -2.3826580742649113]
15;-1.9626945397601585;33.150635;[-0.16910782529808843, -3.106999929654323, -0.8356252325087912, 1.7834146161995923, 1.3509374279329496, 0.5328365190453912, 0.9531298275202964, -2.6546725074631383, -1.717156185762899, -1.5586618063309539, -1.3878649509084646, -2.0231276055515486, 1.9550683696277762, 0.10816616750770969, 0.41200677638042116, 2.8430714788124014]
16;-1.784084794444181;33.444149;[3.0963516817304786, 0.08551386190135313, 0.16266781158751664, 2.1348588302379436, 0.680509297169106, 0.6153798068343153, -1.069773652212553, 0.4306671839644842, -2.736784784736805, 0.6901973923770468, 0.1112562352278923, -2.9044515636745505, -0.4946233374590392, 3.1304829401611673, -1.1557500418673323, -1.1770246066390948]
17;-1.8844213396058154;33.201773;[-0.07241617573888881, -1.144024321538047, 2.359166554041302, 1.2229171945209973, -0.16522934837399417, 1.4907865272010064, -1.6663610198317547, 2.411722299256862, -3.04675928638561, -0.4624218647874514, 2.670343862111988, -2.4509757532078273, -3.072940302715401, 0.3497675911166356, 2.3247154721610794, 1.4230037219487421]
18;-1.9681123196652988;33.008464;[-2.442627253487898, -1.9273876356993738, 1.5153293073729692, 1.557255840785814, -1.819350947375045, -1.7457493068704015, 2.0532438243101403, -0.7004956809345595, -1.4546927788857642, -1.594438547289427, -1.317028400449131, 0.6479490377812915, 1.730638017209829, -1.2951336951023642, -2.0283227909220773, 1.1066279546210884]
19;-1.843968676119533;33.621878;[3.086397702859152, 0.7536101451830213, -1.8767647709696573, 1.9063676597615293, -0.21142201484045575, 2.277563581230307, -1.039389088953485, 2.947425596676897, 2.434591535054545, -1.5474660174841837, 0.6815701599321811, -2.7727899575946506, 0.8476084920827067, 1.9702784149411245, 1.4984604631911065, 1.326916386831443]
20;-1.839488838535346;33.07823;[-2.165542303255414, -1.5720276689175776, 1.374492847786816, 1.5626087089271925, -0.12404645774896661, -0.859098559695826, 2.739575889851931, 9.08831632382423e-05, 1.6501995715572004, -1.8699401206190385, -2.525978550025493, -0.1793769587289531, -0.8672107044512991, -2.451280642069928, 0.8788206459906256, 1.2581571824397129]
21;-1.940272663761222;33.202076;[-1.5955134472315666, -0.9305873703626517, -1.5696337728311933, 1.146590979683337, 1.7325191117859458, -1.1538033863153556, 2.8862292481066856, -0.07435488177548866, -1.7931003644225283, 1.988887491648577, -0.1474565633835141, 0.41988343760724156, 2.0413232122502825, -1.4671833313717333, 1.6781266268057378, 1.5615980244787266]
22;-1.980755214522308;33.049743;[-1.965983381383177, -1.609809258234323, -0.7989404930088888, 2.0697419776220265, -2.0946287367039913, 1.6774519251236448, 1.2087606369293784, -2.532084263907568, 0.8081282723900567, 2.4652769904348206, -1.0173982600619231, 0.6804214129730726, 0.8964846830068085, -1.8104654439494605, -1.72245678483818, -1.6409097825792414]
23;-1.853714141368423;33.146547;[2.1192689895202417, -2.4444726863864767, -0.4024515999981517, -1.3910241247931243, -1.3019535443208796, -0.9915443902272374, -0.5838859889013475, 1.0173333330426813, -1.1285252799093284, 2.2439955362867483, 1.382330602003436, 1.1390359292293066, 2.6473602504071323, 1.8080345466718093, 1.2308098642207197, -0.9467643328443733]
24;-1.8599860977665876;32.499867;[-0.7556395525751243, 2.1964564686209407, -2.4480091041960934, 1.630698196168387, 0.6463300724992691, 2.387820154101721, -1.3957051283251987, -2.4170667247797537, 0.3044704476408695, 2.825104527171015, 1.0578101327306726, -1.9870643368827683, -0.13716496295641845, 0.600884939378151, -2.381051490014211, 0.7820292296195257]
25;-2.1059142574442067;33.064827;[-1.8586749585167275, 1.0505566871895047, -0.848935324417404, -1.6543859523020064, 1.7878513541002503, 1.2345732048693918, 0.16615332332309363, 2.8830425801335187, -0.37927090932658336, -1.6651415835730432, -0.355219420898917, -0.05952433226773257, 0.061290378875238805, -1.1956048439267788, 0.736261723132908, 1.450296544685787]
26;-1.811494092602973;32.826172;[1.9956335288057065, 0.994751722380764, 1.533303062579015, -1.7638644294102805, -0.404065807905599, -3.123616956332642, 2.4115754768163216, 2.4687001373719344, 1.7636910476075363, -0.640143234228999, 0.7556392737614406, -2.0693594837924403, 0.2826796628941657, -0.6916387892133651, -2.4730718329437535, -2.7734804609224186]
