run;final_energy;time;best_position
1;-1.79078684;17.154449499968905;[-2.93043414311283, 2.970765367697118, -2.4113279823058775, 1.1952479120979866, -0.2134478229833494, -2.956943329671402, -2.8855440699853423, -1.2404310934535774, 2.9475762581587386, -0.04047352978760488, -2.33929007114815, -2.6196826061461667, 0.09030206039567013, -2.9872797740615904, 1.4353549616075503, -2.46591431388987]
2;-1.795166;16.98876689997269;[-2.5072625737750918, 2.863557801684056, 1.5313245531096458, 0.7575254468704733, 0.09329886189925585, 3.0923428253063587, -0.41731299790854726, 2.1447410778983587, -2.4276460323320923, 0.4121306674734959, -1.4517576659706126, -1.0943123558889676, -0.18622602760586426, -2.9717409034451387, -0.7959206348743333, 2.6720960838083574]
3;-1.77795052;17.023278399952687;[-2.9867187956860954, 2.3224611064161698, 1.664242088659038, 1.5411095153019962, -1.4149414379026908, 0.4329947448462139, -0.42474411495211495, 0.5775354439653917, -1.7539206679165804, -1.373023169261911, 1.4882394806692627, -0.8541164229768321, -0.5171011839980437, -2.8427728796269323, 0.5133960056065741, 0.8396559677727926]
4;-1.78558856;16.962557399994694;[-0.11578575103821276, 2.09927943095673, -1.1278358536033402, 1.8079480965307697, -0.5817281243996959, 0.5789096131751146, -1.250496874181645, -0.08805325677001585, 2.427133602619705, 1.0073650602422326, 0.7680595352889821, -1.3017069882025438, -2.932239219350687, -1.7122595577381845, -2.9302122340139642, 2.9350621080898662]
5;-1.79706098;16.9283517000149;[-0.5467068287868377, 1.032387082968648, 0.22576049562630685, -1.5863992919938914, -2.5070802009718562, 0.29941190808718465, 3.022477590304419, -0.7308595411808194, 2.624863611097009, -0.7860304376513234, 1.6264226810001539, -2.513031020875921, 0.5864231932759933, 1.87985101773081, 1.8836673708073848, 1.5798278170144933]
6;-1.80427766;16.83468869997887;[2.192055738887259, -0.722663412343441, 2.056687322000645, 1.494595643875634, 2.1664717875270743, -1.3267089035625061, -1.4373120756374906, 0.2276923886879545, 0.7697588698038169, -0.5407710435389044, 2.729284602351151, -0.1631636376046206, -0.1313694690550884, -0.2922633170371274, -0.30664985970013436, 1.2937969118840078]
7;-1.78817138;17.20833449997008;[0.815223245200154, -1.0115764026469956, -2.2339466630894464, -1.414294714023421, -1.7773396752050854, 1.2215834757611006, 2.6772799317243106, -2.496822223961344, 2.5129224835751387, -2.0359894708664084, 2.5545849275545605, 2.773580650089956, -0.12030967715567886, -0.08538319313634846, -0.5740514810852235, -2.5468058187153773]
8;-1.8125360400000001;17.05786609998904;[2.513626472062718, 0.032995446015300356, -2.0678049156360485, 1.4337205652733278, -0.8051367241697864, -0.29156021086733475, -1.080649563869307, 2.706887822356993, 0.5128239162046082, -1.9218319149971896, 2.0810690783633845, -0.7798009852664074, -1.999672622243727, 2.3343966065085393, 0.7970505631218021, -2.4159813981758087]
9;-1.80475554;16.81780900002923;[1.8958876822686541, 2.95881081429107, 1.4520005676083727, 0.3627847767672847, 0.459390258395715, -0.5602968167761526, 0.8395254119052784, -0.22285513467157614, -1.8770424450921401, 0.10425755923503566, -2.644727019322077, 2.2833373630326426, 0.007473724373755708, -0.008724774741112107, 1.6142815689683552, -0.6818336701744223]
10;-1.7929219200000002;17.14408860000549;[-0.840231361958315, 2.4637389942904324, 2.06751578691847, 1.510043989258783, 1.6370631208132593, -1.4178309115382461, -0.4537811831140388, -0.9821690841177362, 1.8704598463516326, -1.0023051508049106, -1.840868121936209, 1.095769936773479, 2.6637512646218653, 1.0082027850642676, -1.1713367994443098, 2.701783632473747]
11;-1.78566954;16.95115799998166;[-3.1354508961949343, -0.07332530887798061, 0.45842256710981566, -2.493892330071581, -0.22955735024808277, -1.7421782837590531, -0.3308695398268635, -1.1418833964068131, 0.4021108004173448, 0.00948601559562956, -0.0820491020079901, -2.177336500473472, -3.102649146593642, -1.6341415946249433, -3.088785847641026, 0.5097374527174754]
12;-1.8064972400000001;17.052467199973762;[0.34613275460664505, -0.008498540534192855, -0.3853927680616538, -1.2534050741333518, 1.6591513555777455, -0.5655569004743164, 0.7407051706083694, 1.454072871493194, -2.062336679136779, 0.870054250110817, -1.4010388428054639, -1.5281950121913441, 2.160157699425217, -0.47370694240563704, 1.3890142795982907, 0.01544347243166122]
13;-1.8057109;17.13637890003156;[1.7265143058523327, 2.838517458669294, -1.648443593957141, 2.1879001083124763, -1.6349580428712531, -1.5293374415702554, -2.9133728876624754, -1.958032773216752, -1.8173713772317748, 2.758947164932062, 0.18922443413486123, -0.32826913186027573, 3.087748235205405, 0.11805647638477623, 1.3415983628585773, -0.5831384935887964]
14;-1.8118759800000002;17.253104500006884;[1.5024722826886139, -0.06462177532077362, 1.5518329151641908, 2.143611445606865, -0.3597061928896208, -0.49793285107670027, 1.9339877785412467, -0.22515569901182397, 1.6096381233378736, 0.21522785399841826, -2.392075752613435, -2.8293242336034545, -3.0786535680689386, 0.23694708560639643, -1.1682067488341297, -0.8671121724958462]
15;-1.8101529;16.09551359998295;[1.3763238979622034, 1.0146710637976462, -1.3729876468459097, -1.742418675534787, -1.6220702667032574, -1.505794653546043, 0.12405802433834756, -2.5247574118433156, 2.4870659352534084, -2.9018456834211954, 0.6828864657007911, 2.6599350624686355, 2.9973396804696932, 0.4404015346621275, -2.041593529694253, -0.9734748851433257]
16;-1.79100748;15.867210800002795;[-2.3698519188115155, -0.9873699414518757, -1.2629569284940976, -1.607565288617019, 1.6152188834271959, -1.5414745256725348, -0.15113813153729394, 3.0841663540255535, 2.3593086521525386, 0.6435824749083054, 1.37592359336554, 0.48263939102263187, -0.8086162642758223, -0.18900629189845208, 3.083838917563199, 1.225037376798336]
17;-1.7858318800000001;16.620722600026056;[-2.9444902193403975, 3.059467375326131, -3.0455203631697376, 2.9678493567819615, -1.7345547470296179, 2.4219915287604383, 1.2327542923581296, 1.910438947885277, -1.758270541934609, 1.3812001880838718, -2.64801611902958, 0.4885656993092211, -1.016824782367399, -3.01895675603386, 1.201634434794344, 2.161711582956567]
18;-1.7813804400000002;16.960475800035056;[-0.22346206251612788, 1.1264915221537724, 1.7425874445537, 1.3475048926433342, -2.8309042646103064, 2.582319502489316, 1.9899691613119028, 0.2597256314515439, -0.1274650183677899, -1.1589815183124905, 1.666229109415017, 0.358565200345224, -3.0112458498437062, 1.363048033166744, -0.737669101062775, 1.5594436307554078]
19;-1.8154265;16.978355499973986;[-1.7074842301508015, 0.0628521559729962, 1.856356591036458, -2.457768395935049, 1.93113916466364, 1.285264011190276, -1.6930480960252248, 2.0582804081333474, 2.2518498924429107, -1.2728953047479121, 0.6008321810249453, 1.2930218381311374, 2.464057767627038, 1.595082895000739, 1.6767020907152892, 1.6279219352177288]
20;-1.80763376;16.854677800030913;[0.40329173226370374, 0.37124403704337494, -2.8942172409123392, -2.49811817875391, 2.4671314240337328, -1.6882546288427531, -1.274101563267311, -1.226284087602903, 2.3721696411686928, 2.944898286956052, -0.4067310931150101, 0.6097743071146886, 0.13611525694274507, -1.4827474062777053, 1.7656307978203811, -1.8194577734848223]
21;-1.81391998;16.889405699970666;[1.8317416058283138, 0.1841931922938005, 1.1181276361382784, 1.8922509222669452, 1.6622819636157002, -1.4456102654182097, 2.5217671027677637, -2.709244080783736, -2.7131088335221754, -2.0054046256665043, -2.6711444227446473, -0.3751282794764128, -1.8225544825189397, -1.4966619162657082, 1.5295659850052, -1.7631632062943736]
22;-1.8175431400000002;16.871675200003665;[-2.7300430760609933, -1.3629937117955087, -0.4696309493069801, 2.387295744220501, -2.653121125421197, 1.3722595865918805, 1.5932967379956207, -2.035258229053458, 1.3331447225011495, 2.803373722240927, -0.8150647527373387, 1.2171512243508875, 1.3048434817883248, -1.538850326084625, -1.5409122560305966, -1.6155546285589084]
23;-1.8032340000000002;17.089507600001525;[-2.586969619073929, -2.5623524024245734, -0.12750102256318874, -0.6151143341145704, 0.8970854636705194, -1.4749137306587774, -1.2971842539276437, 1.7043162673657424, -2.363793716898528, 1.5988966728908398, 1.3784988134073375, 1.8062795909465885, 0.029217401077390015, 0.39356929165055643, 0.6980105652046005, -2.238774428990401]
24;-1.7985870800000001;16.796574000036344;[-0.6674754826861422, 2.039235505975779, 2.498853921033696, 1.9180552108469495, 0.6315544251042633, 1.8167504035698343, -1.640964868911451, -2.2101596854161634, 0.20888844326840061, 1.34870922263607, 1.2048175254800002, -2.0284523289714427, 0.0020077040022443704, 0.3961414473932958, -1.9220354605823606, 1.0263655385622759]
25;-1.81304344;16.904874600004405;[-3.072793041546872, -2.3856207937132257, 0.24609388729833714, -1.5139031023924114, 0.04834703540740515, 2.5780365890600834, 1.8899061993938169, 2.784281596684459, 3.1056240352983453, -1.7428786095615614, 0.1014482472547531, 0.059713050795512146, 0.11957313492645039, -2.1697380771342396, 0.8410045623369244, 1.9163784466653704]
26;-1.79224016;16.755578899988905;[3.125013101496222, -0.07182059239453764, 2.635758171793409, -1.973106607694863, 0.07270181515133434, 2.82775652543509, 1.4020873997159002, -2.8264706133896507, 3.082635900866439, -0.17390955639122563, 0.19888938229064923, -2.99667303632911, -0.23452696442286403, -0.20363091947713485, -2.3547566592239697, -1.572449075117454]
27;-1.79131356;17.201331899967045;[0.2663645598620388, 2.3363267255476687, 0.8080242706921559, -2.7570849389366625, -0.6731509067128427, 1.0107633921008539, 1.7514628767463511, 0.11852712780380248, -0.09550355689403123, 0.34758977079598186, 2.8542574240943397, -0.7251513624046888, -0.22403632926325923, -0.11634331835589595, 1.2571790991579714, -3.0448989543750273]
28;-1.8151184599999999;17.057463000004645;[2.346338328659976, -0.47349346510555534, -1.6208129920353793, 1.58192115112952, -2.297276248883345, 2.076601501433676, -0.9641261054577392, -0.3240410985087965, 1.3801010744506206, -0.6590309278521658, -0.8476442147087382, -2.1146432803395343, -0.30468401839654113, -2.4323429734753637, 0.21441755884021774, -0.4298111116534278]
