run;final_energy;time;best_position
1;-1.799108714384581;2.0408763000014005;[0.34310335375784407, -0.24718866734033584, -1.4054267563683478, 1.5692529291628494, 1.0605209858317748, 0.9253462416098088, 2.991400358887822, 0.2535430506725129, 0.6844422520600335, -0.021425517984370757, 3.06163137022045, -3.1207142912068733, -1.6072237198587302, -2.080960675138949, 1.5320185029151556, -1.4468869592300733]
2;-1.782250129725847;1.91357479999715;[0.687938199811744, 2.3868995810420834, -1.442000087750688, 0.6291372681354601, -0.5309375016700564, 2.223946357673846, 2.775362321543943, 0.7320896897053597, 2.6714654997216805, 2.821712968870023, 3.098578796668651, -0.9784343025737412, 3.1238851274757238, -2.8864388927518014, -1.2437142674972905, 1.9609485696676758]
3;-1.8002163623315734;1.8805687999993097;[-1.7892129491634967, -0.58652262151206, 1.6004072665087197, 1.5615282140562083, -2.022760610180642, -0.7748494643425832, -0.14683170710376148, -0.230450036877889, 0.6895005978979754, 1.278796791363316, -0.1543610912880844, -0.059001676556504457, 1.6011385340927333, -1.8976670525412018, 1.6208318664610548, 1.647826522424559]
4;-1.784736463286492;1.8888666999991983;[0.5205794350172503, 1.9741712688358781, -1.0216389083348285, -1.5433991081655036, -0.5745898405802206, 1.4854180308215428, -2.179518397301323, 0.38149822348461093, 2.928485431042005, 0.25185544913185387, 2.614214164282088, -1.3098594515243267, -3.1383742252002915, -0.6015717083317478, -2.922274146269706, -0.5218648188996857]
5;-1.7873526076009136;1.9391264000005322;[1.1272328011776365, -2.3483665739896957, 0.8507104569066204, -1.2381368155953127, 1.229075778675469, 1.69505307304944, -1.4292099097534259, 2.1936432713898606, -2.2343419118939787, -1.066880517962983, -1.7915373776664452, 2.0854247340297825, -2.9388340472570684, -1.7721211305635263, -1.6884980411455288, -1.3087045783461004]
6;-1.7859671535641368;1.9359757999918656;[-2.895170672082978, 0.7119746401961127, 0.3165474709736147, 2.298433963117116, -0.346306995040103, 1.2396215562694985, -1.8342989657171547, 1.4404547282852445, 2.7501497052311477, 2.2061876183582667, -2.344821594043052, -0.9797717691274683, 0.1550002392358496, -2.0454495478662222, -1.7289161744349653, 1.9163088993701392]
7;-1.784715181336112;1.9251321999909123;[1.033708596543331, -0.6264365163136505, -1.6748600724097171, -1.5683938165074784, -1.7311627744249634, 1.0670844558258974, -2.795765297196434, -2.4646475935295014, 2.322871588904494, -2.006001007419997, 2.220313048788035, 2.5255598887689628, 0.26337902758536913, -0.4973975343612378, -1.0188833391367922, -2.3251972102007303]
8;-1.7846834306108357;1.977264600005583;[0.10861101904233061, 1.0194341624423098, 2.404803939390322, 2.4708697207536288, -0.11443639593710264, -1.1867191268548238, 1.3865533632839853, 0.6985120832392973, -0.05713403980741649, 2.1006088460926815, 1.2253841586854115, 0.41730931474401123, -0.0010607950460723714, -0.23165143088909046, -1.207077755933704, 1.0045214397134394]
9;-1.795714847930477;1.9176055999996606;[3.111759080562104, -3.1238794226707007, 2.220748025720166, -1.549297063394162, -0.8864896566677576, -0.1611106065192569, -2.4865227223108994, 0.388544520170397, -2.174785958854799, 0.9605710192889596, 3.1248405791318765, 3.1410243687423307, 1.3177028236445505, -0.6298733906970364, 1.56426037347528, 1.2704522011291717]
10;-1.7909458328505867;1.9029980999912368;[-2.3929055179050764, -0.8683437870640764, -1.5488831795867577, -2.028613510573922, 0.6134291666474807, 1.0102059386772178, 1.2969945086059855, 0.12034322837152578, -2.6826164147587797, 0.5511895606967041, -1.9343029042644455, -2.8883832036158146, -0.01118401625736487, 2.6209571081327248, 1.5935660464370693, 1.2187158776031257]
11;-1.7900005671338304;1.9481904999993276;[-0.7840702161474811, 0.9254730136458003, 2.220612461698016, 1.5751809630720928, -2.2563405370024827, -1.543943754456258, -0.09989143040991788, -2.907497217859599, 0.47854539096456117, 1.3353726200439606, -0.1069079091801215, -0.016437422879456154, -3.141416559232649, 1.4123277141597406, 2.191205746438378, -1.5313011299825885]
12;-1.7822194388946366;1.9743239999952493;[-5.5971821296463276e-05, -0.00386491716344306, 0.03662030353842294, -1.5789589306856948, 1.8821284823403346, -0.8830262694051592, 1.5135231440895884, 1.5698124306745562, -1.3459772231677543, 1.5440003323798646, -1.581012011788794, -1.5819684930643698, 2.477503560949259, -0.09550884308012586, 1.5793041730323019, 0.017430004420809553]
13;-1.7929482999154234;1.8947022000065772;[1.6781741015893923, 3.0105685761942773, -1.5784207378138964, 1.8241806833812033, -2.304091383490831, -2.325177464883415, -2.9279210078198386, -2.8085337411728584, -1.7167443160738496, 2.2600857667307377, -0.1965395533743579, -0.3094538082683176, -3.0950403231275434, 0.8687588257826935, 1.5503057222958025, -1.4043716417891066]
14;-1.7749951897575416;1.9594474999903468;[3.0586807358708104, -0.05149565663331668, -0.9949964470253665, 1.6480547497028954, -1.5907417270885602, -1.1382745196063162, 1.6752767134264728, -2.946005024683794, 1.6108592864240485, 1.7156339952966837, -1.7517738112727654, -1.7302953308633846, 2.751068351206688, -1.0695680976453463, 0.12136263770862232, 2.945180454677091]
15;-1.7823704016080015;1.891265599988401;[1.4332091823774444, 1.2805892817052245, -0.8269055907951719, -1.8033253551485862, -1.3894608725539832, -1.8202907071624348, -0.7088787395306566, -2.787018819976948, 2.8675818290671637, -2.0685300594521054, -0.16417493252252502, 2.910104520599438, 3.1263675736518817, 0.5088487414096465, -2.421738701422066, -1.0741656229943803]
16;-1.792302975785286;1.8900536000001011;[-2.7587075792829103, -1.0277179688499052, -1.5233390278325052, -1.9805530120816415, -2.774374763120482, 1.0389082371444287, -0.5516193975452226, 0.024479824554442864, -3.012879136518501, 1.1168222383806006, -2.626118333488323, -0.31596362870688877, 3.06696157684952, -2.0292942398592775, -1.5224707925675145, -1.469387298420734]
17;-1.787154377304934;1.9452280000114115;[2.715569023517273, -1.7176693776170275, 1.5806761709828798, 1.5790625976479298, 0.5905644809353539, 0.8294783816756173, -2.2481877289164656, 0.7628753309980683, -1.853911576221631, 1.591168982977262, 1.313745043232914, -2.117244627267283, 0.8720991903719018, 0.9779565903379925, 0.9057717303952719, -0.6483525202037494]
18;-1.7920795402739398;1.937072699991404;[-1.650023492821196, -1.2331254089495056, 1.6900401840329913, 1.536537020639293, -1.6064602903149132, 1.5069535563464074, 1.3498656162491836, 1.9647542645464302, 0.5418149543628616, 1.693270538398953, -1.635121391478774, 1.9802100592866694, -0.19928810215667125, 1.582642232813333, 1.5450446216124671, 1.5016318532469466]
19;-1.795479719399932;1.9476016999979038;[2.1375845792574095, 0.3694659064890429, -1.5709059336838451, 1.599043225477753, 0.6897891158547393, 2.3909510086792105, -0.11425512885258415, -2.884379322884127, -2.0959251258519527, -2.0708130424088784, 0.12435666471532247, 3.141590605327602, -0.15101391037714684, 2.1728972628317162, 1.5612325552563986, 1.4220447370994505]
20;-1.7974105849877329;1.9056689999997616;[0.14080660835531322, -0.8319251603850786, -2.9292522560193257, -1.2071558289203344, -2.9530619432773704, -1.4009655575285311, 1.586773811719839, -2.924171817176733, -1.45424610688748, -0.27152343071309293, -0.8022486510403293, -0.15489236731345324, -1.5605382489333233, -1.5784514858736252, -1.550711849452809, 1.5743367684733833]
21;-1.7878468838888941;1.908669700002065;[2.5584485410713427, -3.0309520898515823, 1.4655674192222952, -1.5807765914669716, 2.548192218850094, 0.8219443715393804, 2.728993315407271, 2.7816941596226705, 0.712139384490424, -3.1187458492117712, -3.0568752836390662, -3.124504414347219, -0.0868694139257471, 0.5499488442438132, 1.8311524186429855, -1.278860197573673]
