run;final_energy;time;best_position
1;-1.837853903502708;1.996579;[0.06058490952994999, -0.02106087971753201, -1.001024620843455, 1.5921679778978257, 1.4770764477425793, 0.608876385232223, 2.6102954564967042, 0.26965987408244096, 0.09381177752099035, 0.004681440811062032, 3.064022792966089, -3.1245647247635575, -1.5336231827780828, -2.5476371146255605, 1.5173648850210268, -1.3510125476264667]
2;-1.8290166654950593;1.767999;[-1.3675957374660304, -1.554408072055919, 1.5540629751690247, -1.54474519440305, -0.19806035047838755, 2.908252865772681, 0.26215858143634874, 0.32119557319419156, 2.087233531518713, -2.2650378889556784, 2.759537391494109, -2.9790301474281593, 2.905857003173459, -2.5775387054595353, -1.134951958560685, 1.9247939766693367]
3;-1.8457004850064027;1.806215;[-3.0367009348283887, 2.4969382126087902, 1.6029345547519975, 1.4216561200724307, -0.09960936341663729, -0.6930423484336603, -0.36407808731849656, -0.3054381785037936, -1.6177803823438244, 1.5441194403910634, -0.3433775759618176, -0.2275650938577236, 1.6043984914286922, -1.5545025653012554, 1.5564795672318281, 1.5697993497757752]
4;-1.837552937580224;1.763348;[2.0814398574759787, 1.8846108739157703, 1.6803711872672373, -1.682259871867036, -2.136273041780463, -1.3088637844954214, -1.315872958110887, -1.828183704904234, 0.24093048956898455, -1.3594939065164082, -1.7856342477715417, -1.83737491380071, -0.0733529860893638, -1.6214329249418025, -1.6086680285509818, -1.6357150417998747]
5;-1.8375630144853308;1.816481;[1.9073234029659423, 2.136115922668635, 1.5309847431617527, 1.5804649131705837, 1.0753723915072015, -1.087658912642909, -0.26253782719146157, -2.8943426247030932, 0.4525593628991511, 1.3104733221076845, 0.2980201032262597, 0.08319322363155646, 3.0607183417209356, 2.0735082403803693, 1.6025538279346758, -1.6687489653831888]
6;-1.8337657259923186;1.807304;[-1.840272992380379, -1.2329720648012368, 1.3777764329482247, 1.9565745046276897, 1.3035457427198853, -1.5319221982330482, -1.563172919150947, 0.33691446845156126, 2.796208913362534, -2.718084926299016, -1.8763127823413175, -0.4189879844589237, -0.01940895598952519, 0.5750787389811411, -1.7227073232261931, 1.8658764913616057]
7;-1.835181868135945;1.772739;[0.8661568211863804, -1.2405784195606684, -1.7935148019464737, -1.560375476347709, -2.1472269139759947, 1.4632763663813328, 3.1171283303395736, -2.796134577272175, 2.768272423585012, -2.0585840975427026, 2.944326771573037, 3.0417089414643774, -0.09787265187146588, -0.7609897140871524, -1.2419607510413015, -1.8329448774316826]
8;-1.838982553313529;1.819227;[-0.9445062307648309, 1.5946143445396093, -1.5619591100476249, 1.6615080830800135, 0.9425749496493827, 1.6052196699060248, 1.8274149904561918, 1.865910871609513, 0.10015615299734204, 1.5493595622385676, -1.4108589900031192, -1.8696656026529164, -0.08183378500644078, -1.5777939506887593, -1.5763747321436823, 1.5572150408756205]
9;-1.8436398780457923;1.759388;[3.0380127874249743, 3.110783897422926, 1.6040217003895814, -1.5699062182639982, -0.23440617985478696, 0.32773791782685713, 3.1020508174339287, 0.2215626976762155, -2.186998387457483, 1.740868148575263, -3.06860815242557, -3.1246439771956123, 0.7699423077372551, -1.295161051343359, 1.6041595234816848, 1.5199610967669503]
10;-1.8462653086405658;1.770267;[-0.7982021337749616, -1.2979214825056808, -1.5576811109079878, -1.5876397176018642, -0.8656182576447606, -1.5973817879669396, -3.0439552440561384, -2.936004036489135, -1.8937270322118094, -1.7910559236208907, 3.046590762505403, -0.016364598148848053, -1.7293942955263564, -1.6369896907128727, 1.586549460964017, 1.5893819968242031]
11;-1.8428760539013602;1.780704;[-0.7454014655238943, 1.3068200497619706, 1.5716712279768927, 1.589940808798369, -2.2843083084334985, -1.5041412630298332, 0.02346233913013096, -2.912861145462378, 1.0328050106300761, 1.5254316208500667, -0.0263258431316018, -0.026804873756439473, -2.339366557504586, 1.4290044962921717, 1.5959905962077077, -1.5339365240923932]
12;-1.826391723044257;1.793787;[-0.13383037519036867, 0.12635268583128756, -1.6394044319657575, -1.5724789114230437, 1.8791902417046789, -0.6955780079095097, 0.8342229234637024, 1.7622767825208907, -1.444235757490096, 1.5373076990878962, -1.6204698059174079, -1.6607054391465248, 2.430852287691218, 0.9419449042955117, 1.3907312532543603, -0.26972191385776423]
13;-1.8456840791266598;1.751059;[1.9522193845001938, 1.7397125264838067, -1.6354262251725753, 1.5715659192463542, -1.9775986431230952, -2.426048240545774, 3.0600542799010153, -2.9362781028661074, -1.4728052060345629, 2.3534782018025524, 0.09955346418782529, 0.034470315435253696, -1.5960519286284243, 1.4745450535180282, 1.5652833832823099, -1.5560152324225263]
14;-1.8241780941230532;1.759985;[2.2433988106764353, 0.9851859428712562, -1.4007083186444678, 2.1053322882703727, -2.3674824091286015, -1.0359735761994568, 1.547023663826713, 2.4521481493128645, 2.7024316384341125, 2.82364882858219, -2.5302334294794693, -1.0704764762149708, 3.139684343497727, -0.04187880003593758, -0.9957282633552582, -2.1114591064315067]
15;-1.8124745688470245;1.779563;[0.10385416633459199, -2.7334603036233043, -0.7258264971286508, 1.633215105537201, 0.14458976762054832, 0.24522634501489105, 1.2459448502074064, -2.7936012173503673, -3.069545033567735, -3.0570141356575853, -1.663346809408187, -2.4524598463227183, 3.025292637228752, -0.2867451669860066, 0.4456438758096848, 2.1592240987251676]
16;-1.8388028355848163;1.780185;[1.622676981521134, 1.672938991331299, -1.6028034404753315, 1.5586611456241917, -1.5996572946159417, 1.5843365566903431, 1.3573369002084492, 1.5448451137815367, 2.0020867799042303, -1.54429247575889, 1.5649194051323976, 1.598579938692927, 2.1067073439465744, -1.589185495554846, -1.570084767978714, -1.5436379521546226]
17;-1.8436156065241478;1.775872;[-2.4267422143795176, 1.5675214350090165, -1.2248179116920754, -1.567821181647591, 2.3884854244969107, 0.8943276785374845, -0.38947146297152635, 0.24175362317314075, 1.5168075095910893, -0.798546399110343, -0.5263119523434399, -0.1534532227382277, 1.5596396675276445, 1.5939434080622235, 1.559204646500624, -1.5733245839210062]
18;-1.8398470520252972;1.762026;[0.14171872768108473, 0.08282760973261416, -2.4926324332617003, -1.5515071169076922, -0.9605263869035348, 0.8380069584145504, -0.9711724028094002, 2.913599428022751, -0.42188295481896576, -2.7524357772425536, 0.177816463754632, 0.03193775968369206, -1.296420502932494, -0.9815538459409621, 1.6710919616806663, 1.4480496153751492]
19;-1.8334981156371655;1.80786;[3.1102435907193513, -0.168505664968726, 2.493597199056776, -1.9555837741731223, -3.137917116253153, -0.2739677050906164, -1.9919323225032595, 1.0912819257182944, -2.929839795177775, -2.179731438450117, 1.0230550485237861, 2.3546376483153058, 2.9372392630393485, 1.1644865144023582, 1.509892597810814, 1.5932272498517426]
20;-1.8422165743592687;1.785309;[0.028997458476230697, -0.1425310381449787, -3.005042202509875, -1.2138065768644035, -2.9420238502064664, -1.0239224978879573, 1.6268427391368094, -2.9954599887636695, -1.3882832126929874, -0.5428531856325525, -0.15265486654082272, -0.030619386773757196, -1.580321739101996, -1.6807870559013514, -1.5502580289126942, 1.5965251839424202]
21;-1.836019921760511;1.791273;[-1.5901215048534905, -3.037273169426433, 1.5492564168612368, 1.5933255200321694, 1.119016014328082, -2.009005332179094, 0.0603717579617884, 0.25984316677029984, -1.6572890157760487, 2.1609779661010347, 3.0479120287286268, -3.1224798677906493, -0.021321901165479495, -0.9770552238190628, 1.6009451845480465, -1.6946192055999858]
22;-1.8349363574782;1.749344;[-1.8056964047373605, -1.2344051329118364, -1.4024379761944992, 1.936257064786349, -1.8299559174875368, 1.4686945675778444, 1.3251886113872784, -2.7994940759005242, 0.3601373726661041, 2.438177811396905, -1.2106610621060272, 0.40320583055867143, 0.033641015870082835, -2.3150625918051544, -1.61761175233595, -1.41421402001576]
23;-1.8469553299119439;1.808628;[2.531444948452955, -1.8424907297780229, -1.5742278639412977, -1.5585132046602197, -0.6182752591234886, -1.327101128661742, -0.004655073046914371, 0.20092154288922037, -1.916147928054451, 1.5858903820778911, 0.0027190436016355513, 0.00804859977862904, 1.3906756812343408, 1.531905281486127, 1.56857116309026, -1.5667626126282124]
24;-1.8326552928708923;1.771193;[-0.8209725498992344, 1.0850285171804304, 1.5332376668147836, 1.5806733326009859, 0.5568685342101802, 2.446142711853507, -1.3812193650484708, -2.546304825218339, -0.4253867668866693, 0.9359436049339527, 1.1775755041665779, -2.5046659197103427, -0.018716313233452464, 1.114734594415161, -2.0437115637699845, 1.3517998788530932]
