run;final_energy;time;best_position
1;-1.87280754;16.60571589996107;[1.6095821899481635, 1.552703010021915, -1.6086126758069035, 1.3691337467210634, -0.5658320553148037, -2.7025123237373245, 2.816969631498969, -1.8651268038335342, -1.0300173439813447, -2.014570808493975, 1.8405659795611733, 1.8706109134522535, 0.34642858659241194, -2.8103841462565256, 1.9172242209630657, 3.0887292619361375]
2;-1.88003914;17.62181750003947;[-1.8092675621259926, -2.136324457652668, 1.6224761614216678, -1.5735972764416535, -0.7555247881146543, 2.6874370051901746, 0.8969876872738123, 0.29479459070117775, 2.032849055526534, -2.760690820828097, 2.7148766143152407, -2.92788588436819, 2.9503014015613207, -2.4347300650898087, -0.38741479219804287, 1.9647418991316492]
3;-1.85300286;17.223228099988773;[-1.9117170844434241, -0.2917148264149487, 1.8403473984640115, 1.6500340779187477, 0.7507372892013913, 1.8211046855062047, 0.18502053200488167, -0.07154944966041299, 1.0897261005071144, 2.833082954672115, -1.7296316259274886, 0.2997814194988755, 2.6779016869637893, -0.1041295518362908, -0.30021210278494026, 1.834669451366806]
4;-1.86641406;17.04930610000156;[-0.6144376460075804, -2.4160642349816084, 2.1879242977679594, -0.42247339638160897, -0.39208544897371933, -0.7618499293459879, -1.681882064064873, -1.1569737444067272, 2.0865090994035134, -2.057110678126254, 0.4685615081070562, -2.0585304181240227, -1.6406180779191786, 1.5999309682053493, 1.4932738959154976, 1.529680127394001]
5;-1.8601201200000002;16.801161299983505;[1.111307870266148, -2.001285065611999, -1.6504663993720903, 1.6215214997301715, -1.2120802039762317, -2.0679014303518675, 0.07415577006149521, 2.451629426322534, 2.7864254994659623, -3.0338171553517914, 1.7182322771306824, 2.0043942158313612, -1.0010295527273145, 3.1291545538481795, -0.62536705953231, 0.26967968609592585]
6;-1.8655720000000002;16.858955800009426;[-0.3753856370906745, -0.506330370693556, -1.1054448143645308, 1.7161891283339177, 0.9619824402686481, -1.9590581320439195, -2.415657050098597, 0.4158813757870732, -1.9955697501285254, -2.2934170064502384, -2.2425994170969847, -0.7682625561483598, -2.967873588825255, -1.6930455347271973, -2.5536613007358757, 2.3119714484654725]
7;-1.8810211200000002;17.186675400007516;[0.10819552463901605, 2.9897112177563034, 0.33561652699351496, -2.5331068346749523, 2.42280897919069, 0.37741745866348175, -1.8272008732894391, 0.5833589181277663, -0.21634927648484048, 0.18234876390907706, 2.1651570762573957, 1.7730109996487178, -2.5500924167949695, 0.12663346581010204, 1.576704437077458, 0.05948784557506137]
8;-1.8831667200000002;17.250873699958902;[-1.0483047117616096, 1.6380399550181792, -0.1583037208654634, 1.699338487906486, 0.9995714625644396, 1.8789663864531203, 1.2297013530036036, -0.34563382210388394, 0.05322770494284912, 1.567915755700942, -0.31265325624786255, -0.05754407538321482, -0.029325586632201972, -0.5976465466713656, -0.2745794355648634, 1.2812893509803684]
9;-1.8484775599999999;17.25988560001133;[3.059997802663787, 1.961070272358893, 1.61086672971145, -1.4892254875284061, -1.1844098176806466, -0.40166904027501626, -2.9144487615292527, -0.12417215102206391, -2.0965068225981587, 1.1554918015248177, 2.4542883383630922, -2.7973172114725364, 0.8579217377479145, -0.16735208997406126, 0.8976848286980212, 1.9221540921711942]
10;-1.86909334;17.137226499966346;[-2.1827800052636444, -1.7927397450884113, -1.7963186921611625, -1.6545938192801308, 1.0294748300620018, 1.541127646259632, 2.008989489265211, 1.2831692675551238, 2.9302520282230207, 0.7232723004704762, -2.028501384546436, -1.6299938572381836, -0.0003162380118690855, 2.815012230949428, 2.1083383012018313, 1.0197425305898635]
