run;final_energy;time;best_position
1;-1.8580187574207325;9.721630600004573;[-0.2814075547402881, 0.4151588980366343, -1.3477351979679726, 1.5778108078640987, 0.6702662601777805, 0.49319174269653265, 3.007249466080662, -0.5872830711538501, -0.5529292448615122, -0.5589908832610528, 2.7850482460507786, 2.946707819849115, -0.5922507548101241, 2.773455992905122, 1.2978198122884086, -2.1385670178799905]
2;-1.85799050258531;9.92320240000845;[1.9342741565257615, -1.478900106574231, 1.5028618509206986, 1.7689305069638843, -1.1332083830259556, 1.7188520940531147, 1.6797010381519133, -0.21294502442774466, -0.5890525561299076, -1.5063671626751742, 1.6317984558563445, -2.9474127796948015, -2.6421271655064107, 1.5866581932370885, -1.7099364919640583, -1.5987088965900862]
3;-1.8588479508328528;3.339394299997366;[-1.6326233932592686, 0.2730988180742173, 1.5708433361759235, 1.5718969988327736, -1.9074439338300817, -0.8279847824492226, 0.006459444413615234, -0.284829262321193, 0.8217071561740874, 1.2268483689723677, 0.00938253884714424, 0.004242709977743786, 2.533198169008542, -2.273947648139328, 1.5667982097064215, 1.7546615868621753]
4;-1.8470620578072912;2.971290000001318;[0.5485318271570954, 2.159796351336956, -1.1660051545480317, -1.1373462534004064, -0.5360622906044163, 1.8809103980527428, -1.56723250161449, 0.39570357177133175, 2.8308093811763797, 0.5106562966475932, 2.0592342918358826, -0.48734402267964994, -3.1252753416194032, 0.035636321313200714, -1.7011079022532858, -1.2375924815020267]
5;-1.8580547084471906;3.0639924999995856;[1.038717292064172, -1.8301009363286562, 1.0756327925295714, -1.2460334698688746, 1.037038846540165, 1.6682218846814871, -1.4649153439720457, 2.5001998295387695, -2.9499719664536874, -1.3131820550089521, -1.807140992013364, 2.4460142541758154, 3.1094242054480468, -1.809425891964621, -1.6297108372455806, -1.4748826493234564]
6;-1.8561615185440843;2.2568242000124883;[-2.725755917406413, 1.0172344052709779, 1.5756950793034399, 1.5710702815410365, -0.9107083608787234, 0.22813231916688714, -3.1161779645646455, 1.855840863518086, -2.7051005829437433, -1.9109675709019092, 0.34751642953683914, -2.8044916425549515, 0.523825754139601, -0.06742460333917766, 1.6606115153332386, 0.2767849000786273]
7;-1.8568425282699568;3.9899191000004066;[1.0640965833398566, -0.5729228827551189, -1.9015824977300917, -1.5725851031791611, -1.8275931044840086, 1.3550321291445702, 3.0642947982623276, -2.389040087421651, 2.245582030391361, -2.2704355917442607, 2.33987008811856, 2.455207034365351, 0.1505296339485218, -0.3480377437405848, -0.8973239395246821, -2.577715418866652]
8;-1.857994777419913;9.055191799998283;[-0.5142441799218025, 1.4978670089777406, 2.0134251214198855, 1.7006808260235724, 0.5148300645767678, -1.4175769289371014, 1.1695408606473787, 0.556843169399925, 0.036651196870802316, 1.9226323198566933, 1.8772397902650866, 0.47362939155178196, 0.0025391256969200526, -0.7488472963777739, -1.4675410058924625, 1.3909738504444427]
9;-1.8583747603950118;4.13399329999811;[-3.0155048679632146, 2.987531946028083, 2.2216302147277833, -1.5794481589633511, -0.7517281069688897, 0.18719928722084367, -2.1077159045008016, 0.3860491724417088, -2.279039453687832, 1.282376295944685, 2.463547239015341, 2.869180443582474, 0.9396846005678636, -0.7086505829787519, 1.0719880661341081, 1.206755597345225]
10;-1.8580845877069225;3.1293241000093985;[-2.064889654110497, -0.9031051614996168, -1.6753904778470017, -1.941071411380788, 0.9709443740103705, 1.2064066592330258, 1.3255043286084973, 0.23940395368527723, -2.5630352443834945, 1.0359621918481174, -1.9584000285904815, -2.8051813085521737, -0.002760017030735362, 2.221078130323006, 1.6047779429800393, 1.3921350805616273]
11;-1.8562343245904285;3.6066390000050887;[-1.2574757356125814, 1.5725237516054182, -2.5675995728851135, 1.57502324783197, -1.8687711600445207, 0.1407408682955067, 0.8239264483078959, 2.8638495883106554, 0.02043108214028866, 1.5954218799783177, -0.49609636005151003, 2.6390749324505283, -3.134094351192779, -2.206650807124101, 2.98875460972031, 2.213566679022197]
12;-1.8571188880295892;2.789172199991299;[-0.0019889427368582346, -0.0003904116934507762, -0.30817909291994106, -1.5709577107112964, 1.80513131270434, -0.6427715180381735, 1.250636167155541, 1.5510571757145462, -1.471873969542555, 1.517939296810967, -1.7306502813227485, -1.7308077452799266, 2.217701750737067, -0.011040643147574691, 1.5901804425346384, 0.002184286700042559]
13;-1.8567137469715054;2.7523088000016287;[1.6971713253232767, 2.949171630386015, -1.595541392970765, 2.0673244936872432, -2.34358567716163, -2.355368719924427, -2.973773363400735, -2.2522063229104634, -1.7876426473429683, 2.892280384947023, 0.04111262591951714, -0.47081999659895324, -3.1275362251631096, 0.1888930363037793, 1.4010257529495362, -0.7816043430899495]
14;-1.8573678175451318;2.2489144999999553;[1.8345673640874942, 0.5634432762608821, -0.2543415049422384, 1.4142033531591984, -1.714002831716654, -1.5689773436208172, 1.173921978571964, 2.3702271313161978, 2.1503198230522536, 1.8437076757130395, -2.6463298762278638, -1.3374110400919401, 3.140930860671169, 0.2485798668136554, -0.18817512051797403, -2.2005805356767714]
15;-1.855566035866709;2.287958200002322;[1.5919907559127573, 1.2680548239981189, -0.5946619119987453, -1.7999578374876106, -1.5646327915228928, -1.736499021769112, -1.030091091691371, -2.3538851106545002, 2.842012867697722, -2.084590035316922, -0.042005312354853164, 2.5547217825218027, 3.135409688832823, 0.22103720019100948, -2.7615933731143136, -0.2482783727594935]
16;-1.8575538545308954;4.943521300010616;[-2.8477089128833555, -0.6554109548495028, -0.9642572254979469, -1.8054949299467884, -2.7159555277337435, 0.8663283825225676, -0.6308710471359458, 0.12546092234245299, -3.026938952441135, 0.3750272629726856, -2.548348989905702, -0.05625534151697531, 2.8963570044543285, -2.4003968551051793, -1.1138839901615691, -1.3701268589544087]
17;-1.8554703567042303;2.1645817999960855;[0.8728210006218546, -0.6224207104289516, 2.468547254314932, -1.6485550114937229, -1.9967490401412957, -1.190024948329104, 2.7939999596816953, -0.7727178901804646, -2.3950077966016434, 0.9647173678773742, 1.7345561386486628, -1.7358888475546204, 0.26791822919312436, 2.0174695590437963, 2.4082661119923303, 0.13888152783276198]
18;-1.8581903176100143;2.158204300008947;[-1.9208136803651263, 1.1677564107520073, 1.5722246152347523, 1.5685378788753894, -1.7770191040605285, 1.8559088747575636, 1.3008168029954366, 1.3347029171177454, 1.8774027664663286, 1.5713484048266526, -1.515577982221727, 1.3653412617034721, 0.7682139630772049, 1.7181640256354438, 1.6967598321588717, 1.0003438256541308]
19;-1.8596300805771067;2.2766190999973333;[0.5467602545938743, -2.152034004696333, -1.5486784423741167, 1.5736306821982122, 0.37323713046885176, 1.415131095775636, 0.05545380520663601, -2.916119700810581, -1.822329428518905, -1.1215564003177958, -0.05271439196032457, -3.126768166504606, 2.051431930747931, 1.7928517483817163, 1.5808055134351493, 1.5211171802072592]
20;-1.8578799298415618;2.1379064000066137;[0.6713752135170763, -0.8616585679587154, 2.806770998567644, -1.4512152484268832, -2.3352215796455575, -1.4396920168796161, 1.2141968957829778, 2.963927579539991, -2.0429861028529324, 0.17228522126342405, -0.9981334449941919, 0.1448923925403407, -0.6124894350611045, -1.6340578472419809, -1.4751175642621037, 1.6008274981664652]
21;-1.859607444994673;2.147150899996632;[0.6169107243363241, 2.4049286190737273, 1.686685033494559, -1.5706966935212012, 2.3449061478325373, -2.0167349922324784, 2.7134385773490335, -2.899917589170446, -1.1761200945657164, -1.3133573500390765, 2.7531491939664345, -3.05016016751554, -1.4514535006863756, -1.7809505460711013, 1.4896649588262587, -1.5167847932942535]
