run;final_energy;time;best_position
1;-1.6776709385279822;33.86267280000175;[1.6438693849485118, 2.4682648615617566, -1.8919869970652705, 1.213087142005861, 0.8642132881614479, -2.9994226976014366, 2.761963584431067, -0.5630898399230526, -1.99884679614792, -0.7178418033148164, -2.853937260748476, 2.4924113092435407, -0.4455123476939278, -2.3998223519988633, 1.2725710888117945, -2.29551964235768]
2;-1.7697262807229668;34.086515599999984;[2.9807406680148345, 2.891876064586306, -2.721273542141739, -0.777317774214696, -1.3485477193075748, -0.081628977937664, 2.0172161520918372, -2.1520464735062914, 2.6329688561861637, 0.4434024016679934, 1.2358711512362301, -3.0100081774064873, -1.7565989957407135, 0.07072326986409916, 0.4347910840055875, -1.1549570264571092]
3;-1.790821214339021;34.333465600000636;[2.3846532797425484, 0.8094659448605221, -2.207505909765215, -1.525180252240134, -0.3121081215550374, 2.165069894888794, 1.1921185836811024, -0.563609580524655, 1.5434086679243126, -1.9261965610702705, 1.9277871056590605, -2.358420904239358, 1.5357222685537293, 0.8214233323343181, 0.8699455252272177, 2.208623988227883]
4;-1.8020475459133511;33.969357899994066;[-2.299762236857266, -1.7192415647704333, -1.6282460284672053, -1.5994087196903273, 1.3117146429198252, -0.05896762953796886, 2.4820596668591532, 2.9763842626165156, 2.8721634929863615, 2.339968553614881, 0.8159163344557858, -2.3729013612509227, -0.14600533707454177, -2.0934338762600717, 2.8828417606965324, -2.4653588520857928]
5;-1.7945085355174069;34.07405049999943;[2.304302977509124, 2.6752235938585915, 0.9607507045425434, 1.2906237173777715, -1.881509951212356, 1.181691573158015, 1.5582449762291857, -2.644760762988479, 2.12034446755377, 2.0888735899835353, -1.013551040452736, -0.18754319018431342, -2.874007208723051, 1.9209993291735383, 0.9687717216430709, -1.7220000086501823]
6;-1.761563546885556;34.44026309999754;[2.4380355925840416, -2.184791543609195, 2.354866655614172, -1.202752462635149, -0.2966505003699944, -2.725656317224886, -0.9994880563835324, -1.9910887511103919, -0.5051513626488058, 0.32908400838103713, 0.568949982182398, 1.3576184070231303, 3.0849949514342025, 0.4159697873716377, -2.611621661086883, 1.0219757878658244]
7;-1.824648213856539;34.00584069999604;[-0.6679713236683185, 2.867690641469448, -2.2875958546701676, -1.1328224950586385, -1.6718010191482202, 1.221780647404156, -0.5750020781584904, -0.19149482125056316, -1.730373385069532, -0.3413167479879595, 2.3775338340707535, 1.2625169132627674, 0.19228985080120076, -1.1702636193146894, -0.11283963993304003, -0.48112856884008925]
8;-1.6966367181603856;34.19829750000645;[2.511824716749043, 0.18875413102239857, -0.26259831731127514, -2.3545176346423884, 0.8137037713342825, -0.13204630964794717, -0.666026168111201, 2.8435635634772023, 0.2963135548825089, -2.8334618397699622, 0.4580673190200071, 2.534888139200543, -2.362955575663684, -2.9258638620568598, -0.42285313968579574, -2.6146512249181484]
9;-1.7754543843751796;34.57248509999772;[-0.6854285744256283, 1.4174090865410829, -1.9262248039776866, 1.2711090992701717, 0.872883220666318, 1.329361808655344, -1.7637035395248175, 0.8026043292887541, -2.160647423138332, 1.5588149403478546, -0.9610739711791245, -2.3541971027823223, 1.9778874748085853, 1.826896541349802, -1.0572803803991189, -1.504682542702447]
10;-1.8330170383102022;34.73971480000182;[1.8306210161457166, -0.1925109569079102, 1.8427948618963663, 1.8721279001146325, -1.3865763329970708, 0.13567292373808026, 0.060711630309353115, -2.698510501202854, -1.916021519510806, 0.09191703215000624, 0.023169151156048784, -0.1314949421191658, 1.4633446049889498, 2.9389690165275884, 1.5771400253840229, -1.95941848225323]
11;-1.7917202396879222;34.60258140000224;[3.088694539270925, -2.5511429283298557, 0.06951802305447163, 0.920551698412857, 3.0593865759857444, 2.646063840364076, -0.5462518094729139, -2.8175337103814577, 0.03365532562966855, 0.34889412064538483, 0.47879491276458097, -2.8891547934502952, 0.08715808359034583, -0.7528717280848727, -3.0863212313435966, 1.0996005618995266]
12;-1.8251951005413103;34.53285419999884;[-0.6666689617972437, 3.0758532576451234, -1.3430351786411907, 3.0138511832142276, -2.8805351933551617, 3.0399661673182425, -1.3185594550203679, 0.9418846166158676, -2.2543802978809806, 2.7420930651850153, 1.0043904021529722, -0.6447507306122477, 0.1571389386222899, -2.8576950556568264, 0.9698910449905833, 2.4928735414352676]
13;-1.842349577856646;34.65544019999652;[1.7909392729524427, 2.036119920283829, -0.03888595930855088, 0.6400117701416828, -1.654262837434775, -1.6780489281074025, -1.323292966223596, -1.6051293833960885, -2.5894166638618925, -0.7972651170475595, -2.537473870760417, -1.2527523432111844, 2.857515518386741, -0.7968567129798831, 1.6296453293983806, -1.4186201782510794]
