run;final_energy;time;best_position
1;-1.832230728099637;58.907139199989615;[0.5512822201578405, -0.6107500621497208, 1.2681509664008486, 1.7123147493050883, 1.2067751918064058, 0.6702121021675351, 0.4724825233467076, 0.02916848605121425, 0.5814604401404986, 0.8786099891068613, 2.931765644063635, 2.9777158634602916, -1.0965973252694639, -2.742052619216784, 1.4281831675497187, -1.3156957259219433]
2;-1.8418275408613942;59.19853750002221;[0.9599516791265632, 0.3583812829784363, 0.6087261967699704, 2.0060024645099093, 2.037928739942993, 1.2067639807593054, 0.4219608440544378, -0.8055421311212236, -1.7500184370793221, 3.1336547675257087, 2.5419919594263582, -0.6318187266421038, 0.605710934710121, 0.9822983001585026, -2.0946373345786045, 2.318680060907563]
3;-1.827259694447647;58.49638039999991;[-2.838280154954146, -1.0641126778538892, -0.4774362768067606, 1.787261209732133, 0.45504200682065044, -2.747204137415576, 2.1022768437511674, 2.812506398254346, -3.074131280261239, 1.9017103985786958, 2.3220482555073447, -0.351964558786209, 0.10045204552075448, 2.6045182802331652, 2.3477428395849387, -1.6900214427972609]
4;-1.8127893948120557;79.29905780000263;[2.412922339952855, 2.7500201015914634, 2.24390670063079, -0.4347126600141653, -2.7635053525850215, -0.8049555505666364, -2.9599011937037667, -2.1404189240365583, 0.7802131686448335, 0.08074060534655603, -0.31925501531591083, -1.9536590585664784, 0.10946122516665335, -2.722515305175721, -2.2399834334156257, -2.4669529065748654]
5;-1.8433822164536062;94.82600639999146;[0.537237828157604, -0.5901556267369679, -2.4005858585179936, 1.7825351725162921, 0.6422791941085753, 2.174422817123249, -1.636345477130191, 2.8656251861512025, 2.707064234378395, 0.5622148456388705, 1.8325972868605325, -2.8223841144922925, 2.9509753579051203, 2.975875200694942, 1.9452637338860264, 1.2451411574900337]
6;-1.857217624813626;88.62102059999597;[-2.8314580218209455, -2.184884047198767, -0.1528028777407524, 0.5698580664315012, 0.41329880328514434, -1.5780026523704744, 1.543258693433292, 1.0900746908770849, 1.8694149154754864, 0.09273395844624721, 2.630962675893394, -2.520114127663514, -1.4876099017586286, 1.7039141847513086, 1.4748327764742752, -1.7635365126312714]
7;-1.8347464087833076;85.04021969999303;[0.9926770193965986, -0.9566472851870276, -2.266928017943394, -1.4308530409393734, -1.6865480628342466, 1.1695768823762496, 2.52903808864981, -2.069840074678752, 2.4208646614862506, -1.991190053292641, 2.657374851522068, 2.708198072638874, -0.11128604730122049, 0.11432007709823333, -0.6765682827493791, -3.0627853157738727]
8;-1.8175832773823895;86.42287799998303;[0.18049159374638934, -1.6185594829605867, 1.1953213222340633, 1.5670890557144004, 2.0228975357944474, -0.7333189699248632, 2.3795529047272055, -0.17989770877875255, 2.0869340361266664, -0.9210692634319217, -1.2284876242709613, 0.643406719905752, -0.7890774108345564, -2.533580705153212, -0.24495801403942652, 2.284801083383437]
9;-1.8408079113247413;84.86970609999844;[-1.5857882689126765, 2.6087633721819437, 1.6310884451692411, -1.1911456657522639, -1.3285330601767584, 1.1184827075502177, -2.609952228725847, -0.7251861144990412, -2.3964221242897947, 2.511104346920937, -2.3727465380126995, 2.9983553172890964, 0.768764325120876, 0.24206011822554263, 1.7184351371815216, 2.3697872862516913]
10;-1.8325122075595068;86.07314359999145;[-2.6182359802699042, -0.7468959077813819, -0.8433197787503817, -2.3209695956486525, 0.48790130779055696, 0.7174759896859237, 1.4803536157646064, 1.27322575410302, 2.7890116502197912, 0.5145877989755219, -2.268544832450472, -1.5458063889032772, 0.7724253704905042, 2.0874945326092575, 1.6417407292496016, 1.127196505037924]
11;-1.8488451208887722;82.542612499994;[-3.045018603746746, 0.9658807092694737, -2.7546132629699516, -0.8477963311019181, 2.918111481869593, 2.242983175752581, -0.8639978635626626, -0.3259179162787631, -0.17232454130724495, -0.6469525928920139, 0.16844329888279352, -2.2084347367638117, 0.08885624430028516, 2.776188810336439, 2.4497899548130615, 0.5343088137240253]
12;-1.862446402069307;81.93524439999601;[-0.6923661991470427, 0.6877243971120839, 1.6856925989968863, 1.7529239528913552, 1.4494321073381444, 2.653055455986326, 0.03395107524672669, 0.5921554282877799, 1.5983532658217952, -2.2184558889543866, 0.051897396800377305, 0.003076294497652121, -1.583300760538979, 0.2924237818302369, 1.5344639013682322, 2.2489201960118947]
13;-1.8470399947903995;84.19466979999561;[1.6408394023032669, 3.062571867480715, -1.406102260839168, 2.5719726663066647, -1.917482818403559, -2.0916777316329616, -2.9390851299320913, -1.8939828260716944, -1.5861516248094785, 2.7041837933232653, -0.07840773961872038, -1.084334092830967, -2.9977173876290824, 0.3479515606277701, 1.4576581141326086, -0.6443571823638958]
14;-1.8601375563675842;85.08358839998255;[2.5907454384479056, 1.1109842325312203, -0.11934332195314434, 1.6795155002690638, -2.6080938633414554, -0.5825565221063087, 2.259761702214603, 1.7765891376174352, 2.975037922674437, 1.8778036717483975, -2.6783060761776065, -1.7979072086707015, 3.090805540442881, 0.002804089189971215, -0.5494454988283017, -2.0349255198856895]
15;-1.835091653517621;86.33217650000006;[1.3625611517366751, 1.3222932617835719, -0.6259652540174829, -1.7652158085276457, -1.4715704219677315, -1.9196665515947076, -0.6237833860716462, -2.6496379064940854, 2.9812822213987786, -1.9585597818627507, 0.1296540985730963, 2.6212407451236395, 2.759186201275469, 0.44480525525988535, -2.607101905511942, -0.7801956570566619]
16;-1.8608930153829821;83.92248179999297;[0.20586295685391942, 0.6673613927990951, 1.2720173279511648, -1.4908290424605628, -1.1897062450730533, -0.4623943677009801, -0.25223125913906097, -0.26295336431357175, -0.564420445339632, -0.5017207906913295, 0.3958084399388331, -0.03253622833018577, -1.1827746104062207, -2.7477906734122306, -1.1599546478286575, -1.413889346705048]
17;-1.8108835682024795;83.17040910001379;[0.8148961596712736, 0.8118196458924434, 1.3509709627973514, -1.8567967076495546, -2.255930552264324, -1.2119001533733949, 2.4365170283713713, -0.0120493605929477, -1.6099114562283827, 1.2784919783372342, 1.427924535987115, -1.5481454660178438, 1.3911923112572628, 2.69872156672751, 2.9486841104664148, 0.028789494741921384]
18;-1.8599182843488893;85.82888049999019;[-1.843642209859327, -1.0680403175426276, 2.342626530348591, 1.939969167578334, -1.949077154078945, -1.3775506748441335, 1.507531756950673, 3.123473765233035, -0.5358026797435884, -3.064051802936338, -1.5537902862658994, 0.07587267197292125, 0.0601340097002927, 2.5986579647965105, 1.3611743036584896, -2.069660011585535]
19;-1.8096506355897874;83.92911900000763;[3.083970965526092, 0.034956642840230145, 2.8173861384985663, -2.1134537672112668, 2.984632929306226, -0.633226545796779, -2.137474341614513, 0.9372379741952654, -2.80534866595009, -2.272648126922075, 0.7182723763913681, 2.9379832874507548, 2.867918116540668, 1.1373068637370292, 0.9663797800054361, 1.8991321043446163]
20;-1.8525049690686644;85.50208830001066;[0.3187248790964312, -0.6165575874832085, -2.7965415104474896, -1.3692402482716763, -2.5697643575047104, -1.07568925775771, 1.5755174215296597, -3.0642627003938476, -1.7605163494845846, -0.8327490357760481, -0.7394877455469513, -0.10955675752449778, -1.032804200765555, -2.1028196363380784, -1.4941605257642265, 1.7726670969853133]
21;-1.852434987504001;82.69758519998868;[-2.862252719740619, 2.195398254932531, 1.4116738879613084, 1.6049758359443542, 1.1333677469989034, -0.66243263745167, 2.9650387217015606, -1.085328762449127, -1.778767533367598, -1.5652184924495978, -1.4239683828577998, -1.7317386666738623, -1.8578273642438217, -2.8435258807577926, 1.0553368037579887, -0.04474886748986506]
22;-1.8532312441870182;84.04933019998134;[2.9012716933700684, -2.2650048941622343, -1.116031409875359, 0.02380377260976685, -0.23984570816034978, -1.075550587954015, 1.1719822127422486, -2.2893095893292985, 3.034472547066354, -0.5599568849064451, -2.639781498690184, -2.445041395531663, -0.006201875570265969, -0.16601233290801432, 1.675093049834869, 2.8339206953426697]
23;-1.8551496654387232;83.08751700000721;[2.9401495763477596, -2.428204148910503, -0.5155815327239734, -1.4637423921648671, -0.1899340677052761, -0.37102861491915595, -0.3880039729699378, 1.6917386007478985, -0.7335313647012462, 2.1631403909151254, 1.2308225239770705, 1.6569069046128, 2.549212215226863, 1.7207809687996578, 1.578554521745116, -1.5523532945904965]
24;-1.8374934397576377;82.47724750000634;[-3.1016973678459947, 2.7391194317963423, -2.041793395340257, 0.8047103494850276, -2.989517836348285, -2.792872801534952, -0.02786670561433402, 2.9146177230730963, -0.28462904055386495, -0.24102991605182922, 0.18100598717479244, -0.7592745285582101, 0.22808713848774653, 0.3529996270632876, -1.3684539063045917, -1.9495614273043935]
25;-1.8379897381570003;83.89341230000718;[1.0988465788890336, 1.2427981157983776, -2.865083544080039, -2.197130258888251, -1.0840260590940756, -1.3335635427239727, -1.6769126108108032, -1.9401893432507666, -0.1135210559242541, 1.4036688148864167, 1.3621924976782962, -1.77176971435975, 0.31317646700309787, 2.6501032130159086, 1.9072588176072003, -1.1921676991455687]
26;-1.8088649884755088;84.22672569999122;[-3.141260667571581, 0.5809766471509468, -2.4177417356137765, -1.6303870397659452, 0.45130571280026865, -2.795621919221077, 2.899327223469019, -2.623125995821987, 2.5959727669918884, -1.086110411859579, -1.255886187973842, 2.772915274437315, 0.43040255754965306, -0.343535099416576, 1.943044594321595, -1.316730320299154]
27;-1.851271525959899;83.05392010000651;[0.11318887478946804, 2.919838485590155, 0.15461289277865564, -2.864142305173084, -0.2788770730153747, 0.9042468409774811, 1.4322203442497585, 1.1328813980633727, -0.39805994511832754, 0.506642361747994, -3.086421432740373, -0.35854813069603386, -0.051351261267006176, 0.29963842772844984, 1.62522308296243, 2.2618316330382404]
28;-1.8364764359989019;82.55240950000007;[0.410243860693317, 0.12436176095308715, 2.462107647069839, 1.008031065359198, -0.873632292695298, 2.696971122035823, -0.8498588993958309, -0.40605082955772653, 0.5276277854144764, 0.34664758359717585, -1.1496199295894447, 3.067658746574997, 0.5455460493183808, 0.35660518700645216, -0.4091758386215929, -1.3958901130830859]
29;-1.865470121814861;83.93610019999323;[-1.886632158745853, 2.4127295448991166, 1.0993218630282389, -0.8079164325051185, -1.2047962384010071, -1.2392315313103928, -1.8394372774782162, 1.0118101776623742, 0.7814432761532815, -1.0690746025168294, -0.8686259290429654, -1.328760613032636, 1.5338833808118277, -1.747810697752256, 1.5915462971609298, -1.515736365286269]
30;-1.8428148916180007;83.454714099993;[-3.0224536311218193, 0.19050360616026385, -0.7193282379910877, -1.5052607757344594, 1.0063309582644155, 1.971842254681432, 0.8843928342428171, 0.7846207052559304, -2.0092215515545075, 1.449695477634565, -1.5345083131848614, 1.6916770074412701, 0.6591349413045102, 1.3599459793811226, -0.7994382811544147, 0.172536148154951]
31;-1.8466959791552418;82.56438519997755;[1.1448545403257437, 1.9931961730040086, -1.6419664470720035, 2.285302844023674, -1.1154145322276383, -1.596570848934027, 1.0154436060683523, -2.509040272605882, 0.7243995199426201, 2.06560802589976, -0.8721389435610227, -2.3102544709862576, 0.28900198847892433, -2.234116059967502, 1.736771181980183, 1.5762688904287145]
