run;final_energy;time;best_position
1;-1.7690099796257992;34.188123299973086;[1.8205753213164337, 2.257433076351754, -0.676779836926773, -1.6328223099671484, 2.2220059972590747, -1.4176139795241536, 2.804215284417836, -0.4741546739368441, -1.9740885368044232, -0.7950455597405077, -1.3433762842207904, 1.4834169431260076, 0.8128355411008368, -2.1318212213329275, 2.532635772228055, 2.791997296523486]
2;-1.812982547065548;34.17872469994472;[-0.7131689112183395, 1.9053267281362904, -2.362841013864414, 2.1735174305102962, -2.4516461223642763, 2.4435348727178683, 0.06612142188005432, -1.942089357955651, -3.015438433727287, -0.7879376695227513, -2.0232582919041664, 2.454740276431762, -0.0649043247003176, -0.3330155768504608, -0.5987764047864728, -0.10612726423997021]
3;-1.8285836513871465;34.34368449996691;[-0.30255446914578554, 1.040530318566292, 1.3505991353952158, 1.4115354155102011, 1.8964454672711062, -0.8788298726201447, -0.25003999309859504, -0.20616682317880386, 1.1682147605910655, -2.1964400154123096, -1.4348291820566725, -1.5975074641739262, 1.5842055470557268, 0.5401266826718416, 0.28027071881318877, -0.20425406373218102]
4;-1.7668723190281157;34.02936929999851;[-2.1305433830136695, -1.6633720928776, -1.0303186574960517, -1.9805459063390687, 2.218045066496699, 0.36297677109855275, 2.736580435596472, 2.6706150199873013, 2.008047378512255, 1.9530923105446671, 1.1773109692221277, 2.2696708908019794, -0.1831489648403104, -2.43431579000996, 2.5273603192771237, -0.482884849043105]
5;-1.8581195553207819;34.32192740001483;[2.3972928551763903, 2.256023251382123, 0.9191542316024899, 1.2740046338226092, -2.4761774329703536, 2.098740868091874, 1.3575186101733951, -2.5509563251671046, 2.4231338257707495, 1.0373661776029808, -1.0999953942736012, -0.5531182165391573, 2.892341145016008, 2.696046494169826, 1.5374938615317904, -1.5932828010576177]
6;-1.7096205239652844;34.232701399945654;[-2.3756964817107624, -2.9813074410532927, -2.3784643412075175, -0.8377507955567847, -0.057068359154325954, -2.874001721100649, 0.0520128796449133, -1.7200177497952744, -0.6066895952169129, 0.41112382176726703, 1.2458708237434628, 0.854554941720906, 2.4661458876693256, 0.3897719369403929, -1.8515034908418406, 0.5988276606843197]
7;-1.864691014336119;34.45668000000296;[-0.27266714116516155, 1.8650346737255505, 1.575020068794836, -1.4343375042348996, -2.6985866622905808, 1.4289754559163663, -0.3963185939025684, 0.06552782413652114, -0.12074628237858942, 0.7042357951419365, 2.405927504799333, -0.20977608728865738, -2.783879900872906, -0.8132663936297653, 1.7885974492770744, -1.6174622986415217]
8;-1.7846671846212523;34.268566699989606;[3.0569794186682184, -0.30745736783347466, 2.6364186375411194, -0.6023475025667233, -0.22803444338129264, -0.3481326222288468, -0.1768184347116648, -1.6676314487959136, 0.4021915990097664, -2.4284884982785866, -1.1321638751107788, -1.8014201521114437, -2.6880086574807995, 1.9273786443414878, -2.1885143829123415, 0.5751757605489853]
9;-1.8107806158695352;34.35307479999028;[-1.8111112019175495, 0.39099725139486363, 1.0544133687066113, -0.8024541825070348, -0.9977690871838458, -2.277387607503979, -1.5314781699569815, -1.8107582579047787, 1.036650163911255, -2.453604962337768, -0.4124657705372341, -1.011866445463613, 2.998047482388573, -0.29175793635954417, 0.24651697088160418, 1.9653331270120722]
10;-1.8767342471880297;34.77771349996328;[1.4271069475485199, 0.4341737079910537, 1.531947946580713, 1.4033604385351603, 1.476666763331167, -0.5361724312115927, 0.05437629299451485, -2.709985722173799, -2.1672473373530714, 2.241724127143809, -0.0013642573946506253, 0.04133186535331124, 1.5759479517609805, 0.5994901631122085, 1.6065572509798436, -1.3646201150214146]
