run;final_energy;time;best_position
1;-1.862426352394334;33.59298019995913;[1.6332412191982097, 2.8072420202863615, -1.8641433003823984, 1.1816686583993707, 1.217477850617244, -1.5036457470393425, 3.0463464145148427, -0.6521596995218015, -1.7899556519824724, -0.34146543774874916, 2.475700489446524, 2.120880602548981, 0.429151800205251, 2.8102794038682735, 0.8679952082242757, -2.455723963480427]
2;-1.8432859327002202;33.46096980001312;[2.035137158248281, -2.2011319289706606, 2.3452368901629272, -1.6525567849958005, -0.926853852618204, 1.54726037550635, 1.3880559351554203, -1.4498467051759194, 2.651140348425068, 0.9420646748706059, -1.4051621392001736, -1.5291769180210295, -1.2823395884651225, -1.961541973751583, -1.5247899947277632, -1.3116241897073473]
3;-1.8230726565655797;33.39924220001558;[2.0800711429704073, 1.3400827371291006, -1.469398808582078, -1.5886686616619659, 0.08737560710760306, 2.2739054526798945, 2.482225457946674, -0.32424428198736166, -2.497625688849734, -0.5212949898140917, -0.6495585767318612, -2.398344003970572, -0.5012544738236997, -0.3159527791397303, 0.2974430941993651, 1.8820685021777557]
4;-1.6926765784168043;33.548780100012664;[-2.3562620556087768, -1.7560877016559309, -1.2346742832021038, -1.72245285363282, 1.3041148454046336, -0.11656288019798833, -2.659648440512318, 2.4778689389908317, 2.933526409650871, 1.5746297316771223, 0.8311166814221536, -1.496771397503365, -0.9005079337835671, 2.595206065247372, -2.6521025802098888, 3.097271098557213]
5;-1.8323427304817441;33.346000999968965;[2.29460745294074, 2.082072997317134, 0.02525407212680708, 1.3053897617935784, -2.457047814306862, 2.4725631971799196, 1.8176391865853034, 3.030407608208245, 2.553932260609578, -0.8882939969902917, -0.8173177827739924, 0.11884243599404432, -2.96570341850156, -1.0356715045079632, 0.9244163363014719, -1.7624169712563864]
6;-1.8251908173663007;33.389510899956804;[2.662817907515537, -2.1124861618714275, 2.5431923004870285, -1.000799064275471, -0.4299092759443983, -2.0929316070091715, -0.5082535479539381, 0.6422291375958822, -0.4372454867510438, 0.4468966038512052, 0.5757960074523925, 0.777003093006178, 2.8990319045944206, 0.4267745397723952, 2.4710748915587004, -2.3224226653597215]
7;-1.8293616517866096;33.50354659999721;[-0.22083083830635086, 2.5268089389374744, 1.300127000751484, -1.7988022729121587, -2.349335971608775, 1.1135894562107538, -0.1177788677000069, 0.02122951475479251, 0.43612023258714894, 0.06306729876476735, 2.735152857328102, 0.2942638671477189, -2.731133482379905, -0.6319281566649382, 1.5435385425490074, -1.2607301551945396]
8;-1.8632363017802467;33.6211384999915;[-3.040653248412811, 1.0966487795191373, 1.4920817439080443, -1.5150060646374242, 0.7154190698233966, -1.215001246502392, -0.1438320580262249, -1.3770443207449277, 2.237979877942383, 1.731182047852462, -2.3170023397052164, -2.403600641646076, -0.33767270044625075, 2.9753360109113993, -1.6645012887826074, 0.3386079538942224]
9;-1.823515810725169;33.402669200033415;[1.8811738774440343, 1.9692898200494655, 2.0014887848084157, -1.6299965059260688, 1.1087518592358379, 0.34409580244199534, -0.36338912094694065, -3.1252333338487928, -0.29083849659163885, 0.9197026853951185, 1.9131152541572547, -2.9448823463404215, 2.2866166041547684, -0.6969233385185167, -0.6328076440069346, -1.3722968837365994]
10;-1.848973771779728;34.09763610002119;[2.175348176588913, 0.8820123351540605, 0.8375425370321925, 1.4081575099706303, 1.1989567573848072, -0.5554305331463816, -0.30425073289974724, -2.9360236884385, -3.001282522363762, 2.4410395996503684, 0.5366697391520328, 0.03125370012213535, 0.5720396493892688, 0.7788173255652193, 1.6366967574084512, -1.288112313535813]
