run;final_energy;time;best_position
1;-1.8077450693660522;2.624053700001241;[1.6679305523166237, 1.8095522084513131, -1.5599147909079607, 1.3953910303389447, 0.10542529242683729, -2.7666838189861775, 2.943754906825628, -0.5732368444943932, -1.734289117408304, -1.3945230078839952, 2.42148743005618, 2.578041103936883, 0.336274121845511, -3.0101819230664213, 0.9310875818805586, -2.3815589202426115]
2;-1.819186253942635;2.570567900002061;[-2.2807045381227287, 2.983856917515621, 0.1574067542577282, -0.9712465798001877, -1.4435637108957473, 1.7298024742812137, -2.3647211413514375, -2.033590693744768, 1.4870247097662235, -0.7310712518059113, 1.9979521838258716, -1.5529789304437587, -2.9208734508998035, 1.9083362322012096, 1.5935708715474153, -2.5410125526732634]
3;-1.8205696984697555;2.554168700000446;[2.9702738969008333, 1.16547602458854, -1.6525733439821417, -1.7616992406854868, -0.09911510432776138, 2.3845567376883814, 2.585535143980348, -0.5180101613911035, -3.0160545800049317, 0.005429559967720099, 0.018349582271706133, -2.7583646048796537, -0.14840163702561915, -0.37400723907645395, 0.9892846962978483, 1.312702534457296]
4;-1.8069428212922227;2.538833300000988;[-2.1190007115779395, -1.9874046769660156, -1.0503069304940906, -1.5524409984228946, 0.8989817880941189, 0.28062449891696417, 2.230844640950834, 2.837966943718768, -2.98076459373288, 1.6142478311359154, 1.0964020622156498, -1.8106946290490815, -0.4966876100746802, -2.144865818578412, -2.8983158555665436, -2.8180678169033193]
5;-1.8327944241706557;2.548171899998124;[2.2686196111989325, 2.408632926362058, 1.246302174779422, 1.3389627908256108, -2.252681429766391, 1.98461292006278, 0.2805853675194361, -2.8942843858385108, 2.357427510915791, 1.1197622372383567, -0.014237302514260364, -0.262919900927129, 2.96628873812921, 2.195286833656457, 1.8540338693268312, -1.527504745841713]
6;-1.694217525346148;2.5425123999993957;[-3.1158493387560062, -2.304157558852845, -2.845183691767146, -0.9946503815371903, -0.17825426038901115, 2.8155935052784384, -0.2386425430048411, -1.6530382809913016, -0.2917632523586229, 0.47268703668499246, 0.6533134234063351, 0.7980438531821559, 3.006297513568155, 0.5775548143285163, -2.349589778672455, 1.0532515730563885]
7;-1.7550995631005335;2.548826900001586;[-0.7417321224749172, 2.630988023492155, 2.848903874789679, -1.2481443155376963, -1.817697745966525, 1.6297874996004698, 0.5958319345236314, -0.48359044838873677, -1.8529360160498451, 0.14284803560373227, 2.663955648000395, 1.1807497204040818, 0.16176047496912638, -1.790851401356875, -0.49435302090010547, -0.5756216752627585]
8;-1.8306902413968698;2.5453855999985535;[2.996443118549694, -3.0397159860632534, 3.013465313836104, -2.465898247513987, 2.3345438911485257, 0.5647550880352981, -1.2480219742006613, -1.274450837682236, 1.6853694056254245, 1.026777731015672, -2.570888008609587, -0.3670189796059282, -1.2988203100941595, 0.958295230238746, -1.913407410700634, -1.2767537780084364]
9;-1.8058409728650848;2.5465049000013096;[1.9074410475934824, 1.9167439619555031, 2.1003491042897293, -1.6257279367007695, 1.333880620227002, 0.4302774674800869, -0.3187804576845612, 3.1265122588817125, -0.2818783525876629, 0.936445173551915, 1.8651089558420804, -3.002223197639818, 2.8626609850540365, -0.5974284405074135, -0.5453201570124682, -1.452106511233885]
10;-1.833022646642778;2.5457873000013933;[2.2004580118130983, 0.40746609381131904, 1.4614952749614378, 1.5523202401201424, 1.2793637983178145, -0.8025072766593535, -0.2603197963245685, -2.794533848113892, 2.826776255083109, 1.8445601982265343, 0.35240184321623413, 0.08111393565267733, 0.8716060432467039, 0.5916098147866853, 1.322996443671415, -1.281885172097107]
11;-1.7994146792510335;2.541684699997859;[-2.9302013883401825, 2.7777377037577544, 0.27772001219741416, -3.0393590552975156, 2.4544018588053076, 2.325191188698536, -0.5105787506237371, 1.4539424406788157, 0.37573405686363825, -0.4903462046077993, 0.6872486855181399, -1.408568330413612, -0.3681136378481056, -0.75841970586053, -2.7619728714993084, -0.3627090813860545]
12;-1.7721107166643533;2.543216300000495;[-0.7513788978769034, -3.127220229079163, -1.439479632648043, 2.8223455829413844, 3.1389331720326625, -3.0970478880540537, -2.0986354233967988, 0.8284144890131864, -2.3902779280960944, 2.868425396926373, 1.4590480938027603, -0.6456418138003399, 0.18859591256641384, -2.7355529200002304, 0.417907072672302, 2.1020068773163905]
13;-1.7126229665099717;2.5585656000002928;[1.3086789825251905, 2.482758592441672, 1.5468855951768052, 0.9778967578923687, -1.6441160874274576, -1.5658770022530573, -1.2501806109177322, -2.587999407843658, -2.2177518600483728, -0.16064051490967124, -0.10215829235801488, -2.303817689162954, -3.043654576959099, -0.8270509203843601, -0.65782167613557, -3.0118898565069]
14;-1.806927937234171;2.5539858999982243;[2.9314643268256706, 3.1279006138729972, 2.0542178553087247, -1.5833669732487092, 1.548801661544255, 1.2402929945278993, 2.165599394631572, 3.003144760645811, -1.47986449967533, 1.6362033612081301, 1.443461333369859, 0.5019059347230694, 2.805932117214125, 1.6784386478863187, 0.23954059381473858, 2.06090422961214]
15;-1.823856482374556;2.547297700002673;[2.3967548562750247, -2.54140300362222, 0.4005322714635393, 1.4213859511027023, 2.100510862154364, -1.5670962337840115, 2.747772460719701, 2.9306814441791396, -0.7975481906328237, 1.8848478927540206, -2.670773820306272, -2.4048284499210784, -0.006988101295126281, 1.7746970175771724, -0.3574162422716225, 2.3077776598651596]
16;-1.8167198364393373;2.552384099999472;[-0.01704947712734839, 2.035811972109875, 1.5370212761320863, 1.6054901497073626, 0.127594287913102, 0.10208651183717121, 1.5050002295845122, 0.14907318944781656, 2.895077008077312, -0.0680647851983216, 0.08791283388488758, 1.4358445976259704, -3.130623524068605, 2.1877294641135476, 3.1165955296978414, 0.03647961336942984]
17;-1.8352666373546886;2.556374200001301;[3.1199233707666174, -2.88113995594232, 0.9392159127907966, 1.642723262389536, 3.133066830423971, 2.980681069284252, 2.547093087059836, -1.873609862911125, 0.002555970216833625, -1.4898409779871766, -1.667569925545925, 1.8171150700751557, -0.039082265249794634, -1.2145347697629796, -1.4773734130412532, 1.2063014280099003]
18;-1.8055668687736044;2.5563966000008804;[0.5432853790618828, -1.1350936881155063, 1.5787036502777276, -1.914466368815185, -0.8155792373755117, 0.8829932368892415, 2.758463845328392, 0.7268844855522301, -1.711331707591475, -1.5647176451984974, 1.8743536420226539, -1.2144866973806063, -1.2521714899595924, -0.4463991896765416, -0.7936089976586627, -2.742619607790175]
