run;final_energy;time;best_position
1;-1.8411437849166252;19.132774400000926;[0.41319041878606155, -0.24918446706467723, -1.376311608666197, 1.5727085370914242, 1.1732626931721288, 0.7726558465674698, 2.9634756175018353, 0.26752853631650453, 0.6561510695669668, -0.018108697148796704, 3.029377269755276, -3.113167594414547, -1.6267685045626175, -2.2352385154007774, 1.506190834786267, -1.407897295552908]
2;-1.8338840251328776;16.485511700011557;[-1.5217325153730057, -2.948250110056242, 1.5727616590827749, -1.5702084421562552, 0.591267485277899, 2.883469388648045, -0.0632288173436355, 0.43083679503610295, 2.190386234488205, 2.5427806393498233, 3.055388786250475, -3.1068669068719554, 2.0857229981558714, -2.636716453303409, -1.5331297778561155, 1.9515007443089267]
3;-1.8389546093676354;18.537418099993374;[-1.8107860909503954, 2.5888544168438923, 1.5766529770401814, 1.553659939469176, -0.35399157274215565, -0.8974878562128716, -0.1320157403983644, -0.2798394032064091, -1.9102911028743204, 1.333532049621346, -0.17348119754447788, -0.06803662568317881, 2.2149527326631873, -2.232018044987019, 1.6588954577400132, 1.7419758472190594]
4;-1.8324468810365224;19.176961799996207;[2.2108410854845513, 2.0096752285709734, 2.8313499182172848, -0.5214011338629341, -2.1688110501721027, -1.4991447514370841, -1.8563868306740547, -1.9535091060073604, 0.3408538691111569, 0.1393970765314867, -0.5279716520002382, -1.9574257048952093, -0.01226955296905885, -2.0365463674803563, -1.6797106555927728, -1.7171038144280528]
5;-1.8342134128851648;20.416164399997797;[1.0795210462635998, -2.0582535680519505, 0.8702861285163186, -1.0306541308351003, 1.0922209580652513, 1.7432381790805263, -1.318611795334392, 2.2035787230155313, -2.53632778499875, -1.070984566091762, -2.0532125246242177, 2.0470033176230267, -2.9647549071299415, -1.742063451103507, -1.6582998672321665, -1.3778815355145912]
6;-1.8307087106246336;18.9689931999892;[-2.8725332793980334, 0.5586986026595624, 0.3899112904376958, 1.7896436212921305, -0.4676552011554618, 1.0068240701136322, -2.2221473289949487, 1.2149261824425732, 2.4666392212404222, 2.1914566563098967, -1.84994930626423, -1.1188598283111033, 0.3840916290335237, -1.7767311199430282, -1.8328696887091847, 2.0727354354190766]
7;-1.8300122337022957;18.3949033000099;[0.9630916333236321, -0.7041163640147028, -1.6397713072616604, -1.5702900539091589, -1.592321226300767, 1.1529886255614379, -2.7551848211743537, -2.544886289757016, 2.151449760669312, -1.979772838438272, 2.23025481250027, 2.5926476754569903, -0.015846038190116207, -0.554593882323458, -1.022649144142799, -2.1793295961886523]
8;-1.828681504050402;17.0141367999895;[-2.8299334018836704, 0.5414307929988782, 0.18065809030327795, -2.402132865729343, -0.5278007321110776, 1.3532079187828359, 1.158319008660639, -0.3860878199730795, 2.633837375015294, 1.1573890919923517, -0.0915580709211774, 0.5601848833096845, 0.09525646899357065, 0.748991880191642, -1.0672387301115842, -1.0710382136563603]
9;-1.835823085584841;17.140014299977338;[3.0645381498419217, -3.087214969575427, 2.3662663270539266, -1.6000636728642785, -1.0048926111026848, -0.11454753955438024, -2.391805779412628, 0.28062138127578296, -2.1271766702251083, 0.9723586172677905, -2.985227163271176, -3.1101579354158817, 1.366578774602389, -0.5213338158527052, 1.7165442896986418, 1.3617263621510736]
10;-1.8340701335556833;20.31795939998119;[-2.079776989825363, -1.0988791202029926, -1.5035312143686808, -1.8242962855946545, 0.9304087065259914, 1.1291458824632974, 1.376849542721997, -0.23755022701896467, -2.7304089615596765, 0.6025847366028136, -1.8850881154850712, 3.0020945936636725, 0.0016925083250072248, 2.452669469158983, 1.8173710712506486, 1.367201754290881]
11;-1.8297540832722268;18.61542109999573;[-0.7840068949867791, 0.7374942295102889, 2.434012455733276, 1.5921468005125883, -2.163594997504477, -1.5793847815382678, 0.009566804668337259, -2.9114569900692606, 0.6585125796531841, 1.3521527220218612, -0.2803725868288365, -0.07215101646335187, 3.1397111466411216, 1.3456673108314199, 2.4654729065587837, -1.470143624145702]
