run;final_energy;time;best_position
1;-1.8077450690610692;3.7152213000008487;[1.6679305523166237, 1.8095522084513131, -1.5599147909079607, 1.3953910303389447, 0.10542529242683729, -2.7666838189861775, 2.943754906825628, -0.5732368444943932, -1.734289117408304, -1.3945230078839952, 2.42148743005618, 2.578041103936883, 0.336274121845511, -3.0101819230664213, 0.9310875818805586, -2.3815589202426115]
2;-1.8191862544494117;3.5790482000011252;[-2.2807045381227287, 2.983856917515621, 0.1574067542577282, -0.9712465798001877, -1.4435637108957473, 1.7298024742812137, -2.3647211413514375, -2.033590693744768, 1.4870247097662235, -0.7310712518059113, 1.9979521838258716, -1.5529789304437587, -2.9208734508998035, 1.9083362322012096, 1.5935708715474153, -2.5410125526732634]
3;-1.8205696983630029;3.4614378999976907;[2.9702738969008333, 1.16547602458854, -1.6525733439821417, -1.7616992406854868, -0.09911510432776138, 2.3845567376883814, 2.585535143980348, -0.5180101613911035, -3.0160545800049317, 0.005429559967720099, 0.018349582271706133, -2.7583646048796537, -0.14840163702561915, -0.37400723907645395, 0.9892846962978483, 1.312702534457296]
4;-1.8069428227234194;3.5102671999993618;[-2.1190007115779395, -1.9874046769660156, -1.0503069304940906, -1.5524409984228946, 0.8989817880941189, 0.28062449891696417, 2.230844640950834, 2.837966943718768, -2.98076459373288, 1.6142478311359154, 1.0964020622156498, -1.8106946290490815, -0.4966876100746802, -2.144865818578412, -2.8983158555665436, -2.8180678169033193]
5;-1.8327944231608413;3.535125099999277;[2.2686196111989325, 2.408632926362058, 1.246302174779422, 1.3389627908256108, -2.252681429766391, 1.98461292006278, 0.2805853675194361, -2.8942843858385108, 2.357427510915791, 1.1197622372383567, -0.014237302514260364, -0.262919900927129, 2.96628873812921, 2.195286833656457, 1.8540338693268312, -1.527504745841713]
6;-1.6942175247008455;3.598631700002443;[-3.1158493387560062, -2.304157558852845, -2.845183691767146, -0.9946503815371903, -0.17825426038901115, 2.8155935052784384, -0.2386425430048411, -1.6530382809913016, -0.2917632523586229, 0.47268703668499246, 0.6533134234063351, 0.7980438531821559, 3.006297513568155, 0.5775548143285163, -2.349589778672455, 1.0532515730563885]
7;-1.755099562839878;3.9433005999999295;[-0.7417321224749172, 2.630988023492155, 2.848903874789679, -1.2481443155376963, -1.817697745966525, 1.6297874996004698, 0.5958319345236314, -0.48359044838873677, -1.8529360160498451, 0.14284803560373227, 2.663955648000395, 1.1807497204040818, 0.16176047496912638, -1.790851401356875, -0.49435302090010547, -0.5756216752627585]
8;-1.6527538611644081;3.6220522000003257;[3.065888072277712, -2.903013111961509, 2.9897571536046774, -2.557274568654759, 2.591243136049248, 0.8515704275458957, -1.3662058451391486, -1.3224678664228242, 1.7732950425037455, 1.3236040871447399, -2.5770772353559788, -0.7028949801980606, -1.4558075329388125, 1.7066325816419736, -2.0138731086702126, -1.0980401476554702]
9;-1.804366186710317;3.5528231999996933;[1.7775095099629645, 1.9310041672734277, 2.1077225046068975, -1.6366312893694641, 1.5877453536638289, 0.4500010742942435, -0.32548240522214167, -3.133137737200631, -0.4219367538113432, 0.8225434575834916, 1.946328945071187, -2.978528141666473, 2.927904103278679, -0.6362682828968209, -0.5725900627500051, -1.4308728011522804]
10;-1.8330226464149326;3.664591600001586;[2.2004580118130983, 0.40746609381131904, 1.4614952749614378, 1.5523202401201424, 1.2793637983178145, -0.8025072766593535, -0.2603197963245685, -2.794533848113892, 2.826776255083109, 1.8445601982265343, 0.35240184321623413, 0.08111393565267733, 0.8716060432467039, 0.5916098147866853, 1.322996443671415, -1.281885172097107]
