run;final_energy;time;best_position
1;-1.8399533697176955;2.673216599971056;[1.6916859941959057, 1.8804040761130283, -1.6304743463099098, 1.406588317899459, 0.16288881670664246, -2.75673368350325, 2.888850998876382, -0.6508893264235387, -1.8285768120866508, -1.3094856684642868, 2.419765222405225, 2.533463661397425, 0.3256021042327051, -3.071516493759665, 0.9452419903752967, -2.4363129176933738]
2;-1.8588959746180018;2.6529314999934286;[-1.750471328476758, 2.6567381977199407, -0.16373928571750485, -1.3653189358655966, -1.5049026816785533, 2.0644974226627975, -2.266138650205921, -1.963798039309321, 1.7488120415909396, -0.018575336768732686, 1.6771404161283696, -1.8730316855051528, -2.336612935240991, 1.735455935125012, 1.7761453787998684, -2.1762897803102668]
3;-1.8090043005351293;2.602846199995838;[2.4330051034457334, 1.2281760726899034, -1.5753623163201353, -1.698487856860692, -0.20068326428961392, 2.6296593352095616, 2.6099898691840657, -0.560633491383538, -2.538596269333884, -0.4566558513653116, -0.24548295164428513, -2.8046522772888935, -0.550296307622816, -0.5202616410830014, 0.9073877525102692, 1.605856716659158]
4;-1.8407535509629191;2.6057119999895804;[-2.140991858499714, -2.2223097130200316, -1.4964308680145912, -1.7523157366421769, 0.5531249305776749, 0.023549017632748193, 2.3855563506151762, 3.0753050581381887, -2.54373701467158, 2.28423784943792, 0.9169895265735608, -1.8835496723785283, -0.27690527648905094, -2.5711406132811065, 3.075657639809453, -2.734993742070153]
5;-1.8620341735955648;2.600758999993559;[2.4515929697687593, 2.4561152938831956, 1.1224920881600937, 1.4784850784631596, -2.3222959849108338, 1.7867696812666374, 0.516028987457406, -2.716976299810482, 2.4690323412936346, 1.1884458547384442, -0.192811064752755, -0.19036370937905822, 3.0700520739600385, 2.5622363874012226, 1.8368865210920173, -1.8369329608258844]
6;-1.785347692999158;2.608312600001227;[2.204680513005316, -2.148616670710159, 2.147345434798998, -1.4565925323964637, -0.6604135194964051, -2.9169876337659066, -0.8190648052031451, -2.6049889448822245, -0.5365924894372713, 0.6675837530224187, -0.023461457118945095, 0.5949772642022735, 2.572461108888146, 0.4110740879100807, -2.7453393258391254, 1.4670293410530135]
7;-1.807460428435681;2.619864600012079;[-0.7331256732020592, 2.663308006962369, 3.0258583333613664, -1.2724967466085273, -1.9161756245230384, 1.4244895408073006, 0.5206586167042788, -0.5331812673781924, -2.1106874047046453, -0.28377970763343896, 2.347901684685864, 1.221137792409567, 0.2141948244356775, -1.5052896093890078, -0.6720603865367227, -0.6971511402970996]
8;-1.8429767381428093;2.5940637000021525;[2.733998161593039, 2.9912013281409475, 2.6992474772941524, -1.9066674697709107, 1.1874699025312152, 0.5269080065917642, 0.3717259940850135, -1.619093840890626, 1.649260206543988, 1.0694559470751521, -1.8958132871514903, -1.8404949298044262, -0.9793864988633532, 2.4034826443799693, -1.756858732981063, 0.31643701597378415]
9;-1.845710089251777;2.599716000026092;[2.3415142062735264, 2.081933751081566, 2.136927499125248, -1.6645574974988104, 0.8540530961145749, 0.6453655859885434, -0.18087848171369458, -2.9960168967837095, -0.2943973430730513, 0.8147198872104351, 1.8894526512424141, 3.0319856539565, 2.8646638429805584, -0.7299715716654331, -0.6309304658854518, -1.6998108958320886]
10;-1.8621546458287948;2.602616299991496;[2.192105263382823, 0.4281841376976985, 1.495283896024449, 1.5405641735426032, 1.2878991345542241, -0.8504845164177279, -0.30803962346710545, -2.8396911579248414, 2.7882159703833134, 1.8279615079735443, 0.4169945475626795, 0.10184099318513651, 0.8379518184088628, 0.6574441783406177, 1.2679216723701625, -1.3129475164432907]
