run;final_energy;time;best_position
1;-1.8077450689409877;2.705514300003415;[1.6679305523166237, 1.8095522084513131, -1.5599147909079607, 1.3953910303389447, 0.10542529242683729, -2.7666838189861775, 2.943754906825628, -0.5732368444943932, -1.734289117408304, -1.3945230078839952, 2.42148743005618, 2.578041103936883, 0.336274121845511, -3.0101819230664213, 0.9310875818805586, -2.3815589202426115]
2;-1.8191862529806684;2.698584799996752;[-2.2807045381227287, 2.983856917515621, 0.1574067542577282, -0.9712465798001877, -1.4435637108957473, 1.7298024742812137, -2.3647211413514375, -2.033590693744768, 1.4870247097662235, -0.7310712518059113, 1.9979521838258716, -1.5529789304437587, -2.9208734508998035, 1.9083362322012096, 1.5935708715474153, -2.5410125526732634]
3;-1.8205696978332362;2.6465518999975757;[2.9702738969008333, 1.16547602458854, -1.6525733439821417, -1.7616992406854868, -0.09911510432776138, 2.3845567376883814, 2.585535143980348, -0.5180101613911035, -3.0160545800049317, 0.005429559967720099, 0.018349582271706133, -2.7583646048796537, -0.14840163702561915, -0.37400723907645395, 0.9892846962978483, 1.312702534457296]
4;-1.80694282047066;2.7397686000003887;[-2.1190007115779395, -1.9874046769660156, -1.0503069304940906, -1.5524409984228946, 0.8989817880941189, 0.28062449891696417, 2.230844640950834, 2.837966943718768, -2.98076459373288, 1.6142478311359154, 1.0964020622156498, -1.8106946290490815, -0.4966876100746802, -2.144865818578412, -2.8983158555665436, -2.8180678169033193]
5;-1.832794422118218;2.641908000001422;[2.2686196111989325, 2.408632926362058, 1.246302174779422, 1.3389627908256108, -2.252681429766391, 1.98461292006278, 0.2805853675194361, -2.8942843858385108, 2.357427510915791, 1.1197622372383567, -0.014237302514260364, -0.262919900927129, 2.96628873812921, 2.195286833656457, 1.8540338693268312, -1.527504745841713]
6;-1.6942175252854936;2.640131100000872;[-3.1158493387560062, -2.304157558852845, -2.845183691767146, -0.9946503815371903, -0.17825426038901115, 2.8155935052784384, -0.2386425430048411, -1.6530382809913016, -0.2917632523586229, 0.47268703668499246, 0.6533134234063351, 0.7980438531821559, 3.006297513568155, 0.5775548143285163, -2.349589778672455, 1.0532515730563885]
7;-1.7550995612569094;2.686340399999608;[-0.7417321224749172, 2.630988023492155, 2.848903874789679, -1.2481443155376963, -1.817697745966525, 1.6297874996004698, 0.5958319345236314, -0.48359044838873677, -1.8529360160498451, 0.14284803560373227, 2.663955648000395, 1.1807497204040818, 0.16176047496912638, -1.790851401356875, -0.49435302090010547, -0.5756216752627585]
8;-1.8417636712516936;2.6416241000006266;[3.062279136925751, -2.8288597145281456, 2.9353256393092826, -2.617011401525343, 2.8899616538886956, 0.9676558106678179, -1.5664330013274863, -1.2995272994347957, 1.77665494852213, 0.608034166092859, -2.9506744793711044, -0.3711576368738809, -1.572879615841445, 1.4182101748026792, -1.5943045128218585, -1.526152295306748]
9;-1.8048555803109347;2.655328199998621;[2.0267796495569463, 1.9544827656925303, 2.272343374008595, -1.6304768854069212, 1.194040002136516, 0.4250133832842433, -0.2867284193618116, 3.10962609251839, -0.34177025512206827, 0.7791337617117073, 1.958719958157431, -2.948428443163057, 2.7905470446907295, -0.7802580891165212, -0.73498128190263, -1.4232893848059236]
10;-1.8330226455273755;2.6587099000025773;[2.2004580118130983, 0.40746609381131904, 1.4614952749614378, 1.5523202401201424, 1.2793637983178145, -0.8025072766593535, -0.2603197963245685, -2.794533848113892, 2.826776255083109, 1.8445601982265343, 0.35240184321623413, 0.08111393565267733, 0.8716060432467039, 0.5916098147866853, 1.322996443671415, -1.281885172097107]
