run;final_energy;time;best_position
1;-1.8387450709484587;3.4881031999830157;[1.7026333259418491, 2.032340601418052, -1.5629955583197286, 1.3716783712471479, 0.07122939717571297, -2.7017158335942604, 2.8014670477229284, -0.49948489487305636, -1.71290991032071, -1.1912502393515396, 2.608000712508817, 2.6828147970574614, 0.40744483029045675, -3.091684152953326, 0.9847026077923022, -2.2346892230193514]
2;-1.850304647639133;3.427232699992601;[-1.754724372642333, 2.233725148293723, -0.44686754231966486, -1.4618717952496108, -1.4840241695379892, 1.7995688024613052, -1.9234198093016763, -2.3912801157590526, 1.2713327576931661, 0.11589580837500124, 1.3837203070449116, -2.5218516683567542, -2.5529024141195844, 1.9092248374913963, 1.5641204025670081, -1.8947137798685374]
3;-1.8569366393120899;3.4246766000287607;[2.3372935132853847, 1.4139191880992845, -1.5618105132729925, -1.5999122652524556, -0.20644457519925252, 2.725529557081156, 2.7342394389732743, -0.3480546197699992, -2.4235476349501743, -0.5557921492811566, -0.37065601284070837, -3.056952871572016, -0.4661370861144549, -0.6110572300765749, 0.9492184577894189, 1.3492877266548033]
4;-1.8399999334205932;3.445413400011603;[-2.3638315891968307, -2.289007180420855, -1.6642663759660947, -1.6497986196805579, 0.5516973088622703, 0.10399437945698686, 2.707172878849846, -3.009158902386649, -2.8327516943582918, 2.1200372675315657, 1.373918521211154, -1.9875583423567813, -0.38340841693810024, -2.6801075613562038, 2.9867911320347478, -2.9268131922888996]
5;-1.86555947961859;3.4180323000182398;[2.42756203291688, 2.3289892686652696, 1.0294140744298588, 1.4073597423482074, -2.31056523843732, 1.7672800961092507, 0.5908838868494319, -2.7022352264245635, 2.556808672832597, 1.160721792039002, -0.15672287084581926, -0.2234038627621513, 3.066409104638449, 2.545264213386714, 1.9671525959117835, -1.787126338073023]
6;-1.7502255060048266;3.4235574000049382;[2.364406310823341, -2.045700720772643, 2.570832462808319, -1.4609954125058566, -0.6552349083300824, 3.134415787322694, -0.40514112684131964, -2.6754575697197773, -0.45366144950173215, 0.707709025899014, 0.08667611668342623, 0.8042510564873431, 2.454230434671822, 0.418749099150415, -2.669819525781894, 1.1380219939652463]
7;-1.807258251130817;3.427304400014691;[-0.7116423322076137, 2.6785606493194773, 3.008064011209659, -1.2756925844964184, -2.004828304140861, 1.4040199834835168, 0.5515724693641912, -0.5421478810080678, -2.1016010951177746, -0.2699596951075369, 2.36991610912495, 1.227089777869475, 0.2983730895025083, -1.5146570271474311, -0.6919601990277728, -0.6978559471792112]
8;-1.8502449770619884;3.431454700010363;[2.677917026103617, -3.1291721812280824, 2.518912743791061, -1.9164946733337116, 1.2042632632950863, 0.19119034605854246, 0.2167082276845922, -1.5928212786395943, 1.4510385068767313, 1.025760293792148, -1.690613006082765, -1.807165399788187, -1.652403133910041, 2.367925105653754, -1.7925573549957559, 0.26083660396201536]
9;-1.8567262404023273;3.4289339000242762;[2.3640281170345396, 2.1444586422722036, 2.1357482125741196, -1.6043378368121586, 0.8087152559600823, 0.5456741575595099, -0.2239113679941962, -2.867844658688908, -0.3185150979196698, 0.9187183545663551, 1.8784307493312422, 2.7104162963109095, 2.7514323890933348, -0.7005656392045649, -0.6791938567041651, -1.9830865697780935]
10;-1.8635829187404607;3.4444530000328086;[2.1887983626954366, 0.4176406080030364, 1.491584668777322, 1.4791739013991334, 1.2780407880268294, -0.8420573803344413, -0.30298719854700407, -2.853874660185233, 2.8059666408802846, 1.8317485038891421, 0.4006110613761047, 0.07305955382233487, 0.8367300555679651, 0.6524823076927802, 1.2663986330372223, -1.3125022121213696]
