run;final_energy;time;best_position
1;-1.8077450693704071;4.000981199998932;[1.6679305523166237, 1.8095522084513131, -1.5599147909079607, 1.3953910303389447, 0.10542529242683729, -2.7666838189861775, 2.943754906825628, -0.5732368444943932, -1.734289117408304, -1.3945230078839952, 2.42148743005618, 2.578041103936883, 0.336274121845511, -3.0101819230664213, 0.9310875818805586, -2.3815589202426115]
2;-1.8191862543665052;3.6410305999997945;[-2.2807045381227287, 2.983856917515621, 0.1574067542577282, -0.9712465798001877, -1.4435637108957473, 1.7298024742812137, -2.3647211413514375, -2.033590693744768, 1.4870247097662235, -0.7310712518059113, 1.9979521838258716, -1.5529789304437587, -2.9208734508998035, 1.9083362322012096, 1.5935708715474153, -2.5410125526732634]
3;-1.8205696971203822;3.5020780000013474;[2.9702738969008333, 1.16547602458854, -1.6525733439821417, -1.7616992406854868, -0.09911510432776138, 2.3845567376883814, 2.585535143980348, -0.5180101613911035, -3.0160545800049317, 0.005429559967720099, 0.018349582271706133, -2.7583646048796537, -0.14840163702561915, -0.37400723907645395, 0.9892846962978483, 1.312702534457296]
4;-1.8069428222238122;3.510366200000135;[-2.1190007115779395, -1.9874046769660156, -1.0503069304940906, -1.5524409984228946, 0.8989817880941189, 0.28062449891696417, 2.230844640950834, 2.837966943718768, -2.98076459373288, 1.6142478311359154, 1.0964020622156498, -1.8106946290490815, -0.4966876100746802, -2.144865818578412, -2.8983158555665436, -2.8180678169033193]
5;-1.8327944233467177;3.4819462999985262;[2.2686196111989325, 2.408632926362058, 1.246302174779422, 1.3389627908256108, -2.252681429766391, 1.98461292006278, 0.2805853675194361, -2.8942843858385108, 2.357427510915791, 1.1197622372383567, -0.014237302514260364, -0.262919900927129, 2.96628873812921, 2.195286833656457, 1.8540338693268312, -1.527504745841713]
6;-1.6942175248075824;3.481750599999941;[-3.1158493387560062, -2.304157558852845, -2.845183691767146, -0.9946503815371903, -0.17825426038901115, 2.8155935052784384, -0.2386425430048411, -1.6530382809913016, -0.2917632523586229, 0.47268703668499246, 0.6533134234063351, 0.7980438531821559, 3.006297513568155, 0.5775548143285163, -2.349589778672455, 1.0532515730563885]
7;-1.7550995628624613;3.4841526999989583;[-0.7417321224749172, 2.630988023492155, 2.848903874789679, -1.2481443155376963, -1.817697745966525, 1.6297874996004698, 0.5958319345236314, -0.48359044838873677, -1.8529360160498451, 0.14284803560373227, 2.663955648000395, 1.1807497204040818, 0.16176047496912638, -1.790851401356875, -0.49435302090010547, -0.5756216752627585]
8;-1.8289914275659294;3.576415600000473;[3.0580098513206, -2.93491521798621, 2.86869163533978, -2.1443559667548056, 2.5949524349981887, 0.24931274782442037, -0.8421179879915912, -1.2256145545465622, 1.4687062254867076, 1.3676260406937413, -2.0166894777348747, -0.8038780011870617, -1.3750661520856444, 1.2931522752931013, -1.9151008587642944, -1.1947077049878017]
9;-1.805038794778189;3.984096000000136;[1.7109353060021943, 1.8809206120321003, 2.1920640550268935, -1.6440140291648204, 1.4687135835030585, 0.5033630412166463, -0.25213824869701584, 3.019323961472729, -0.24206735137387803, 0.8141209896632393, 1.8385835154887262, -2.8652429853924843, 2.8637762989815325, -0.584446668031398, -0.6027211905693242, -1.3378908524186817]
10;-1.833022645979093;3.876693099999102;[2.2004580118130983, 0.40746609381131904, 1.4614952749614378, 1.5523202401201424, 1.2793637983178145, -0.8025072766593535, -0.2603197963245685, -2.794533848113892, 2.826776255083109, 1.8445601982265343, 0.35240184321623413, 0.08111393565267733, 0.8716060432467039, 0.5916098147866853, 1.322996443671415, -1.281885172097107]
