run;final_energy;time;best_position
1;-1.8222158746666666;58.41859440000553;[1.6566716571512252, 3.0103351792182718, -1.5872894108882112, 0.6855606032593649, -0.16039034556837084, 3.038674225980513, 2.174444758863295, -0.1465254097149562, -1.6383693318361816, -0.27112164969728125, -2.665538426748418, 2.4099836173583586, 0.13112653374885275, 3.093182334237081, 1.3057054119810134, -2.3427423740216966]
2;-1.811267370666667;60.7008679999999;[0.6655854831040955, -0.8500639122002447, -1.7441738613617852, 0.8951708366307107, 0.2963216720474051, -0.8055008744043226, 3.0489579170207266, 0.10575402400354639, -2.2368537263958888, 2.1173117559758525, -2.678318206844124, -0.7194018988860971, 2.7391280242468756, -2.36136305156292, -1.7578078875938057, 1.5766036173612363]
3;-1.8081718693333335;60.28166889998829;[-1.9527291235813407, 2.61912920391908, 1.9832123497798122, 1.753804294959898, -1.7530399580931804, 0.9626488725194884, -1.2404857978366035, 0.4499861069906119, -1.9259340590798766, -0.7178913992357323, 2.060790306477511, -0.709922141835313, -0.26444038388381896, -2.7096304522724104, 0.49892530144955005, 1.320463858645967]
4;-1.790464996000001;60.19094219998806;[1.5785399515352996, -0.08622931523456856, 1.0465749453325106, -0.5664985050733726, 1.982211543352772, -0.9708053182234697, -1.782939486622833, 0.9070352009711407, 1.4182767137386758, 0.45961055049844646, -0.7499870477563872, -0.9922918404471472, 0.06029801097967269, 0.19188414086494232, 1.712042367255969, -2.0516243092093345]
5;-1.8136893640000005;60.355897500005085;[1.4261058287090913, -1.3875687483291395, -1.5284327378357914, 1.5337350866528947, -0.48971220248164027, -1.2417049066361605, 0.8078953784110681, 2.757315822052303, 1.9685189417144997, 1.6608179973161885, 1.7045641772601368, 2.246329732516976, -1.2547764703709439, 2.298953920245598, -0.414756192807749, 0.5826573711117446]
6;-1.8064969693333341;63.6252370000002;[-2.0334281691904126, 2.1396635713408845, 0.05574668754008805, 1.7179849694379783, -1.2698012075414045, -1.5757459055471261, 2.777266562517643, 0.010165646096225167, 2.752950023238748, -2.8597870466435027, 1.485334657927237, -2.65383792872427, 0.03406676000391995, 1.5460751193835947, -2.7474323208606646, -2.0646180387220743]
7;-1.7856579040000007;63.37008780000906;[0.5287977066397005, -0.8088237477951155, -2.325761261264044, -1.1506509121879889, -2.238118913937978, 1.0311092589409663, 2.621025186443373, -2.1705596452522355, 2.57111802791014, -1.8599776461189317, 2.0297959338304414, 2.433922307157597, 0.033242736679765184, -0.035903563106915115, -0.4980114283657935, -3.063935820338956]
8;-1.7993959266666668;63.37215589999687;[1.267690645944887, 2.049008554450543, -2.4326013532707043, 0.6591649922507394, -1.280914959705624, -1.64490030093023, 1.8845756281049155, -1.6143135949486707, -2.6421375084033345, 1.117005076572826, -1.498474965783843, -1.1382791426838903, -2.948604009232391, -2.8794872028896172, 0.584385337226637, 2.0342931488254568]
9;-1.8398027426666672;64.05438069999218;[-2.614759953930137, -2.9764294418831376, 1.7960930783621274, -2.0508149560977436, 0.04873940243753516, 0.10543589582174162, -2.4532241176871663, -0.07061786841906104, -2.475158951646235, 1.4512374494437283, 2.7836877816864565, -2.7898612063401624, 1.0761969188224256, -1.4584709500362851, 1.5988407669435478, 1.4519595243831267]
10;-1.804063542666667;63.005105899996124;[-1.2371908490536225, 0.6609739120214746, -2.3215450078731883, -1.95214772781319, -1.956875692424464, -1.8875104478086913, 1.6426484081264459, 0.31750964689195715, -2.7898174492475785, -0.0273123846049681, -1.8830458423584973, -2.5399459047026127, 0.5339791280002122, 2.4351673477599114, 1.9422485460884715, 1.1792202340117637]
