run;final_energy;time;best_position
1;-1.7927325040000004;34.332651300006546;[1.5267732237836729, 2.306836835750177, -1.7694324582843837, 0.8215296762423527, 0.42156140217823923, -2.9403140310901126, 2.7151358310356297, -0.7985381858468825, -1.6116011422902636, -0.6075097610984797, -2.7282058628747934, 2.752892827117705, -0.0951773629925512, -2.917341422800032, 1.4274954886238493, -2.8119894783680786]
2;-1.7341179240000002;34.13078880001558;[-0.8148782795186937, 1.6981302360310044, -2.741307677084039, 0.3032068084876327, -2.1554825377562725, -1.8560978183203138, -1.2616265549919456, -2.0199982117838164, -2.6311598822082245, 2.670360880209124, 2.8021544950661053, -1.9130004103774574, -0.6714326015202139, -1.2861417959134194, -1.5999591413378316, 1.1475168281131793]
3;-1.8165550333333338;33.80157810001401;[2.9397483970527762, 0.8815643659515038, 2.1079942261175173, -1.6596575769682114, -0.44841099575094523, 2.5377872616942563, 3.1402650979511932, -0.421918586789761, 2.418933176491807, -1.7144077796190536, 2.013272307199615, -2.3493718261636323, 0.3759176987803996, 0.43060888229529226, 0.8168745352787203, 2.5914582195492812]
4;-1.829274066666667;33.98978579998948;[-2.165156081808641, -2.1839444794262666, -0.7591919578431496, -1.3720762567999765, -2.255920264951529, -1.072080099927975, 2.4556433202924612, -3.0672572722222657, 0.31840849886493494, -2.059969786238611, 0.4069497276151144, -3.0689200683962103, -0.19907521822691532, 0.5665146143466373, 2.317399312245934, -1.6344308610698042]
5;-1.842734254666668;34.06043279997539;[2.4499104026567924, 2.6259220881210883, 1.3996004255000551, 1.3230772730823839, -2.706145676497241, 2.906620994754074, -0.10495279588558137, -2.7292819899191008, 2.6565207398527253, -0.28462060454726457, -1.7687492088980834, 0.19517000727136002, 2.677122627483273, -3.0124301910096736, -0.5060160244206062, -1.085415668647518]
6;-1.8731362893333339;33.86694129998796;[2.3306555528590103, -2.4340573810467028, 1.751412302866198, -1.883329027435735, -0.2590425759162036, -2.6873559431627263, -1.457100845639542, -2.1744423655359064, -0.7081916209601782, 0.34282705317079154, -0.06608079068760508, 1.2456748840417262, 3.1154696300067286, 0.08134951470653329, -2.890509231101714, 1.3116279907774615]
7;-1.793952398666667;33.971475299971644;[-0.8659898336100955, 1.949456047292987, -2.578554212082792, -1.117867571677114, -2.062884293797555, 0.723566280805569, -0.6421351614158319, -0.07731532113004169, -2.508614626885019, 0.3944901271679422, 2.5943183391617657, 0.6292044025335763, 0.04569070777532103, -1.37413096043021, -0.32360571434250174, -1.2939507546232034]
8;-1.8487354213333345;34.164004200021736;[-2.602666205200424, -2.083247056872574, -2.647078900914541, -1.5696026643871286, 0.44420823620573424, -0.013868129297587739, -0.2175973083995859, -1.9476503901864055, 0.16277952532307838, -2.1133640659026782, -1.9307178187924563, -1.0109938632779718, -2.709367036227632, 0.18595310561923206, -1.71479601558325, 0.9454189761023182]
9;-1.8295949639999998;34.247942200046964;[1.9076854276896, 2.070093930577471, 2.1587691861167304, -1.8062832924956336, 1.072480901817963, 0.33683862308073964, -0.34090829924069377, 3.0392739280957244, -0.2174142797943932, 0.946123984005407, 1.9686637254994892, -2.9194488442530666, 2.697093120588571, -0.7312585775911478, -0.6920403487471538, -1.2307920502783796]
10;-1.866666345333334;34.513509000011254;[-2.9437864777411566, 0.43272606450291606, 1.367439172660795, 1.3864713662475907, -2.745495538841989, -0.14817862889994382, -0.38293932448152423, -2.9808842948347394, 2.328108622023681, 1.422081090734415, 0.09439545998119758, -0.16935452410797192, 2.6559670363331955, 2.404042413745266, 1.5855309067631325, -1.8752282284894486]
11;-1.8258338146666666;34.589484600001015;[2.629466158701401, -3.0865469227155464, 0.3095702393741302, 1.2964697174595905, 3.0099742177663185, 2.249705471654937, -0.30184571235365576, 2.971908721669555, -0.004907278058412512, 0.25849722064179925, -0.34206631447793967, -0.8870498226332573, 0.01347250202050354, -0.9344209611228402, -2.997902902001309, -1.0118090182704678]
12;-1.7874952920000005;34.602922399993986;[-0.5430723552797168, -3.1199839367841085, -1.3664819332600184, 2.9815158884938597, 2.9260902674230174, -2.925285655933396, -1.6783465079301687, 0.6630364148363785, -2.5406600839266753, 2.7210087903937694, 1.4769417793717503, -0.6209643732659935, 0.21535034282329057, -2.888409949849609, 0.8251579170794421, 2.050025479301185]
13;-1.7968280840000004;34.373425199999474;[1.5746776697820692, 0.3607019216706142, -1.3160757782532309, 2.4448713596718825, -1.7982804176322804, 2.005719822793772, -1.987174668666504, -1.741138876218932, -2.4181691259876184, -0.5245784330109737, -1.6975745870369836, 1.783701058692853, 2.5463341302494484, -0.7614250117914847, -2.1795505908307273, -1.9986725429371885]
14;-1.8490085586666674;34.82916129997466;[2.864322558876455, 2.8504377622603148, 2.838059549416357, -1.9133656070212728, 0.5406587114641423, 1.2258514651891037, 2.189249627547871, 2.4182670350768323, -0.25127537823771373, 2.374303764358352, 1.9257002012785929, 0.8199636099787422, 2.8315035945935003, 1.2141470068971554, 0.5947944714319631, 2.1616196169375224]
15;-1.8212633893333336;34.7547334000119;[-3.0355552024469534, -3.1370226394095093, 0.5175880674263227, 1.6326735029795207, 1.7594445888224826, -2.185812560344226, 1.7714123730975606, 2.952140871152194, -1.534083508679522, -1.6337033088580328, 1.6150533307292125, -0.4099842570589889, 0.5267058356319714, 0.5446667592085608, -0.009807984828918315, -1.49930255856985]
16;-1.8246035493333341;34.455529600032605;[-0.1827012902290317, 1.9831758655921332, 1.4694299565417897, 1.332327666637859, 0.04766018703710895, -0.4368533257841807, 0.8676040460745025, 0.17662549105913916, 3.1037531518002233, -0.6791381563921579, 0.6042612355686243, 0.2749519231033455, -2.6632142604853177, 1.1148817988073203, 2.6304813991815603, 1.354457955044082]
17;-1.733284356000001;34.396229000005405;[1.0139280689656918, 3.0514799004831534, -0.5855966364992371, 1.2198475650549856, -0.2663672428121946, 1.3852162237329626, -0.2223870916804236, 2.4134660598953914, 0.2662056987536583, -2.0627715640136532, -1.264117438801852, -1.2535956760762907, 0.5100982514359091, -2.100488426424169, -2.674821227096608, -0.29410443696670896]
18;-1.8351124813333348;34.0359644999844;[2.808362761921787, -0.06028039695439036, 3.1039287719332034, -0.9003056937817564, -1.5610357241608117, 2.1649854440241683, 0.8450938078858696, 2.6501179952820557, -1.3975913023998225, -1.361644868479328, 0.9269605011785771, 2.556845944145312, -2.3429853487904913, -2.2678601470451603, -0.4260056473148186, -2.1676975700041154]
19;-1.832999590666667;33.33286359999329;[-0.2766099854255266, -1.6451496362354445, -0.04952642973683563, -0.6696941199628741, -0.14018614581315436, 1.5672225530202937, -1.9829079779186876, -1.937295193747839, -0.09712885964187601, 1.9258334921053635, 0.24858752347423207, 1.3161985356673718, 0.4146477939916764, 2.913210127176419, 0.7401524084628424, 1.78843529819878]
20;-1.7404658000000004;33.381224200013094;[0.050346596651866804, 0.016094110725259014, 0.30153417867060117, 1.5533928750150103, 2.02356740269183, 2.064383993574606, -3.125213920319121, 3.0545234519688735, 0.5362817259145403, -0.40899984113676346, 2.9448864218595876, 2.819161370151252, 2.92630656765568, 0.7381421256320255, -0.3384983815144098, 1.5761997980294673]
21;-1.7809459640000007;33.63443829998141;[-3.083132364485462, 2.0194713797108648, 0.9251851622835554, -1.2973101155030102, 2.623038601002717, 1.2309017750443951, -1.732800294941261, -0.8507961162753976, 1.0615792668864472, -2.1236431897652084, -1.7167344109947165, 1.092915281355216, -0.9937390549881862, -1.391217261064677, 0.9477677582886788, -0.87284791634886]
22;-1.827929512;33.379134899994824;[2.907468667119862, -0.02532656825382862, -3.018063618289988, -2.469467263137588, -1.6615733214344302, 0.676364958284728, 1.6857019419187251, 1.256861789232321, -1.5661577980663293, 1.3430062615018796, -0.43429337887773256, -2.9699203101907985, -2.0581387991761235, 0.27098683504043697, -2.246768079978604, 1.881140909207926]
23;-1.8483397279999998;33.40773540001828;[-2.47155486189227, 2.5419601006758707, -1.4697677187851625, -1.8718643632582972, 3.039960010158083, 0.2847098760132396, -0.7275685065137947, 2.6717318946957977, 0.5689734865483369, 0.036932283575752844, 0.7064370541044838, 0.6719748638297403, -0.002570922540821474, -2.61943640858586, 1.811679360420066, 1.5274046914678907]
24;-1.8350220106666673;33.22145230002934;[0.857877653833262, -1.4450162321635085, 1.8042909684199362, 1.1128446126687361, 0.9912955560862393, -1.3631628046558486, 2.0180209270331346, 0.4182627810223858, 0.5484265941733106, 1.4290596554313257, 1.888076912570555, -0.1156054885548774, 0.4880367601217497, -0.9149040840627891, 1.3356838383430105, 1.3277055188226763]
25;-1.8533402720000012;33.525140000041574;[-2.3707322519180276, 2.0159612675241414, -0.04627440527492199, -1.6362300793988092, 2.330122596407092, 1.3455925238637132, -0.08089778540494486, 2.778257554386519, 0.45378322301355745, -2.1103636566563306, -0.1413371324858721, -0.12094277578502854, -0.31262089903587054, -1.2839543234569646, -0.042943247187194, 1.3402916096439705]
26;-1.6876458626666675;33.28446619998431;[-1.3437903829723454, -0.30577491398145584, 1.479951103724371, -1.3806820223567635, -1.0591992059727247, -0.35432673667230663, -0.35751039652908245, -0.2359616928767183, -2.337464209087217, 2.550041168886618, 0.20103126722068065, 2.3350040957011116, -1.935641384210505, -2.5168451220241552, 0.5558878126940563, 0.8576138155012374]
27;-1.548858718666667;33.3538274000166;[-1.6289941868139164, 0.7547001290801147, -1.0571589582210636, -1.758272772110994, -1.5017038088813968, 1.3981826330836382, 2.1568373310713254, -1.2889138116205237, 2.895057510450349, 1.2358065807433718, -2.2956102320632077, 2.7405934273612695, 1.100010781902375, 0.7946074289209433, 3.097869713961722, -2.7424300821827874]
28;-1.8550213960000006;33.51356150000356;[0.34013262604892747, -2.954163371085931, 2.1030901532569324, -1.3728624243655678, 0.8943878891470085, 2.546124633692557, -1.350176531859529, 0.048413491454569524, -1.8922964521651298, 1.7117700459189438, -0.9425989426602404, 2.9585134896313328, 2.245102089214706, 2.4468170309316566, 2.1169155978803698, 1.4335393981924351]
29;-1.6487186240000011;33.54269989999011;[-0.8210972931577682, -0.11676902266103406, 2.6281708704363043, 1.9331940451725327, 2.9486897195211768, 2.8107451373848296, 2.3430464215296514, -0.08327062405323771, -2.626299807909415, 0.8415121253608406, 0.2351506591686694, 2.724787879320358, -1.325159259136726, -1.9136916517386628, 2.321710249061784, -0.9316164585509612]
30;-1.864669498666667;33.3500888000126;[2.7378785500216978, 2.1146112459841078, -2.906456171309616, -1.8793692597590446, -2.588739724487119, -0.8386335273456895, 1.0668858743372143, -0.3481974586795453, 0.2925943986694324, -0.6149880759376298, 1.6066317457630142, -1.7249314135124443, 0.01579121115022719, 1.8767451980984937, 0.23641421827383446, 2.781168726987727]
31;-1.8517134173333338;33.36882509995485;[-0.40816167848741003, -0.9870491653107494, -0.33993387672238295, -1.0126611899708444, -0.2825102608581105, -1.2692180805472935, -1.2006949290082045, 2.3311311892777127, 0.5171221477412269, -2.7246527829290277, -0.9519916211169317, 0.7631328559788924, 0.8277215821776829, 1.3180213891072006, -1.3235145468577343, 1.8587235055696487]
32;-1.7346849053333344;33.59815839998191;[-0.5665520957077677, 2.12946546506745, -1.719350320407273, 2.9160331527452232, -2.5805503812223156, 2.130146136578297, -2.5688004807107783, -2.344069159236805, -1.1963558789293078, 2.2696342851991105, 2.9023370620884776, 1.3429880685291584, 1.3364543241204254, -1.663346513719535, 1.2125268857594005, 1.487633098855433]
33;-1.8456107160000015;34.04812230000971;[-0.1128529307302677, -2.8117227052903577, -0.40680934749496966, -0.2526534075657221, 0.013573366359585837, 1.0560873117394252, -1.1075780705017033, 1.5147917434979465, -1.7947360088069548, 0.6706110066508386, -0.24427718166703682, 0.5006390675937649, -1.8213443293078952, 1.4490306997242106, 1.683395598121308, -1.5104268054092698]
34;-1.8533486453333348;34.657007800007705;[-0.9588880724145477, -0.6792771034344196, 2.421272309515662, 1.0460152286851674, 1.9952126429700598, 1.356754346352468, -3.061524582683449, 2.931550610015236, 0.9657529351260976, 1.5468956729903285, 2.5742674364521108, -2.8186962199992007, -2.8234447055175926, 1.3864024511076662, -2.2492381938219306, 1.4770295792392751]
35;-1.8182530906666676;34.68933519994607;[-1.754780089302767, -2.0835047291132236, -0.26762604845765203, 1.5033251981437044, 1.3512110680829963, 0.30667582011968797, -0.21179736233818858, -0.30655930736095716, -1.470229648222599, 0.22463448542216824, 1.5477206985074607, 2.9339247453553474, 1.6312160285817034, 1.4317686941739884, 0.9882662619871025, -1.738441301479664]
36;-1.8526143080000015;34.77677820000099;[-2.543419120842678, -1.9088275447013325, 0.7845893116246172, 1.8158838648577422, -2.599944441193689, -1.8450908776676131, -1.323600127215112, 1.4861529765222539, -2.8363476911983456, -1.7825634935051478, 2.231188953381615, 1.6683802237054648, 3.0486414448610875, -0.5750304984838164, -1.1229609040258342, 1.6450144369294177]
37;-1.805669074666668;34.669061099993996;[2.727592165521605, 0.0594660433266494, -2.513046882355915, 1.769648744895207, -2.0444464040266643, -1.2909989720622073, 1.209717111389815, 2.4661840966390187, -0.9692224392590507, 0.42248074883870856, -0.03997472619580433, 1.220444461808757, 0.13327575991328278, -0.7003963143420591, 2.9618916979751733, -3.1314476504797555]
38;-1.7593506533333336;34.82163399999263;[-2.1303429927649282, 0.1100276907310338, 2.5838995353651537, -2.191291431967726, 1.9096490785033868, -1.3408160871749615, 1.875057825619428, 0.5686796779669745, -1.8262365021363036, -1.1822638034362007, 1.1768519703365117, -1.9180877017581852, 2.405396822903067, -0.3292396787014127, -0.07515773893131028, -2.9194931247864266]
39;-1.8676528826666674;34.777354200021364;[2.1370035771141325, -2.5480022825826265, -1.4350105299570204, -1.4392877510548117, -0.1378525196892384, 0.15701053814022936, -0.1595503488525596, -0.9496809086989089, 2.2229841580970744, 0.5812000035223579, 1.5871794286643972, -1.2781811195282324, 0.24011409601106903, 0.26636809309965503, 0.9743085719554561, -2.925406041782038]
40;-1.8539006306666672;34.74187939998228;[2.848884358952956, -2.2863323671178777, 0.6632934493357183, 1.8602529595583857, 3.002367906934798, -2.3540384093847706, -0.10413351624194034, 0.4088994978920586, 0.18218007508157008, -1.6237571872297965, -0.7908911018488656, -2.312761819695137, -0.3786917714606721, 1.9921513343253885, -1.1163241527437715, -1.2914103680731968]
41;-1.8509185133333341;34.74535499996273;[2.9123512131494316, 0.7399928497799637, 3.0319443043759797, 1.7455100992207955, 0.35729040980072524, 1.8034371568653427, 1.0442955195616719, -2.0206448502924674, -2.8888072664416957, -1.3525536660755433, -0.5018196822057859, -1.0225560977658943, -0.3455802859890875, 0.37903988823806145, 2.3021451083001816, 0.1368402161260338]
42;-1.806012290666668;34.48379119997844;[-0.3611545181774596, 2.8070036627324786, -0.7032591111181223, -2.004988525216788, -0.6477779868251723, 1.4247703281532065, -0.9272827987717474, 1.282257221137538, 2.3949495663964653, -1.2725052607714424, -1.558382194529538, 1.72655234346745, 2.3759107317847237, 2.8357841334040703, -1.5632041488343194, 0.06531822703992596]
43;-1.669906669333334;34.7328718000208;[2.0659879262651604, -1.47286199158864, 0.9340909450610555, -2.5383592520523526, 2.0253325042568235, 1.744569439126182, -0.9861671716204699, -1.9244639884654058, -2.6171737833683992, -1.8562582748130585, -0.6597926992983982, 1.4362189693367737, -2.029218469934949, 2.752920865955417, -0.5146870421018921, 1.567813454092895]
44;-1.709939449333334;34.56861429999117;[-1.3381829295715575, 1.0032509258558129, -1.664850324534184, 1.9213797687722955, -1.1726948650585114, -1.5465615623636173, 2.229276625956606, -2.9381148660120457, -1.3276903513738765, -1.6757448062545939, 2.1713225950899187, 2.811347521202185, 1.26324962877381, -1.0002073083958924, 0.8256840283204983, 0.34348147974895493]
45;-1.6632032040000013;34.35635879996698;[-0.8246199000124079, 1.2484460710673986, 0.19517091534690545, 2.0933741502367385, 0.6621288868259203, -2.054109336059748, -0.6617624252350729, 2.6058794354830077, -0.3711335136433882, 1.4179884513380347, 2.515134398725479, 2.1255262132585546, 0.6789419903213259, 1.077046829677303, 2.903687657689334, -2.960322936780721]
46;-1.8218194906666674;35.07885599997826;[0.8977023991676099, 1.8400928917104835, -0.5770802223926061, -1.819366422012962, -1.0845930490659508, -2.133500208991149, -1.217867290798036, 1.3125951085200382, 0.45307269712167875, 2.1098462545884047, -1.3145884739318767, 1.007138729260027, 0.1155064530343699, -0.8622575982223593, -1.6646946793470094, -2.296844917237602]
47;-1.7866276413333337;34.84275050001452;[-1.4391592110820568, 1.0832252632003048, 2.3862425613738605, 1.2781547301546032, -1.3617703203787839, -0.6595694016052374, -0.12111284061604088, 1.2708705626696393, 0.5297331238301877, 0.04268751889754485, -2.225709463698837, -1.2908888952434552, 2.1863427466076963, -2.1725164526311147, -1.5852868709025065, 2.2103428435764325]
48;-1.7719596053333335;34.78011540003354;[-0.2054053412832113, -2.6489413935787116, -2.408193967840614, -1.525819724043543, 1.959447953933168, -2.1489849411317397, 0.2443677762657921, -0.05996224867693822, 1.0480665010719115, 1.280761718487951, -2.297523661564377, 2.093952567803351, -2.045571451220088, -2.520445481298883, 0.29519993633741537, 0.4676230522040896]
