run;final_energy;time;best_position
1;-1.824674601333334;34.67538929998409;[1.6617543874677336, 2.052527997073022, -1.59928109762404, 1.2600746740006388, 0.29959922372631453, -2.4848658811061726, 2.6828475607219264, -0.12942208777121023, -1.8005552741622022, -0.7864110868428007, -2.556484580769129, 2.9528186105677108, 0.37277089384386386, -3.0253709989251147, 1.7843710394051522, -1.9101074684158652]
2;-1.8021599626666676;34.522220199985895;[-2.341793041136271, -2.724422276511458, -0.21373883331653865, -1.0904672333304521, -1.2088194339627243, 2.099089458910502, -2.855451503420473, -1.9255093864104011, 1.945271683646487, -0.5916730472650742, 1.927205437025, -1.1655873478873877, -2.459770258515309, 1.7645069473540733, 1.6274554524087748, -2.919506197176597]
3;-1.847670605333334;34.255584999977145;[2.7830901517902475, 1.2084013721897406, -1.5420291192722273, -1.1717132528246141, -0.14846431730916887, 1.9822362257772816, 0.7094804320568509, -0.598904723865004, 1.947038946291718, -1.248417921370746, 2.107105529603576, -2.41510634011458, 1.437234688286626, 1.0749142752182355, 1.1177683410868102, 1.6987310141757277]
4;-1.8302859613333344;34.63833649997832;[2.8835185664240726, -0.3910822287731883, 2.901723535363451, 1.6346299133976991, 1.7130185841855976, 2.1953042066268935, -1.6889836700707372, 0.32299527184363974, 1.7050418783780836, -1.6372739649042747, -0.6453979328008232, -0.11426887520497075, 2.3434218418734503, 0.30249663818411143, -1.9513097768199816, 1.944059870173838]
5;-1.8463521000000007;34.49576930003241;[0.5017280563661641, 2.3215711212319636, 0.8057606625154001, -1.4749542160859652, -0.6228459638249495, 1.3513317476665776, 0.3510067731393125, -2.5305910900061117, 2.4064618563086704, 0.9017916416475478, -0.5649111686798056, 2.9975101735565612, 2.917024055575241, 2.3774633943666466, 0.7387973562858705, -2.0453908594516133]
6;-1.7419905426666666;34.5452352000284;[3.0479394741230266, -2.2790840139680943, 2.912989842700382, -0.9355743025392895, -0.17257168101930187, 3.058169072752224, -0.2737364976118415, -2.2159212309789207, -0.348319799482792, 0.11094665006282689, 0.6045027925106217, 0.8317861387287078, 2.5438672162902165, 0.4967243701076982, -2.5772758834017764, 1.1286360013971706]
7;-1.7676732453333344;34.70659890002571;[-0.9106972596120508, -2.916953031698096, -2.189898568501471, -2.1671300319276368, 0.4506660154811941, -0.634091711794377, -2.2530937122848615, -0.05405935928830008, 1.8989731672897863, -0.42202667073911604, 0.9671118583007257, 1.3489069400510871, -3.0318284489179437, -2.737046074552192, -0.4008734287787292, -0.684844694327055]
8;-1.7788694546666681;34.48324610001873;[2.9524532419367837, 3.064536469938874, 2.987732940290389, -2.2936109723715497, 0.8102331250900088, 0.3326862722679569, 0.27700795983553705, -1.7426019168136166, 1.782817717634959, 1.3653568205690965, -1.687379628181787, -1.3065702508687445, -1.256928606954596, 2.0913528357783218, -2.1906744400923133, -0.07904916106130999]
9;-1.8822260160000004;34.588689299998805;[-1.7336400694134058, 2.0961147845922747, -0.19905919914865944, -1.9414560805921415, 1.7329384863253559, -1.7638285664246114, 0.9733254765932253, -0.036247189791813295, -0.43594016644569056, -2.107368534887612, -0.729031393391891, -0.36804535569012353, 0.003977870935026218, -1.0172438124752077, 0.6834233501405551, -2.046924326273166]
10;-1.8405356413333342;35.050547200022265;[1.3810044743838894, 0.37028684457269456, 1.42853800362683, 1.4583676868699147, 2.044737779947443, -0.568706807304225, -0.3457737619585117, -3.055357436097104, 3.005326091114994, 1.2836799375300094, 0.12667485964841685, -0.3483316767276672, 1.1821331300051892, 0.840826893435394, 1.720937034485491, -1.3892845386940547]
11;-1.6052394853333336;35.20698649995029;[1.9878030291105713, -2.495019085001013, -0.15854897698160642, -1.862084539640527, -2.5995816363137654, 2.297639658292736, -2.015556479881581, -0.16031836625074813, -1.4409187027282215, -0.680678799854789, -0.13985490272119083, -1.2069465378634983, -0.0745926460522921, -0.8831795223474188, -0.29600546096439206, -2.840747515282772]
12;-1.7986833386666672;35.12050869996892;[-0.6108491333428105, 3.0312006075838127, -1.364175311569601, 2.933570787463424, -3.0557703984767652, 2.97174649913393, -2.2948339302220386, 0.668341929856342, -2.49334250128557, 2.641255514314313, 1.4881584382559492, -0.6251448072772048, 0.13818372693328618, -2.753296840107731, 0.3334673198081095, 2.03351322563236]
13;-1.8414316266666675;34.95664069999475;[0.19207656934389528, -3.041602697606338, 1.4217510207426587, -1.5198919810732743, -0.510734555291612, -1.954927828220108, -1.576825329623127, -2.7866782664123786, -2.3813284111151214, -0.7268643948281266, -2.002258573988327, -0.06594566074408625, 2.975647620712296, -1.1158665661059368, 0.2456122983245037, 1.3609458250591668]
14;-1.847713884000001;35.169354300014675;[2.4420560103669278, 2.5465500463766304, 1.910028320177629, -1.5488476514430203, 0.6136387206041136, 1.2728839496199438, 1.9514362802323193, 2.921951968031638, 0.0039201795474856915, 2.0618264409090683, 1.822727991107488, 0.46860815884309526, 2.726373263213608, 1.8386368570073381, 0.4570432938890838, 2.045150887361067]
15;-1.743763594666667;35.03198720002547;[2.4669952468942897, -2.464569991893512, 0.36260765408959594, 1.7656109858295483, 1.894508721185197, -1.9636974645612177, 2.329841528132123, -2.733982551865135, -1.02736167813097, 1.592953293365082, -2.3505466385553606, 1.9724332213436746, 0.2911077515036804, 2.425510516361861, -0.5130438902898495, 0.7055884235079266]
16;-1.847713586666668;35.049437000008766;[-0.10968945591012513, 2.141998100626898, 1.4745209650751043, 1.1253507121857655, 0.6753340405956374, -0.5950214812320676, 1.544585194227687, 0.19440841218274096, 2.5973331035172444, -0.4483582446895755, 0.5640275856304502, 1.5516439116209257, -3.061864828708757, 1.357748074889182, -3.0367207709997217, 0.17906777062432866]
17;-1.8423465586666674;35.261065699975006;[0.9032544551449737, 2.6419181192580456, -1.377508231616704, 1.4871393539183, -0.1634346707284129, 1.095006885191248, 0.10191089350038407, 2.0044173830177527, 0.5547989010960372, -1.9291830391581462, -1.2297540724117646, -1.3155033674285004, 0.4565523094587136, 3.1315342211168398, -2.0701211644816384, 0.20860567164803046]
18;-1.8328087200000007;34.062297100026626;[1.2102519337688342, -2.7420789457374872, 1.6927613809370028, -1.9595749101174782, 2.472743782252441, 1.128575233055801, 1.729983542555118, 2.7224994844422046, -0.8982674241190214, -1.7064018423023957, 1.1354622198512656, -2.7053047175605687, -2.2681323540074114, -1.7277414237432234, -0.9416286079113898, -1.0550851212404182]
19;-1.824286676000001;33.955332099983934;[-2.8626409845050924, 2.702525988374573, 0.07873349072629265, 0.6600502181854142, 2.548005601516733, -0.8410769430696612, -0.9703776214341451, 0.8485764080221609, -1.2213031071173461, 1.2009689043877598, 2.4318929070031556, -0.29880339286332847, 0.7265539262906673, 0.5853380670209738, 1.2998334986998277, 1.8056994221887237]
20;-1.6817479226666665;33.998897599987686;[0.9565150766149291, -1.2193905074541869, -1.8802907227954861, -1.731042279121104, 1.212571158011066, 1.3603271375366113, 0.3860808403556484, -0.2736502239319911, 0.5417340007643694, -0.8329528827869113, 0.013001010255849543, 2.5452745504733123, -1.163625605949981, -0.8994840699158244, -0.9816834721893763, 0.43891910328842965]
21;-1.850240577333335;33.985186200006865;[2.379054191136099, -1.2863963018124087, -1.9421292884284669, 0.8455528716217859, -0.9031291240331245, -1.9646048257419306, 0.8058445356844937, -0.9786091498759495, -1.5133195583060561, -1.0282115836018053, 0.8768378294477444, 1.8764359516134679, -1.4994909069056261, -1.4236228516020721, 1.3968771669944902, -1.8751284435038171]
22;-1.8612640920000014;34.01843799999915;[2.296728628978528, -0.19511511587622588, 2.9615129799454287, -0.9260612988972969, -1.4230061892465575, 1.640239513043646, 2.0202512556354346, 2.5249118249576146, -1.4773491082287085, 1.8148442872033126, 0.559555570569064, -0.5380443864923716, 3.0597170032159253, -0.12303368833038597, 2.7380354829488045, 1.5873279738365387]
23;-1.8748279520000006;33.88695409998763;[2.4069231715627737, 2.317349027007584, -2.206172127423415, -1.7183322513523394, -2.35054756600192, 1.4631331182790444, -0.4067685676413051, -2.843153208766385, -0.3047053866238274, 0.015528195773856002, -2.180273464519752, -0.1687867238453573, -0.058321388091041815, -2.306577895392491, -2.28508280933219, 1.7976961631533515]
24;-1.8359442200000007;33.76562959997682;[1.0850467657536917, -1.3783861465331693, 1.689687976789326, 0.9980544192428544, 1.1831595243538278, -1.3625139660628798, 1.6029691589454567, 0.1711562327601701, 0.7392225703174571, 1.309024330233803, 1.389578782715347, -0.26220162809074044, 0.4028312770747897, -1.230956765016916, 1.1898449106310798, 1.3937828709194875]
25;-1.8149162600000017;33.77166729996679;[-0.6605578457565882, 2.485307064896057, -0.39592621124838034, -1.944114239638039, 1.6399819489379848, 1.2548047836365663, 0.2977753123314568, 2.8010059689170745, 1.024542660050665, -1.660312948618263, -1.10499885277819, 0.23923732302323275, -0.22182309941484268, -1.3649100845022895, 0.2687539124475884, 1.5403718731513]
26;-1.8119682773333343;34.2187724999967;[-1.3709164650766787, -0.46413325827684426, 1.4360375201012419, -1.408281664842031, -1.198897068703888, -0.1459698597996466, -0.5808641995578752, -0.3490478451971768, -2.3169660426511323, 2.650205399274542, 0.6352751745823584, 2.614741852351605, -2.0688903097416946, -2.604474139476868, 0.5803421455446376, 1.3087828618746782]
27;-1.8461705600000007;34.782423199969344;[-1.6264733469621, 0.8070408538017064, -1.7721192316018806, -1.8453182155342096, -0.6572871424144942, 1.2388237367154629, 2.7319751679718642, -1.4202374442496561, -2.8438514400944617, 1.2214999812273462, -2.1629975696333603, -2.006822087838364, 1.1052298977179769, 0.6682022503468081, -1.478241210806752, 2.819946897691427]
28;-1.6552098226666672;35.056373699975666;[2.098167427946536, -2.374584688562733, 1.7385047721421438, 1.2233548190780423, -2.540338049484873, 1.9725495660551084, 0.24842572409657215, -2.8616140858133026, -1.7752555253658662, -2.549699088944244, 0.2465559844479639, -1.0067810478918942, -1.4992876501668198, 2.923513655829689, 2.1989159129369167, -1.297945001462607]
29;-1.7267273626666677;34.599670699972194;[-1.1017559747675554, -0.30201153851938756, -2.8715484241879485, 1.826111816879358, 2.7229444867485206, 2.9019068530745535, 2.5417566222504604, 0.11451392953562989, -2.8067651030747793, 0.438120364807403, 0.17960749514094987, 2.1278943412798403, -0.22322176941573524, 3.0060976271020152, 3.031560645233731, -0.31240132175439594]
30;-1.802133845333334;35.03620849997969;[-2.535320529095284, 2.1254409480295298, -1.9138556294412172, 1.5241285927697152, 2.605334705377853, -0.479790838823678, 1.192258109001611, 0.28718527754322976, -0.2404282851793127, -2.1940577210760392, 2.697261129626561, -1.6770021876113879, -0.40420151695302264, -1.605982611982863, 3.035861970194432, 3.088140056375269]
